m_id	m_encounterId	m_modelId	m_index	field4	m_name	field6
1309	687	41813	0	0	Meng Sharpfang	6503
1310	687	41565	2	0	Sebotai Swiftfoot	6559
1312	688	27705	0	0	Thalnos the Soulrender	0
1313	689	41192	0	0	Feng the Accursed	0
1315	690	41920	0	0	Gekkan	0
1316	691	41448	0	0	Sha of Anger	0
1321	695	42101	0	608310	Dark Shaman Koranthal	0
1326	660	42264	0	0	Houndmaster Braun	0
1334	708	42058	0	0	Kuai the Brute	0
1335	708	42059	1	0	Ming the Cunning	0
1336	708	42060	2	0	Haiyan the Unstoppable	0
1337	584	27408	0	607639	Herald Volazj	0
1338	587	27856	0	607542	Anub\'arak	0
1341	709	41772	0	0	Sha of Fear	0
1342	606	26353	0	607797	Brann Bronzebeard	0
1343	694	38759	0	608309	Adarogg	0
1344	696	38391	0	522251	Slagmaw	0
1345	697	42100	0	608315	Lava Guard Gordoth	0
1346	459	9584	3	0	Hazzas	0
1347	459	6375	1	0	Weaver	0
1348	459	7975	2	0	Morphaz	0
1383	726	41399	0	0	Elegon	0
1385	725	42468	1	0	Chief Salyis	0
1386	725	42439	0	0	Galleon	0
1389	727	43151	0	0	Wing Leader Ner\'onok	0
1393	684	40322	0	0	Darkmaster Gandling	0
1394	728	17725	0	607556	Blood Guard Porung	0
1400	737	43126	0	0	Amber-Shaper Un\'sok	0
1401	737	42889	1	0	Amber Monstrosity	0
1402	673	39489	0	0	Gu Cloudstrike	0
1403	673	39492	1	0	Azure Serpent	0
1404	656	40597	0	0	Flameweaver Koegler	0
1405	713	42368	0	0	Garalon	0
1407	738	42169	0	0	Commander Vo\'jak	0
1412	729	42811	0	0	Lei Shi	0
1415	741	42645	0	0	Wind Lord Mel\'jarak	0
1417	743	42730	0	0	Grand Empress Shek\'zeer	0
1421	745	42807	0	0	Imperial Vizier Zor\'lok	0
1422	655	43122	0	0	Saboteur Kip\'tilak	0
1423	748	5285	0	607729	Obsidian Sentinel	0
1424	749	34463	0	607569	Commander Malor	0
1425	687	41566	3	0	Zian of the Endless Shadow	0
1427	692	43120	0	0	General Pa\'valak	0
1428	675	43275	0	0	Striker Ga\'dok	0
1429	676	43286	0	0	Commander Ri\'mok	0
1430	668	39498	0	0	Ook-Ook	0
1431	670	42969	0	0	Yan-Zhu the Uncasked	0
1432	672	41125	0	0	Wise Mari	0
1433	664	39506	0	0	Lorewalker Stonestep	0
1434	335	43283	0	0	Sha of Doubt	0
1435	698	41987	0	0	Xin the Weaponmaster	0
1439	693	43197	0	0	Vizier Jin\'bak	0
1444	742	42532	0	0	Tsulong	7003
1465	742	42533	1	0	Tsulong	7020
1466	744	43141	0	0	Blade Lord Ta\'yak	0
