id	iname	type	flags	unk4	isPvp	name	linkedZone	hordeIntro	allianceIntro	multimap_id (10)	BattlefieldMapIconScale	ghost_entrance_map	ghost_entrance_x	ghost_entrance_y	timeOfDayOverride	addon	unkTime	maxPlayers	unk400	
389	"OrgrimmarInstance"	1	1553	2	0	"Ragefire Chasm"	2437	""	""	195	1	1.401298E-45	1816.756	-4423.372	-1	0	0	10	-1
409	"MoltenCore"	2	1553	2	0	"Molten Core"	2717	""	""	192	1	0	-7510.565	-1036.698	-1	0	0	40	-1
429	"DireMaul"	1	1537	2	0	"Dire Maul"	2557	""	""	82	1	1.401298E-45	-3908.03	1130	-1	0	0	5	-1
449	"AlliancePVPBarracks"	0	1553	2	0	"Alliance PVP Barracks"	2918	""	""	181	1	NaN	0	0	-1	0	0	0	-1
450	"HordePVPBarracks"	0	1553	2	0	"Horde PVP Barracks"	2917	""	""	182	1	NaN	0	0	-1	0	0	0	-1
451	"development"	0	1631	1	0	"Development Land"	0	""	""	21	1	NaN	0	0	-1	3	0	0	-1
469	"BlackwingLair"	2	1553	1	0	"Blackwing Lair"	2677	""	""	141	1	0	-7663.413	-1218.667	-1	0	0	40	-1
489	"PVPZone03"	3	1553	1	1	"Warsong Gulch"	3277	"A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict."	"A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict."	122	1	NaN	0	0	-1	0	0	0	-1
509	"AhnQiraj"	2	1553	1	0	"Ruins of Ahn\'Qiraj"	3429	""	""	184	1	1.401298E-45	-8114.464	1526.366	-1	0	68400	20	-1
529	"PVPZone04"	3	1553	1	1	"Arathi Basin"	3358	"The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

The Defilers\' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.

Meanwhile, the League of Arathor seek to reclaim lost lands for their benefactors in Stormwind."	"The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.

Meanwhile, the Defilers\' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south."	183	1.25	NaN	0	0	-1	0	0	0	-1
530	"Expansion01"	0	1553	1	0	"Outland"	0	""	""	198	1	NaN	0	0	-1	1	0	0	-1
531	"AhnQirajTemple"	2	1553	1	0	"Ahn\'Qiraj Temple"	3428	""	""	185	1	1.401298E-45	-8111.724	1526.786	-1	0	0	40	-1
532	"Karazahn"	2	1553	1	0	"Karazhan"	3457	""	""	200	1	0	-11110.41	-2004.065	-1	1	0	10	-1
533	"Stratholme Raid"	2	34321	1	0	"Naxxramas"	3456	""	""	197	1	NaN	0	0	-1	2	0	25	-1
534	"HyjalPast"	2	1553	1	0	"The Battle for Mount Hyjal"	616	""	""	212	1	1.401298E-45	-8178.508	-4182.05	-1	1	0	25	-1
540	"HellfireMilitary"	1	1553	2	0	"Hellfire Citadel: The Shattered Halls"	3714	""	""	199	1	7.426882E-43	-306.7582	3064.436	-1	1	0	5	-1
542	"HellfireDemon"	1	1553	2	0	"Hellfire Citadel: The Blood Furnace"	3713	""	""	199	1	7.426882E-43	-295.4193	3151.993	-1	1	0	5	-1
543	"HellfireRampart"	1	67089	1	0	"Hellfire Citadel: Ramparts"	3562	""	""	199	1	7.426882E-43	-360.0499	3067.896	-1	1	0	5	-1
544	"HellfireRaid"	2	1553	2	0	"Magtheridon\'s Lair"	3836	""	""	208	1	7.426882E-43	-330.2339	3106.636	-1	1	0	25	-1
545	"CoilfangPumping"	1	1553	2	0	"Coilfang: The Steamvault"	3715	""	""	207	1	7.426882E-43	764.2191	6915.08	-1	1	0	5	-1
546	"CoilfangMarsh"	1	1553	2	0	"Coilfang: The Underbog"	3716	""	""	207	1	7.426882E-43	764.6282	6768.073	-1	1	0	5	-1
547	"CoilfangDraenei"	1	1553	2	0	"Coilfang: The Slave Pens"	3717	""	""	207	1	7.426882E-43	742.1582	7011.327	-1	1	0	5	-1
548	"CoilfangRaid"	2	1553	2	0	"Coilfang: Serpentshrine Cavern"	3607	""	""	207	1	7.426882E-43	775.7864	6865.243	-1	1	0	25	-1
550	"TempestKeepRaid"	2	1553	2	0	"Tempest Keep"	3845	""	""	206	1	NaN	0	0	-1	1	0	25	-1
552	"TempestKeepArcane"	1	1553	2	0	"Tempest Keep: The Arcatraz"	3848	""	""	206	1	NaN	0	0	-1	1	0	5	-1
553	"TempestKeepAtrium"	1	1553	2	0	"Tempest Keep: The Botanica"	3847	""	""	206	1	NaN	0	0	-1	1	0	5	-1
554	"TempestKeepFactory"	1	1553	2	0	"Tempest Keep: The Mechanar"	3849	""	""	206	1	NaN	0	0	-1	1	0	5	-1
555	"AuchindounShadow"	1	1553	2	0	"Auchindoun: Shadow Labyrinth"	3789	""	""	201	1	7.426882E-43	-3640.688	4943.163	-1	1	0	5	-1
556	"AuchindounDemon"	1	1553	2	0	"Auchindoun: Sethekk Halls"	3791	""	""	201	1	7.426882E-43	-3361.863	4665.592	-1	1	0	5	-1
557	"AuchindounEthereal"	1	1553	2	0	"Auchindoun: Mana-Tombs"	3792	""	""	201	1	7.426882E-43	-3089.516	4942.756	-1	1	0	5	-1
558	"AuchindounDraenei"	1	1553	2	0	"Auchindoun: Auchenai Crypts"	3790	""	""	201	1	7.426882E-43	-3363.44	5156.455	-1	1	0	5	-1
559	"PVPZone05"	4	1553	1	0	"Nagrand Arena"	0	""	""	219	1	NaN	0	0	-1	0	0	0	-1
560	"HillsbradPast"	1	9745	1	0	"The Escape From Durnholde"	267	""	""	212	1	1.401298E-45	-8309.81	-4061.509	-1	1	0	5	-1
562	"bladesedgearena"	4	1553	1	0	"Blade\'s Edge Arena"	3702	""	""	218	1	NaN	0	0	-1	0	0	0	-1
564	"BlackTemple"	2	1553	1	0	"Black Temple"	0	""	""	215	1	7.426882E-43	-3644.527	317.2937	-1	1	0	25	-1
565	"GruulsLair"	2	1553	2	0	"Gruul\'s Lair"	3923	""	""	213	1	7.426882E-43	3525.453	5144.151	-1	1	0	25	-1
566	"NetherstormBG"	3	1553	1	1	"Eye of the Storm"	0	"Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

This battlefield is coveted by the blood elves for its rich energy deposits.

The draenei seek to claim it due to its proximity to the naaru\'s mysterious vessel, Tempest Keep."	"Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

The draenei seek to claim it due to its proximity to the naaru\'s mysterious vessel, Tempest Keep.

This battlefield is coveted by the blood elves for its rich energy deposits."	210	1	NaN	0	0	-1	0	0	0	-1
568	"ZulAman"	1	1553	1	0	"Zul\'Aman"	0	""	""	276	1	7.426882E-43	6851.021	-7989.713	-1	3	0	10	-1
571	"Northrend"	0	1565	1	0	"Northrend"	0	""	""	216	1	NaN	0	0	-1	2	0	0	-1
572	"PVPLordaeron"	4	1553	1	0	"Ruins of Lordaeron"	0	""	""	217	1	NaN	0	0	-1	0	0	0	-1
573	"ExteriorTest"	0	1567	1	0	"ExteriorTest"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
574	"Valgarde70"	1	9757	1	0	"Utgarde Keep"	0	""	""	220	1	8.001414E-43	1211.759	-4868.422	-1	2	0	5	-1
575	"UtgardePinnacle"	1	67101	1	0	"Utgarde Pinnacle"	0	""	""	221	1	8.001414E-43	1232.41	-4860.954	-1	2	0	5	-1
576	"Nexus70"	1	1553	2	0	"The Nexus"	4265	""	""	226	1	8.001414E-43	3899.926	6985.436	-1	2	0	5	-1
578	"Nexus80"	1	1565	1	0	"The Oculus"	0	""	""	227	1	8.001414E-43	3865.923	6983.94	-1	2	0	5	-1
580	"SunwellPlateau"	2	1553	1	0	"The Sunwell"	0	""	""	225	1	7.426882E-43	12551.76	-6774.565	-1	1	0	25	-1
582	"Transport176244"	0	1553	3	0	"Transport: Rut\'theran to Auberdine"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
584	"Transport176231"	0	1553	3	0	"Transport: Menethil to Theramore"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
585	"Sunwell5ManFix"	1	1565	1	0	"Magister\'s Terrace"	0	""	""	224	1	7.426882E-43	12881.9	-7343.095	-1	1	0	5	-1
586	"Transport181645"	0	1553	3	0	"Transport: Exodar to Auberdine"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
587	"Transport177233"	0	1553	3	0	"Transport: Feathermoon Ferry"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
588	"Transport176310"	0	1553	3	0	"Transport: Menethil to Auberdine"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
589	"Transport175080"	0	1553	3	0	"Transport: Orgrimmar to Grom\'Gol"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
590	"Transport176495"	0	1553	3	0	"Transport: Grom\'Gol to Undercity"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
591	"Transport164871"	0	1553	3	0	"Transport: Undercity to Orgrimmar"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
592	"Transport186238"	0	1553	3	0	"Transport: Borean Tundra Test"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
593	"Transport20808"	0	1553	3	0	"Transport: Booty Bay to Ratchet"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
594	"Transport187038"	0	1553	3	0	"Transport: Howling Fjord Sister Mercy (Quest)"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
595	"StratholmeCOT"	1	1553	1	0	"The Culling of Stratholme"	0	""	""	222	1	1.401298E-45	-8756.087	-4457.418	-1	2	0	5	-1
596	"Transport187263"	0	1553	3	0	"Transport: Naglfar"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
597	"CraigTest"	0	1759	1	0	"Craig Test"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
598	"Sunwell5Man"	1	1555	2	0	"Sunwell Fix (Unused)"	0	""	""	4	1	NaN	0	0	-1	1	0	5	-1
599	"Ulduar70"	1	1565	1	0	"Halls of Stone"	0	""	""	230	1	8.001414E-43	8921.793	-966.8065	-1	2	0	5	-1
600	"DrakTheronKeep"	1	1565	1	0	"Drak\'Tharon Keep"	0	""	""	228	1	8.001414E-43	4774.583	-2023.049	-1	2	0	5	-1
601	"Azjol_Uppercity"	1	1565	1	0	"Azjol-Nerub"	0	""	""	229	1	8.001414E-43	3672.215	2171.275	-1	2	0	5	-1
602	"Ulduar80"	1	1565	1	0	"Halls of Lightning"	0	""	""	231	1	8.001414E-43	9185.088	-1386.791	-1	2	0	5	-1
603	"UlduarRaid"	2	34333	1	0	"Ulduar"	0	""	""	244	1	8.001414E-43	9359.371	-1115.175	0	2	0	5	-1
604	"GunDrak"	1	1565	1	0	"Gundrak"	0	""	""	237	1	8.001414E-43	6708.731	-4654.904	-1	2	0	5	-1
605	"development_nonweighted"	0	1555	1	0	"Development Land (non-weighted textures)"	0	""	""	21	1	NaN	0	0	-1	0	0	0	-1
606	"QA_DVD"	0	1567	1	0	"QA and DVD"	0	""	""	21	1	NaN	0	0	-1	2	0	0	-1
607	"NorthrendBG"	3	1565	1	1	"Strand of the Ancients"	0	"To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients."	"To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients."	238	1	NaN	0	0	-1	0	0	0	-1
608	"DalaranPrison"	1	1565	1	0	"Violet Hold"	0	""	""	235	1	8.001414E-43	5689.49	498.0469	-1	2	0	5	-1
609	"DeathKnightStart"	0	1565	1	0	"Ebon Hold"	0	""	""	233	1	NaN	0	0	-1	2	0	0	-1
610	"Transport_Tirisfal _Vengeance_Landing"	0	1553	3	0	"Transport: Tirisfal to Vengeance Landing"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
612	"Transport_Menethil_Valgarde"	0	1553	3	0	"Transport: Menethil to Valgarde"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
613	"Transport_Orgrimmar_Warsong_Hold"	0	1553	3	0	"Transport: Orgrimmar to Warsong Hold"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
614	"Transport_Stormwind_Valiance_Keep"	0	1553	3	0	"Transport: Stormwind to Valiance Keep"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
615	"ChamberOfAspectsBlack"	2	34333	1	0	"The Obsidian Sanctum"	0	""	""	239	1	8.001414E-43	3438.153	260.4013	-1	2	0	0	-1
616	"NexusRaid"	2	34333	1	0	"The Eye of Eternity"	0	""	""	236	1	8.001414E-43	3869.981	6984.33	-1	2	0	5	-1
617	"DalaranArena"	4	1565	1	0	"Dalaran Sewers"	0	""	""	242	1	NaN	0	0	0	0	0	0	-1
618	"OrgrimmarArena"	4	4195869	1	0	"The Ring of Valor"	0	""	""	240	1	NaN	0	0	720	0	0	0	-1
619	"Azjol_LowerCity"	1	1565	1	0	"Ahn\'kahet: The Old Kingdom"	0	""	""	234	1	8.001414E-43	3641.458	2032.064	-1	2	0	0	-1
620	"Transport_Moa\'ki_Unu\'pe"	0	1553	3	0	"Transport: Moa\'ki to Unu\'pe"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
621	"Transport_Moa\'ki_Kamagua"	0	1553	3	0	"Transport: Moa\'ki to Kamagua"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
622	"Transport192241"	0	1553	3	0	"Transport: Orgrim\'s Hammer"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
623	"Transport192242"	0	1553	3	0	"Transport: The Skybreaker"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
624	"WintergraspRaid"	2	34365	1	0	"Vault of Archavon"	0	""	""	243	1	8.001414E-43	5488.125	2840.334	-1	2	0	0	-1
627	"unused"	1	1567	1	0	"unused"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
628	"IsleofConquest"	3	1565	1	1	"Isle of Conquest"	0	"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar)."	"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar)."	245	1	NaN	0	0	-1	2	0	0	-1
631	"IcecrownCitadel"	2	34589	1	0	"Icecrown Citadel"	0	""	""	250	1	8.001414E-43	5776.922	2065.932	-1	2	0	0	-1
632	"IcecrownCitadel5Man"	1	1565	1	0	"The Forge of Souls"	0	""	""	249	1	8.001414E-43	5670.792	2003.629	-1	2	0	0	-1
637	"AbyssalMaw"	1	1565	1	0	"Abyssal Maw Exterior"	0	""	""	23	1	NaN	0	0	-1	3	0	0	-1
638	"Gilneas"	0	1629	1	0	"Gilneas"	0	""	""	4	1	NaN	0	0	-1	3	0	0	654
641	"Transport_AllianceAirshipBG"	0	1553	3	0	"Transport: Alliance Airship BG"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
642	"Transport_HordeAirshipBG"	0	1553	3	0	"Transport: HordeAirshipBG"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
643	"AbyssalMaw_Interior"	1	17949	1	0	"Throne of the Tides"	0	""	""	255	1	0	-5585.872	5401.649	-1	3	0	0	-1
644	"Uldum"	1	1565	1	0	"Halls of Origination"	0	""	""	256	1	1.401298E-45	-10226	-1837.479	1080	3	0	0	-1
645	"BlackRockSpire_4_0"	1	1565	1	0	"Blackrock Caverns"	0	""	""	267	1	0	-7570.245	-1330.684	-1	3	0	0	-1
646	"Deephome"	0	1629	1	0	"Deepholm"	0	""	""	268	1	NaN	0	0	-1	3	0	0	-1
647	"Transport_Orgrimmar_to_Thunderbluff"	0	1553	3	0	"Transport: Orgrimmar to Thunder Bluff"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
648	"LostIsles"	0	263773	1	0	"LostIsles"	0	""	""	3	1	NaN	0	0	-1	3	0	0	-1
649	"ArgentTournamentRaid"	2	34589	1	0	"Trial of the Crusader"	0	""	""	246	1	8.001414E-43	8515.286	736.1371	-1	2	0	0	-1
650	"ArgentTournamentDungeon"	1	1565	1	0	"Trial of the Champion"	0	""	""	247	1	8.001414E-43	8571.435	792.2205	-1	2	0	0	-1
651	"ElevatorSpawnTest"	0	1555	3	0	"ElevatorSpawnTest"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
654	"Gilneas2"	0	263709	1	0	"Gilneas2"	0	""	""	4	1	NaN	0	0	-1	3	0	0	-1
655	"GilneasPhase1"	0	1629	1	0	"GilneasPhase1"	0	""	""	0	1	NaN	0	0	-1	3	0	0	654
656	"GilneasPhase2"	0	1629	1	0	"GilneasPhase2"	0	""	""	0	1	NaN	0	0	-1	3	0	0	654
657	"SkywallDungeon"	1	1565	1	0	"The Vortex Pinnacle"	0	""	""	259	1	1.401298E-45	-11522.49	-2317.934	-1	3	0	0	-1
658	"QuarryofTears"	1	1565	1	0	"Pit of Saron"	0	""	""	252	1	8.001414E-43	5592.057	2010.271	-1	2	0	0	-1
659	"LostIslesPhase1"	0	1565	1	0	"Lost Isles Volcano Eruption"	0	""	""	3	1	NaN	0	0	-1	3	0	0	648
660	"Deephomeceiling"	0	1695	1	0	"Deephome Ceiling"	0	""	""	0	1	NaN	0	0	-1	3	0	0	-1
661	"LostIslesPhase2"	0	1565	1	0	"Lost Isles Town in a Box"	0	""	""	0	1	NaN	0	0	-1	3	0	0	648
662	"Transport197195"	0	1553	3	0	"Transport: Alliance Vashj\'ir Ship"	0	""	""	0	1	NaN	0	0	-1	3	0	0	-1
668	"HallsOfReflection"	1	1565	1	0	"Halls of Reflection"	0	""	""	253	1	8.001414E-43	5628.875	1973.286	-1	2	0	0	-1
669	"BlackwingDescent"	2	34589	1	0	"Blackwing Descent"	0	""	""	260	1	0	-7541.768	-1188.832	-1	3	0	0	-1
670	"GrimBatolDungeon"	1	1565	1	0	"Grim Batol"	0	""	""	257	1	0	-4047.74	-3446.35	-1	3	0	0	-1
671	"GrimBatolRaid"	2	34589	1	0	"The Bastion of Twilight"	0	""	""	266	1	0	-4903.01	-4221.21	-1	3	0	0	-1
672	"Transport197347"	0	1553	3	0	"Transport: The Skybreaker (Icecrown Citadel Raid)"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
673	"Transport197348"	0	1553	3	0	"Transport: Orgrim\'s Hammer (Icecrown Citadel Raid)"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
674	"Transport197349-2"	0	1553	3	0	"Transport: Ship to Vashj\'ir"	0	""	""	0	1	NaN	0	0	-1	3	0	0	-1
712	"Transport197349"	0	1553	3	0	"Transport: The Skybreaker (IC Dungeon)"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
713	"Transport197350"	0	1553	3	0	"Transport: Orgrim\'s Hammer (IC Dungeon)"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
718	"Transport201834"	0	1537	3	0	"Trasnport: The Mighty Wind (Icecrown Citadel Raid)"	0	""	""	0	1	NaN	0	0	-1	2	0	0	-1
719	"MountHyjalPhase1"	0	132701	1	0	"Mount Hyjal Phase 1"	0	""	""	3	1	NaN	0	0	-1	0	0	0	1
720	"Firelands1"	2	2131741	1	0	"Firelands"	0	""	""	275	1	1.401298E-45	3987.2	-2943.32	720	3	0	0	-1
721	"Firelands2"	1	1693	1	0	"Firelands Terrain 2"	0	""	""	0	1	NaN	0	0	720	3	0	0	-1
723	"Stormwind"	0	1565	1	0	"Stormwind"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
724	"ChamberofAspectsRed"	2	34589	1	0	"The Ruby Sanctum"	0	""	""	254	1	8.001414E-43	3608.129	186.8021	-1	2	0	0	-1
725	"DeepholmeDungeon"	1	1565	1	0	"The Stonecore"	0	""	""	258	1	9.052388E-43	1031.908	610.2969	-1	3	0	0	-1
726	"CataclysmCTF"	3	1629	1	1	"Twin Peaks"	0	"Nestled in the Twilight Highlands, Twin Peaks has flared as a point of contention between the Alliance and Horde.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Lend your strength as both factions struggle to take control of this critical high ground!"	"Nestled in the Twilight Highlands, Twin Peaks has flared as a point of contention between the Alliance and Horde.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Lend your strength as both factions struggle to take control of this critical high ground!"	262	1	NaN	0	0	-1	3	0	0	-1
727	"STV_Mine_BG"	3	1565	1	1	"STV Diamond Mine BG"	0	"Goblins with diamonds."	"Goblins with diamonds."	182	1	NaN	0	0	-1	4	0	0	-1
728	"TheBattleforGilneas"	1	1567	1	0	"The Battle for Gilneas (Old City Map)"	0	"Located in the heart of Gilnean peninsula, the capital city is of vital strategic importance to the Horde\'s operations the Eastern Kingdoms.

Long seen by the Forsaken as a natural expansion to their dominion, Sylvanas Windrunner\'s armies are ready to defend their most recent conquest at all costs."	"Driven from their homelands by the Forsaken, Gilneans continue to view this city as their nation\'s rightful capital.

After regrouping in Alliance territories, the people of Gilneas have rallied around King Greymane\'s call to arms and are ready to retake Gilneas City with the support of their new allies."	261	1	NaN	0	0	-1	3	0	0	-1
730	"MaelstromZone"	0	1629	1	0	"Maelstrom Zone"	0	""	""	272	1	NaN	0	0	-1	3	0	0	-1
731	"DesolaceBomb"	0	1629	1	0	"Stonetalon Bomb"	0	""	""	3	1	NaN	0	0	-1	0	0	0	1
732	"TolBarad"	0	9821	1	0	"Tol Barad"	0	""	""	265	1	NaN	0	0	-1	3	0	0	-1
734	"AhnQirajTerrace"	1	1565	1	0	"Ahn\'Qiraj Terrace"	0	""	""	184	1	NaN	0	0	-1	2	0	0	-1
