id	map	pos_x	pos_y	pos_z	m_name_lang	
109	0	-14283.44	293.4063	31.94366	"Stranglethorn Vale, Booty Bay GY"
129	1	8289.981	962.8038	15.18421	"Teldrassil, Rut\'theran Village GY"
149	0	-732.7994	-592.502	22.66305	"Hillsbrad Foothills, Southshore"
169	30	-157.4092	31.20627	77.0506	"Alterac Valley, Snowfall Graveyard (Mid)"
189	1	-3525.743	-4315.374	6.993044	"Dustwallow Marsh, Theramore Isle GY"
209	1	-7142.87	-3885.302	9.893117	"Tanaris, Gadgetzan GY"
229	1	-2517.648	-1970.997	91.78397	"The Barrens, Camp Taurajo GY"
249	1	-1081.4	-3478.68	63.6066	"The Barrens, Ratchet"
269	37	-448.1886	-1027.863	430.7243	"Plains of Snow - Alliance Start"
289	0	2348.67	492.027	33.3665	"Tirisfal Glades, Brill"
309	1	-4484.34	2142.23	7.55253	"Feralas, New Feathermoon Stronghold GY (A)"
310	1	-4445.19	370.837	51.4531	"Feralas, Camp Mojache GY (H)"
329	1	-5353.12	-3939.3	86.1111	"Thousand Needles, Splithoof Heights GY (MOVED)"
349	0	323.5126	-2227.196	137.6175	"The Hinterlands, Aerie Peak"
369	1	4719.671	-5954.722	105.196	"Azshara, Northern Azshara GY"
370	0	-10846.6	-2949.34	13.2298	"Blasted Lands, Dreadmaul Hold GY"
389	0	-11542.51	-228.4635	27.84575	"Stranglethorn Vale, Northern Stranglethorn GY"
409	1	773.6632	383.8767	71.06256	"Stonetalon Mountains, Webwinder Path GY"
429	0	2604.52	-543.39	88.9996	"Tirisfal Glades, Faol\'s Rest"
449	1	3809.429	-1597.651	219.11	"Felwood, Morlos\'Aran"
450	1	-7078.07	-2404.27	-165.558	"Un\'Goro Crater, The Marshlands"
469	1	5243.961	180.932	16.91179	"Darkshore, Twilight Vale GY"
489	0	-3347.72	-856.713	1.05955	"Wetlands, Baradin Bay GY"
509	0	908.3233	-1520.286	55.03718	"Western Plaguelands, Chillwind Camp"
510	0	2054.92	-5021.54	74.3608	"Eastern Plaguelands, Pestilent Scar"
511	1	6876.944	-4660.726	701.2874	"Winterspring, Everlook GY"
512	1	2421.724	-2953.619	123.4735	"Ashenvale, Kargathia GY"
529	451	16310.33	16268.94	69.44444	"Programmer Isle"
549	451	16223.82	16278.57	20.89128	"Programmer Isle"
569	0	1750.344	-669.7899	44.56984	"Western Plaguelands, Bulwark"
609	1	4028.3	-5441.566	115.7984	"Azshara, (Overlooks) The Shattered Strand GY"
610	30	-1437.67	-610.089	51.1619	"Alterac Valley, Horde Safe"
611	30	873.0018	-491.2836	96.54193	"Alterac Valley, Alliance Safe"
629	0	908.3233	-1520.286	55.03718	"TEST for GM Client Only - Do Not Bug"
630	1	4793.112	-6845.922	90.17362	"Azshara, Bitter Reaches GY"
631	1	-3127.587	-3046.747	33.84489	"Dustwallow Marsh, Brackenwall Village GY"
633	1	7425.867	-2808.891	463.973	"Moonglade GY"
634	0	1390.18	-3699.5	76.5121	"Eastern Plaguelands, Darrowshire"
635	1	5953.009	-1208.602	381.283	"Felwood, Irontree Woods"
636	0	-6450.61	-1113.51	308.022	"Searing Gorge, Thorium Point"
649	1	-777.9827	-4984.778	18.96163	"Durotar, Sen\'jin Village GY"
669	451	16614.8	16663	21.3422	"Programmer Isle, Bucklers Cemetery 2"
670	451	16623.3	16622.8	34.8991	"Programmer Isle, Bucklers Cemetery 1"
671	451	16631.7	16585.8	39.2206	"Programmer Isle, Bucklers Cemetery 3"
689	30	676	-374	30	"Alterac Valley, Stormpike Graveyard (Hi)"
690	30	-1090.477	-253.3087	57.67237	"Alterac Valley, Frostwolf Graveyard (Lo)"
709	1	-636.502	-4292.55	40.3022	"Durotar, Valley of Trials GY"
729	30	73.41776	-496.4331	48.73192	"Alterac Valley, PvP Alliance Choke Graveyard (A-choke)"
749	30	-531.2178	-405.2314	49.55138	"Alterac Valley, PvP Horde Choke Graveyard (H-choke)"
750	30	-1496.065	-333.3384	101.1348	"Alterac Valley, Frostwolf Relief Hut (H-base)"
751	30	643	44	69.7402	"Alterac Valley, Stormpike Aid Station (A-base)"
769	489	1523.812	1481.758	352.0076	"Warsong Gulch - Alliance Enter Loc"
770	489	933.3315	1433.724	345.5357	"Warsong Gulch - Horde Enter Loc"
771	489	1406.653	1564.74	328.3257	"Warsong Gulch - Alliance Rez Loc"
772	489	1061.6	1377.09	328.558	"Warsong Gulch - Horde Rez Loc"
789	0	-191.966	-4340.86	113.259	"The Hinterlands, The Overlook Cliffs"
809	1	1035.27	-2104.28	122.945	"Warsong Gulch - Horde Exit Loc"
810	1	1459.17	-1858.67	124.762	"Warsong Gulch - Alliance Exit Loc"
829	0	101.144	-184.934	127.344	"Alterac Valley, Alliance Exit"
830	0	536.495	-1085.72	106.27	"Alterac Valley, Horde Exit"
849	1	-4586.25	1633.19	94.086	"Feralas, Dire Maul Stonemaul Hold GY"
850	1	1177.688	-4464.068	21.35525	"Durotar, Northern Durotar GY"
851	1	-981.783	-74.63715	20.09454	"Mulgore, Thunder Bluff GY"
852	0	-5165.52	-874.664	507.177	"Dun Morogh, Gates of Ironforge"
853	0	1780.11	221.761	59.6169	"Tirisfal Glades, Ruins of Lordaeron"
854	0	-9552.46	-1374.05	51.2332	"Elwynn Forest, Eastvale Logging Camp"
869	0	1236.89	-2411.99	60.68	"Western Plaguelands, Caer Darrow"
889	529	684.014	681.22	-12.9159	"Arathi Basin - Horde Entrance"
890	529	1313.9	1310.74	-9.01043	"Arathi Basin - Alliance Entrance"
891	0	-831.881	-3518.52	72.4831	"Arathi Basin - Horde Exit"
892	0	-1215.59	-2531.75	21.6734	"Arathi Basin - Alliance Exit"
893	529	834.7264	784.9787	-57.08194	"Arathi Basin - Graveyard, H-Mid (Farm)"
894	529	1016.588	955.1847	-42.82869	"Arathi Basin - Graveyard, Mid (Blacksmith)"
895	529	1201.87	1163.131	-56.28597	"Arathi Basin - Graveyard, A-Mid (Stables)"
896	529	1211.524	781.5569	-82.70951	"Arathi Basin - Graveyard, ALT-N (Gold Mine)"
897	529	772.7557	1213.114	15.79739	"Arathi Basin - Graveyard, ALT-S (Lumber Mill)"
898	529	1354.7	1270.27	-11.1291	"Arathi Basin - Graveyard, A-Base (Trollbane Hall)"
899	529	713.71	638.364	-10.5999	"Arathi Basin - Graveyard, H-Base (Defiler\'s Den)"
909	0	2647.55	-4014.39	105.938	"Eastern Plaguelands, Blackwood Lake"
910	1	-6831.317	891.4373	33.86627	"Silithus, Cenarion Hold"
911	0	-10606.8	294.048	31.8007	"Duskwood, Ravenhill"
912	530	10458.55	-6364.614	39.79071	"Eversong Woods, Sunstrider Isle"
913	1	-7991.574	1557.804	4.974186	"Silithus, Scarab Wall (AQ Only)"
914	530	8936.564	-7439.903	82.08561	"Eversong Woods, Farstrider Lodge GY"
915	530	7694.177	-6730.11	48.29066	"Ghostlands, Tranquillien"
916	530	7015.226	-7299.999	45.42467	"Ghostlands, Sanctum"
917	530	6730.494	-7936.893	170.0989	"Ghostlands, Amani Pass"
918	530	-4123.139	-13660.07	74.6	"Azuremyst Isle, Ammen Vale"
919	530	158.0602	2562.73	75.78124	"Hellfire Peninsula, Thrallmar"
920	530	-803.0117	2702.592	106.7582	"Hellfire Peninsula, Honor Hold"
921	530	9407	-6847.67	16	"Eversong Woods, Silvermoon City"
922	530	8709.459	-6671.761	70.33598	"Eversong Woods, Fairbreeze GY"
923	530	-4312.775	-12441.04	17.19033	"Azuremyst, Azure Watch GY"
924	530	-3324.306	-12089.91	28.27484	"Azuremyst, Stillpine GY"
925	530	-2020.59	-11983.5	33.24797	"Bloodmyst, Blood Watch GY"
926	530	-1754.207	-11067.32	76.34234	"Bloodmyst, Wilderness GY"
927	0	1980.12	-3654.6	119.948	"Eastern Plaguelands, Graveyard CG Tower"
928	530	335.8859	7625.117	22.74857	"Zangarmarsh, Zabra\'jin GY"
929	559	4027.602	2972.784	12.07232	"Nagrand Arena, Team 1 Start"
930	530	-2495.866	6802.258	21.37141	"Nagrand, SE Graveyard"
931	451	16423	16237	71	"Programmer Isle"
932	451	16223.82	16278.57	20.89128	"Programmer Isle"
933	530	181.4751	4361.576	116.8849	"Hellfire Peninsula, Temple"
934	530	-695.8752	4118.209	64.48654	"Hellfire Peninsula, Falcon Watch"
935	530	742.6283	2887.709	8.900983	"Hellfire Peninsula, Corpse Location 004"
936	559	4085.45	2866.829	12.40048	"Nagrand Arena, Team 2 Start"
937	939	3080.115	-5551.698	18.77989	"Well of Eternity - Shores of the Well Port Location"
938	0	101.144	-184.934	127.344	"Alterac Valley, Alliance Exit"
939	562	6292.659	288.5795	4.95929	"Blade\'s Edge Arena, Team 1"
940	562	6184.982	236.0114	4.976874	"Blade\'s Edge Arena, Team 2"
941	530	540.3099	3932.88	188.9318	"Hellfire Peninsula, Test Corpse Location"
942	530	540.9799	3144.226	8.456751	"Hellfire Peninsula, Corpse Location 001"
943	530	582.864	2954.064	4.56392	"Hellfire Peninsula, Corpse Location 002"
944	530	742.6283	2887.709	8.900983	"Hellfire Peninsula, Corpse Location 003"
945	530	1148.442	1798.138	116.2955	"Hellfire Peninsula, Corpse Location 005"
946	530	851.6936	1688.062	89.75664	"Hellfire Peninsula, Corpse Location 006"
947	530	608.0968	1778.634	104.4356	"Hellfire Peninsula, Corpse Location 007"
948	530	354.618	1952.75	23.76544	"Hellfire Peninsula, Corpse Location 008"
949	530	107.7116	1841.231	21.8838	"Hellfire Peninsula, Corpse Location 009"
950	530	274.5988	1674.626	-5.776105	"Hellfire Peninsula, Corpse Location 010"
951	530	60.88097	1542.688	17.08331	"Hellfire Peninsula, Corpse Location 011"
952	530	-92.8317	1350.91	-12.20254	"Hellfire Peninsula, Corpse Location 012"
953	530	134.528	1230.394	2.397356	"Hellfire Peninsula, Corpse Location 013"
954	530	298.6661	1225.227	-1.179477	"Hellfire Peninsula, Corpse Location 014"
955	530	386.6821	1044.776	26.87337	"Hellfire Peninsula, Corpse Location 015"
956	530	337.8401	853.2183	13.88513	"Hellfire Peninsula, Corpse Location 016"
957	530	60.38444	725.155	14.58493	"Hellfire Peninsula, Corpse Location 017"
958	530	-213.5115	730.6844	-0.830688	"Hellfire Peninsula, Corpse Location 018"
959	530	-570.3268	675.7847	-0.703824	"Hellfire Peninsula, Corpse Location 019"
960	530	-958.5842	803.9071	2.534777	"Hellfire Peninsula, Corpse Location 020"
961	530	-827.569	1194.339	16.28465	"Hellfire Peninsula, Corpse Location 021"
962	530	-465.0748	1272.105	12.3895	"Hellfire Peninsula, Corpse Location 022"
963	530	-668.975	1516.192	17.99592	"Hellfire Peninsula, Corpse Location 023"
964	530	-1278.367	1381.712	9.104878	"Hellfire Peninsula, Corpse Location 024"
965	530	-1306.278	2478.398	56.80944	"Hellfire Peninsula, Corpse Location 025"
966	530	-1497.398	2657.169	-53.1746	"Hellfire Peninsula, Corpse Location 026"
967	530	-1445.698	3050.235	-16.82786	"Hellfire Peninsula, Corpse Location 027"
968	530	-1510.359	3281.807	-16.86444	"Hellfire Peninsula, Corpse Location 028"
969	530	248.3389	7084.928	36.49313	"Zangarmarsh, PvP GY"
970	530	211.3149	6200.033	22.29878	"Zangarmarsh, Telredor GY"
971	562	6238.93	262.9635	0.889519	"Blades Edge - PvP - Arena Graveyard"
972	530	1286.725	7883.123	10.2222	"Zangarmarsh, Corpse Location 006"
973	530	-212.4523	5579.672	22.17797	"Zangarmarsh, Cenarion GY"
974	530	1011.161	5039.573	-26.82502	"Zangarmarsh, Corpse Location 001"
975	530	781.7128	4987.825	-12.36556	"Zangarmarsh, Corpse Location 002"
976	530	1001.895	5714.57	-9.303263	"Zangarmarsh, Corpse Location 003"
977	530	1394.982	7756.503	12.28968	"Zangarmarsh, Corpse Location 004"
978	530	1412.409	8430.121	-4.679921	"Zangarmarsh, Corpse Location 008"
979	530	1398.578	7763.029	8.545544	"Zangarmarsh, Corpse Location 005"
980	530	1317.495	8135.392	-2.856916	"Zangarmarsh, Corpse Location 007"
981	530	1706.28	8407.813	-24.7731	"Zangarmarsh, Corpse Location 009"
982	530	1348.12	8677.566	6.86939	"Zangarmarsh, Corpse Location 011"
983	530	1838.928	8496.514	-19.02506	"Zangarmarsh, Corpse Location 010"
984	530	1347.021	8679.227	6.671585	"Zangarmarsh, Corpse Location 012"
985	530	1104.395	8781.982	-10.88894	"Zangarmarsh, Corpse Location 013"
986	530	747.4471	8702.898	6.109443	"Zangarmarsh, Corpse Location 014"
987	530	381.3096	9113.738	-4.272064	"Zangarmarsh, Corpse Location 016"
988	530	702.7578	8927.527	-2.820609	"Zangarmarsh, Corpse Location 015"
989	530	223.5499	9132.744	-11.74605	"Zangarmarsh, Corpse Location 017"
990	530	32.15701	9120.396	-17.25525	"Zangarmarsh, Corpse Location 018"
991	530	-160.4252	9053.544	5.142027	"Zangarmarsh, Corpse Location 019"
992	530	-1066.973	8066.544	-39.25933	"Nagrand, Northwind Cleft"
993	530	-1654.373	7938.994	-46.23501	"Nagrand, Halaa GY"
994	530	-1793.416	4931.607	-22.20948	"Terokkar Forest, Shattrath GY"
995	530	-2540.152	3866.648	10.07687	"Terokkar Forest, Wilderness GY"
996	451	1463.219	16470.08	66.48581	"Test - Programmer"
997	451	66.29688	60.125	6.443916	"Test - Programmer 001"
998	559	4055.504	2919.661	13.61124	"Nagrand - PvP - Arena Graveyard"
999	530	-697.5726	8881.731	185.4503	"Nagrand, Corpse Location 001"
1000	530	-999.5063	9045.616	91.59063	"Nagrand, Corpse Location 002"
1001	530	-1933.72	9343.669	74.73061	"Nagrand, Corpse Location 003"
1002	530	-2153.297	9323.707	52.43459	"Nagrand, Corpse Location 004"
1003	530	-2619.463	8953.7	-11.54552	"Nagrand, Corpse Location 005"
1004	530	-2799.854	8785.746	-42.49432	"Nagrand, Corpse Location 006"
1005	530	-2984.119	8700.107	-53.15777	"Nagrand, Corpse Location 007"
1006	530	-2989.351	8445.129	-36.24343	"Nagrand, Corpse Location 008"
1007	530	-3122.556	8079.49	-49.13069	"Nagrand, Corpse Location 009"
1008	530	-3155.75	7316.315	-25.86043	"Nagrand, Corpse Location 010"
1009	530	-3244.696	7079.022	-49.57203	"Nagrand, Corpse Location 011"
1010	530	-2987.351	7045.469	-54.38367	"Nagrand, Corpse Location 012"
1011	530	-2962.328	6796.882	-51.26239	"Nagrand, Corpse Location 013"
1012	530	-3045.37	6508.568	99.65492	"Nagrand, Corpse Location 014"
1013	530	-3379.584	6206.483	-3.663728	"Terokkar Forest, Corpse Location 001"
1014	530	-3621.983	6225.183	-18.82109	"Terokkar Forest, Corpse Location 002"
1015	530	-3898.566	6147.648	-37.07994	"Terokkar Forest, Corpse Location 003"
1016	530	-3844.336	5931.411	-25.05046	"Terokkar Forest, Corpse Location 004"
1017	530	-3801.34	5618.751	-26.91661	"Terokkar Forest, Corpse Location 005"
1018	530	-3910.985	5404.071	-35.66995	"Terokkar Forest, Corpse Location 006"
1019	530	-3886.286	5149.574	-59.68908	"Terokkar Forest, Corpse Location 007"
1020	530	-3990.144	4869.476	-107.6338	"Terokkar Forest, Corpse Location 008"
1021	530	-3904.296	4591.396	-45.98207	"Terokkar Forest, Corpse Location 009"
1022	530	-4024.305	4421.721	-50.00179	"Terokkar Forest, Corpse Location 010"
1023	530	-3965.061	4128.619	0.276609	"Terokkar Forest, Corpse Location 011"
1024	530	-2415.764	1811.624	-1.16446	"Shadowmoon, Corpse Location 001"
1025	530	-2319.128	1749.945	-13.34456	"Shadowmoon, Corpse Location 002"
1026	530	-2447.421	1612.805	-27.2319	"Shadowmoon, Corpse Location 003"
1027	530	-2650.239	1666.659	10.09411	"Shadowmoon, Corpse Location 004"
1028	530	-4151.091	3425.816	293.0496	"Terokkar Forest, Corpse Location 016"
1029	530	-2648.267	3020.655	-13.21281	"Terokkar Forest, Corpse Location 017"
1030	530	-2375.42	2848.075	-69.87861	"Terokkar Forest, Corpse Location 018"
1031	530	-2205.609	2968.304	-69.0715	"Terokkar Forest, Corpse Location 019"
1032	530	-2098.932	3116.509	-51.31049	"Terokkar Forest, Corpse Location 020"
1033	530	-2047.739	3278.562	-61.8309	"Terokkar Forest, Corpse Location 021"
1034	530	-2058.995	3560.385	-74.50244	"Terokkar Forest, Corpse Location 022"
1035	530	-1876.504	3700.502	-19.74179	"Terokkar Forest, Corpse Location 023"
1036	530	0	0	0	"Reuse"
1037	530	-1289.794	9166.722	218.0805	"Nagrand, Portal Plateau"
1038	530	-856.2137	6600.061	173.7531	"Nagrand, Elemental Plateau"
1039	530	-2033.528	8479.527	-0.312287	"Nagrand, SW Graveyard"
1040	530	700.0906	2207.991	288.5178	"Hellfire Peninsula, Throne of Kil\'Jaedan"
1041	530	-249.7649	1023.319	54.32544	"Hellfire Peninsula, Dark Portal"
1042	530	-3562.406	4666.442	-21.98638	"Terokkar Forest, Bone Wastes GY"
1043	530	874.9109	7284.72	23.0167	"Zangarmarsh, Harborage GY"
1044	530	337.1249	8616.865	24.15626	"Zangarmarsh, Sporeggar GY"
1045	530	4363.881	3093.743	132.97	"Netherstorm, Stormspire GY"
1046	530	3032.437	3594.28	145.8183	"Netherstorm, Area 52 GY"
1047	530	-2999.227	2439.06	62.31255	"Shadowmoon Valley, Shadowmoon Village GY"
1048	530	-4022.988	2048.58	96.89442	"Shadowmoon Valley, Wildhammer GY"
1049	530	1955.904	6768.811	164.0611	"Blade\'s Edge, Sylvanaar GY"
1050	530	2218.901	6017.354	135.9206	"Blade\'s Edge, Thunderlord GY"
1051	530	-3942.589	3686.287	286.7603	"Terokkar Forest, Skettis GY"
1052	530	-2652.662	1484.209	23.24333	"Shadowmoon, Corpse Location 005"
1053	530	-2477.686	1386.238	47.26426	"Shadowmoon, Corpse Location 006"
1054	530	-2459.082	1277.568	33.36959	"Shadowmoon, Corpse Location 007"
1055	530	-2464.278	1074.655	33.70033	"Shadowmoon, Corpse Location 008"
1056	530	-2597.449	1040.724	40.00664	"Shadowmoon, Corpse Location 009"
1057	530	-2753.667	966.1463	-3.373643	"Shadowmoon, Corpse Location 010"
1058	530	-2721.158	711.0336	-21.30142	"Shadowmoon, Corpse Location 011"
1059	530	-2752.543	509.309	-25.6439	"Shadowmoon, Corpse Location 012"
1060	530	-3004.488	482.0506	-15.39617	"Shadowmoon, Corpse Location 013"
1061	530	-2997.384	207.5794	3.166604	"Shadowmoon, Corpse Location 014"
1062	530	-4084.617	120.5132	63.0947	"Shadowmoon, Corpse Location 015"
1063	530	-4231.622	58.62674	7.603757	"Shadowmoon, Corpse Location 016"
1064	530	-4445.808	224.8442	93.54214	"Shadowmoon, Corpse Location 017"
1065	530	-4507.595	553.553	124.2585	"Shadowmoon, Corpse Location 018"
1066	530	-4445.426	863.5579	6.451982	"Shadowmoon, Corpse Location 019"
1067	530	-4791.516	1082.184	-8.866979	"Shadowmoon, Corpse Location 020"
1068	530	-4618.168	1850.606	153.4386	"Shadowmoon, Corpse Location 021"
1069	530	-4568.143	2023.798	90.06275	"Shadowmoon, Corpse Location 022"
1070	530	-4541.319	2281.759	17.79532	"Shadowmoon, Corpse Location 023"
1071	530	-4408.892	2328.78	31.21297	"Shadowmoon, Corpse Location 024"
1072	530	1932.998	7389.176	364.8876	"Blade\'s Edge, Corpse Location 000"
1073	530	2356.31	7345.093	363.3094	"Blade\'s Edge, Corpse Location 001"
1074	530	2818.311	7269.72	364.234	"Blade\'s Edge, Corpse Location 002"
1075	530	3199.991	7264.964	146.6597	"Blade\'s Edge, Corpse Location 003"
1076	530	3432.887	7312.378	138.6475	"Blade\'s Edge, Corpse Location 004"
1077	530	3753.245	7118.026	141.1424	"Blade\'s Edge, Corpse Location 005"
1078	530	3797.193	6900.236	142.4289	"Blade\'s Edge, Corpse Location 006"
1079	530	3839.148	6586.807	135.0938	"Blade\'s Edge, Corpse Location 007"
1080	530	3482.779	6487.127	134.426	"Blade\'s Edge, Corpse Location 008"
1081	530	3656.614	6208.107	272.7013	"Blade\'s Edge, Corpse Location 009"
1082	530	3995.325	6092.064	262.3427	"Blade\'s Edge, Corpse Location 010"
1083	530	4095.108	5811.886	259.7625	"Blade\'s Edge, Corpse Location 011"
1084	530	4153.549	5508.917	272.1116	"Blade\'s Edge, Corpse Location 012"
1085	530	4120.706	5214.146	264.9877	"Blade\'s Edge, Corpse Location 013"
1086	530	4086.354	4849.898	267.429	"Blade\'s Edge, Corpse Location 014"
1087	530	3926.204	4825.278	264.9824	"Blade\'s Edge, Corpse Location 015"
1088	530	3731.115	4738.445	240.9427	"Blade\'s Edge, Corpse Location 016"
1089	530	3455.314	4468.35	154.243	"Blade\'s Edge, Corpse Location 017"
1090	530	3323.599	4503.877	152.4047	"Blade\'s Edge, Corpse Location 018"
1091	530	2877.525	4738.905	278.7247	"Blade\'s Edge, Corpse Location 019"
1092	530	2653.003	5100.261	275.4593	"Blade\'s Edge, Corpse Location 020"
1093	530	2344.619	5072.5	268.1646	"Blade\'s Edge, Corpse Location 021"
1094	530	2251.085	4907.941	140.9575	"Blade\'s Edge, Corpse Location 022"
1095	530	2274.353	4725.426	159.4515	"Blade\'s Edge, Corpse Location 023"
1096	530	2102.656	4685.081	139.9528	"Blade\'s Edge, Corpse Location 024"
1097	530	1914.582	4677.853	133.2797	"Blade\'s Edge, Corpse Location 025"
1098	530	1771.943	4585.165	144.923	"Blade\'s Edge, Corpse Location 026"
1099	530	1621.036	4563.139	137.2652	"Blade\'s Edge, Corpse Location 027"
1100	530	1606.357	4792.579	138.085	"Blade\'s Edge, Corpse Location 028"
1101	530	1596.314	4948.648	169.6685	"Blade\'s Edge, Corpse Location 029"
1102	530	1616.903	5077.052	174.7611	"Blade\'s Edge, Corpse Location 030"
1103	566	2523.686	1596.597	1269.348	"Netherstorm BG - Graveyard (Alliance Start)"
1104	566	1807.736	1539.416	1267.627	"Netherstorm BG - Graveyard (Horde Start)"
1105	566	2013.062	1677.238	1182.126	"Netherstorm BG - Graveyard (Felreaver)"
1106	566	2012.403	1455.412	1172.202	"Netherstorm BG - Graveyard (BE Tower)"
1107	566	2351.22	1455.63	1185.33	"Netherstorm BG - Graveyard (Draenei Tower)"
1108	566	2355.298	1683.714	1173.154	"Netherstorm BG - Graveyard (Human Tower)"
1109	566	2626.898	1457.847	1225.536	"Netherstorm BG - Corpse Catcher 000"
1110	566	2603.99	1695.964	1229.464	"Netherstorm BG - Corpse Catcher 001"
1111	566	2495.96	1402.39	1204.588	"Netherstorm BG - Corpse Catcher 002"
1112	566	2541.247	1787.237	1187.976	"Netherstorm BG - Corpse Catcher 003"
1113	566	2353.734	1336.662	1192.144	"Netherstorm BG - Corpse Catcher 004"
1114	566	2368.347	1800.785	1166.335	"Netherstorm BG - Corpse Catcher 005"
1115	566	2253.473	1298.661	1188.844	"Netherstorm BG - Corpse Catcher 006"
1116	566	2227.599	1819.579	1151.61	"Netherstorm BG - Corpse Catcher 007"
1117	566	2047.889	1324.838	1170.765	"Netherstorm BG - Corpse Catcher 008"
1118	566	2057.311	1848.257	1192.269	"Netherstorm BG - Corpse Catcher 009"
1119	566	1914.77	1381.502	1175.387	"Netherstorm BG - Corpse Catcher 010"
1120	566	1918.943	1766.295	1194.124	"Netherstorm BG - Corpse Catcher 011"
1121	566	1796.215	1341.522	1188.567	"Netherstorm BG - Corpse Catcher 012"
1122	566	1808.187	1726.816	1206.021	"Netherstorm BG - Corpse Catcher 013"
1123	566	1724.505	1405.741	1208.55	"Netherstorm BG - Corpse Catcher 014"
1124	566	1692.782	1672.565	1225.528	"Netherstorm BG - Corpse Catcher 015"
1125	566	2121.787	1670.498	1169.267	"Netherstorm BG - Corpse Catcher 016"
1126	566	2111.424	1441.817	1163.869	"Netherstorm BG - Corpse Catcher 017"
1127	566	2213.185	1469.543	1175.014	"Netherstorm BG - Corpse Catcher 018"
1128	566	2226.599	1692.81	1161.845	"Netherstorm BG - Corpse Catcher 019"
1129	566	2174.898	1594.506	1126.51	"Netherstorm BG - Corpse Catcher 020"
1130	566	2173.64	1534.452	1129.239	"Netherstorm BG - Corpse Catcher 021"
1131	566	2213.83	1328.191	1178.458	"Netherstorm BG - Corpse Catcher 022"
1132	566	2113.42	1326.882	1153.995	"Netherstorm BG - Corpse Catcher 023"
1133	566	2117.21	1807.682	1171.555	"Netherstorm BG - Corpse Catcher 024"
1134	530	3491.415	4127.388	119.8369	"Netherstorm - Corpse Catcher 000"
1135	530	3578.555	3957.098	117.9995	"Netherstorm - Corpse Catcher 001"
1136	530	3586.964	3717.307	115.5932	"Netherstorm - Corpse Catcher 002"
1137	530	3640.771	3522.842	104.1219	"Netherstorm - Corpse Catcher 003"
1138	530	3520.196	3511.703	125.4367	"Netherstorm - Corpse Catcher 004"
1139	530	3399.305	3400.409	101.8257	"Netherstorm - Corpse Catcher 005"
1140	530	3271.49	3366.921	105.2141	"Netherstorm - Corpse Catcher 006"
1141	530	3188.366	3257.081	88.97301	"Netherstorm - Corpse Catcher 007"
1142	530	3022.791	3163.705	118.3358	"Netherstorm - Corpse Catcher 008"
