field0	field1	field2	field3	field4				
40	Kun Lai Summit - Hub Swap Scene - Util - JSB	"
fireBunnyCreatureID = 60291
fireCreatureID = 60157
smokeCreatureID = 60406


-- custom stuff for this scene
function SpawnFire( x, y, z, scale )

	local fireSet = { }
	fireSet.bunny = SpawnActor( fireBunnyCreatureID, x, y, z, 0, scale )
	fireSet.fire = SpawnActor( fireCreatureID, x, y, z, 0, scale )
	fireSet.smoke = SpawnActor( smokeCreatureID, x, y, z, 0, scale )
	
	-- start with smokes invisible
	fireSet.smoke:Fade(0, 0)

	return fireSet

end

function SpawnSmoke( x, y, z, scale )

	-- visible smoke
	local smoke = SpawnActor( smokeCreatureID, x, y, z, 0, scale )
	return smoke

end

function PutOutFire( fire )

	fire.fire:Fade( 0, 1 ) -- fire fade out
	fire.smoke:Fade( 1, 3 ) -- smoke  fade in

end
"	0	0				
41	Cinematic Framework	"
-- default all cinematics to non relative
scene:SetRelativeCoords(false) -- set to absolute worlld coords

function Wait( time )
	scene:WaitTimer( time )
end

--
-- SpawnActor( creatureID, x, y, z, facing [default 0], scale [default 1] )
--   Spawn an uninteractible actor
--
function SpawnActor( creatureID, x, y, z, facing, scale, snapToGround )
	if not facing then
		facing = 0
	end

	if not scale then
		scale = 1
	end

	local spawnPos = Vector:New( x, y, z )
	local spawnTransform = Transform:New( spawnPos, facing )
	createData = ActorCreateData:New( creatureID, spawnTransform, scale )
	createData.groundSnap = (snapToGround ~= false)
	createData.interactible = false

	local actor = scene:SpawnActor( createData )
	actor:SetInteractible( false )
	return actor

end

--
-- SpawnModelActor( modelFileName, x, y, z, facing [default 0], scale [default 1] )
--   Spawn an uninteractible actor
--
function SpawnModelActor( modelFileName, x, y, z, facing, scale, snapToGround )
	if not facing then
		facing = 0
	end

	if not scale then
		scale = 1
	end

	local pos = Vector:New( x, y, z )
	local transform = Transform:New( pos, facing )
	createData = ActorCreateData:NewModel( \dummy\"", modelFileName, transform, scale )"						
48	Test - Alex\'s Battle Pet - CoreMove	"
function PerformMove(pet, opponent, effect)

		local opponentLocation = opponent.actor:GetPosition();
		local frontVector = UnitVectorFromAtoB(opponentLocation, pet.actor:GetPosition()  );
		local upVector = UnitVectorFromAtoB(opponentLocation, (opponentLocation + Vector:New(0,0,1) ) );
		local leftVector = UnitVectorCrossProduct(frontVector, upVector);

		local meleePoint = frontVector * 1*battleScale;
		local rangedPoint = frontVector * 3*battleScale;

		local meleeAttackPoint = opponentLocation + meleePoint;
		local rangedAttackPoint = opponentLocation + rangedPoint;

		pet.actor:ClearFacing(); 

		local move = 1--math.random(1,6);

		local melee = true; 
		local ranged = false;

		if ( move == 4 or move == 5 ) then
			melee = false;
		elseif ( move == 6 ) then 
			melee = false;
			ranged = true;
		end

		if ( melee ) then 
			local distance = meleeAttackPoint:Dist( pet.actor:GetPosition() );
			moveTime = distance/battleScale/(pet.moveSpeed);
			pet.actor:WaitMoveToAbs(meleeAttackPoint, moveTime)
		elseif ( ranged ) then 
			local distance = rangedAttackPoint:Dist( pet.actor:GetPosition() );
			moveTime = distance/battleScale/(pet.moveSpeed);
			pet.actor:WaitMoveToAbs(rangedAttackPoint, moveTime)
		else
			pet.actor:SetFacingToAbs(opponent.actor:GetPosition())
		end

	local damage = opponent.health - effect.targets[1].newHealth;
	opponent.health = opponent.health - damage;
		
		if ( move == 6 ) then
			PerformRuptureLine(pet, opponent, damage)
		elseif ( move == 5 ) then 
			PerformArcaneBarrage(pet, opponent, damage);
		elseif ( move == 4 ) then 
			PerformWaveAttack( pet,opponent, damage );
		elseif ( move == 1 ) then
			PerformTripleAttack( pet, opponent, damage );
		elseif ( move == 2 ) then 
			PerformDodge(opponent, pet);
			pet.actor:CastSpell( 122, opponent.actor );
		else
			pet.actor:CastSpell( 122, opponent.actor );

			PerformKnockback(opponent, pet, damage);
		end
		
		pet.actor:WaitCastingComplete(true, 122)
		scene:WaitTimer(0.25)

		ReturnOrResetCheck( pet, opponent );

		--pet.actor:SetFacingToAbs(pet.currentLocation)
end

function ReturnOrResetCheck (pet, opponent)
	local newFrontVector = UnitVectorFromAtoB(opponent.actor:GetPosition(), pet.actor:GetPosition()  );
	local returnPoint = newFrontVector * 1.5*battleScale;

	local petLoc = returnPoint;
	local petHome = HOME_LIST[pet.team].position;
	local newDist = petLoc:Dist ( petHome );

	local returnDistance = pet.actor:GetPosition():Dist(petLoc)

	if ( newDist > 3 * battleScale ) then 
		petLoc = HOME_LIST[pet.team].position;
		returnDistance = petHome:Dist(pet.actor:GetPosition());
		print ( \reset\"" );"						
49	Kun Lai Summit - Horde Hub Swap Scene - Worker 03 - JSB	"
-- tower fire panda
-- wait a little before running in
Wait(3)
FadeIn( panda03, 1 )

-- run to the tents
RunToLocation( panda03, 5.5, 2294.56, 906.778, 480.939, 346.291 )


Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda03, fire10.bunny, throwBucketSpellID )

-- wait for missile to hit
-- Wait(2)
PutOutFire( fire10, smokeFadeOutTime )
PutOutFire( fire05, smokeFadeOutTime )
PutOutFire( fire06, smokeFadeOutTime )
PutOutFire( fire09, smokeFadeOutTime )
PutOutFire( fire17, smokeFadeOutTime )

Wait(1)

RunToLocation( panda03, 3, 2286.12, 903.9, 481.107, 204.091 )

PlayLoopingSplitBodyAnim( panda03, Animations.EmoteWork )

-- Wait(2)

FadeOut( fire10.smoke )
FadeOut( fire05.smoke )
FadeOut( fire06.smoke )
FadeOut( fire09.smoke )
FadeOut( fire17.smoke )

FadeIn( workDust04, 5 )
FadeIn( workDust06, 5 )

-- nazgrim trigger
WaitForTrigger( \flagPlant\"" )"						
50	Kun Lai Summit - Horde Hub Swap Scene - Worker 04 - JSB	"
-- northern banner panda
-- wait a little before running in
Wait(10)
FadeIn( panda04, 1 )

-- run to north post
RunToLocation( panda04, 5.5, 2294.89, 972.168, 484.038, 262.369 )


Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda04, fire01.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(2)
PutOutFire( fire01, smokeFadeOutTime )
PutOutFire( fire15, smokeFadeOutTime )

Wait(1)

RunToLocation( panda04, 5, 2295.67, 968.115, 484.196, 257.869 )

PlayLoopingSplitBodyAnim( panda04, Animations.EmoteWork )

Wait(2)

FadeOut( fire01.smoke )
FadeOut( fire15.smoke )"	0	0				
51	Kun Lai Summit - Horde Hub Swap Scene - Worker 05 - JSB	"
-- large tent panda
-- wait a little before running in
Wait(2)
FadeIn( panda05, 1 )

-- run to the tents
RunToLocation( panda05, 5.5, 2279.65, 959.75, 481.641, 287.309 )
RunToLocation( panda05, 5.5, 2269.5, 922.868, 481.587, 273.584 )

Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda05, fire11.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(3.5)
PutOutFire( fire11, smokeFadeOutTime )
PutOutFire( fire07, smokeFadeOutTime )
PutOutFire( fire12, smokeFadeOutTime )
PutOutFire( fire13, smokeFadeOutTime )

Wait(1)

RunToLocation( panda05, 3, 2268.36, 914.467, 481.184, 210.584 )

PlayLoopingSplitBodyAnim( panda05, Animations.EmoteWork )

Wait(2)

FadeOut( fire11.smoke )
FadeOut( fire07.smoke )
FadeOut( fire12.smoke )
FadeOut( fire13.smoke )

-- Wait(1)

FadeIn( workDust03, 5 )

WaitForTrigger( \flagPlant\"" )"						
52	Test - Alex\'s Battle Pet - CoreSwap	"
function PerformSwap ( pet, newPet, opponent )
	local currentPetLoc = pet.actor:GetPosition();
	local currentBacklineLoc = newPet.actor:GetPosition();

	local distance = currentPetLoc:Dist(currentBacklineLoc);

	-- New guy faces the enemy
	newPet.actor:SetFacingToAbs(opponent.actor:GetPosition())

	-- Swap locations
	pet.actor:ClearFacing();
	pet.actor:MoveToAbs(currentBacklineLoc, distance/pet.moveSpeed)
	newPet.actor:WaitMoveToAbs(currentPetLoc, distance/newPet.moveSpeed)

	ReturnOrResetCheck( newPet, opponent );

	-- Make all of your pets look at their teammate

	for k,v in pairs( allPlayers[pet.team].pets ) do 
		if ( k ~= allPlayers[pet.team].activePet ) then 
			v.actor:SetFacingToTarget(newPet.actor, Vector:New());
		end
	end
end "	0	0				
53	Test - Alex\'s Battle Pet - Init	"print(\|cFFCCFFccAlex\'s Battle Pet Stage|r\"")"						
56	Test - Alex\'s Battle Pet - Move Library 3	"
-- Barrage of Moonfires
function PerformArcaneBarrage (pet, opponent, damage)

	local opponentLocation = opponent.actor:GetPosition();
	local frontVector = UnitVectorFromAtoB(pet.actor:GetPosition(), opponentLocation   );
	local upVector = UnitVectorFromAtoB(opponentLocation, (opponentLocation + Vector:New(0,0,1) ) );
	local leftVector = UnitVectorCrossProduct(frontVector, upVector);


print(\barrage\"");"						
58	Kun Lai Summit - Horde Hub Swap Scene - Nazgrim 01 - JSB	"

-- wait before running in
Wait(20)

FadeIn( nazgrim01, 5 )

-- run to tent
RunToLocation( nazgrim01, 5, 2284.52, 921.019, 481.976, 272 )

Wait(1)

-- plant banner - NEED EMOTE HERE
-- CastSpellAtActor( panda01, fire03.bunny, throwBucketSpellID )


-- tent swap
PlayOneShotSplitBodyAnim( nazgrim01, Animations.Attack1H )
Wait(0.5)
FadeIn( banner01, 0 )

FadeIn( tent04, 1 )
FadeIn( tent05, 1 )
FadeIn( tent06, 1 )
FadeOut( tent01, 0 )
FadeOut( tent02, 0 )
FadeOut( tent03, 0 )

Wait(1)

FadeOut( workDust01, 2 )
FadeOut( workDust02, 2 )
FadeOut( workDust03, 2 )
FadeOut( workDust04, 2 )
FadeOut( workDust05, 2 )
FadeOut( workDust06, 2 )

SendTrigger( \flagPlant\"" )"						
60	Kun Lai Summit - Horde Hub Swap Scene - Kiryn 01 - JSB	"
-- wait before running in
Wait(22)

FadeIn( kiryn01, 0 )

-- run into scene
RunToLocation( kiryn01, 5, 2284.09, 957.011, 481.36, 248.193 )
RunToLocation( kiryn01, 5, 2271.45, 940.75, 481.629, 300 )

-- nazgrim trigger
WaitForTrigger( \flagPlant\"" )"						
61	Global Functions - Actor Movement	"
function Actor:WaitMovementComplete()
	local waitCondition = function()
		return not self:IsMoving()
	end
	self:WaitCondition(waitCondition)
end

function Actor:WaitMoveToRel(...)
	self:MoveToRel(...)
	self:WaitMovementComplete()
end

function Actor:WaitMoveSplineRel(...)
	self:MoveSplineRel(...)
	self:WaitMovementComplete()
end

function Actor:WaitMoveToAbs(...)
	self:MoveToAbs(...)
	self:WaitMovementComplete()
end

function Actor:WaitMoveSplineAbs(...)
	self:MoveSplineAbs(...)
	self:WaitMovementComplete()
end
"	0	0				
62	Global Functions - Actor Animation	"--
-- Animation Helper Functions
--
function Actor:PlayLoopingAnimKit(animKitID)	return self:PlayAnimKit(animKitID, true, Animations.None)			end
function Actor:PlayLoopingSplitBodyAnim(anim)	return self:PlayAnimKit(AnimKits.LoopingSplitBody, false, an"	0	0				
63	PetBattle - Test Events	"
--------------------------------------------------------------------------------
-- A Random Battle To The Death
local testBattleCurrentPlayer = 1
function GenerateTestBattleEvent()

	local event = nil

	local attacker = GetActivePetByIndex(testBattleCurrentPlayer)
	local victim = GetActivePetByIndex(3-testBattleCurrentPlayer)
	local turnType
	if (victim.currentHealth <= 0) then
		-- force swap victim
		turnType = 1
		testBattleCurrentPlayer = 3 - testBattleCurrentPlayer
	elseif (attacker.currentHealth <= 0) then
		-- force swap my pet (killed self somehow)
		turnType = 1
	else
		testBattleCurrentPlayer = 3 - testBattleCurrentPlayer
		turnType = math.random(2)
	end

	local playerID = testBattleCurrentPlayer
	attacker = GetActivePetByIndex(playerID)
	victim = GetActivePetByIndex(3-playerID)

	if (turnType == 1) then
		local team = GetTeamByIndex(playerID)
		-- find a living pet to swap to
		local aliveBacklinePets = { }
		local numAlive = 0
		for petIndex, pet in pairs(team.pets) do
			if (petIndex ~= team.activePet) and (pet.currentHealth > 0) then
				numAlive = numAlive + 1
				aliveBacklinePets[numAlive] = petIndex
			end
		end

		if (numAlive > 0) then
			local petIndex = aliveBacklinePets[math.random(#aliveBacklinePets)]

			event =
			{
				type = PetBattleEffect.PetSwap;
				casterPlayerID = playerID;
				newFrontPet = petIndex;
			}
		end
	elseif (turnType == 2) then
		local abilityIndex = math.random(#attacker.desc.abilityIDs)
		local abilityID = attacker.desc.abilityIDs[abilityIndex]
		local usedAbilityTurnID = petAbilities[abilityID].turns[1].ID
		local abilityDamage = math.random(40,60)
		local targetHealth = victim.currentHealth - abilityDamage
		local attackerPlayerID = playerID

		event =
		{
			type = PetBattleEffect.Ability;
			casterPlayerID = attackerPlayerID;
			casterPetSlot = attacker.slot;
			abilityTurnID = usedAbilityTurnID;
			targets =
			{
				{
					playerID = 3 - attackerPlayerID;
					petSlot = victim.slot;
					newHealth = targetHealth;
				}
			};
		}
	end

	if (event) then
		scene:WaitTimer(0.25)
	end

	return event

end
"	0	0				
64	PetBattle - Effect Ability	"
--------------------------------------------------------------------------------
-- ABILITY

function EffectAbility(effect)
	local casterCastingPet
	local spellVisualID
	casterCastingPet, spellVisualID = EffectCastShared(effect, effect.abilityTurnID)
	if (not spellVisualID) then
		print(\ERROR: no spellVisual found for abilityTurn \"" .. effect.abilityTurnID)"						
66	PetBattle - Init Player	"
allPlayers = { }

function InitTeam(team)

	-- save the team
	allPlayers[#allPlayers + 1] = team

	-- spawn a pad for this team
	local padPos = BuildVector(team.teamFacing, -idleRadius, 0)
	local padTransform = Transform:New(padPos, team.teamFacing)
	local padCreateData = ActorCreateData:NewModel(\pad\"", padModel, padTransform, padScale*battleScale)"						
68	Townlong Steppes - Ring worm Intro - Camera	"
scene:WaitTimer(1)

scene:SetCamera(400,10,nil,nil) -- (camera, transition time, primary target, secondary target)
scene:WaitTimer(14)
scene:SetCamera(0,4,nil,nil) -- sets camera back to game-cam
scene:WaitTimer(4)"	0	0				
69	Townlong Steppes - Ring worm Intro - Bunny 01	"
-- small tent panda 01
-- wait a little before running in
Wait(1)
FadeIn( RingWormBoss, 1 )"	0	0				
70	Kun Lai Summit - Alliance Hub Swap Scene - Init - Generic Actors 01 - JSB	"
smokeFadeOutTime = 10
throwBucketSpellID = 115882

-- Spawn all tents
smallPandaTentCreatureID = 60522
largePandaTentCreatureID = 60525
smallAllianceTentCreatureID = 60820
largeAllianceTentCreatureID = 60821
tent01 = SpawnActor( smallPandaTentCreatureID, 2152.409, 1501.663, 487.742, 268.5 ) -- PANDA small tent 01
tent02 = SpawnActor( smallPandaTentCreatureID, 2138.757, 1500.734, 487.761, 284.5 ) -- PANDA small tent 02
tent03 = SpawnActor( smallPandaTentCreatureID, 2148.100, 1435.750, 487.660, 108.5 ) -- PANDA small tent 03
tent04 = SpawnActor( largePandaTentCreatureID, 2168.000, 1472.986, 480, 211.5 ) -- PANDA Large tent
tent05 = SpawnActor( smallAllianceTentCreatureID, 2152.409, 1501.663, 487.742, 268.5 ) -- ALLIANCE small tent 01
tent06 = SpawnActor( smallAllianceTentCreatureID, 2138.757, 1500.734, 487.761, 284.5 ) -- ALLIANCE small tent 02
tent07 = SpawnActor( smallAllianceTentCreatureID, 2148.100, 1435.750, 487.660, 108.5 ) -- ALLIANCE small tent 03
tent08 = SpawnActor( largeAllianceTentCreatureID, 2168.000, 1472.986, 480, 211.5 ) -- ALLIANCE Large tent
FadeOut( tent05, 0 )
FadeOut( tent06, 0 )
FadeOut( tent07, 0 )
FadeOut( tent08, 0 )

-- Spawn all worker pandas
pandaCreatureID = 60152
panda01 = SpawnActor( pandaCreatureID, 2103.91, 1417.33, 484.7, 74.5427 )
panda02 = SpawnActor( pandaCreatureID, 2096.83, 1418.82, 483.977, 68.0177 )
panda03 = SpawnActor( pandaCreatureID, 2098.09, 1414.32, 484.135, 51.8177 )
panda04 = SpawnActor( pandaCreatureID, 2103.89, 1412.06, 484.121, 65.5426 )
panda05 = SpawnActor( pandaCreatureID, 2087.87, 1438.84, 484.083, 119.093 )
panda06 = SpawnActor( pandaCreatureID, 2099.66, 1417.14, 484.388, 53.8431 )
FadeOut( panda01, 0 )
FadeOut( panda02, 0 )
FadeOut( panda03, 0 )
FadeOut( panda04, 0 )
FadeOut( panda05, 0 )
FadeOut( panda06, 0 )

-- Spawn all the fires to be put out
-- SpawnFire( x, y, z, scale )
fire01 = SpawnFire( 2159.96, 1476.05, 487.886, 3 ) -- Large panda tent, 3x fire
fire02 = SpawnFire( 2168.71, 1476.88, 487.886, 3 ) -- Large panda tent, 3x fire
fire03 = SpawnFire( 2110.28, 1485.25, 487.913, 3 ) -- Near Tower, 3x fire
fire04 = SpawnFire( 2122.64, 1493.68, 515.617, 3 ) -- Tower, 3x fire
fire05 = SpawnFire( 2125.73, 1490.26, 509.835, 1 ) -- Tower, 1x fire
fire06 = SpawnFire( 2122.71, 1496.35, 501.108, 1 ) -- Tower, 1x fire
fire07 = SpawnFire( 2124.03, 1491.26, 488.064, 1 ) -- Tower, 1x fire
fire08 = SpawnFire( 2143.5, 1508.59, 487.921, 1 ) -- Small Tents, 1x fire
fire09 = SpawnFire( 2138.67, 1499.58, 493.044, 1 ) -- Small Tents, 1x fire 
fire10 = SpawnFire( 2150.04, 1498.04, 490.246, 1 ) -- Small Tents, 1x fire 
fire11 = SpawnFire( 2120.79, 1483.48, 497.618, 1 ) -- Tower, 1x fire
fire12 = SpawnFire( 2176.27, 1470.22, 487.886, 1 ) -- Large panda tent, 1x fire
fire13 = SpawnFire( 2101.56, 1457.59, 487.886, 1 ) -- Banners, 1x fire
fire14 = SpawnFire( 2147.09, 1439, 487.886, 1 ) -- Small Tent, 1x fire
fire15 = SpawnFire( 2124.7, 1434.41, 490.16, 0.5 ) -- Banner, 0.5x fire
fire16 = SpawnFire( 2143.98, 1427.61, 487.886, 0.5 ) -- Small Tent, 0.5x fire
fire17 = SpawnFire( 2140.25, 1436.31, 488.941, 0.5 ) -- Small Tent, 0.5x fire
fire18 = SpawnFire( 2136.92, 1450.06, 488.658, 0.5 ) -- Bonfire, 0.5x fire
fire19 = SpawnFire( 2136.95, 1425.65, 487.886, 0.5 ) -- Banner, 0.5x fire
fire20 = SpawnFire( 2158.72, 1435.44, 489.272, 0.5 ) -- Small Tent, 0.5x fire
fire21 = SpawnFire( 2163.96, 1437.02, 489.037, 0.5 ) -- Small Tent, 0.5x fire
fire22 = SpawnFire( 2177.94, 1444.31, 487.903, 0.5 ) -- Small Tent, 0.5x fire
fire23 = SpawnFire( 2154.34, 1464.3, 509.851, 0.5 ) -- Large panda tent, 0.5x fire

"	0	0				
71	Kun Lai Summit - Alliance Hub Swap Scene - Init - Generic Actors 02 - JSB	"
-- Spawn Dust Clouds
workDustModel = \spells\\xplosion_dust_impact_noflash.m2\"""						
72	Kun Lai Summit - Alliance Hub Swap Scene - Init - Named Actors - JSB	"
-- Spawn all actors
taylorCreatureID = 60828
mishkaCreatureID = 60829
sullyCreatureID = 60861
bannerCreatureID = 60830
taylor01 = SpawnActor( taylorCreatureID, 2096.16, 1417.78, 483.821, 58 ) -- Taylor
mishka01 = SpawnActor( mishkaCreatureID, 2106.12, 1417.89, 484.903, 58 ) -- Mishka
sully01 = SpawnActor( sullyCreatureID, 2108.15, 1429.34, 486.384, 58 ) -- Sully
banner01 = SpawnActor( bannerCreatureID, 2144.02, 1472.73, 487.886, 214 ) -- Banner

-- Initial fade
FadeOut( taylor01, 0 )
FadeOut( mishka01, 0 )
FadeOut( sully01, 0 )
FadeOut( banner01, 0 )"	0	0				
73	Kun Lai Summit - Alliance Hub Swap Scene - Master Script - JSB	"
scene:WaitTimer(2)

scene:SetCamera(314,0,nil,nil) -- (camera, transition time, primary target, secondary target)
scene:SetCamera(315,26,nil,nil)
-- left off here
scene:WaitTimer(18) --was 28
scene:SetCamera(326,25,nil,nil)

scene:WaitTimer(18) --was 28

scene:SetCamera(327,10,nil,nil)

scene:WaitTimer(10)

scene:SetCamera(0,2,nil,nil) -- sets camera back to game-cam
"	0	0				
