id	mapAreaId	area	unk	mapPointX	mapPointY	texture	width	height	offset_x	offset_y	hitRectTop	hitRectLeft	hitRectBottom	hitRectRight	
292	39	115	921	219	0	"WestfallLighthouse"	211	167	221	477	549	264	612	338
293	39	920	0	0	0	"TheDaggerHills"	292	273	303	395	519	378	580	521
294	39	922	0	0	0	"TheDustPlains"	317	261	480	378	450	560	520	710
304	21	226	0	0	0	"TheSkitteringDark"	227	172	236	0	48	296	119	401
306	21	172	232	0	0	"FenrisIsle"	352	302	581	15	101	621	258	764
308	21	228	0	0	0	"TheSepulcher"	218	200	341	157	232	398	304	503
309	21	213	0	0	0	"DeepElemMine"	217	198	483	212	278	552	330	636
310	21	229	0	0	0	"OlsensFarthing"	251	167	312	249	306	425	377	498
311	21	233	231	0	0	"Ambermill"	283	243	509	250	373	554	461	673
312	21	236	0	0	0	"ShadowfangKeep"	179	165	337	337	378	377	469	468
314	21	230	5456	0	0	"TheGreymaneWall"	409	162	318	506	558	377	630	583
315	21	231	233	0	0	"BerensPeril"	318	263	505	405	469	570	518	631
317	35	143	0	0	0	"MogroshStronghold"	294	249	549	52	117	658	203	765
318	35	556	0	0	0	"TheLoch"	330	474	340	81	0	0	0	0
319	35	149	0	0	0	"SilverStreamMine"	225	252	221	0	108	304	182	394
320	35	838	925	0	0	"NorthgatePass"	319	289	16	0	0	0	0	0
321	35	147	0	0	0	"TheFarstriderLodge"	349	292	570	209	405	788	466	863
322	35	142	0	0	0	"IronbandsExcavationSite"	397	291	481	296	380	625	495	765
323	35	936	0	0	0	"GrizzlepawRidge"	273	230	245	324	371	340	442	420
324	35	144	0	0	0	"Thelsamar"	455	295	0	146	277	307	361	398
325	35	923	0	0	0	"StonesplinterValley"	273	294	177	345	448	282	600	368
326	35	924	806	0	0	"ValleyofKings"	310	345	0	311	471	145	579	261
341	42	443	0	0	0	"RuinsofMathystra"	200	263	517	28	105	602	190	679
346	42	447	0	0	0	"AmethAran"	326	145	294	330	388	419	422	457
349	42	449	0	0	0	"TheMastersGlaive"	303	185	277	483	548	381	605	428
361	36	1002	0	0	0	"ThreeCorners"	323	406	0	256	357	144	435	251
362	36	1001	0	0	0	"LakeridgeHighway"	392	352	148	316	428	273	487	493
363	36	68	0	0	0	"LakeEverstill"	464	250	81	214	304	340	400	498
364	36	69	0	0	0	"Lakeshire"	410	256	0	110	250	165	330	345
365	36	95	98	0	0	"RedridgeCanyons"	413	292	37	0	131	231	219	373
366	36	996	998	0	0	"RendersCamp"	357	246	214	0	51	298	123	406
367	36	97	0	0	0	"AlthersMill"	228	247	350	139	230	444	295	502
369	36	997	0	0	0	"RendersValley"	427	291	451	377	433	580	520	715
370	36	71	0	0	0	"StonewatchFalls"	316	182	525	302	0	0	0	0
371	36	1000	96	0	0	"GalardellValley"	428	463	574	0	0	0	0	0
381	40	150	0	0	0	"MenethilHarbor"	325	363	0	297	339	44	442	161
382	40	1018	0	0	0	"BlackChannelMarsh"	301	232	37	240	0	0	0	0
383	40	1022	0	0	0	"BluegillMarsh"	321	248	31	102	0	0	0	0
384	40	118	0	0	0	"WhelgarsExcavationSite"	298	447	185	195	285	319	370	399
385	40	1024	0	0	0	"SundownMarsh"	276	243	121	63	0	0	0	0
387	40	309	0	0	0	"IronbeardsTomb"	185	224	372	76	152	406	195	467
388	40	205	0	0	0	"DunModr"	257	185	356	7	89	426	133	514
389	40	1036	0	0	0	"AngerfangEncampment"	236	256	359	201	282	440	361	533
390	40	1021	836	0	0	"ThelganRock"	258	207	371	335	386	492	436	554
392	40	1020	0	0	0	"MosshideFen"	369	235	506	232	329	574	428	666
394	40	1017	0	0	0	"RaptorRidge"	256	245	599	123	201	649	266	712
421	34	1097	0	0	0	"TheHushedBank"	189	307	0	152	191	56	403	145
422	34	536	0	0	0	"AddlesStead"	299	296	32	348	433	177	502	251
424	34	492	243	0	0	"RavenHillCemetary"	323	309	91	132	216	141	337	252
425	34	93	0	0	0	"VulGolOgreMound"	268	282	228	355	449	296	524	423
427	34	245	0	0	0	"TheYorgenFarmstead"	233	248	401	396	461	466	529	555
428	34	242	0	0	0	"BrightwoodGrove"	279	399	497	112	185	598	321	698
429	34	241	0	0	0	"TheRottingOrchard"	291	263	539	368	441	595	521	683
431	34	42	576	0	0	"Darkshire"	329	314	640	128	279	706	340	788
432	34	1098	42	0	0	"ManorMistmantle"	219	182	661	122	224	752	258	795
433	34	799	0	0	0	"TheDarkenedBank"	931	235	71	26	85	125	200	970
461	11	381	5117	0	0	"BoulderLodeMine"	278	209	511	7	57	653	104	696
462	11	382	0	0	0	"TheSludgeFen"	257	249	403	6	99	518	150	600
464	11	384	383	0	0	"DreadmistPeak"	241	195	290	104	212	388	262	475
465	11	383	0	0	0	"TheDryHills"	283	270	116	57	182	213	244	301
466	11	386	0	0	0	"TheForgottenPools"	446	256	100	208	276	334	338	405
468	11	1704	0	0	0	"GroldomFarm"	243	217	448	127	258	528	292	571
469	11	379	0	0	0	"FarWatchPost"	207	332	555	129	251	626	313	709
470	11	1699	0	0	0	"ThornHill"	239	231	481	254	312	544	357	632
471	11	380	0	0	0	"TheCrossroads"	233	193	362	275	357	467	409	540
472	11	388	0	0	0	"TheStagnantOasis"	336	289	344	379	495	519	554	597
473	11	392	0	0	0	"Ratchet"	219	175	547	379	450	626	509	704
474	11	391	0	0	0	"TheMerchantCoast"	315	212	556	456	516	678	608	730
513	37	127	0	0	0	"BaliaMahRuins"	239	205	397	243	343	555	396	627
514	37	129	0	0	0	"MizjahRuins"	157	173	387	246	334	435	375	489
515	37	117	0	0	0	"GromGolBaseCamp"	167	179	298	228	287	343	361	414
516	37	105	0	0	0	"MoshOggOgreMound"	234	206	543	253	313	628	368	714
518	37	37	1740	0	0	"LakeNazferiti"	240	228	413	95	0	0	0	0
519	37	125	0	0	0	"KalAiRuins"	139	150	354	184	226	392	288	455
520	37	123	0	0	0	"BalAlRuins"	159	137	267	168	218	309	268	377
521	37	104	0	0	0	"TheVileReef"	236	224	140	208	0	0	0	0
523	37	102	0	0	0	"RuinsOfZulKunda"	228	265	158	0	88	218	183	312
524	37	100	0	0	0	"NesingwarysExpedition"	227	190	306	63	98	392	168	493
525	37	99	0	0	0	"RebelCamp"	302	166	306	0	36	422	92	514
526	37	101	0	0	0	"KurzensCompound"	244	238	499	0	91	546	175	661
527	37	19	0	0	0	"ZulGurub"	376	560	626	0	72	728	364	952
561	16	334	0	0	0	"CircleofWestBinding"	220	287	85	24	182	166	226	211
562	16	313	0	0	0	"NorthfoldManor"	227	268	132	105	142	227	222	313
563	16	1858	0	0	0	"Bouldergor"	249	278	171	123	273	242	320	310
565	16	324	0	0	0	"StromgardeKeep"	284	306	21	269	374	81	483	249
566	16	327	0	0	0	"FaldirsCove"	273	268	77	400	509	160	586	317
567	16	335	0	0	0	"CircleofInnerBinding"	228	227	201	312	376	266	420	336
568	16	880	0	0	0	"ThandolSpan"	237	252	261	416	585	371	631	456
569	16	316	0	0	0	"BoulderfistHall"	252	258	327	367	498	449	558	534
570	16	320	0	0	0	"RefugePoint"	196	270	293	145	277	362	344	435
572	16	317	0	0	0	"WitherbarkVillage"	260	220	476	359	427	562	514	671
573	16	314	0	0	0	"GoShekFarm"	306	248	430	249	354	531	417	599
574	16	315	0	0	0	"DabyriesFarmstead"	210	227	404	144	240	455	312	545
575	16	333	0	0	0	"CircleofEastBinding"	183	238	506	126	196	563	244	626
576	16	321	318	0	0	"Hammerfall"	270	271	581	118	209	650	290	740
601	26	348	0	0	0	"AeriePeak"	238	267	0	236	278	97	327	182
602	26	1882	0	0	0	"PlaguemistRavine"	191	278	133	105	146	194	303	269
604	26	350	0	0	0	"QuelDanilLodge"	241	211	220	181	274	288	338	379
605	26	353	0	0	0	"ShadraAlor"	240	196	220	379	439	286	525	407
606	26	1883	0	0	0	"ValorwindLake"	199	212	286	269	377	382	417	430
607	26	1884	0	0	0	"Agolwatha"	208	204	367	159	241	441	283	503
608	26	1886	0	0	0	"TheCreepingRuin"	199	199	390	252	322	466	375	517
609	26	355	0	0	0	"TheAltarofZul"	225	196	357	343	418	440	478	530
610	26	356	0	0	0	"Seradane"	303	311	475	5	90	560	235	697
611	26	351	0	0	0	"SkulkRock"	176	235	490	195	254	554	318	600
612	26	1917	5323	0	0	"Shaolwatha"	281	261	565	208	341	700	385	768
613	26	354	0	0	0	"JinthaAlor"	287	289	487	334	414	555	579	709
614	26	307	3317	0	0	"TheOverlookCliffs"	244	401	677	267	0	0	0	0
621	201	537	0	0	0	"FirePlumeRidge"	321	288	356	192	271	464	372	571
622	201	543	0	0	0	"GolakkaHotSprings"	309	277	145	226	317	253	407	377
623	201	539	0	0	0	"TerrorRun"	316	293	162	357	427	287	519	382
624	201	540	0	0	0	"TheSlitheringScar"	381	274	335	384	455	443	580	581
625	201	1942	0	0	0	"TheMarshlands"	263	412	573	256	308	620	423	740
626	201	1943	0	0	0	"IronstonePlateau"	197	222	706	201	0	0	0	0
627	201	538	0	0	0	"LakkariTarPits"	432	294	305	0	125	443	218	588
641	161	980	0	0	0	"ThistleshrubValley"	221	293	185	280	417	270	470	339
643	161	992	0	0	0	"SouthmoonRuins"	232	211	301	349	456	387	488	431
644	161	987	0	0	0	"LandsEndBeach"	224	216	431	452	576	496	650	578
645	161	984	0	0	0	"EastmoonRuins"	173	163	380	341	414	448	453	498
646	161	981	0	0	0	"TheGapingChasm"	225	187	448	364	411	497	493	580
647	161	1940	0	0	0	"SouthbreakShore"	274	186	437	289	0	0	0	0
648	161	983	0	0	0	"DunemaulCompound"	231	177	305	257	340	368	404	455
649	161	982	0	0	0	"TheNoxiousLair"	179	190	258	211	264	310	346	380
650	161	1938	0	0	0	"BrokenPillar"	195	163	413	211	284	500	325	549
651	161	1939	0	0	0	"AbyssalSands"	255	194	297	148	0	0	0	0
657	161	2300	0	0	0	"CavernsofTime"	213	173	507	238	302	609	366	677
658	161	976	0	0	0	"Gadgetzan"	189	180	412	92	0	0	0	0
659	161	979	0	0	0	"SandsorrowWatch"	214	149	293	99	157	360	209	462
660	161	978	0	0	0	"ZulFarrak"	315	190	184	0	40	312	154	436
661	141	513	0	0	0	"TheramoreIsle"	305	247	542	223	271	617	398	729
662	141	502	518	0	0	"WitchHill"	270	353	428	0	0	0	0	0
666	141	511	0	0	0	"TheWyrmbog"	436	299	359	369	458	491	553	578
667	141	2079	0	0	0	"AlcazIsland"	206	200	656	21	62	706	174	819
701	241	656	2361	0	0	"LakeEluneara"	431	319	219	273	331	444	412	609
741	43	414	0	0	0	"TheZoramStrand"	262	390	0	0	0	0	0	0
742	43	441	0	0	0	"LakeFalathim"	184	232	112	148	246	177	304	229
744	43	2301	0	0	0	"ThistlefurVillage"	314	241	255	78	186	330	255	413
747	43	415	4691	0	0	"Astranaar"	251	271	255	164	307	320	366	400
749	43	418	0	0	0	"TheRuinsofStardust"	236	271	210	331	417	302	462	353
751	43	419	0	0	0	"TheHowlingVale"	325	239	473	97	182	509	256	558
752	43	426	0	0	0	"RaynewoodRetreat"	231	256	481	221	305	558	364	638
753	43	422	432	2360	0	"FallenSkyLake"	287	276	529	385	524	646	566	684
754	43	428	431	0	0	"NightRun"	221	257	595	253	270	648	372	719
755	43	430	2358	0	0	"Satyrnaar"	235	236	696	154	315	784	350	829
756	43	438	0	0	0	"BoughShadow"	166	211	836	148	227	894	298	978
757	43	437	0	0	0	"WarsongLumberCamp"	231	223	771	265	346	825	438	928
758	43	434	0	0	0	"FelfireHill"	277	333	714	317	0	0	0	0
762	101	2198	0	0	0	"ShadowbreakRavine"	292	266	637	402	497	761	564	847
764	101	602	0	0	0	"MannorocCoven"	326	311	381	357	476	457	572	573
765	101	606	0	0	0	"GelkisVillage"	274	196	207	472	550	316	636	409
766	101	2408	0	0	0	"ShadowpreyVillage"	222	299	142	369	443	198	504	288
767	101	596	0	0	0	"KodoGraveyard"	250	215	360	273	365	474	425	544
768	101	607	0	0	0	"ValleyofSpears"	321	275	170	196	337	323	427	385
772	101	599	0	0	0	"ThunderAxeFortress"	220	205	440	49	139	504	200	589
773	101	603	0	0	0	"Sargeron"	317	293	655	0	108	741	182	828
774	101	608	0	0	0	"NijelsPoint"	231	257	573	0	28	621	90	716
775	101	2404	0	0	0	"TethrisAran"	274	145	399	0	39	481	96	552
821	19	1437	0	0	0	"DreadmaulHold"	272	206	258	0	54	346	121	447
823	19	1438	0	0	0	"NethergardeKeep"	295	205	530	6	60	571	151	719
824	19	1440	1438	0	0	"SerpentsCoil"	218	183	459	97	173	580	208	630
826	19	1441	0	0	0	"AltarofStorms"	238	195	225	110	151	338	203	404
827	19	1439	0	0	0	"DreadmaulPost"	235	188	327	182	246	434	291	510
828	19	73	0	0	0	"TheTaintedScar"	308	226	144	175	272	268	341	378
829	19	2517	0	0	0	"RiseoftheDefiler"	168	170	375	102	154	425	205	478
842	181	1228	0	0	0	"TheShatteredStrand"	206	329	316	168	242	400	420	472
844	181	2497	0	0	0	"BitterReaches"	321	247	477	0	124	577	195	714
845	181	1229	0	0	0	"TowerofEldara"	306	337	684	22	162	764	230	844
853	181	1235	0	0	0	""	0	0	0	0	0	0	0	0
854	181	1221	0	0	0	"RuinsofEldarath"	218	237	228	229	286	290	404	401
856	181	1232	0	0	0	"RavencrestMonument"	295	267	476	401	506	610	582	712
857	181	1234	0	0	0	"LakeMennar"	210	232	245	377	474	334	522	349
858	181	1256	0	0	0	""	395	128	396	540	575	531	637	650
861	182	1762	1769	0	0	"FelpawVillage"	307	161	471	0	45	589	111	638
862	182	1998	0	0	0	"TalonbranchGlade"	209	226	531	57	141	580	218	675
863	182	1767	0	0	0	"IrontreeWoods"	261	273	406	55	136	471	212	539
864	182	2618	0	0	0	"JadefireRun"	263	199	303	9	92	402	158	473
865	182	1766	0	0	0	"ShatterScarVale"	343	250	243	107	248	384	302	482
866	182	1765	0	0	0	"BloodvenomFalls"	345	192	220	231	0	0	0	0
867	182	1763	0	0	0	"Jaedenar"	319	176	234	317	367	328	423	415
868	182	2481	0	0	0	"RuinsofConstellas"	268	214	278	359	445	335	522	427
869	182	2480	0	0	0	"JadefireGlen"	229	210	288	458	539	385	603	452
870	182	2479	0	0	0	"EmeraldSanctuary"	274	212	394	382	495	482	552	566
871	182	1761	0	0	0	"DeadwoodVillage"	173	163	410	505	571	457	622	506
872	182	2478	0	0	0	"MorlosAran"	187	176	476	484	548	536	613	597
921	81	467	0	0	0	"StonetalonPeak"	305	244	265	0	106	354	161	466
922	81	464	0	0	0	"MirkfallonLake"	244	247	417	143	0	0	0	0
923	81	465	0	0	0	"TheCharredVale"	277	274	199	368	445	252	512	381
924	81	460	0	0	0	"SunRockRetreat"	222	222	353	285	386	468	462	522
925	81	461	1277	0	0	"WindshearCrag"	374	287	533	179	293	621	367	721
927	81	2540	0	0	0	"BoulderslideRavine"	194	156	532	512	569	598	617	675
928	81	1076	0	0	0	"WebwinderPath"	267	352	468	263	0	0	0	0
929	81	2539	0	0	0	"Malakajin"	211	131	618	537	588	687	645	773
941	32	2697	2938	0	0	"DeadmansCrossing"	617	522	83	0	125	315	355	590
961	22	2297	0	0	0	"DarrowmereLake"	492	314	510	354	0	0	0	0
962	22	2298	0	0	0	"CaerDarrow"	194	208	601	390	0	0	0	0
963	22	197	3197	0	0	"SorrowHill"	368	220	261	448	0	0	0	0
965	22	813	0	0	0	"TheBulwark"	316	316	48	235	349	231	423	312
966	22	199	0	0	0	"FelstoneField"	241	212	229	228	330	335	400	395
968	22	202	0	0	0	"TheWrithingHaunt"	169	195	472	332	411	510	476	590
969	22	192	0	0	0	"NorthridgeLumberCamp"	359	182	231	123	194	426	254	520
970	22	190	0	0	0	"Hearthglen"	432	271	235	0	66	387	163	513
971	22	201	0	0	0	"GahrronsWithering"	241	252	495	213	359	606	420	676
972	22	198	0	0	0	"TheWeepingCave"	185	230	551	151	244	620	294	670
973	22	2620	0	0	0	"ThondrorilRiver"	311	436	533	0	0	0	0	0
984	121	1119	0	0	0	"TheTwinColossals"	350	334	271	0	88	429	153	500
985	121	1108	0	0	0	"TheForgottenCoast"	194	304	375	343	0	0	0	0
986	121	2577	0	0	0	"DireMaul"	265	284	485	101	167	550	310	659
989	121	2522	0	0	0	"RuinsofIsildien"	206	237	467	354	447	550	529	624
991	121	1099	0	0	0	"CampMojache"	174	220	671	181	273	737	323	795
993	121	1103	0	0	0	"GordunniOutpost"	192	157	663	116	164	714	235	801
997	121	1137	0	0	0	"LowerWilds"	207	209	756	191	234	800	314	864
1021	261	2740	0	0	0	"TheCrystalVale"	329	246	126	0	69	259	147	360
1022	261	2742	3426	0	0	"HiveAshi"	405	267	345	4	100	451	202	539
1023	261	2738	0	0	0	"SouthwindVillage"	309	243	550	181	275	614	360	695
1025	261	2743	0	0	0	"HiveZora"	542	367	0	206	310	254	411	374
1026	261	2744	3427	0	0	"HiveRegal"	489	358	380	310	412	536	548	666
1027	261	2737	2741	0	0	"TheScarabWall"	580	213	0	455	0	0	0	0
1041	27	809	0	0	0	"Ironforge"	376	347	398	0	0	0	0	0
1061	32	2561	0	0	0	"TheVice"	350	449	433	208	325	510	540	665
1062	32	2562	0	0	0	"Karazhan"	513	358	92	310	380	335	540	520
1101	473	3750	3749	0	0	"CoilskarPoint"	512	512	348	8	130	407	222	501
1103	473	3822	0	0	0	"EclipsePoint"	512	358	343	310	399	402	495	498
1104	473	3743	0	0	0	"LegionHold"	512	512	104	155	211	184	316	298
1105	473	3759	0	0	0	"NetherwingLedge"	492	223	510	445	513	605	634	814
1107	473	3744	0	0	0	"ShadowmoonVilliage"	512	512	116	35	129	238	221	350
1110	473	3840	3757	3756	0	"TheBlackTemple"	396	512	606	126	181	657	364	899
1112	473	3748	0	0	0	"TheDeathForge"	256	512	290	129	231	350	300	444
1116	473	3746	3747	0	0	"TheHandofGuldan"	512	512	394	90	224	443	328	555
1118	473	3821	0	0	0	"TheWardensCage"	512	410	469	258	306	516	365	633
1121	473	3745	0	0	0	"WildhammerStronghold"	512	439	168	229	370	308	436	403
1125	467	3650	3640	0	0	"AngoroshGrounds"	256	256	88	50	119	147	191	214
1126	467	3565	0	0	0	"CenarionRefuge"	308	256	694	321	386	755	461	870
1127	462	3431	3432	0	0	"SunstriderIsle"	512	512	195	5	27	226	188	402
1128	462	3533	3531	3534	3532	"RuinsofSilvermoon"	256	256	307	136	223	401	303	460
1129	462	3466	0	0	0	"WestSanctum"	128	256	292	319	362	335	409	372
1130	462	3461	0	0	0	"SunsailAnchorage"	256	128	231	404	440	250	487	339
1132	462	3465	0	0	0	"NorthSanctum"	256	256	361	298	321	392	353	463
1133	467	3642	3668	0	0	"FeralfenVillage"	512	336	314	332	383	381	504	516
1134	462	3467	0	0	0	"EastSanctum"	256	256	460	373	473	497	505	550
1135	462	3464	0	0	0	"FarstriderRetreat"	256	128	524	359	405	588	447	636
1136	467	3667	0	0	0	"TheHewnBog"	256	512	219	51	174	265	300	407
1137	462	3470	0	0	0	"StillwhisperPond"	256	256	474	314	362	541	393	576
1138	462	3480	0	0	0	"DuskwitherGrounds"	256	256	605	253	0	0	0	0
1139	467	3656	0	3657	0	"MarshlightLake"	256	256	81	152	211	165	320	270
1140	462	3462	0	0	0	"FairbreezeVilliage"	256	256	386	386	463	406	522	474
1141	467	3646	3895	0	0	"QuaggRidge"	256	343	141	325	376	257	438	324
1142	462	3471	0	0	0	"TheLivingWood"	128	248	511	420	462	468	500	618
1143	462	3476	0	0	0	"TorWatha"	256	353	648	315	455	677	607	765
1145	462	3474	0	0	0	"TheScortchedGrove"	256	128	255	507	550	309	600	417
1146	467	3644	0	0	0	"Telredor"	256	512	569	112	276	633	383	740
1147	467	3648	3718	0	0	"TheDeadMire"	286	512	716	128	177	756	326	900
1148	463	3488	3497	0	0	"Tranquillien"	256	512	365	2	187	438	252	506
1149	467	3659	3819	0	0	"TheLagoon"	256	256	512	303	364	524	464	650
1150	463	3489	3510	0	0	"SuncrownVillage"	512	256	460	0	45	566	114	645
1151	463	3490	3515	0	0	"GoldenmistVillage"	512	512	44	0	69	202	135	297
1152	463	3491	3503	0	0	"WindrunnerVillage"	256	512	60	117	230	138	325	222
1153	463	3494	0	0	0	"SanctumoftheMoon"	256	256	210	126	187	309	244	361
1154	467	3720	0	0	0	"TwinspireRuins"	256	256	342	249	307	378	385	580
1155	463	3493	3509	3498	0	"SanctumoftheSun"	256	512	448	150	296	538	347	587
1156	467	3641	0	0	0	"UmbrafenVillage"	256	207	720	461	510	793	587	880
1157	463	3495	3512	3513	3823	"DawnstarSpire"	427	256	575	0	103	753	148	822
1158	463	3496	0	3516	0	"FarstriderEnclave"	429	256	573	136	198	701	231	747
1161	478	3684	3691	0	0	"AllerianStronghold"	256	256	480	277	335	523	424	621
1162	463	3502	3506	0	0	"HowlingZiggurat"	256	449	340	219	312	393	354	432
1163	463	3500	0	0	0	"Deatholme"	512	293	95	375	455	264	613	400
1164	463	3517	3499	3507	0	"ZebNowa"	512	431	466	237	324	613	493	713
1165	463	3508	0	0	0	"AmaniPass"	404	436	598	232	390	731	472	818
1166	478	3719	3686	0	0	"BleedingHollowClanRuins"	256	367	103	301	402	120	473	238
1167	478	3674	3859	0	0	"CenarionThicket"	256	256	314	0	112	403	160	475
1168	478	3681	0	0	0	"FirewingPoint"	385	512	617	149	182	668	283	769
1169	478	3682	3677	0	0	"GrangolvarVilliage"	512	256	143	171	248	379	280	413
1170	478	3693	3679	3690	3680	"SkethylMountains"	512	320	449	348	428	565	593	616
1171	478	3683	3692	0	0	"StonebreakerHold"	256	256	397	165	254	415	324	520
1173	478	3675	3676	0	0	"Tuurem"	256	512	455	34	160	495	232	567
1174	463	3492	0	0	0	"WindrunnerSpire"	256	256	40	287	357	116	390	157
1175	462	3487	0	0	0	"SilvermoonCity"	512	512	440	87	190	371	338	679
1176	478	3703	0	0	0	"ShattrathCity"	512	512	104	4	92	201	221	383
1177	463	3501	3505	0	0	"BleedingZiggurat"	256	256	184	238	294	324	331	361
1178	467	3649	3658	0	0	"Sporeggar"	512	256	20	202	310	147	354	210
1179	479	3712	0	0	0	"Area52"	256	128	241	388	406	294	476	378
1180	479	3726	0	0	0	"ManaforgeBanar"	256	387	147	281	441	189	535	283
1181	479	3730	0	0	0	"ManaforgeCoruu"	256	179	357	489	528	442	602	534
1182	479	3734	0	0	0	"ManaforgeDuro"	256	256	465	336	416	550	496	643
1183	479	3722	0	0	0	"ManafrogeAra"	256	256	171	155	222	217	307	321
1184	479	3736	0	0	0	"RuinedManaforge"	256	256	513	138	200	563	312	672
1185	479	3741	0	0	0	"RuinsofFarahlon"	512	256	354	49	96	479	191	612
1186	479	3842	3731	3724	0	"TempestKeep"	409	384	593	284	311	638	524	879
1187	479	3729	0	0	0	"TheHeap"	256	213	239	455	496	238	541	331
1189	477	3624	0	0	0	"ForgeCampFear"	512	420	36	248	305	145	383	268
1190	477	3613	3614	0	0	"Garadar"	256	256	431	143	206	518	281	607
1191	477	3628	3666	3627	0	"Halaa"	256	256	335	193	260	390	329	462
1192	477	3637	0	0	0	"KilsorrowFortress"	256	241	558	427	493	642	575	739
1193	477	3616	3700	3699	0	"LaughingSkullRuins"	256	256	351	52	82	415	173	525
