ID	minScale	minScaleLevel	maxScale	maxScaleLevel	SkillLine	SkillLine2	ItemPetFood	petTalentType	categoryEnumId	Name	IconFile	
40	1	1	1	80	782	0	0	-1	26	"Ghoul"	"Interface\Icons\Ability_Creature_Cursed_05"
41	0.6	1	0.8	60	783	270	17	2	63	"Silithid"	"Interface\Icons\Ability_Hunter_Pet_Silithid"
42	0.7	1	1	60	784	270	28	1	62	"Worm"	"Interface\Icons\Ability_Hunter_Pet_Worm"
43	0.35	1	0.56	60	786	270	60	1	61	"Rhino"	"Interface\Icons\Ability_Hunter_Pet_Rhino"
44	0.4	1	0.6	60	785	270	60	0	60	"Wasp"	"Interface\Icons\Ability_Hunter_Pet_Wasp"
45	0.3	1	0.5	60	787	270	1	0	59	"Core Hound"	"Interface\Icons\Ability_Hunter_Pet_CoreHound"
46	0.7	1	1.1	60	788	270	3	0	58	"Spirit Beast"	"Interface\Icons\Ability_Druid_PrimalPrecision"
49	0.8	1	0.8	60	805	0	0	-1	0	"Water Elemental"	""
50	0.6	1	0.9	60	808	270	35	0	27	"Fox"	"Interface\Icons\inv_misc_monstertail_07"
51	0.3	1	0.5	60	815	270	48	2	28	"Monkey"	"Interface\Icons\ability_hunter_aspectofthemonkey"
52	0.6	1	0.8	60	811	270	63	0	29	"Dog"	"Interface\Icons\inv_jewelry_necklace_22"
53	0.5	1	0.7	60	818	270	48	1	30	"Beetle"	"Interface\Icons\inv_scarab_silver"
55	1	1	1.45	60	817	270	195	1	57	"Shale Spider"	"Interface\Icons\ability_hunter_pet_spider"
56	1	1	1	80	236	0	0	-1	56	"Zombie"	"Interface\Icons\achievement_boss_patchwerk"
57	1	1	1.25	60	818	270	48	-1	36	"Beetle <zzOLD>"	"Interface\Icons\inv_scarab_stone"
59	0.3	1	0.4	60	783	270	17	2	63	"Silithid"	"Interface\Icons\ability_hunter_pet_silithid"
66	0.2	1	0.3	60	785	270	60	0	60	"Wasp"	"Interface\Icons\ability_hunter_pet_wasp"
68	0.5	0	0.63	60	824	270	195	0	55	"Hydra"	"Interface\Icons\trade_archaeology_whitehydrafigurine"
