field0	field1	field2
132128	ABILITY_DRUID_FLIGHTFORM.BLP	INTERFACE\ICONS\
132129	ABILITY_DRUID_FORCEOFNATURE.BLP	INTERFACE\ICONS\
132132	ABILITY_DRUID_LUNARGUIDANCE.BLP	INTERFACE\ICONS\
132133	ABILITY_DRUID_MANGLE.BLP	INTERFACE\ICONS\
132135	ABILITY_DRUID_MANGLE2.BLP	INTERFACE\ICONS\
132136	ABILITY_DRUID_MAUL.BLP	INTERFACE\ICONS\
132138	ABILITY_DRUID_PREDATORYINSTINCTS.BLP	INTERFACE\ICONS\
132139	ABILITY_DRUID_PRIMALTENACITY.BLP	INTERFACE\ICONS\
132140	ABILITY_DRUID_RAKE.BLP	INTERFACE\ICONS\
132141	ABILITY_DRUID_RAVAGE.BLP	INTERFACE\ICONS\
132142	ABILITY_DRUID_SUPRISEATTACK.BLP	INTERFACE\ICONS\
132146	ABILITY_DRUID_TWILIGHTSWRATH.BLP	INTERFACE\ICONS\
132147	ABILITY_DUALWIELD.BLP	INTERFACE\ICONS\
132149	ABILITY_ENSNARE.BLP	INTERFACE\ICONS\
132150	ABILITY_EYEOFTHEOWL.BLP	INTERFACE\ICONS\
132152	ABILITY_GHOULFRENZY.BLP	INTERFACE\ICONS\
132153	ABILITY_GOLEMSTORMBOLT.BLP	INTERFACE\ICONS\
132154	ABILITY_GOLEMTHUNDERCLAP.BLP	INTERFACE\ICONS\
132155	ABILITY_GOUGE.BLP	INTERFACE\ICONS\
132156	ABILITY_HIBERNATION.BLP	INTERFACE\ICONS\
132158	ABILITY_HUNTER_ANIMALHANDLER.BLP	INTERFACE\ICONS\
132159	ABILITY_HUNTER_ASPECTOFTHEMONKEY.BLP	INTERFACE\ICONS\
132161	ABILITY_HUNTER_BEASTCALL.BLP	INTERFACE\ICONS\
132167	ABILITY_HUNTER_CATLIKEREFLEXES.BLP	INTERFACE\ICONS\
132171	ABILITY_HUNTER_DISPLACEMENT.BLP	INTERFACE\ICONS\
132172	ABILITY_HUNTER_EAGLEEYE.BLP	INTERFACE\ICONS\
132176	ABILITY_HUNTER_KILLCOMMAND.BLP	INTERFACE\ICONS\
132177	ABILITY_HUNTER_MASTERMARKSMAN.BLP	INTERFACE\ICONS\
132182	ABILITY_HUNTER_PET_BAT.BLP	INTERFACE\ICONS\
132186	ABILITY_HUNTER_PET_CRAB.BLP	INTERFACE\ICONS\
132188	ABILITY_HUNTER_PET_DRAGONHAWK.BLP	INTERFACE\ICONS\
132189	ABILITY_HUNTER_PET_GORILLA.BLP	INTERFACE\ICONS\
132191	ABILITY_HUNTER_PET_NETHERRAY.BLP	INTERFACE\ICONS\
132192	ABILITY_HUNTER_PET_OWL.BLP	INTERFACE\ICONS\
132193	ABILITY_HUNTER_PET_RAPTOR.BLP	INTERFACE\ICONS\
132194	ABILITY_HUNTER_PET_RAVAGER.BLP	INTERFACE\ICONS\
132195	ABILITY_HUNTER_PET_SCORPID.BLP	INTERFACE\ICONS\
132196	ABILITY_HUNTER_PET_SPIDER.BLP	INTERFACE\ICONS\
132197	ABILITY_HUNTER_PET_SPOREBAT.BLP	INTERFACE\ICONS\
132198	ABILITY_HUNTER_PET_TALLSTRIDER.BLP	INTERFACE\ICONS\
132200	ABILITY_HUNTER_PET_VULTURE.BLP	INTERFACE\ICONS\
132201	ABILITY_HUNTER_PET_WARPSTALKER.BLP	INTERFACE\ICONS\
132203	ABILITY_HUNTER_PET_WOLF.BLP	INTERFACE\ICONS\
132206	ABILITY_HUNTER_READINESS.BLP	INTERFACE\ICONS\
132210	ABILITY_HUNTER_SILENTHUNTER.BLP	INTERFACE\ICONS\
132211	ABILITY_HUNTER_SNAKETRAP.BLP	INTERFACE\ICONS\
132212	ABILITY_HUNTER_SNIPERSHOT.BLP	INTERFACE\ICONS\
132214	ABILITY_HUNTER_SURVIVALINSTINCTS.BLP	INTERFACE\ICONS\
132215	ABILITY_HUNTER_SWIFTSTRIKE.BLP	INTERFACE\ICONS\
132218	ABILITY_IMPALINGBOLT.BLP	INTERFACE\ICONS\
132219	ABILITY_KICK.BLP	INTERFACE\ICONS\
132220	ABILITY_MAGE_INVISIBILITY.BLP	INTERFACE\ICONS\
132221	ABILITY_MAGE_MOLTENARMOR.BLP	INTERFACE\ICONS\
132222	ABILITY_MARKSMANSHIP.BLP	INTERFACE\ICONS\
132223	ABILITY_MELEEDAMAGE.BLP	INTERFACE\ICONS\
132225	ABILITY_MOUNT_BLACKPANTHER.BLP	INTERFACE\ICONS\
132242	ABILITY_MOUNT_JUNGLETIGER.BLP	INTERFACE\ICONS\
132247	ABILITY_MOUNT_MECHASTRIDER.BLP	INTERFACE\ICONS\
132248	ABILITY_MOUNT_MOUNTAINRAM.BLP	INTERFACE\ICONS\
132252	ABILITY_MOUNT_PINKTIGER.BLP	INTERFACE\ICONS\
132253	ABILITY_MOUNT_RAPTOR.BLP	INTERFACE\ICONS\
132254	ABILITY_MOUNT_RIDINGELEKK.BLP	INTERFACE\ICONS\
132256	ABILITY_MOUNT_RIDINGELEKK_PURPLE.BLP	INTERFACE\ICONS\
132262	ABILITY_MOUNT_ROCKETMOUNT.BLP	INTERFACE\ICONS\
132269	ABILITY_PARRY.BLP	INTERFACE\ICONS\
132270	ABILITY_PHYSICAL_TAUNT.BLP	INTERFACE\ICONS\
132273	ABILITY_POISONS.BLP	INTERFACE\ICONS\
132274	ABILITY_POISONSTING.BLP	INTERFACE\ICONS\
132278	ABILITY_RACIAL_CANNIBALIZE.BLP	INTERFACE\ICONS\
132281	ABILITY_REPAIR.BLP	INTERFACE\ICONS\
132282	ABILITY_ROGUE_AMBUSH.BLP	INTERFACE\ICONS\
132290	ABILITY_ROGUE_DUALWEILD.BLP	INTERFACE\ICONS\
132291	ABILITY_ROGUE_ENVELOPINGSHADOWS.BLP	INTERFACE\ICONS\
132292	ABILITY_ROGUE_EVISCERATE.BLP	INTERFACE\ICONS\
132294	ABILITY_ROGUE_FEINT.BLP	INTERFACE\ICONS\
132295	ABILITY_ROGUE_FINDWEAKNESS.BLP	INTERFACE\ICONS\
132297	ABILITY_ROGUE_GARROTE.BLP	INTERFACE\ICONS\
132298	ABILITY_ROGUE_KIDNEYSHOT.BLP	INTERFACE\ICONS\
132302	ABILITY_ROGUE_RUPTURE.BLP	INTERFACE\ICONS\
132303	ABILITY_ROGUE_SHADOWSTEP.BLP	INTERFACE\ICONS\
132305	ABILITY_ROGUE_SINISTERCALLING.BLP	INTERFACE\ICONS\
132306	ABILITY_ROGUE_SLICEDICE.BLP	INTERFACE\ICONS\
132307	ABILITY_ROGUE_SPRINT.BLP	INTERFACE\ICONS\
132309	ABILITY_ROGUE_TRIP.BLP	INTERFACE\ICONS\
132311	ABILITY_SEAL.BLP	INTERFACE\ICONS\
132312	ABILITY_SEARINGARROW.BLP	INTERFACE\ICONS\
132315	ABILITY_SHAMAN_WATERSHIELD.BLP	INTERFACE\ICONS\
132316	ABILITY_SHOCKWAVE.BLP	INTERFACE\ICONS\
132318	ABILITY_SMASH.BLP	INTERFACE\ICONS\
132320	ABILITY_STEALTH.BLP	INTERFACE\ICONS\
132322	ABILITY_SUFFOCATE.BLP	INTERFACE\ICONS\
132323	ABILITY_THEBLACKARROW.BLP	INTERFACE\ICONS\
132324	ABILITY_THROW.BLP	INTERFACE\ICONS\
132325	ABILITY_THUNDERBOLT.BLP	INTERFACE\ICONS\
132326	ABILITY_THUNDERCLAP.BLP	INTERFACE\ICONS\
132330	ABILITY_UPGRADEMOONGLAIVE.BLP	INTERFACE\ICONS\
132331	ABILITY_VANISH.BLP	INTERFACE\ICONS\
132332	ABILITY_WARLOCK_AVOIDANCE.BLP	INTERFACE\ICONS\
132333	ABILITY_WARRIOR_BATTLESHOUT.BLP	INTERFACE\ICONS\
132334	ABILITY_WARRIOR_BLOODFRENZY.BLP	INTERFACE\ICONS\
132336	ABILITY_WARRIOR_CHALLANGE.BLP	INTERFACE\ICONS\
132337	ABILITY_WARRIOR_CHARGE.BLP	INTERFACE\ICONS\
132338	ABILITY_WARRIOR_CLEAVE.BLP	INTERFACE\ICONS\
132340	ABILITY_WARRIOR_DECISIVESTRIKE.BLP	INTERFACE\ICONS\
132343	ABILITY_WARRIOR_DISARM.BLP	INTERFACE\ICONS\
132344	ABILITY_WARRIOR_ENDLESSRAGE.BLP	INTERFACE\ICONS\
132345	ABILITY_WARRIOR_FOCUSEDRAGE.BLP	INTERFACE\ICONS\
132350	ABILITY_WARRIOR_PUNISHINGBLOW.BLP	INTERFACE\ICONS\
132351	ABILITY_WARRIOR_RALLYINGCRY.BLP	INTERFACE\ICONS\
132352	ABILITY_WARRIOR_RAMPAGE.BLP	INTERFACE\ICONS\
132353	ABILITY_WARRIOR_REVENGE.BLP	INTERFACE\ICONS\
132354	ABILITY_WARRIOR_RIPOSTE.BLP	INTERFACE\ICONS\
132355	ABILITY_WARRIOR_SAVAGEBLOW.BLP	INTERFACE\ICONS\
132357	ABILITY_WARRIOR_SHIELDBASH.BLP	INTERFACE\ICONS\
132358	ABILITY_WARRIOR_SHIELDBREAK.BLP	INTERFACE\ICONS\
132360	ABILITY_WARRIOR_SHIELDMASTERY.BLP	INTERFACE\ICONS\
132361	ABILITY_WARRIOR_SHIELDREFLECTION.BLP	INTERFACE\ICONS\
132362	ABILITY_WARRIOR_SHIELDWALL.BLP	INTERFACE\ICONS\
132363	ABILITY_WARRIOR_SUNDER.BLP	INTERFACE\ICONS\
132364	ABILITY_WARRIOR_TRAUMA.BLP	INTERFACE\ICONS\
132365	ABILITY_WARRIOR_VICTORYRUSH.BLP	INTERFACE\ICONS\
132366	ABILITY_WARRIOR_WARCRY.BLP	INTERFACE\ICONS\
132367	ABILITY_WARRIOR_WEAPONMASTERY.BLP	INTERFACE\ICONS\
132368	ABILITY_WARSTOMP.BLP	INTERFACE\ICONS\
132369	ABILITY_WHIRLWIND.BLP	INTERFACE\ICONS\
132371	CREATURE_SPOREMUSHROOM.BLP	INTERFACE\ICONS\
132372	INV-MOUNT_RAVEN_54.BLP	INTERFACE\ICONS\
132373	INV-SWORD_53.BLP	INTERFACE\ICONS\
132381	INV_AMMO_ARROW_01.BLP	INTERFACE\ICONS\
132382	INV_AMMO_ARROW_02.BLP	INTERFACE\ICONS\
132386	INV_AMMO_FIRETAR.BLP	INTERFACE\ICONS\
132387	INV_AMMO_SNOWBALL.BLP	INTERFACE\ICONS\
132390	INV_ARMOR_SHIELD_NAXXRAMAS_D_02.BLP	INTERFACE\ICONS\
132399	INV_AXE_08.BLP	INTERFACE\ICONS\
132488	INV_BATTERY_01.BLP	INTERFACE\ICONS\
132494	INV_BELT_05.BLP	INTERFACE\ICONS\
132498	INV_BELT_09.BLP	INTERFACE\ICONS\
132505	INV_BELT_16.BLP	INTERFACE\ICONS\
132514	INV_BELT_25.BLP	INTERFACE\ICONS\
132598	INV_BOX_BIRDCAGE_01.BLP	INTERFACE\ICONS\
132599	INV_BOX_PETCARRIER_01.BLP	INTERFACE\ICONS\
132621	INV_CASK_02.BLP	INTERFACE\ICONS\
132719	INV_CHEST_LEATHER_04.BLP	INTERFACE\ICONS\
132740	INV_CHEST_PLATE05.BLP	INTERFACE\ICONS\
132761	INV_CRATE_01.BLP	INTERFACE\ICONS\
132762	INV_CRATE_02.BLP	INTERFACE\ICONS\
132763	INV_CRATE_03.BLP	INTERFACE\ICONS\
132774	INV_CRYSTALLIZED_WATER.BLP	INTERFACE\ICONS\
132787	INV_DIABLOSTONE.BLP	INTERFACE\ICONS\
132792	INV_DRINK_05.BLP	INTERFACE\ICONS\
132800	INV_DRINK_13.BLP	INTERFACE\ICONS\
132806	INV_DRINK_19.BLP	INTERFACE\ICONS\
132812	INV_DRINK_25_HONEYTEA.BLP	INTERFACE\ICONS\
132814	INV_DRINK_27_BLUESOUP.BLP	INTERFACE\ICONS\
132833	INV_EGG_02.BLP	INTERFACE\ICONS\
132834	INV_EGG_03.BLP	INTERFACE\ICONS\
132839	INV_ELEMENTAL_MOTE_FIRE01.BLP	INTERFACE\ICONS\
132842	INV_ELEMENTAL_MOTE_NETHER.BLP	INTERFACE\ICONS\
132843	INV_ELEMENTAL_MOTE_SHADOW01.BLP	INTERFACE\ICONS\
132845	INV_ELEMENTAL_PRIMAL_AIR.BLP	INTERFACE\ICONS\
132846	INV_ELEMENTAL_PRIMAL_EARTH.BLP	INTERFACE\ICONS\
132847	INV_ELEMENTAL_PRIMAL_FIRE.BLP	INTERFACE\ICONS\
132849	INV_ELEMENTAL_PRIMAL_MANA.BLP	INTERFACE\ICONS\
132851	INV_ELEMENTAL_PRIMAL_SHADOW.BLP	INTERFACE\ICONS\
132852	INV_ELEMENTAL_PRIMAL_WATER.BLP	INTERFACE\ICONS\
132881	INV_ENCHANT_SHARDPRISMATICLARGE.BLP	INTERFACE\ICONS\
132886	INV_ENCHANT_VOIDSPHERE.BLP	INTERFACE\ICONS\
132907	INV_FABRIC_SILK_03.BLP	INTERFACE\ICONS\
132910	INV_FABRIC_SPELLFIRE.BLP	INTERFACE\ICONS\
132915	INV_FEATHER_02.BLP	INTERFACE\ICONS\
132921	INV_FEATHER_08.BLP	INTERFACE\ICONS\
132924	INV_FEATHER_11.BLP	INTERFACE\ICONS\
132925	INV_FEATHER_12.BLP	INTERFACE\ICONS\
132926	INV_FEATHER_13.BLP	INTERFACE\ICONS\
132929	INV_FEATHER_16.BLP	INTERFACE\ICONS\
132938	INV_GAUNTLETS_04.BLP	INTERFACE\ICONS\
132939	INV_GAUNTLETS_05.BLP	INTERFACE\ICONS\
133000	INV_GIZMO_06.BLP	INTERFACE\ICONS\
133015	INV_GIZMO_GOBLINGTONKCONTROLLER.BLP	INTERFACE\ICONS\
133016	INV_GIZMO_HARDENEDADAMANTITETUBE.BLP	INTERFACE\ICONS\
133035	INV_GIZMO_SUPERSAPPERCHARGE.BLP	INTERFACE\ICONS\
133102	INV_HELMET_120.BLP	INTERFACE\ICONS\
133168	INV_HELMET_66.BLP	INTERFACE\ICONS\
133202	INV_HOLIDAY_CHRISTMAS_PRESENT_01.BLP	INTERFACE\ICONS\
133204	INV_HOLIDAY_CHRISTMAS_PRESENT_03.BLP	INTERFACE\ICONS\
133265	INV_JEWELCRAFTING_SHADOWSONGAMETHYST_01.BLP	INTERFACE\ICONS\
133275	INV_JEWELCRAFTING_TRUESILVERCRAB.BLP	INTERFACE\ICONS\
133278	INV_JEWELRY_AMULET_03.BLP	INTERFACE\ICONS\
133443	INV_JEWELRY_TALISMAN_10.BLP	INTERFACE\ICONS\
133490	INV_MACE_15.BLP	INTERFACE\ICONS\
133522	INV_MACE_42.BLP	INTERFACE\ICONS\
133570	INV_MISC_AHNQIRAJTRINKET_01.BLP	INTERFACE\ICONS\
133598	INV_MISC_ARMORKIT_03.BLP	INTERFACE\ICONS\
133639	INV_MISC_BAG_10.BLP	INTERFACE\ICONS\
133640	INV_MISC_BAG_10_BLACK.BLP	INTERFACE\ICONS\
133642	INV_MISC_BAG_10_GREEN.BLP	INTERFACE\ICONS\
133650	INV_MISC_BAG_17.BLP	INTERFACE\ICONS\
133706	INV_MISC_BELL_01.BLP	INTERFACE\ICONS\
133707	INV_MISC_BIRDBECK_01.BLP	INTERFACE\ICONS\
133710	INV_MISC_BOMB_02.BLP	INTERFACE\ICONS\
133712	INV_MISC_BOMB_04.BLP	INTERFACE\ICONS\
133713	INV_MISC_BOMB_05.BLP	INTERFACE\ICONS\
133716	INV_MISC_BOMB_08.BLP	INTERFACE\ICONS\
133718	INV_MISC_BONE_01.BLP	INTERFACE\ICONS\
133724	INV_MISC_BONE_07.BLP	INTERFACE\ICONS\
133726	INV_MISC_BONE_09.BLP	INTERFACE\ICONS\
133730	INV_MISC_BONE_HUMANSKULL_01.BLP	INTERFACE\ICONS\
133733	INV_MISC_BOOK_01.BLP	INTERFACE\ICONS\
133779	INV_MISC_CAULDRON_FIRE.BLP	INTERFACE\ICONS\
133780	INV_MISC_CAULDRON_FROST.BLP	INTERFACE\ICONS\
133781	INV_MISC_CAULDRON_NATURE.BLP	INTERFACE\ICONS\
133784	INV_MISC_COIN_01.BLP	INTERFACE\ICONS\
133786	INV_MISC_COIN_03.BLP	INTERFACE\ICONS\
133798	INV_MISC_COIN_15.BLP	INTERFACE\ICONS\
133832	INV_MISC_DESECRATED_PLATEGLOVES.BLP	INTERFACE\ICONS\
133838	INV_MISC_DRAGONKITE_02.BLP	INTERFACE\ICONS\
133849	INV_MISC_DUST_02.BLP	INTERFACE\ICONS\
133858	INV_MISC_ELVENCOINS.BLP	INTERFACE\ICONS\
133861	INV_MISC_ENGGIZMOS_03.BLP	INTERFACE\ICONS\
133870	INV_MISC_ENGGIZMOS_12.BLP	INTERFACE\ICONS\
133883	INV_MISC_ENGGIZMOS_ROCKETCHICKEN.BLP	INTERFACE\ICONS\
133886	INV_MISC_FIREDANCER_01.BLP	INTERFACE\ICONS\
133900	INV_MISC_FISH_14.BLP	INTERFACE\ICONS\
133920	INV_MISC_FISH_34.BLP	INTERFACE\ICONS\
133922	INV_MISC_FISH_36.BLP	INTERFACE\ICONS\
133935	INV_MISC_FISH_TURTLE_01.BLP	INTERFACE\ICONS\
133936	INV_MISC_FISH_TURTLE_02.BLP	INTERFACE\ICONS\
133939	INV_MISC_FLOWER_02.BLP	INTERFACE\ICONS\
133941	INV_MISC_FLOWER_04.BLP	INTERFACE\ICONS\
133944	INV_MISC_FOOD_02.BLP	INTERFACE\ICONS\
133979	INV_MISC_FOOD_23.BLP	INTERFACE\ICONS\
133980	INV_MISC_FOOD_24.BLP	INTERFACE\ICONS\
134010	INV_MISC_FOOD_54.BLP	INTERFACE\ICONS\
134015	INV_MISC_FOOD_59.BLP	INTERFACE\ICONS\
134057	INV_MISC_FOOD_PINENUT.BLP	INTERFACE\ICONS\
134060	INV_MISC_FOOT_CENTAUR.BLP	INTERFACE\ICONS\
134065	INV_MISC_GEAR_03.BLP	INTERFACE\ICONS\
134111	INV_MISC_GEM_FLAMESPESSARITE_03.BLP	INTERFACE\ICONS\
134134	INV_MISC_GEM_STONE_01.BLP	INTERFACE\ICONS\
134152	INV_MISC_HEAD_CLOCKWORKGNOME_01.BLP	INTERFACE\ICONS\
134153	INV_MISC_HEAD_DRAGON_01.BLP	INTERFACE\ICONS\
134154	INV_MISC_HEAD_DRAGON_BLACK.BLP	INTERFACE\ICONS\
134155	INV_MISC_HEAD_DRAGON_BLUE.BLP	INTERFACE\ICONS\
134156	INV_MISC_HEAD_DRAGON_BRONZE.BLP	INTERFACE\ICONS\
134157	INV_MISC_HEAD_DRAGON_GREEN.BLP	INTERFACE\ICONS\
134158	INV_MISC_HEAD_DRAGON_RED.BLP	INTERFACE\ICONS\
134163	INV_MISC_HEAD_GNOLL_01.BLP	INTERFACE\ICONS\
134183	INV_MISC_HERB_03.BLP	INTERFACE\ICONS\
134184	INV_MISC_HERB_04.BLP	INTERFACE\ICONS\
134188	INV_MISC_HERB_08.BLP	INTERFACE\ICONS\
134197	INV_MISC_HERB_16.BLP	INTERFACE\ICONS\
134206	INV_MISC_HERB_FELBLOSSOM.BLP	INTERFACE\ICONS\
134208	INV_MISC_HERB_FELWEED.BLP	INTERFACE\ICONS\
134209	INV_MISC_HERB_FLAMECAP.BLP	INTERFACE\ICONS\
134213	INV_MISC_HERB_ICETHORN.BLP	INTERFACE\ICONS\
134218	INV_MISC_HERB_NIGHTMAREVINE.BLP	INTERFACE\ICONS\
134226	INV_MISC_HOOK_01.BLP	INTERFACE\ICONS\
134239	INV_MISC_KEY_05.BLP	INTERFACE\ICONS\
134294	INV_MISC_MONSTERCLAW_01.BLP	INTERFACE\ICONS\
134296	INV_MISC_MONSTERCLAW_03.BLP	INTERFACE\ICONS\
134297	INV_MISC_MONSTERCLAW_04.BLP	INTERFACE\ICONS\
134307	INV_MISC_MONSTERSCALES_05.BLP	INTERFACE\ICONS\
134310	INV_MISC_MONSTERSCALES_08.BLP	INTERFACE\ICONS\
134318	INV_MISC_MONSTERSCALES_16.BLP	INTERFACE\ICONS\
134321	INV_MISC_MONSTERSPIDERCARAPACE_01.BLP	INTERFACE\ICONS\
134322	INV_MISC_MONSTERTAIL_01.BLP	INTERFACE\ICONS\
134323	INV_MISC_MONSTERTAIL_02.BLP	INTERFACE\ICONS\
134324	INV_MISC_MONSTERTAIL_03.BLP	INTERFACE\ICONS\
134336	INV_MISC_ORB_04.BLP	INTERFACE\ICONS\
134339	INV_MISC_ORGAN_02.BLP	INTERFACE\ICONS\
134373	INV_MISC_PHEONIXPET_01.BLP	INTERFACE\ICONS\
134395	INV_MISC_QIRAJICRYSTAL_01.BLP	INTERFACE\ICONS\
134396	INV_MISC_QIRAJICRYSTAL_02.BLP	INTERFACE\ICONS\
134397	INV_MISC_QIRAJICRYSTAL_03.BLP	INTERFACE\ICONS\
134398	INV_MISC_QIRAJICRYSTAL_04.BLP	INTERFACE\ICONS\
134399	INV_MISC_QIRAJICRYSTAL_05.BLP	INTERFACE\ICONS\
134400	INV_MISC_QUESTIONMARK.BLP	INTERFACE\ICONS\
134430	INV_MISC_SHADOWEGG.BLP	INTERFACE\ICONS\
134434	INV_MISC_SHELL_04.BLP	INTERFACE\ICONS\
134437	INV_MISC_SLIME_01.BLP	INTERFACE\ICONS\
134438	INV_MISC_SLIME_02.BLP	INTERFACE\ICONS\
134439	INV_MISC_SPINELEAF _01.BLP	INTERFACE\ICONS\
134455	INV_MISC_STONETABLET_01.BLP	INTERFACE\ICONS\
134457	INV_MISC_STONETABLET_03.BLP	INTERFACE\ICONS\
134461	INV_MISC_STONETABLET_07.BLP	INTERFACE\ICONS\
134480	INV_MISC_THROWINGBALL_01.BLP	INTERFACE\ICONS\
134518	INV_MISC_WARTORNSCRAP_PLATE.BLP	INTERFACE\ICONS\
134520	INV_MISC_WRENCH_01.BLP	INTERFACE\ICONS\
134532	INV_MUSHROOM_11.BLP	INTERFACE\ICONS\
134539	INV_NETHERWHELP.BLP	INTERFACE\ICONS\
134555	INV_OFFHAND_STRATHOLME_A_02.BLP	INTERFACE\ICONS\
134579	INV_ORE_TIN_01.BLP	INTERFACE\ICONS\
134711	INV_POISON_MINDNUMBING.BLP	INTERFACE\ICONS\
134729	INV_POTION_107.BLP	INTERFACE\ICONS\
134751	INV_POTION_127.BLP	INTERFACE\ICONS\
134799	INV_POTION_19.BLP	INTERFACE\ICONS\
134813	INV_POTION_33.BLP	INTERFACE\ICONS\
134820	INV_POTION_40.BLP	INTERFACE\ICONS\
134834	INV_POTION_54.BLP	INTERFACE\ICONS\
134882	INV_QIRAJ_CARAPACEOLDGOD.BLP	INTERFACE\ICONS\
134892	INV_QIRAJ_OUROHIDE.BLP	INTERFACE\ICONS\
134931	INV_SCARAB_CLAY.BLP	INTERFACE\ICONS\
134936	INV_SCARAB_STONE.BLP	INTERFACE\ICONS\
134950	INV_SHIELD_04.BLP	INTERFACE\ICONS\
134951	INV_SHIELD_05.BLP	INTERFACE\ICONS\
134967	INV_SHIELD_21.BLP	INTERFACE\ICONS\
134969	INV_SHIELD_23.BLP	INTERFACE\ICONS\
134971	INV_SHIELD_26.BLP	INTERFACE\ICONS\
134982	INV_SHIELD_37.BLP	INTERFACE\ICONS\
135049	INV_SHOULDER_18.BLP	INTERFACE\ICONS\
135126	INV_SPEAR_03.BLP	INTERFACE\ICONS\
135127	INV_SPEAR_04.BLP	INTERFACE\ICONS\
135128	INV_SPEAR_05.BLP	INTERFACE\ICONS\
135130	INV_SPEAR_07.BLP	INTERFACE\ICONS\
135131	INV_SPEAR_08.BLP	INTERFACE\ICONS\
135147	INV_STAFF_10.BLP	INTERFACE\ICONS\
135158	INV_STAFF_21.BLP	INTERFACE\ICONS\
135165	INV_STAFF_28.BLP	INTERFACE\ICONS\
135170	INV_STAFF_33.BLP	INTERFACE\ICONS\
135189	INV_STAFF_53.BLP	INTERFACE\ICONS\
135234	INV_STONE_08.BLP	INTERFACE\ICONS\
135241	INV_STONE_15.BLP	INTERFACE\ICONS\
135265	INV_SUMMERFEST_FIRESPIRIT.BLP	INTERFACE\ICONS\
135271	INV_SWORD_01.BLP	INTERFACE\ICONS\
135275	INV_SWORD_05.BLP	INTERFACE\ICONS\
