field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11
156	64343	457658	0	-1	1065353216	0	0	2097152	0	0	0
157	90174	459314	4	-1	1065353216	0	1179712	33873920	0	0	0
173	47383	458741	9	-1	1065353216	0	64	0	0	0	0
174	71162	458741	9	-1	1065353216	0	64	0	0	0	0
175	71165	458741	9	-1	1065353216	0	64	0	0	0	0
176	82897	450918	9	-5595601	1065353216	0	2048	0	0	0	0
178	92276	457658	0	-1	1065353216	2	0	0	0	0	0
182	92572	450922	9	-1	1065353216	0	0	0	0	0	0
183	34936	460830	4	-1	1065353216	1	64	0	0	0	0
190	51124	458740	9	-1	1065353216	0	131076	0	0	0	0
192	93312	0	0	0	1065353216	8	0	516	0	0	0
193	93313	0	0	0	1065353216	0	16	0	0	0	0
194	93400	463452	4	-1	1065353216	0	0	33554432	0	0	0
196	93426	461878	4	-1	1065353216	0	0	32	0	0	0
197	93430	450915	5	-723724	1065353216	0	0	0	0	0	0
198	93431	450914	6	-723724	1065353216	0	0	0	0	0	0
205	93622	510822	4	-1	1065353216	0	134217792	0	0	0	0
206	77769	0	0	0	1065353216	8192	0	0	0	0	0
207	93683	0	0	0	1065353216	8192	0	0	0	0	0
208	94007	450923	4	-845312	1068708659	0	2048	0	0	0	0
209	94006	450924	4	-12907520	1067869798	0	2048	0	0	0	0
216	94030	457658	0	-1	1065353216	4	0	0	0	0	0
217	94032	457658	0	-1	1065353216	1	0	0	0	0	0
218	94315	0	0	0	1065353216	32	0	0	0	0	0
219	94338	0	0	-1	1065353216	0	0	0	0	-1	0
232	89485	0	0	0	1065353216	6656	0	0	0	0	0
239	56817	0	0	0	1065353216	0	536870912	0	0	0	0
245	94709	0	0	0	1065353216	0	0	256	0	0	0
332	81206	0	0	0	1065353216	0	0	4194336	0	0	0
333	95644	450923	4	-1	1069547520	0	0	0	0	0	0
334	95774	467696	4	-1	1065353216	1048576	0	0	0	0	0
340	79808	449486	8	-1	1065353216	2048	0	0	0	0	0
377	88448	0	0	0	1065353216	536870912	0	0	0	0	0
378	63735	469752	4	-1	1065353216	4608	0	0	0	0	0
379	63731	469752	4	-1	1065353216	4608	0	0	0	0	0
380	85509	0	4	-1	1065353216	0	0	0	0	-1	0
381	96171	511105	4	-1	1065353216	134217728	0	0	0	0	0
382	81141	511104	9	-1	1065353216	262144	0	0	0	0	0
383	96287	0	0	-1	1065353216	0	0	0	0	-1	0
470	98464	0	0	0	1065353216	7232	0	0	0	0	0
471	81209	0	0	0	1065353216	0	0	32	0	0	0
472	81208	0	0	0	1065353216	8388608	0	0	0	0	0
478	100000	0	0	0	1203982336	0	0	0	0	-1	0
491	53672	511469	4	-1	1065353216	-1073741824	0	1536	0	0	0
492	54149	511469	4	-1	1065353216	-2147483648	0	1536	0	0	0
541	102390	0	0	-1	1065353216	0	0	0	0	-1	0
589	104245	0	0	0	1065353216	32768	512	2048	0	0	0
590	104246	0	0	0	1065353216	32	0	0	0	0	0
591	104247	0	0	0	1065353216	64	0	0	0	0	0
592	104248	0	0	0	1065353216	0	1024	0	0	0	0
593	104249	0	0	0	1065353216	0	0	32768	0	0	0
594	104250	0	0	0	1065353216	4194304	0	0	0	0	0
595	104251	0	0	0	1065353216	0	128	16777216	0	0	0
609	105066	0	0	-1	1065353216	0	0	0	0	-1	0
615	105602	0	0	-1	1065353216	1073741824	0	0	0	-1	0
639	106080	0	0	0	1065353216	0	0	0	0	0	0
685	107095	0	0	-1	1065353216	0	0	0	0	-1	0
734	85730	0	0	0	1065353216	4194368	0	0	0	-1	0
735	107788	0	0	0	1065353216	0	0	0	0	0	0
736	107806	450931	4	-1	1065353216	2048	0	0	0	0	0
737	107807	450931	4	-1	1065353216	4104	0	0	0	0	0
832	108561	0	0	-1	1065353216	0	0	0	0	0	0
833	108566	0	0	0	1065353216	65536	0	0	0	0	0
856	109175	0	0	-1	1065353216	0	0	0	0	-1	0
863	109476	0	0	0	1065353216	1	0	0	0	0	0
927	110724	450922	9	-1	1065353216	0	0	0	0	0	0
975	111662	0	0	0	1065353216	0	0	0	0	1	0
997	112071	0	0	-1	1065353216	7	8388608	0	0	0	0
1067	113853	0	0	-1	1065353216	0	0	0	0	-1	0
1078	114213	459314	4	-1	1065353216	0	1179712	319488	0	0	0
1079	114250	0	0	-1	1065353216	1073741824	0	0	0	-1	0
1080	114255	450933	9	-1	1065353216	2048	0	0	0	0	0
1081	114257	592058	9	-1	1065353216	0	0	65536	0	0	0
1087	114395	0	0	-1	1065353216	0	0	0	0	-1	0
1091	114590	0	0	0	1065353216	1	0	0	0	0	0
1104	114787	0	0	0	1065353216	4194304	0	0	0	0	0
1105	104223	0	0	0	1065353216	4194304	0	0	0	-1	0
1117	108843	0	0	0	1065353216	0	0	8388608	0	1	0
1118	115689	0	0	-1	1065353216	0	0	0	0	0	0
1119	115694	0	0	-1	1065353216	0	0	0	0	0	0
1120	115696	0	0	-1	1065353216	0	0	0	0	0	0
1121	115697	0	0	-1	1065353216	0	0	0	0	0	0
1128	116349	0	0	0	1065353216	4	0	0	0	0	0
1132	116768	603338	8	-1	1065353216	16	0	0	0	0	0
1133	116769	450933	3	0	1065353216	0	0	0	0	0	0
1134	116808	0	0	0	1065353216	0	0	0	0	1	0
1136	116610	0	0	0	1065353216	1	0	0	0	0	12197
1140	116859	0	0	0	1065353216	0	128	0	0	0	0
1161	118203	0	0	0	1065353216	0	0	0	0	1	0
1162	48107	449490	9	-7711	1056964608	0	0	0	0	0	0
1166	87160	469752	4	-1	1065353216	0	2	0	0	0	0
1182	118771	603338	9	-1	1065353216	16	0	0	0	0	0
1183	116680	0	0	0	1065353216	100663296	0	0	0	0	0
1186	118864	603339	3	-1	1065353216	1024	0	0	0	0	0
1201	119732	458740	9	-1	1065353216	0	0	0	0	1	3219
1204	77762	449491	9	-1	1065353216	0	4096	0	0	0	0
1206	120226	603338	9	-1	1065353216	16	0	0	0	0	0
1238	121069	0	0	-1	1065353216	7	8388608	0	0	0	0
1245	121125	0	0	-1	1065353216	0	256	0	0	0	0
1246	121153	449493	9	-1	1065353216	0	0	256	0	0	0
1312	122016	0	0	-1	1065353216	4194368	0	0	0	-1	0
1331	122107	0	0	0	1065353216	33554432	0	0	0	0	0
1332	122174	0	0	0	1065353216	0	1048576	0	0	0	0
1334	122355	458741	9	-1	1065353216	0	128	0	0	0	0
1335	122510	450931	4	-1	1065353216	4194368	0	0	0	0	0
1344	122979	0	0	0	1065353216	0	256	0	0	1	0
1354	115654	0	0	0	1065353216	0	0	0	1	-1	0
1355	123664	0	0	0	1065353216	0	-2147483648	0	0	0	0
1365	124273	510822	4	-1	1065353216	0	0	4	0	0	0
1366	124430	463452	4	-9550489	1065353216	8192	0	0	0	0	0
