m_id	m_encounterId	m_itemId	m_difficulty	newField1
9213	101	56268	2	-1
9214	101	56269	2	-1
9215	101	56270	2	-1
9216	101	55198	1	-1
9217	102	56272	2	-1
9218	102	56273	2	-1
9219	102	56274	2	-1
9220	102	56275	2	-1
9221	102	55204	1	-1
9222	102	55205	1	-1
9223	102	55206	1	-1
9224	102	55207	1	-1
9225	102	55228	1	-1
9226	102	56271	2	-1
9227	103	55248	1	-1
9228	103	55235	1	-1
9229	103	55236	1	-1
9230	103	56276	2	-1
9231	103	55237	1	-1
9232	103	56277	2	-1
9233	103	56278	2	-1
9234	103	56279	2	-1
9235	103	56280	2	-1
9236	103	55229	1	-1
9237	104	56288	2	-1
9238	104	56289	2	-1
9239	104	56290	2	-1
9240	104	56291	2	-1
9241	104	55249	1	-1
9242	104	55250	1	-1
9243	104	55251	1	-1
9244	104	55252	1	-1
9245	104	55253	1	-1
9246	104	55254	1	-1
9247	104	55255	1	-1
9248	104	55256	1	-1
9249	104	56281	2	-1
9250	104	55258	1	-1
9251	104	56282	2	-1
9252	104	55259	1	-1
9253	104	56283	2	-1
9254	104	56284	2	-1
9255	104	56285	2	-1
9256	104	56286	2	-1
9257	105	55776	1	-1
9258	105	55777	1	-1
9259	105	55778	1	-1
9260	105	56310	2	-1
9261	105	56311	2	-1
9262	105	56312	2	-1
9263	105	56313	2	-1
9264	105	56314	2	-1
9265	105	55278	1	-1
9266	105	55279	1	-1
9267	106	55264	1	-1
9268	106	55265	1	-1
9269	106	55266	1	-1
9270	106	55267	1	-1
9271	106	56295	2	-1
9272	106	56296	2	-1
9273	106	56297	2	-1
9274	106	56298	2	-1
9275	106	56299	2	-1
9276	106	55263	1	-1
9277	107	56304	2	-1
9278	107	55268	1	-1
9279	107	55269	1	-1
9280	107	55270	1	-1
9281	107	55271	1	-1
9282	107	55272	1	-1
9283	107	56300	2	-1
9284	107	56301	2	-1
9285	107	56302	2	-1
9286	107	56303	2	-1
9287	108	56305	2	-1
9288	108	56306	2	-1
9289	108	56307	2	-1
9290	108	56308	2	-1
9291	108	56309	2	-1
9292	108	55273	1	-1
9293	108	55274	1	-1
9294	108	55275	1	-1
9295	108	55276	1	-1
9296	108	55277	1	-1
9297	109	56320	2	-1
9298	109	56321	2	-1
9299	109	56322	2	-1
9300	109	55779	1	-1
9301	109	56323	2	-1
9302	109	55780	1	-1
9303	109	56324	2	-1
9304	109	55781	1	-1
9305	109	55782	1	-1
9306	109	55783	1	-1
9307	109	55784	1	-1
9308	109	55785	1	-1
9309	109	55786	1	-1
9310	109	55787	1	-1
9311	109	55788	1	-1
9312	109	56315	2	-1
9313	109	56316	2	-1
9314	109	56317	2	-1
9315	109	56318	2	-1
9316	109	56319	2	-1
9317	110	55792	1	-1
9318	110	55793	1	-1
9319	110	55794	1	-1
9320	110	55795	1	-1
9321	110	55796	1	-1
9322	110	56328	2	-1
9323	110	56329	2	-1
9324	110	56330	2	-1
9325	110	56331	2	-1
9326	110	56332	2	-1
9327	111	56336	2	-1
9328	111	56337	2	-1
9329	111	63043	3	-1
9330	111	55797	1	-1
9331	111	55798	1	-1
9332	111	55799	1	-1
9333	111	55800	1	-1
9334	111	55801	1	-1
9335	111	56333	2	-1
9336	111	56334	2	-1
9337	111	56335	2	-1
9338	112	55810	1	-1
9339	112	56338	2	-1
9340	112	55811	1	-1
9341	112	56339	2	-1
9342	112	56340	2	-1
9343	112	56341	2	-1
9344	112	56342	2	-1
9345	112	55802	1	-1
9346	112	55803	1	-1
9347	112	55804	1	-1
9348	113	56352	2	-1
9349	113	55812	1	-1
9350	113	55813	1	-1
9351	113	55814	1	-1
9352	113	55815	1	-1
9353	113	55816	1	-1
9354	113	55817	1	-1
9355	113	55818	1	-1
9356	113	55819	1	-1
9357	113	55820	1	-1
9358	113	55821	1	-1
9359	113	56343	2	-1
9360	113	56344	2	-1
9361	113	56345	2	-1
9362	113	56346	2	-1
9363	113	56347	2	-1
9364	113	56348	2	-1
9365	113	56349	2	-1
9366	113	56350	2	-1
9367	113	56351	2	-1
9368	114	56356	2	-1
9369	114	56357	2	-1
9370	114	55830	1	-1
9371	114	56358	2	-1
9372	114	55831	1	-1
9373	114	56359	2	-1
9374	114	56360	2	-1
9375	114	55832	1	-1
9376	114	55833	1	-1
9377	114	55834	1	-1
9378	115	63040	3	-1
9379	115	55840	1	-1
9380	115	55841	1	-1
9381	115	56361	2	-1
9382	115	56362	2	-1
9383	115	55835	1	-1
9384	115	56363	2	-1
9385	115	56364	2	-1
9386	115	56365	2	-1
9387	115	55838	1	-1
9388	115	55839	1	-1
9389	116	55842	1	-1
9390	116	55844	1	-1
9391	116	55845	1	-1
9392	116	55846	1	-1
9393	116	55847	1	-1
9394	116	55848	1	-1
9395	116	55849	1	-1
9396	116	55850	1	-1
9397	116	55851	1	-1
9398	116	55852	1	-1
9399	116	55853	1	-1
9400	116	56366	2	-1
9401	116	56367	2	-1
9402	116	56368	2	-1
9403	116	56369	2	-1
9404	116	56370	2	-1
9405	116	56371	2	-1
9406	116	56372	2	-1
9407	116	56373	2	-1
9408	116	56374	2	-1
9409	116	56375	2	-1
9410	116	56376	2	-1
9411	117	55856	1	-1
9412	117	55857	1	-1
9413	117	55858	1	-1
9414	117	55859	1	-1
9415	117	55860	1	-1
9416	117	56379	2	-1
9417	117	56380	2	-1
9418	117	56381	2	-1
9419	117	56382	2	-1
9420	117	56383	2	-1
9421	118	56389	-14	-1
9422	118	56390	-14	-1
9423	118	56391	-14	-1
9424	118	56392	-14	-1
9425	118	56393	-14	-1
9426	118	55866	-15	-1
9427	118	55867	-15	-1
9428	118	55868	-15	-1
9429	118	55869	-15	-1
9430	118	55870	-15	-1
9431	119	56384	-14	-1
9432	119	56385	-14	-1
9433	119	56386	-14	-1
9434	119	56387	-14	-1
9435	119	56388	-14	-1
9436	119	55861	-15	-1
9437	119	55862	-15	-1
9438	119	55863	-15	-1
9439	119	55864	-15	-1
9440	119	55865	-15	-1
9441	122	55872	1	-1
9442	122	55873	1	-1
9443	122	55874	1	-1
9444	122	55875	1	-1
9445	122	55876	1	-1
9446	122	55877	1	-1
9447	122	55878	1	-1
9448	122	55879	1	-1
9449	122	55880	1	-1
9450	122	56394	2	-1
9451	122	56395	2	-1
9452	122	56396	2	-1
9453	122	56397	2	-1
9454	122	56398	2	-1
9455	122	56399	2	-1
9456	122	56400	2	-1
9457	122	56401	2	-1
9458	122	56402	2	-1
9459	122	56403	2	-1
9460	122	55871	1	-1
9461	124	55888	1	-1
9462	124	55889	1	-1
9463	124	55890	1	-1
9464	124	56407	2	-1
9465	124	56408	2	-1
9466	124	56409	2	-1
9467	124	56410	2	-1
9468	124	56411	2	-1
9469	124	55886	1	-1
9470	124	55887	1	-1
9471	125	56096	1	-1
9472	125	56097	1	-1
9473	125	56422	2	-1
9474	125	56423	2	-1
9475	125	56424	2	-1
9476	125	56425	2	-1
9477	125	56426	2	-1
9478	125	56093	1	-1
9479	125	56094	1	-1
9480	125	56095	1	-1
9481	126	57856	1	-1
9482	126	57857	1	-1
9483	126	57858	1	-1
9484	126	57860	1	-1
9485	126	57866	2	-1
9486	126	57867	2	-1
9487	126	57868	2	-1
9488	126	57869	2	-1
9489	126	57870	2	-1
9490	126	57855	1	-1
9491	127	56416	2	-1
9492	127	55992	1	-1
9493	127	55993	1	-1
9494	127	55994	1	-1
9495	127	55995	1	-1
9496	127	55996	1	-1
9497	127	56412	2	-1
9498	127	56413	2	-1
9499	127	56414	2	-1
9500	127	56415	2	-1
9501	128	56000	1	-1
9502	128	56001	1	-1
9503	128	56417	2	-1
9504	128	56418	2	-1
9505	128	56419	2	-1
9506	128	56420	2	-1
9507	128	56421	2	-1
9508	128	55997	1	-1
9509	128	55998	1	-1
9510	128	55999	1	-1
9511	129	57872	2	-1
9512	129	57873	2	-1
9513	129	57874	2	-1
9514	129	57875	2	-1
9515	129	57861	1	-1
9516	129	57862	1	-1
9517	129	57863	1	-1
9518	129	57864	1	-1
9519	129	57865	1	-1
9520	129	57871	2	-1
9521	130	56098	1	-1
9522	130	56099	1	-1
9523	130	56100	1	-1
9524	130	56101	1	-1
9525	130	56102	1	-1
9526	130	56104	1	-1
9527	130	56105	1	-1
9528	130	56106	1	-1
9529	130	56107	1	-1
9530	130	56427	2	-1
9531	130	56108	1	-1
9532	130	56428	2	-1
9533	130	56429	2	-1
9534	130	56430	2	-1
9535	130	56431	2	-1
9536	130	56432	2	-1
9537	130	56433	2	-1
9538	130	56434	2	-1
9539	130	56435	2	-1
9540	130	56436	2	-1
9541	131	56112	1	-1
9542	131	56113	1	-1
9543	131	56114	1	-1
9544	131	56115	1	-1
9545	131	56116	1	-1
9546	131	56440	2	-1
9547	131	56441	2	-1
9548	131	56442	2	-1
9549	131	56443	2	-1
9550	131	56444	2	-1
9551	132	56448	2	-1
9552	132	56449	2	-1
9553	132	56118	1	-1
9554	132	56119	1	-1
9555	132	56120	1	-1
9556	132	56121	1	-1
9557	132	56122	1	-1
9558	132	56445	2	-1
9559	132	56446	2	-1
9560	132	56447	2	-1
9561	133	56450	2	-1
9562	133	56451	2	-1
9563	133	56452	2	-1
9564	133	56453	2	-1
9565	133	56454	2	-1
9566	133	56123	1	-1
9567	133	56124	1	-1
9568	133	56125	1	-1
9569	133	56126	1	-1
9570	133	56127	1	-1
9571	134	56128	1	-1
9572	134	56129	1	-1
9573	134	56130	1	-1
9574	134	56131	1	-1
9575	134	56132	1	-1
9576	134	56133	1	-1
9577	134	56455	2	-1
9578	134	56135	1	-1
9579	134	56136	1	-1
9580	134	56456	2	-1
9581	134	56137	1	-1
9582	134	56457	2	-1
9583	134	56138	1	-1
9584	134	56458	2	-1
9585	134	56459	2	-1
9586	134	56460	2	-1
9587	134	56461	2	-1
9588	134	56462	2	-1
9589	134	56463	2	-1
9590	134	56464	2	-1
9591	139	60416	15	-1
9592	139	60673	-1	-1
9593	139	60419	15	-1
9594	139	60421	15	-1
9595	139	60424	15	-1
9596	139	60426	15	-1
9597	139	60429	15	-1
9598	139	60431	15	-1
9599	139	60434	15	-1
9600	139	60436	15	-1
9601	139	60439	15	-1
9602	139	60441	15	-1
9603	139	60443	15	-1
9604	139	60445	15	-1
9605	139	60448	15	-1
9606	139	60450	15	-1
9607	139	60453	15	-1
9608	139	60455	15	-1
9609	139	60459	15	-1
9610	139	60461	15	-1
9611	139	60463	15	-1
9612	139	60465	15	-1
9613	139	60468	15	-1
9614	139	60470	15	-1
9615	139	60473	15	-1
9616	139	60475	15	-1
9617	139	60478	15	-1
9618	139	60480	15	-1
9619	139	60245	15	-1
9620	139	60247	15	-1
9621	139	60248	15	-1
9622	139	60505	15	-1
9623	139	60250	15	-1
9624	139	60508	15	-1
9625	139	60509	15	-1
9626	139	60255	15	-1
9627	139	60513	15	-1
9628	139	60257	15	-1
9629	139	61026	-1	-1
9630	139	60516	15	-1
9631	139	60261	15	-1
9632	139	61031	-1	-1
9633	139	60776	-1	-1
9634	139	61032	-1	-1
9635	139	61033	-1	-1
9636	139	60521	15	-1
9637	139	60778	-1	-1
9638	139	60779	-1	-1
9639	139	60783	-1	-1
9640	139	60786	-1	-1
9641	139	60787	-1	-1
9642	139	60275	15	-1
9643	139	60788	-1	-1
9644	139	60533	15	-1
9645	139	60534	15	-1
9646	139	60278	15	-1
9647	139	61047	-1	-1
9648	139	60536	15	-1
9649	139	60280	15	-1
9650	139	60794	-1	-2
9651	139	60539	15	-1
9652	139	60283	15	-1
9653	139	60540	15	-1
9654	139	60285	15	-1
9655	139	60799	-1	-2
9656	139	60800	-1	-2
9657	139	60288	15	-1
9658	139	60801	-1	-3
9659	139	60290	15	-1
9660	139	60806	-1	-3
9661	139	60807	-1	-3
9662	139	60554	15	-1
9663	139	60298	15	-1
9664	139	60555	15	-1
9665	139	60300	15	-1
9666	139	60557	15	-1
9667	139	60305	15	-1
9668	139	60307	15	-1
9669	139	60564	15	-1
9670	139	60310	15	-1
9671	139	60567	15	-1
9672	139	60312	15	-1
9673	139	60314	15	-1
9674	139	60316	15	-1
9675	139	60319	15	-1
9676	139	60321	15	-1
9677	139	60324	15	-1
9678	139	60580	15	-1
9679	139	60581	15	-1
9680	139	60326	15	-1
9681	139	60583	15	-1
9682	139	60330	15	-1
9683	139	60586	15	-1
9684	139	60587	15	-1
9685	139	60332	15	-1
9686	139	60589	15	-1
9687	139	60593	15	-1
9688	139	60340	15	-1
9689	139	60342	15	-1
9690	139	60345	15	-1
9691	139	60602	15	-1
9692	139	60347	15	-1
9693	139	60604	15	-1
9694	139	60350	15	-1
9695	139	60607	15	-1
9696	139	60352	15	-1
9697	139	60355	15	-1
9698	139	60612	15	-1
9699	139	60613	15	-1
9700	139	60357	15	-1
9701	139	60361	15	-1
9702	139	60363	15	-1
9703	139	60626	15	-1
9704	139	60628	15	-1
9705	139	60630	15	-1
9706	139	60634	15	-1
9707	139	60636	15	-1
9708	139	60637	15	-1
9709	139	60645	-1	-1
9710	139	60647	-1	-1
9711	139	60649	-1	-1
9712	139	60650	-1	-1
9713	139	60651	-1	-1
9714	139	60658	-1	-1
9715	139	60659	-1	-1
9716	139	60661	-1	-1
9717	139	60662	-1	-1
9718	139	60664	-1	-1
9719	139	60409	15	-1
9720	139	60411	15	-1
9721	139	60668	-1	-1
9722	139	60669	-1	-1
9723	139	60414	15	-1
9724	139	60670	-1	-1
9725	140	70400	-1	-1
9726	140	70401	-1	-1
9727	140	70402	-1	-1
9728	140	70403	-1	-1
9729	140	70404	-1	-1
9730	140	70942	15	-1
9731	140	70943	15	-1
9732	140	70947	15	-1
9733	140	70949	15	-1
9734	140	70952	15	-1
9735	140	70953	15	-1
9736	140	70245	15	-1
9737	140	70247	15	-1
9738	140	71271	15	-1
9739	140	71273	15	-1
9740	140	70250	15	-1
9741	140	71276	15	-1
9742	140	70252	15	-1
9743	140	71278	15	-1
9744	140	70255	15	-1
9745	140	71281	15	-1
9746	140	70257	15	-1
9747	140	71283	15	-1
9748	140	70260	15	-1
9749	140	70262	15	-1
9750	140	71286	15	-1
9751	140	71288	15	-1
9752	140	70265	15	-1
9753	140	70267	15	-1
9754	140	71292	15	-1
9755	140	71294	15	-1
9756	140	70270	15	-1
9757	140	70272	15	-1
9758	140	71297	15	-1
9759	140	71299	15	-1
9760	140	70275	15	-1
9761	140	70277	15	-1
9762	140	71302	15	-1
9763	140	71046	15	-1
9764	140	70279	15	-1
9765	140	71048	15	-1
9766	140	71304	15	-1
9767	140	70281	15	-1
9768	140	71050	15	-1
9769	140	71052	15	-1
9770	140	70284	15	-1
9771	140	70286	15	-1
9772	140	70289	15	-1
9773	140	71059	15	-1
9774	140	70291	15	-1
9775	140	71061	15	-1
9776	140	70295	15	-1
9777	140	71064	15	-1
9778	140	70297	15	-1
9779	140	71066	15	-1
9780	140	70299	15	-1
9781	140	71069	15	-1
9782	140	70301	15	-1
9783	140	71071	15	-1
9784	140	70304	15	-1
9785	140	70306	15	-1
9786	140	70309	15	-1
9787	140	70311	15	-1
9788	140	70314	15	-1
9789	140	70316	15	-1
9790	140	70319	15	-1
9791	140	70320	15	-1
9792	140	70321	15	-1
9793	140	70322	15	-1
9794	140	70323	15	-1
9795	140	71092	15	-1
9796	140	70324	15	-1
9797	140	70325	15	-1
9798	140	71094	15	-1
9799	140	70326	15	-1
9800	140	70327	15	-1
9801	140	70328	15	-1
9802	140	71097	15	-1
9803	140	70329	15	-1
9804	140	70330	15	-1
9805	140	71099	15	-1
9806	140	70331	15	-1
9807	140	70332	15	-1
9808	140	70333	15	-1
9809	140	71102	15	-1
9810	140	70334	15	-1
9811	140	70335	15	-1
9812	140	71104	15	-1
9813	140	70336	15	-1
9814	140	70337	15	-1
9815	140	70338	15	-1
9816	140	71107	15	-1
9817	140	70339	15	-1
9818	140	70340	15	-1
9819	140	71109	15	-1
9820	140	70341	15	-1
9821	140	70342	15	-1
9822	140	70343	15	-1
9823	140	70344	15	-1
9824	140	70345	15	-1
9825	140	70346	15	-1
9826	140	70347	15	-1
9827	140	70348	15	-1
9828	140	70349	15	-1
9829	140	70350	15	-1
9830	140	70351	15	-1
9831	140	70352	15	-1
9832	140	70354	15	-1
9833	140	70356	15	-1
9834	140	70358	15	-1
9835	140	70359	15	-1
9836	140	70360	15	-1
9837	140	70361	15	-1
9838	140	70362	15	-1
9839	140	70363	15	-1
9840	140	70364	15	-1
9841	140	70365	15	-1
9842	140	70366	15	-1
9843	140	70367	15	-1
9844	140	70368	15	-1
9845	140	70369	15	-1
9846	140	70370	15	-1
9847	140	70371	15	-1
9848	140	70372	15	-1
9849	140	70373	15	-1
9850	140	70374	15	-1
9851	140	70375	15	-1
9852	140	70376	15	-1
9853	140	70377	15	-1
9854	140	70378	15	-1
9855	140	70379	15	-1
9856	140	70380	15	-1
9857	140	70381	15	-1
9858	140	70382	15	-1
9859	140	70383	15	-1
9860	140	70384	15	-1
9861	140	70385	15	-1
9862	140	70386	15	-1
9863	140	70387	15	-1
9864	140	70388	15	-1
9865	140	70389	15	-1
9866	140	70390	-1	-2
9867	140	70391	-1	-2
9868	140	70392	-1	-2
9869	140	70393	-1	-3
9870	140	70394	-1	-3
9871	140	70395	-1	-3
9872	140	70396	-1	-1
9873	140	70397	-1	-1
9874	140	70398	-1	-1
9875	140	70399	-1	-1
9876	154	63488	3	-1
9877	154	65376	12	-1
9878	154	63489	3	-1
9879	154	65377	12	-1
9880	154	63490	3	-1
9881	154	63491	3	-1
9882	154	63492	3	-1
9883	154	63493	3	-1
9884	154	63494	3	-1
9885	154	63495	3	-1
9886	154	63496	3	-1
9887	154	63497	3	-1
9888	154	63498	3	-1
9889	154	65367	12	-1
9890	154	65368	12	-1
9891	154	65369	12	-1
9892	154	65370	12	-1
9893	154	65371	12	-1
9894	154	65372	12	-1
9895	154	65373	12	-1
9896	154	65374	12	-1
9897	154	65375	12	-1
9898	155	65088	12	-1
9899	155	65089	12	-1
9900	155	63041	-1	-1
9901	155	63682	3	-1
9902	155	69827	3	-1
9903	155	63683	3	-1
9904	155	69828	3	-1
9905	155	63684	3	-1
9906	155	69829	3	-1
9907	155	69830	3	-1
9908	155	69831	3	-1
9909	155	69833	3	-1
9910	155	69834	3	-1
9911	155	69835	3	-1
9912	155	63499	3	-1
9913	155	63500	3	-1
9914	155	63501	3	-1
9915	155	63502	3	-1
9916	155	63503	3	-1
9917	155	63504	3	-1
9918	155	63505	3	-1
9919	155	63506	3	-1
9920	155	63507	3	-1
9921	155	68127	3	-1
9922	155	68128	3	-1
9923	155	68129	3	-1
9924	155	68130	12	-1
9925	155	65378	12	-1
9926	155	68131	12	-1
9927	155	65379	12	-1
9928	155	68132	12	-1
9929	155	65380	12	-1
9930	155	65381	12	-1
9931	155	65382	12	-1
9932	155	65383	12	-1
9933	155	65384	12	-1
9934	155	65000	12	-1
9935	155	65385	12	-1
9936	155	65001	12	-1
9937	155	65386	12	-1
9938	155	65002	12	-1
9939	155	69878	12	-1
9940	155	66998	12	-1
9941	155	69879	12	-1
9942	155	69880	12	-1
9943	155	69881	12	-1
9944	155	64314	3	-1
9945	155	69882	12	-1
9946	155	64315	3	-1
9947	155	69883	12	-1
9948	155	64316	3	-1
9949	155	69884	12	-1
9950	155	69885	12	-1
9951	155	65087	12	-1
9952	156	67424	12	-1
9953	156	67425	12	-1
9954	156	59469	3	-1
9955	156	65133	12	-1
9956	156	59470	3	-1
9957	156	65134	12	-1
9958	156	59471	3	-1
9959	156	65135	12	-1
9960	156	65136	12	-1
9961	156	59472	3	-1
9962	156	65137	12	-1
9963	156	59473	3	-1
9964	156	65138	12	-1
9965	156	59474	3	-1
9966	156	59475	3	-1
9967	156	65139	12	-1
9968	156	65140	12	-1
9969	156	59476	3	-1
9970	156	65141	12	-1
9971	156	65142	12	-1
9972	156	65143	12	-1
9973	156	65144	12	-1
9974	156	59481	3	-1
9975	156	59482	3	-1
9976	156	59483	3	-1
9977	156	59484	3	-1
9978	156	67423	12	-1
9979	157	65091	12	-1
9980	157	65092	12	-1
9981	157	65093	12	-1
9982	157	65094	12	-1
9983	157	65095	12	-1
9984	157	65096	12	-1
9985	157	63531	3	-1
9986	157	63532	3	-1
9987	157	63533	3	-1
9988	157	63534	3	-1
9989	157	63535	3	-1
9990	157	63536	3	-1
9991	157	65105	12	-1
9992	157	65106	12	-1
9993	157	65107	12	-1
9994	157	65108	12	-1
9995	157	65109	12	-1
9996	157	59512	3	-1
9997	157	65112	12	-1
9998	157	59515	3	-1
9999	157	59516	3	-1
10000	157	59517	3	-1
10001	157	59518	3	-1
10002	157	59519	3	-1
10003	158	65120	12	-1
10004	158	65121	12	-1
10005	158	65122	12	-1
10006	158	59502	3	-1
10007	158	59503	3	-1
10008	158	59504	3	-1
10009	158	59505	3	-1
10010	158	59506	3	-1
10011	158	59507	3	-1
10012	158	59508	3	-1
10013	158	59509	3	-1
10014	158	65110	12	-1
10015	158	59510	3	-1
10016	158	65111	12	-1
10017	158	59511	3	-1
10018	158	65113	12	-1
10019	158	59513	3	-1
10020	158	59514	3	-1
10021	158	65114	12	-1
10022	158	65115	12	-1
10023	158	65116	12	-1
10024	158	65117	12	-1
10025	158	65118	12	-1
10026	158	65119	12	-1
10027	167	63680	3	-1
10028	167	65088	12	-1
10029	167	65089	12	-1
10030	167	59330	3	-1
10031	167	59490	3	-1
10032	167	65090	12	-1
10033	167	65123	12	-1
10034	167	65124	12	-1
10035	167	65125	12	-1
10036	167	65126	12	-1
10037	167	59494	3	-1
10038	167	65127	12	-1
10039	167	59495	3	-1
10040	167	65128	12	-1
10041	167	65129	12	-1
10042	167	59497	3	-1
10043	167	59498	3	-1
10044	167	65130	12	-1
10045	167	59499	3	-1
10046	167	65131	12	-1
10047	167	59500	3	-1
10048	167	65132	12	-1
10049	167	59501	3	-1
10050	167	68600	12	-1
10051	167	65145	12	-1
10052	167	64314	3	-1
10053	167	64315	3	-1
10054	167	64316	3	-1
10055	167	59485	3	-1
10056	167	59486	3	-1
10057	167	59487	3	-1
10058	167	65087	12	-1
10059	168	60226	12	-1
10060	168	60227	12	-1
10061	168	60228	12	-1
10062	168	60229	12	-1
10063	168	60230	12	-1
10064	168	60231	12	-1
10065	168	60232	12	-1
10066	168	60233	12	-1
10067	168	60234	12	-1
10068	168	60235	12	-1
10069	168	60236	12	-1
10070	168	60237	12	-1
10071	168	60238	12	-1
10072	169	65004	12	-1
10073	169	59117	3	-1
10074	169	59118	3	-1
10075	169	59119	3	-1
10076	169	59216	3	-1
10077	169	59120	3	-1
10078	169	59217	3	-1
10079	169	59121	3	-1
10080	169	59218	3	-1
10081	169	59122	3	-1
10082	169	59219	3	-1
10083	169	65076	12	-1
10084	169	59220	3	-1
10085	169	63540	3	-1
10086	169	65077	12	-1
10087	169	65078	12	-1
10088	169	65079	12	-1
10089	169	65080	12	-1
10090	169	65081	12	-1
10091	169	65082	12	-1
10092	169	65083	12	-1
10093	169	65084	12	-1
10094	169	65085	12	-1
10095	169	65086	12	-1
10096	170	59328	3	-1
10097	170	59329	3	-1
10098	170	59331	3	-1
10099	170	59492	3	-1
10100	170	59332	3	-1
10101	170	59333	3	-1
10102	170	59334	3	-1
10103	170	59335	3	-1
10104	170	59336	3	-1
10105	170	59340	3	-1
10106	170	59341	3	-1
10107	170	65007	12	-1
10108	170	65041	12	-1
10109	170	65042	12	-1
10110	170	65044	12	-1
10111	170	65045	12	-1
10112	170	65046	12	-1
10113	170	65047	12	-1
10114	170	65048	12	-1
10115	170	65049	12	-1
10116	170	65050	12	-1
10117	170	65051	12	-1
10118	170	59452	3	-1
10119	170	65020	12	-1
10120	171	65056	12	-1
10121	171	65058	12	-1
10122	171	65059	12	-1
10123	171	65060	12	-1
10124	171	65061	12	-1
10125	171	67429	12	-1
10126	171	65062	12	-1
10127	171	67430	12	-1
10128	171	67431	12	-1
10129	171	65063	12	-1
10130	171	65066	12	-1
10131	171	59312	3	-1
10132	171	59315	3	-1
10133	171	59316	3	-1
10134	171	59317	3	-1
10135	171	59318	3	-1
10136	171	59319	3	-1
10137	171	59320	3	-1
10138	171	59322	3	-1
10139	171	59324	3	-1
10140	171	65052	12	-1
10141	171	59325	3	-1
10142	171	65053	12	-1
10143	171	59326	3	-1
10144	171	65054	12	-1
10145	171	59327	3	-1
10146	171	65055	12	-1
10147	172	59233	3	-1
10148	172	59234	3	-1
10149	172	65028	12	-1
10150	172	65064	12	-1
10151	172	65065	12	-1
10152	172	65067	12	-1
10153	172	65068	12	-1
10154	172	65069	12	-1
10155	172	65070	12	-1
10156	172	59310	3	-1
10157	172	59311	3	-1
10158	172	65071	12	-1
10159	172	65072	12	-1
10160	172	59313	3	-1
10161	172	65073	12	-1
10162	172	59314	3	-1
10163	172	65075	12	-1
10164	172	59221	3	-1
10165	172	59223	3	-1
10166	172	59224	3	-1
10167	172	59225	3	-1
10168	172	59355	3	-1
10169	172	59451	3	-1
10170	172	65021	12	-1
10171	173	67426	12	-1
10172	173	67427	12	-1
10173	173	67428	12	-1
10174	173	65029	12	-1
10175	173	65030	12	-1
10176	173	65031	12	-1
10177	173	65032	12	-1
