m_id	m_mapId	m_posX	m_posY	m_posZ	field5	field6	field7	field8	field9	field10	field11	field12
322	90	-312.205	-463.256	-148.657	0	0	0	14	0	0	0	0
324	0	-5154.98	916.549	287.395	0	0	370	0	24	36	12	0.6876
342	0	-9.029.174	-6.083.289	564.679	0	0	0	30	0	0	0	0
382	0	-8681.4	434.439	99.259	0	0	0	7	0	0	0	0
422	1	-931.614	1691.15	890.649	0	0	0	20	0	0	0	0
442	1	-4664.6	-2536.93	826.679	0	0	0	0	14.14	14.14	22	5.743
444	129	2593.94	1124.64	56.179	0	0	0	11	0	0	0	0
446	0	-10292.3	-3990.02	-68	0	0	0	0	3	6	8	1.307
448	109	-303.879	957.567	-87	0	0	0	0	30	16	10	6.269
462	47	2107.72	1823.77	799.696	0	0	0	10	0	0	0	0
463	47	2165.75	1944.75	614.635	0	0	0	15	0	0	0	0
482	0	-8932.78	-1986.4	139.905	0	0	0	12	0	0	0	0
503	34	393.741	0.803469	-127.883	0	0	0	8	0	0	0	0
522	1	-1679.3	-4328.96	258.591	0	0	0	4	0	0	0	0
523	0	-4914.93	827.915	271.146	0	0	370	0	18	20	16	6.191
525	90	-717.868	137.207	-241.293	0	0	0	12	0	0	0	0
527	1	9947.48	2630.04	1318.6	0	0	0	10	0	0	0	0
542	1	8393.8	1003.9	301.912	0	0	0	10	0	0	0	0
562	0	-9465.58	168.472	-65.921	0	0	0	30	0	0	0	0
602	189	1687.57	1040.09	209.829	0	0	0	8	0	0	0	0
604	189	853.679	1308.1	196.714	0	0	0	8	0	0	0	0
606	189	1608.65	-308.97	207.824	0	0	0	8	0	0	0	0
608	189	253.601	-186.804	210.385	0	0	0	0	30	32	10	0
610	0	2925.18	-820.545	161.634	0	0	0	8	0	0	0	0
612	0	2877.98	-839.267	163.049	0	0	0	6	0	0	0	0
614	0	2864.82	-823.42	160.332	0	0	0	0	4	10.22	15	0.4299
682	0	-9219.37	-2149.94	70.606	0	0	0	30	0	0	0	0
702	0	-9020.67	890.104	34	0	0	0	0	3	9	11	5.385
704	0	-9017.37	877.299	152	0	0	0	0	2	8	8	5.433
707	0	-10517	-1158.39	390.542	0	0	0	30	0	0	0	0
708	0	945.234	-1448.1	629.038	0	0	0	0	12.18	11.86	11.53	4.712
709	1	-3615.49	-4467.34	243.141	0	0	0	30	0	0	0	0
710	0	-5601.46	-530.747	395.483	0	0	0	35	0	0	0	0
712	0	-5390.18	-2953.93	322.03	0	0	0	36	0	0	0	0
715	1	9809.05	959.188	1315.35	0	0	0	32	0	0	0	0
717	1	2756.64	-423.057	119.387	0	0	0	32	0	0	0	0
719	0	2303.72	279.352	30	0	0	0	25	0	0	0	0
721	0	-582.847	-979.064	534.992	0	0	0	0	40.22	54.47	40.58	5.829
722	1	-2366.7	-345.983	-129.313	0	0	0	30	0	0	0	0
742	1	-405.311	-2645.29	111.972	0	0	0	30	0	0	0	0
743	1	-1051.44	-3653.81	311.352	0	0	0	30	0	0	0	0
762	48	-842.076	-472.462	-340.656	0	0	0	10	0	0	0	0
802	0	-3752.81	-851.558	101.153	0	0	0	20	0	0	0	0
803	0	-3668.34	-823.839	989.915	0	0	0	12	0	0	0	0
822	70	-234.444	319.127	-475.885	0	0	0	20	0	0	0	0
843	1	341.42	-4684.7	309.493	0	0	0	30	0	0	0	0
844	0	-10487.3	-3256.87	398.964	0	0	0	30	0	0	0	0
862	0	-14457	496.45	391.392	0	0	0	28	0	0	0	0
882	70	-213.72	370.607	-353.887	0	0	0	10	0	0	0	0
902	0	-6606.48	-3762.19	266.91	0	0	0	12	0	0	0	0
922	209	1182.88	840.538	888.165	0	0	0	0	50	50	25	0
924	1	-6790.88	-2891.95	888.639	0	0	0	0	4.636	10.59	25	0
942	1	-4950.65	-1625.14	-30.157	0	0	0	25	0	0	0	0
943	1	-4950.74	-1595.14	-30.157	0	0	0	25	0	0	0	0
944	1	-4950.65	-1567.1	-30.157	0	0	0	25	0	0	0	0
962	209	1909.27	1015.11	115.155	0	0	0	10	0	0	0	0
1022	1	898.482	922.688	126.788	0	0	0	35	0	0	0	0
1023	1	-7065.11	-3857.41	89.294	0	0	0	20	0	0	0	0
1024	1	-4463.41	2241.23	306.336	0	0	0	0	38.96	64.94	15	0
1042	0	357.22	-2106.09	121.839	0	0	0	60	0	0	0	0
1064	249	292.427	-221.812	105.272	0	0	0	30	0	0	0	0
1103	0	-12412.7	237.255	117.941	0	0	0	1.8	0	0	0	0
1104	90	-337.346	-524.644	-152.851	0	0	0	1.8	0	0	0	0
1105	90	-377.056	44.05	-156.483	0	0	0	15	0	0	0	0
1125	0	-8561.54	823.383	106.519	0	0	0	3	0	0	0	0
1205	0	-295.639	-3460.68	193.884	0	0	0	14	0	0	0	0
1306	109	-496.854	426.929	-911.318	0	0	0	25	0	0	0	0
1326	109	-467.521	953.083	-105	0	0	0	7	0	0	0	0
1387	1	4260.73	-6273.64	902.289	0	0	0	20	0	0	0	0
1388	1	4277.58	-6296	955.764	0	0	0	20	0	0	0	0
1446	0	-11185.1	-2834.63	116.474	0	0	0	2	0	0	0	0
1447	209	1811.05	700.976	15.294	0	0	0	30	20	20	20	0
1466	0	-7176.63	-937.667	170.206	0	0	0	13	0	0	0	0
1468	0	-7519.68	-1239.06	290	0	0	0	0	16	15	10	0.5445
1470	229	735.083	-215.044	523.869	0	0	0	10	0	0	0	0
1472	230	456.969	48.368	-652.753	0	0	0	12	0	0	0	0
1506	0	-7921.14	-2604.18	223.346	0	0	0	8	0	0	0	0
1526	230	596.432	-188.498	-50	0	0	0	8	0	0	0	0
1590	230	376.106	-191.242	-705.449	0	0	0	10	0	0	0	0
1606	0	-6730.68	-2481.08	280.472	0	0	0	14.5	0	0	0	0
1626	269	3122.2	2324.64	-129.32	0	0	0	70	0	0	0	0
1628	229	-785.819	-401.395	389.428	0	0	0	20	0	0	0	0
1646	0	-907.865	-3534.24	837.878	0	0	0	30	0	0	0	0
1667	1	-3464.71	-4120.93	170.987	0	0	0	9	0	0	0	0
1686	230	319.974	-215.185	-779.542	0	0	0	10	0	0	0	0
1726	1	-7286.01	-2125.06	-272.114	0	0	0	12	0	0	0	0
1727	1	-7208.42	-2027.09	-271.74	0	0	0	12	0	0	0	0
1728	1	-7170.02	-1852.79	-272.988	0	0	0	12	0	0	0	0
1729	1	-7395.19	-1735.68	-279.763	0	0	0	12	0	0	0	0
1730	1	-7449.9	-2111.57	-271.766	0	0	0	12	0	0	0	0
1731	1	-7463.35	-1957.64	-272.532	0	0	0	12	0	0	0	0
1732	1	-7509.58	-1946.56	-270.537	0	0	0	12	0	0	0	0
1733	1	-7516.87	-1829.76	-272.647	0	0	0	12	0	0	0	0
1734	1	-7594.12	-1771.62	-273.612	0	0	0	12	0	0	0	0
1735	1	-7748.9	-1721.14	-271.909	0	0	0	12	0	0	0	0
1736	1	-7768.61	-1957.63	-272.126	0	0	0	12	0	0	0	0
1737	1	-7612.56	-1930.87	-271.828	0	0	0	12	0	0	0	0
1738	1	-7952.2	-1792.01	-272.893	0	0	0	12	0	0	0	0
1739	1	-7895.29	-1623.62	-269.707	0	0	0	12	0	0	0	0
1740	1	-7874.18	-1806.3	-271.459	0	0	0	12	0	0	0	0
1746	230	411.617	-201.646	-651.446	0	0	0	10	0	0	0	0
1766	1	-7.308.713	-2.001.473	-2.724.505	0	0	0	12	0	0	0	0
1786	230	690.518	-280.052	-431.969	0	0	0	7	0	0	0	0
1826	230	471.142	-934.378	-697.993	0	0	0	10	0	0	0	0
1827	230	1380.15	-554.604	-89.643	0	0	0	20	0	0	0	0
1828	230	497.399	132.319	-701.372	0	0	0	10	0	0	0	0
1906	1	6818.56	-391.735	40.123	0	0	0	50	0	0	0	0
1926	230	845.911	-317.369	-502.868	0	0	0	10	0	0	0	0
1946	229	708.611	-409.014	643.477	0	0	0	10	0	0	0	0
1966	1	4988.97	547.002	537.929	0	0	0	11	0	0	0	0
1986	229	910.854	-408.374	643.477	0	0	0	10	0	0	0	0
1987	229	109.608	-415.698	643.477	0	0	0	10	0.3333	0.3333	0.3333	0
2026	229	153.763	-419.833	110.472	0	0	0	20	0	0	0	0
2046	229	102.43	-319.167	654.635	0	0	0	10	0	0	0	0
2066	229	752.622	-547.679	110.928	0	0	0	30	0	0	0	0
2067	229	264.583	-522.471	110.943	0	0	0	15	0	0	0	0
2068	229	259.285	-299.325	241.095	0	0	0	0	20	20	20	0
2166	369	76.027	105.043	-429.659	0	0	0	0	9.417	19	20.64	0
2171	369	801.633	2490.88	-185.693	0	0	0	10	0	0	0	0
2173	0	-8350.8	506.665	890.422	0	0	0	0	16	16	16	0.6599
2175	0	-4840.26	-1330.46	508.172	0	0	0	10	0	0	0	0
2187	329	3673.6	-3633.87	139.943	0	0	0	5	0	0	0	0
2206	1	5483.9	-749.881	334.621	0	0	0	30	0	0	0	0
2207	1	5552.09	-683.813	335.25	0	0	0	25	0	0	0	0
2208	1	5587.02	-784.025	335.822	0	0	0	23	0	0	0	0
2209	329	3665.11	-3164.96	127.224	0	0	0	10	0	0	0	0
2210	329	3663.95	-3164.27	127.361	0	0	0	10	0	0	0	0
2211	1	6107.62	-4181.6	852.322	0	0	0	2	0	0	0	0
2213	1	5893.32	-4054.83	596.322	0	0	0	2	0	0	0	0
2214	0	3237.46	-4060.6	112.01	0	0	0	0	10	10	10	0
2216	0	3392.46	-3389.2	143.073	0	0	0	0	22.83	20	34.69	0
2217	0	3392.56	-3369	142.802	0	0	0	0	27.94	20	35.19	0
2221	329	3584.78	-3632.05	142.118	0	0	0	10	9.778	17.94	27.92	0
2226	389	258.019	-0.013587	-133.668	0	0	0	0	30.69	12.19	25.56	0
2230	1	1818.4	-4427.26	-104.478	0	0	0	0	21.69	11.83	21.22	0.576
2266	1	245.587	1251.99	210.145	0	0	0	40	0	0	0	0
2267	1	-1596.16	3145.26	613.618	0	0	0	0	30.03	30.03	30.03	0
2287	1	6687.99	-4670.07	723.891	0	0	0	20	0	0	0	0
2327	1	5018.91	-4563.94	851.75	0	0	0	50	0	0	0	0
2387	0	-9897.21	-3725.09	246.671	0	0	0	15	0	0	0	0
2406	33	-287.071	2175.64	368.861	0	0	0	0	98.86	185.6	80.58	2.88
2407	33	-315.991	2179.63	917.542	0	0	0	0	36.06	182.8	212.6	2.897
2408	33	-232.372	2077.1	681.177	0	0	0	0	44.67	123.2	43.31	4.311
2409	33	-255.273	2035.76	114.437	0	0	0	0	59.69	228.5	169.4	4.328
2410	33	-167.092	2104.22	734.497	0	0	0	0	53	114.7	17.08	6.021
2411	33	-179.729	2079.37	426.945	0	0	0	0	19.03	162.1	187.1	6.091
2412	0	97.432	-176.274	127.866	0	0	0	0	10.56	16.5	22.17	5.253
2413	0	544.83	-1079.95	109.494	0	0	0	0	12.17	19.06	12.06	3.822
2426	469	-7474.01	-1286.34	431.304	0	0	0	0	181.8	234.7	63.94	5.323
2427	469	-7375.32	-1240.14	494.28	0	0	0	0	53.86	189.9	77.06	0.733
2428	469	-7568.4	-1375.66	468.508	0	0	0	0	225.3	75.97	132.2	5.341
2429	469	-7412.97	-1371.59	413.426	0	0	0	0	243.3	72.94	245.9	3.787
2486	1	6207.5	-152.833	798.185	0	0	0	15	0	0	0	0
2530	450	215.194	71.157	301.276	0	0	0	0	10	10	10	3.595
2534	449	-0.358041	-197.986	-0.255884	0	0	0	0	7.306	3.833	6.194	0
2547	289	332.866	943.108	922.221	0	0	0	0	8.194	38.44	60.42	0
2548	289	322.884	112.137	986.726	0	0	0	0	11.25	37.44	44.03	0.8029
2549	289	325.184	756.181	938.744	0	0	0	0	9.694	31.42	54.17	5.236
2567	0	1282.05	-2548.73	853.994	0	0	0	0	10.56	13.03	21.67	0.4712
2568	289	182.265	126.45	143.707	0	0	0	0	12.33	8.889	16.39	0
2606	30	-1510.09	-715.864	488.774	0	0	0	0	9.556	14.06	16.17	0.7225
2608	30	946.833	-500.092	949.295	0	0	0	0	8.667	18.31	24.31	1.134
2610	1	2343.57	-2569	118.827	0	0	0	30	0	0	0	0
2647	0	2841.81	-1544.52	190.516	0	0	0	7	0	0	0	0
2706	0	2964.56	-2712.89	987.446	0	0	0	10	0.3333	0.3333	0.3333	0
2707	0	2980.1	-2720.92	999.337	0	0	0	10	0.2778	0.2778	0.2778	0
2746	0	-8821.36	633.297	940.758	0	0	0	15	0.2778	0.2778	0.2778	0
2786	0	-9050.87	445.458	930.558	0	0	0	1	0.2778	0.2778	0.2778	0
2848	1	-4768.61	-3752.11	534.317	0	0	0	16	0	0	0	0
2886	230	1097.99	-466.494	-960.719	0	0	0	20	0	0	0	0
2890	409	1115.22	-462.959	-950.148	0	0	0	20	0	0	0	0
2926	1	1999.15	-1121.28	973.537	0	0	0	9	0	0	0	0
2946	1	200.575	402.673	101.012	0	0	0	45	0	0	0	0
3066	0	409.673	-1490.37	174.516	0	0	0	8	0	0	0	0
3106	0	-300.533	-1576.5	194.453	0	0	0	5	0	0	0	0
3126	349	756.878	-633.96	-328.191	0	0	0	0	15.94	26.44	44.14	1.641
3131	349	1005.02	-460.539	-432.507	0	0	0	0	10.14	31.42	23.42	0.01745
3133	1	-1484.07	2617.57	757.144	0	0	0	0	24.69	15.78	35.19	4.538
3134	1	-1181.98	2861.95	852.581	0	0	0	0	31.69	17.33	34.19	3.211
3146	1	-7180.94	441.137	265.449	0	0	0	10	0.2778	0.2778	0.2778	0
3183	1	-3759.69	934.929	161.025	0	0	0	0	9.389	12.78	19.67	0
3184	1	-3981.2	793.726	161.009	0	0	0	0	10.31	5.972	20.22	0
3185	1	-4028.21	123.966	31	0	0	0	0	9.833	4.583	15.69	0.4712
3186	1	-3822.63	1249.92	160.27	0	0	0	0	8.194	9.083	18.36	0
3187	1	-3757.75	1249.2	160.269	0	0	0	0	7.861	10.33	18.69	0
3189	1	-3519.95	1089.93	161.065	0	0	0	0	9.861	11.86	23.22	0
3190	429	-559.658	159.867	-346.206	0	0	0	0	7.222	10.08	19.56	0
3191	429	245.609	159.45	-346.677	0	0	0	0	7.694	9.694	21.61	0
3193	429	255.249	-905.606	-258.737	0	0	0	0	8.333	8.583	20.72	0
3194	429	374.499	-154.822	-271.201	0	0	0	0	8.917	9.167	19.44	0
3195	429	-202.664	-314.876	-272.353	0	0	0	0	9.806	10.17	17.44	0
3196	429	431.119	-837.085	-330.405	0	0	0	0	6.167	11.44	22.94	0
3197	429	194.351	-240.821	-256.307	0	0	0	0	12.86	8.333	25.33	1.117
3326	30	-767.073	-358.703	68.658	0	0	0	5	5.028	5.028	5.028	1.466
3327	30	-1221.35	-352.877	577.212	0	0	0	5	5	5	5	0
3328	30	-1305.24	-268.868	920.223	0	0	0	5	5	5	5	0
3329	30	213.923	-373.737	563.891	0	0	0	5	0.3333	0.3333	0.3333	0
3330	30	3.262.699	-5.037.891	7.114.377	0	0	0	4	0.3333	0.3333	0.3333	0
3331	30	683.107	-129.846	635.983	0	0	0	5	0.3333	0.3333	0.3333	0
3366	0	2832.07	-1540.48	190.165	0	0	0	7	0	0	0	0
3367	0	2843.4	-1553.26	190.721	0	0	0	7	0	0	0	0
3506	429	580.754	487.506	294.641	0	0	0	8	17	17	17	0
3507	429	580.657	475.885	294.641	0	0	0	8	0	0	0	0
3508	429	592.507	486.31	294.641	0	0	0	8	0	0	0	0
3509	429	591.92	476.404	294.641	0	0	0	8	0	0	0	0
3528	0	-7510.87	-1035.87	182.952	0	0	0	0	3.833	0.3611	2.056	0.7156
3529	0	-7512.16	-1034.78	177.208	0	0	0	4	0	0	0	0
3530	0	-8536.18	452.165	104.917	0	0	0	10	0.3333	0.3333	0.3333	0
3546	1	9933.94	2500.98	1317.82	0	0	0	12	0	0	0	0
3547	0	1642.1	239.843	625.916	0	0	0	13	0	0	0	0
3548	0	-4754.56	-3313.8	313.564	0	0	0	14	0	0	0	0
3549	1	1253.79	-2227.52	92.248	0	0	0	15	0	0	0	0
3550	1	-959.299	-3759.21	498.619	0	0	0	10	0	0	0	0
3551	1	-998.183	-3822.07	52.954	0	0	0	10	0	0	0	0
3552	0	-11413.6	1954.91	142.409	0	0	0	22	0	0	0	0
3586	1	6221.84	-1152.75	383.231	0	0	0	4	0	0	0	0
3587	1	6221.89	-1153	383.272	0	0	0	5	0	0	0	0
3606	0	-7514.81	-1033.12	163.806	0	0	0	10	0	0	0	0
3626	469	-7529.1	-1007.19	408.565	0	0	0	10	0	0	0	0
3646	489	1539.89	1481.36	352.659	0	0	0	5	0.3333	0.3333	0.3333	0
3647	489	918.496	1434.04	346.054	0	0	0	5	0.3333	0.3333	0.3333	0
3649	489	1.532.067	1.151.667	373.975	0	0	0	10	0	0	0	0
3650	1	1422.33	-1855.33	135.775	0	0	0	0	6.583	4.833	6.944	3.037
3654	1	1034.19	-2087.74	123.372	0	0	0	0	5.972	9.333	18.31	1.588
3686	489	1.449.767	1.470.567	342.625	0	0	0	4	0.3333	0.3333	0.3333	0
3687	489	1.005.267	1.447.267	335.893	0	0	0	4	0.3333	0.3333	0.3333	0
3690	0	-622.142	-4582.14	21	0	0	0	0	27.39	27.17	21.64	3.194
3706	489	1.316.967	1.550.968	313.234	0	0	0	4	0.2778	0.2778	0.2778	0
3707	489	1.319.767	1.378.667	314.753	0	0	0	4	0.2778	0.2778	0.2778	0
3708	489	1112.64	1351.11	316.619	0	0	0	4	0.2778	0.2778	0.2778	0
3709	489	1.140.067	1.560.767	306.824	0	0	0	4	0	0	0	0
3726	229	178.729	-474.412	120.565	0	0	0	0	3.806	7.917	7.889	0
3728	469	-7676.11	-1109.71	399.123	0	0	0	0	2.472	8.694	5.083	3.752
3746	36	-295.547	-374.503	593.562	0	0	0	6	0	0	0	0
3766	43	-108.563	160.915	-797.911	0	0	0	9	0	0	0	0
3847	0	-7663.4	-1218.37	287.788	0	0	0	3	0	0	0	0
3866	529	1185.45	1184.71	-563.633	0	0	0	4	0	0	0	0
3867	529	817.939	842.369	-565.406	0	0	0	4	0	0	0	0
3868	529	8.090.077	1.185.277	1.192.161	0	0	0	4	0	0	0	0
3869	529	1147.01	816.854	-98.399	0	0	0	5	0	0	0	0
3870	529	989.852	1009.16	-426.033	0	0	0	4	0	0	0	0
3886	0	-12432.8	205.169	236.515	0	0	0	18	0	0	0	0
3926	309	-11594.1	-1621.37	471.446	0	0	0	15	0	0	0	0
3930	309	-11917	-1221	975.616	0	0	0	10	0	0	0	0
3948	529	1394.36	1303.64	-802.586	0	0	0	0	7.306	16.89	17.64	0.3665
3949	529	627.192	699.957	-119.921	0	0	0	0	7.889	14.22	17.28	3.334
3953	0	-1189.27	-2532.19	22.705	0	0	0	0	7.5	13.5	17.31	0.03491
3954	0	-811.425	-3505.82	731.377	0	0	0	0	5.167	14.31	16.92	0.6632
3956	309	-11918.6	-1433.95	44.545	0	0	0	15	0	0	0	0
3957	309	-11916.8	-1256.7	925.434	0	0	0	0	7.806	11.17	0.3333	0
3958	309	-11915.04	-1.312.676	7.750.191	0	0	0	10	0.2778	0.2778	0.2778	0
3959	309	-11945.69	-1.597.607	367.569	0	0	0	10	0	0	0	0
3960	309	-11788.9	-1595.06	369.989	0	0	0	10	0	0	0	0
3961	309	-11614.2	-1361.51	76.84	0	0	0	15	0	0	0	0
3962	309	-11957.6	-1819.97	543.114	0	0	0	15	0	0	0	0
3963	309	-12112.9	-1794.63	804.163	0	0	0	15	0	0	0	0
3964	309	-11791	-1562.86	19.742	0	0	0	10	0	0	0	0
3965	309	-11610	-1749.86	387.342	0	0	0	20	0	0	0	0
3966	309	-12072.3	-1479.05	106.495	0	0	0	10	0	0	0	0
3985	1	-6864.98	731.612	50	0	0	0	20	0	0	0	0
3986	1	-8215.09	-4622.04	753.195	0	0	0	40	0	0	0	0
3991	0	1733.32	526.474	342.494	0	0	0	35	0	0	0	0
4006	509	-8419.58	1504.28	317.356	0	0	0	0	18	41.81	40.5	5.794
4008	1	-8424.94	1508.65	320.142	0	0	0	0	12.14	50.06	35.64	2.635
4010	1	-8230.4	2005.33	129.863	0	0	0	0	16.69	31.19	46.58	0.925
4012	531	-8231.33	2003.6	129.861	0	0	0	0	38.89	10.31	81.64	5.655
4015	1	5085.82	-5110.64	929.979	0	0	0	6	0	0	0	0
4016	109	-662.106	383.105	-908.351	0	0	0	20	0	0	0	0
4017	0	-10636.2	-391.307	101.878	0	0	0	10	0	0	0	0
4020	529	1313.93	1310.77	-770.487	0	0	0	0	6.333	6.361	7.583	0
4021	529	683.961	681.23	-129.158	0	0	0	0	5.472	5.5	4.722	0
4026	0	-5049.34	-818.454	495.295	0	0	0	2	0	0	0	0
4027	1	1766.03	-4380.48	101.876	0	0	0	2	0.2778	0.2778	0.2778	0
4028	0	2051.36	272.572	571.634	0	0	0	2	0	0	0	0
4029	0	-14294.3	516.088	895.399	0	0	0	2	0	0	0	0
4030	0	-3826.25	-771.51	380.146	0	0	0	2	0	0	0	0
4031	1	-7120.17	-3850.26	915.777	0	0	0	2	0	0	0	0
4032	0	-8823.81	540.418	969.431	0	0	0	2	0.2778	0.2778	0.2778	0
4033	531	-8546.23	1987.65	-965.207	0	0	0	5	0	0	0	0
4034	531	-8.545.679	1.987.701	-3.293.923	0	0	0	15	0	0	0	0
4036	531	-8578	1986.8	100.22	0	0	0	7	0	0	0	0
4047	531	-8967.96	1312.62	-104.696	0	0	0	20	0.2778	0.2778	0.2778	0
4052	531	-8176.83	1673.37	-322.183	0	0	0	0	19.42	48.11	26.42	6.091
4058	0	2302.5	-5341	907.519	0	0	0	0	29	17.9	24.56	2.394
4064	530	7922.68	-6501.51	473.623	0	0	0	30	0	0	0	0
4071	530	7567.67	-7359.47	161.738	0	0	0	20	0	0	0	0
4089	189	864.623	1321.6	180.683	0	0	0	5	0	0	0	0
4090	1	2716.6	1496.82	236.828	0	0	0	1	0	0	0	0
4092	0	-9242.97	419.162	86.538	0	0	0	6	6	6	6	0
4094	0	-9240.96	238.408	713.883	0	0	0	6	0	0	0	0
4095	0	-9182.62	414.857	895.576	0	0	0	6	6	6	6	0
4096	0	-9218.13	318.627	738.841	0	0	0	6	0	0	0	0
4098	0	-5273.18	-739.621	391.011	0	0	0	6	0	0	0	0
4099	0	-5375.6	-735.182	396.017	0	0	0	6	0	0	0	0
4100	0	1979.99	305.252	411.865	0	0	0	6	0	0	0	0
4101	1	1179.46	-4564.49	204.858	0	0	0	6	0.2778	0.2778	0.2778	0
4102	1	1204.86	-4536.29	189.095	0	0	0	6	0.3333	0.3333	0.3333	0
4103	1	-1545.39	513.006	539.339	0	0	0	6	0.2778	0.2778	0.2778	0
4104	1	9914.17	1864.67	1321.26	0	0	0	6	0	0	0	0
4105	1	9948.01	1932.53	1328.7	0	0	0	6	0	0	0	0
4108	530	7557.31	-6889.65	960.266	0	0	0	13	0.2778	0.2778	0.2778	0
4109	530	7557.44	-6888.65	115	0	0	0	0	32.19	57.78	8.056	4.241
4112	533	3716.38	-5106.78	141.29	0	0	0	10	0	0	0	0
4113	533	3432.81	-3007.21	295.609	0	0	0	10	0	0	0	0
4114	533	3432.3	-3007.28	295.609	0	0	0	10	0	0	0	0
4115	533	3322.74	-3700.38	262.701	0	0	0	20	0	0	0	0
4116	533	2740	-3383.42	267.685	0	0	0	10	0	0	0	0
4117	533	2917.03	-3344.55	298.146	0	0	0	12	0	0	0	0
4119	533	3214.34	-3476.68	287.072	0	0	0	10	0	0	0	0
4131	0	-11101.9	-1998.12	493.307	0	0	0	0	20.08	13.83	14.69	0.6981
4135	0	-11041.9	-1995.01	930.334	0	0	0	0	8.972	5.583	13.33	5.376
4145	540	-41.748	-324.536	-135.294	0	0	0	0	10.69	7.667	15.42	1.466
4147	542	0.276847	27.549	-447.585	0	0	0	0	6.444	7.361	18.25	1.222
