m_ID	m_ContinentID	m_ParentAreaID	m_AreaBit	m_flags	m_SoundProviderPref	m_SoundProviderPrefUnderwater	m_AmbienceID	m_ZoneMusic	m_IntroSound	m_ExplorationLevel	Unknown	m_AreaName_lang	m_factionGroupMask	m_liquidTypeID_1	m_liquidTypeID_2	m_liquidTypeID_3	m_liquidTypeID_4	m_minElevation	m_ambient_multiplier	m_lightid	newField20	newField21	newField22	newField23	newField24	newField25	
80	0	12	175	1073758272	0	11	35	17	1675	0	10	"Stormwind Mountains"	2	0	0	0	0	-500	0	0	15	0	0	675	0	-1
81	451	22	575	1073741888	0	11	0	0	1714	0	0	"Jeff NE Quadrant Changed"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
82	451	22	176	1073741888	0	11	0	0	1761	0	0	"Jeff NW Quadrant"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
83	451	22	177	1073741888	0	11	0	0	1793	0	0	"Jeff SE Quadrant"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
84	451	22	178	1073741888	0	11	0	0	1825	0	0	"Jeff SW Quadrant"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
85	0	0	179	16448	0	11	601	2	1857	0	0	"Tirisfal Glades"	4	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
86	0	12	180	1073758272	0	11	35	1	1888	0	8	"Stone Cairn Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
87	0	12	548	1076904000	0	11	35	1	1921	0	5	"Goldshire"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
88	0	12	181	1073758272	0	11	35	1	1931	672	6	"Eastvale Logging Camp"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
89	0	12	182	1073758272	0	11	35	1	1973	0	0	"Mirror Lake Orchard"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
91	0	12	183	1073758272	0	11	35	1	2013	0	8	"Tower of Azora"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
92	0	12	558	1073758272	0	11	35	1	2041	0	0	"Mirror Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
93	0	10	628	1073758272	0	11	0	774	2064	0	28	"Vul\'Gol Ogre Mound"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
94	0	10	184	1073758272	0	11	0	2	2100	667	24	"Raven Hill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
95	0	44	185	1073758272	0	11	0	1	2121	0	20	"Redridge Canyons"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
96	0	44	186	1073758272	0	11	0	1	2153	0	25	"Tower of Ilgalar"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
97	0	44	187	1073758272	0	11	0	748	2185	0	19	"Alther\'s Mill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
98	0	44	188	1073758272	0	11	0	1	2212	0	17	"Rethban Caverns"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
99	0	33	189	1075855424	0	11	0	3	2243	0	30	"Rebel Camp"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
100	0	33	585	1073758272	0	11	0	3	2264	0	31	"Nesingwary\'s Expedition"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
101	0	33	190	1073758272	0	11	0	715	2311	0	32	"Kurzen\'s Compound"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
102	0	33	586	1073758272	0	11	0	713	2346	0	41	"Ruins of Zul\'Kunda"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
103	0	33	191	1073758272	0	11	0	3	2382	0	40	"Ruins of Zul\'Mamwe"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
104	0	33	192	1073758272	0	11	567	3	2418	0	37	"The Vile Reef"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
105	0	33	193	1073758272	0	11	0	963	2444	0	42	"Mosh\'Ogg Ogre Mound"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
106	0	33	194	1073758272	0	11	0	3	2482	0	0	"The Stockpile"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
107	0	40	195	1073758272	0	11	0	9	2509	0	14	"Saldean\'s Farm"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
108	0	40	196	1076904000	0	11	0	709	2538	0	15	"Sentinel Hill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
109	0	40	197	1073758272	0	11	0	710	2565	0	15	"Furlbrow\'s Pumpkin Farm"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
111	0	40	198	1073758272	0	11	0	9	2611	0	12	"Jangolode Mine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
113	0	40	576	1073758272	0	11	0	9	2640	0	15	"Gold Coast Quarry"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
115	0	40	199	1073758272	0	11	567	9	2674	0	17	"Westfall Lighthouse"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
116	0	8	200	1073758272	0	11	0	0	2713	0	53	"Misty Valley"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
117	0	33	629	1075855424	0	11	0	715	2738	0	35	"Grom\'gol Base Camp"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
118	0	11	201	1073758272	0	11	0	191	2774	0	22	"Whelgar\'s Excavation Site"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
120	0	12	559	1075855424	0	11	35	787	2824	0	8	"Westbrook Garrison"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
121	0	10	202	1073758272	0	11	0	771	2861	0	28	"Tranquil Gardens Cemetery"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
122	0	33	203	1073758272	0	11	567	713	2911	0	37	"Zuuldaia Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
123	0	33	204	1073758272	0	11	567	714	2940	0	34	"Bal\'lal Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
125	0	33	205	1073758272	0	11	0	3	2967	0	35	"Kal\'ai Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
126	0	33	206	1073758272	0	11	0	714	2992	0	0	"Tkashi Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
127	0	33	207	1073758272	0	11	0	713	3017	0	40	"Balia\'mah Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
128	0	33	208	1073758272	0	11	0	714	3048	0	36	"Ziata\'jai Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
129	0	33	209	1073758272	0	11	0	3	3079	0	37	"Mizjah Ruins"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
130	0	0	210	16448	0	11	28	2	3104	0	0	"Silverpine Forest"	4	0	0	0	0	-500	0.4	0	15	0	0	675	0	-1
131	0	1	211	1076904000	0	11	0	0	3139	0	5	"Kharanos"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
132	0	6176	212	1074806784	0	11	0	0	3148	0	0	"Coldridge Valley"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
133	0	1	213	1073758208	0	11	42	765	3181	665	10	"New Tinkertown"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
134	0	1	214	1073758272	0	11	0	8	3207	0	10	"Gol\'Bolar Quarry"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
135	0	1	215	1073758208	0	11	0	0	3239	121	7	"Frostmane Hold"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
136	0	1	216	1073758272	0	11	0	0	3268	666	5	"The Grizzled Den"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
137	0	1	217	1075855424	0	11	0	0	3300	0	7	"Brewnall Village"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
138	0	1	218	1073758272	0	11	0	8	3333	664	7	"Misty Pine Refuge"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
139	0	0	219	16448	0	11	37	775	3367	0	0	"Eastern Plaguelands"	0	0	0	0	0	-500	0.5	0	15	0	0	675	0	-1
141	1	0	220	16448	0	11	584	11	3406	0	0	"Teldrassil"	2	0	0	0	0	-500	0.4	0	15	0	0	675	0	-1
142	0	38	221	1073758272	0	11	0	1	3417	681	15	"Ironband\'s Excavation Site"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
143	0	38	222	1073758272	0	11	573	793	3469	0	18	"Mo\'grosh Stronghold"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
144	0	38	223	1076904000	0	11	0	1	3508	0	10	"Thelsamar"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
145	0	38	224	1073758272	0	11	0	1	3518	0	18	"Algaz Gate"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
146	0	38	225	1075855424	0	11	0	1	3539	0	15	"Stonewrought Dam"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
147	0	38	226	1073758272	0	11	0	1	3572	0	15	"The Farstrider Lodge"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
148	1	0	227	16448	0	11	575	867	3612	0	0	"Darkshore"	2	0	0	0	0	-500	0.6	0	15	0	0	675	0	-1
149	0	38	228	1073758272	0	11	0	1	3622	0	12	"Silver Stream Mine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
150	0	11	229	1075855424	0	11	567	702	3658	0	20	"Menethil Harbor"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
151	451	0	560	16448	0	11	47	226	3689	0	0	"Designer Island"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
152	0	85	230	1075855424	0	11	0	2	3720	0	9	"The Bulwark"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
153	0	85	607	1073758272	0	11	0	2	3743	0	10	"Ruins of Lordaeron"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
154	0	85	231	1076903936	0	11	0	712	3779	0	0	"Deathknell"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
155	0	85	232	1073758208	0	11	0	2	3790	0	0	"Night Web\'s Hollow"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
156	0	85	233	1073758272	0	11	0	2	3825	0	6	"Solliden Farmstead"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
157	0	85	234	1073758272	0	11	0	15	3862	0	8	"Agamand Mills"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
158	0	85	235	1073758272	0	11	0	15	3889	0	0	"Agamand Family Crypt"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
159	0	85	236	1076904000	0	11	0	712	3929	0	5	"Brill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
160	0	85	237	1073758272	0	11	0	2	3935	0	12	"Whispering Gardens"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
161	0	85	238	1073758272	0	11	0	2	3972	0	10	"Terrace of Repose"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
162	0	85	239	1073758272	0	11	0	2	4006	0	7	"Brightwater Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
163	0	85	240	1073758272	0	11	0	2	4039	0	0	"Gunther\'s Retreat"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
164	0	85	241	1073758272	0	11	0	2	4074	0	7	"Garren\'s Haunt"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
165	0	85	242	1073758272	0	11	0	15	4103	0	5	"Balnir Farmstead"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
166	0	85	243	1073758272	0	11	0	2	4136	0	5	"Cold Hearth Manor"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
167	0	85	244	1073758272	0	11	0	2	4170	0	8	"Crusader Outpost"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
168	0	85	245	1073758272	0	11	567	2	4203	0	0	"The North Coast"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
169	0	85	577	1073758272	0	11	567	0	4233	0	0	"Whispering Shore"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
170	0	0	246	16448	0	11	31	2	4250	0	0	"Lordamere Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
172	0	130	247	1073758272	0	11	0	718	4279	0	12	"Fenris Isle"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
173	0	85	620	1073758272	0	11	0	2	4302	0	0	"Faol\'s Rest"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
186	1	141	622	1076904000	0	11	0	11	4325	712	5	"Dolanaar"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
187	1	141	248	1073758272	0	11	48	76	4334	63	7	"Darnassus UNUSED"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
188	1	141	561	1076903936	0	11	0	11	4367	0	0	"Shadowglen"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
189	0	1	249	1073758272	0	11	0	8	4378	0	5	"Steelgrill\'s Depot"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
190	0	28	250	1073758272	0	11	0	0	4415	0	56	"Hearthglen"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
192	0	28	251	1073758272	0	11	0	0	4426	0	55	"Northridge Lumber Camp"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
193	0	28	252	1073758272	0	11	0	15	4470	0	55	"Andorhal"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
195	0	28	253	1073758272	0	11	0	0	4495	0	0	"School of Necromancy"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
196	0	28	578	1073758272	0	11	0	15	4535	0	0	"Uther\'s Tomb"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
197	0	28	254	1073758272	0	11	0	671	4560	0	50	"Sorrow Hill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
198	0	28	255	1073758272	0	11	37	0	4583	0	55	"The Weeping Cave"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
199	0	28	256	1073758272	0	11	0	10	4615	0	50	"Felstone Field"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
200	0	28	257	1073758272	0	11	0	10	4644	0	54	"Dalson\'s Farm"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
201	0	28	258	1073758272	0	11	37	10	4672	0	57	"Gahrron\'s Withering"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
202	0	28	259	1073758272	0	11	0	670	4711	0	46	"The Writhing Haunt"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
203	0	28	260	1073758272	0	11	0	193	4747	0	0	"Mardenholde Keep"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
204	0	130	261	1073758272	0	11	0	720	4780	301	15	"Pyrewood Village"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
205	0	11	262	1073758272	0	11	0	191	4813	0	28	"Dun Modr"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
206	574	0	263	0	0	11	429	0	4830	0	0	"Utgarde Keep"	0	0	0	0	0	-500	0.7	0	13	0	0	675	0	-1
207	36	0	264	64	0	11	0	9	4855	0	0	"The Great Sea"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
208	36	0	265	64	76	11	34	0	4881	0	0	"Unused Ironcladcove"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
209	33	0	266	0	0	11	28	2	4920	0	16	"Shadowfang Keep"	4	0	0	0	0	-500	0	0	13	0	0	675	0	-1
210	571	0	267	69	0	11	466	421	4951	543	80	"Icecrown"	0	0	0	0	0	-500	0.75	0	15	0	0	675	0	-1
211	0	1	268	1073758208	0	11	0	8	4960	0	7	"Iceflow Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
212	0	1	269	1073758272	0	11	0	8	4985	0	8	"Helm\'s Bed Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
213	0	130	270	1073758272	0	11	0	2	5015	324	13	"Deep Elem Mine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
214	0	0	271	16448	0	11	0	9	4855	0	0	"The Great Sea"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
215	1	0	272	16448	0	11	589	596	5043	0	0	"Mulgore"	4	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
219	0	40	273	1073758272	0	11	0	9	5051	0	15	"Alexston Farmstead"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
220	1	215	562	1075855360	0	11	0	596	5088	0	0	"Red Cloud Mesa"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
221	1	215	274	1074806784	0	11	0	797	5116	0	0	"Camp Narache"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
222	1	215	275	1076904000	0	11	0	797	5141	0	5	"Bloodhoof Village"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
223	1	215	276	1073758272	0	11	0	596	5176	0	0	"Stonebull Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
224	1	215	277	1073758272	0	11	0	9	5205	0	7	"Ravaged Caravan"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
225	1	215	278	1073758272	0	11	0	9	5236	685	9	"Red Rocks"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
226	0	130	551	1073758272	0	11	0	0	5255	0	11	"The Skittering Dark"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
227	0	130	279	1073758272	0	11	0	2	5293	0	13	"Valgan\'s Field"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
228	0	130	280	1076904000	0	11	0	749	5322	0	13	"The Sepulcher"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
229	0	130	281	1073758272	0	11	0	0	5349	161	13	"Olsen\'s Farthing"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
230	0	130	282	1073758272	0	11	0	0	5382	0	15	"The Greymane Wall"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
231	0	130	283	1073758272	0	11	0	768	5416	0	15	"Beren\'s Peril"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
232	0	130	284	1073758272	0	11	0	2	5443	0	0	"The Dawning Isles"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
233	0	130	285	1073758272	0	11	0	191	5477	642	14	"Ambermill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
