m_id	m_mapId	m_difficulty	m_requirement	m_resetTime	m_maxPlayers	m_difficultyString
132	545	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
133	546	2	You must be at least level 60 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
134	547	2	You must be at least level 59 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
135	552	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
136	553	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
137	554	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
138	555	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
139	556	2	You must be at least level 63 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
140	557	2	You must be at least level 61 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
141	558	2	You must be at least level 62 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
142	560	2	You must be at least level 63 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
143	574	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
144	575	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
145	576	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
146	578	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
147	585	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
148	595	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
149	598	2	Heroic Difficulty requires the Sunforged Key[PH].	86400	0	
150	599	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
151	600	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
152	601	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
153	602	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
154	603	4	You must be level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
155	604	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
156	608	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
157	615	4	You must be level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
158	616	4	You must be at least level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
159	619	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
160	624	4	You must be at least level 80, in control of Wintergrasp and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
161	649	4	You must be at least level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
162	650	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
221	649	5	You must be at least level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER_HEROIC
222	649	6	You must be at least level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER_HEROIC
323	249	4	You must be level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
341	668	1	"You must complete the quest \Deliverance from the Pit\"" before entering the Halls of Reflection."""	0	5	DUNGEON_DIFFICULTY_5PLAYER
342	668	2	"You must complete the quest \Deliverance from the Pit\"" and be level 80 before entering the Heroic difficulty of the Halls of Reflection."""	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
343	669	3	You must be at least level 85 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
344	669	4	You must be at least level 85 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
345	670	1	You must be at least level 83 to enter.	0	5	DUNGEON_DIFFICULTY1
346	670	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
347	671	3	You must be at least level 85 and in a raid group to enter.	604800	10	RAID_DIFFICULTY1
348	671	4	You must be at least level 85 and in a raid group to enter.	604800	25	RAID_DIFFICULTY2
481	632	1	You must be at least level 75 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
482	632	2	Heroic Difficulty requires you to be level 80.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
483	658	1	"You must complete the quest \Echoes of Tortured Souls\"" before entering the Pit of Saron."""	0	5	DUNGEON_DIFFICULTY_5PLAYER
484	658	2	"You must complete the quest \Echoes of Tortured Souls\"" and be level 80 before entering the Heroic difficulty of the Pit of Saron."""	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
485	631	3	You must be at least level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
486	631	4	You must be at least level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
487	631	5	You must have defeated The Lich King in the 10 Player raid before attempting 10 Player Heroic difficulty.	604800	10	RAID_DIFFICULTY_10PLAYER_HEROIC
488	631	6	You must have defeated The Lich King in the 25 Player raid before attempting 25 Player Heroic difficulty.	604800	25	RAID_DIFFICULTY_25PLAYER_HEROIC
641	713	0		0	0	
642	712	0		0	0	
661	646	0		0	0	
662	638	0		0	0	
663	654	0		0	0	
664	648	0		0	0	
701	718	0		0	0	
721	719	0		0	0	
741	720	3	You must be at least level 85 and in a raid group to enter.	604800	10	RAID_DIFFICULTY1
742	721	1		0	0	
744	723	0		0	0	
745	643	1	You must be at least level 77 to enter.	0	5	DUNGEON_DIFFICULTY1
746	644	1	You must be at least level 83 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
747	645	1	You must be at least level 77 and have the Cataclysm expansion installed to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
748	644	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
749	645	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
750	724	3	You must be level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
751	724	4	You must be level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
752	724	5	You must be level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER_HEROIC
753	724	6	You must be level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER_HEROIC
754	725	1	You must be at least level 80 to enter.	0	5	DUNGEON_DIFFICULTY1
755	725	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
756	726	0		0	0	
757	727	0		0	0	
768	730	0		0	0	
769	731	0		0	0	
770	732	0		0	0	
773	669	5	You must have completed the Blackwing Descent achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY_10PLAYER_HEROIC
774	669	6	You must have completed the Blackwing Descent achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY_25PLAYER_HEROIC
775	728	1		0	0	
776	736	0		0	0	
781	674	0		0	0	
782	738	0		0	0	
783	739	0		0	0	
784	740	0		0	0	
785	741	0		0	0	
786	651	0		0	0	
787	742	0		0	0	
788	743	0		0	0	
792	746	0		0	0	
793	747	0		0	0	
794	656	0		0	0	
795	655	0		0	0	
796	660	0		0	0	
797	748	0		0	0	
800	657	1	You must be at least level 80 to enter.	0	5	DUNGEON_DIFFICULTY1
801	749	0		0	0	
802	750	0		0	0	
803	751	0		0	0	
804	752	0		0	0	
805	753	0		0	0	
806	643	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
809	754	3	You must be at least level 85 and in a raid group to enter.	604800	10	RAID_DIFFICULTY1
810	754	4	You must be at least level 85 and in a raid group to enter.	604800	25	RAID_DIFFICULTY2
813	757	3	You must be at least level 85, in control of Tol Barad and in a raid group to enter.	604800	10	RAID_DIFFICULTY1
814	757	4	You must be at least level 85, in control of Tol Barad and in a raid group to enter.	604800	25	RAID_DIFFICULTY2
816	755	1	You must be at least level 83 to enter.	0	5	DUNGEON_DIFFICULTY1
817	657	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
818	759	0		0	0	
819	760	0		0	0	
820	761	0		0	0	
821	755	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
823	671	5	You must have completed The Bastion of Twilight achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY3
824	671	6	You must have completed The Bastion of Twilight achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY4
827	762	0		0	0	
828	763	0		0	0	
829	36	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
831	754	5	You must have completed the Throne of the Four Winds achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY3
832	754	6	You must have completed the Throne of the Four Winds achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY4
835	764	0		0	0	
837	734	2		0	5	
838	734	1		0	5	
839	33	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
840	765	0		0	0	
841	766	0		0	0	
842	767	0		0	0	
1579	720	4	You must be at least level 85 and in a raid group to enter.	604800	25	RAID_DIFFICULTY2
1580	721	2		0	0	
1599	189	2		0	0	
1611	309	2		0	0	
1614	757	5		0	0	
1615	757	6		0	0	
1645	859	1	Zul\'Gurub is only available as a Heroic Difficulty level 85 dungeon.	0	5	DUNGEON_DIFFICULTY1
1646	859	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
1647	728	2		0	0	
1648	860	0		0	0	
1649	861	0		0	0	
1667	870	0		0	0	
1690	568	2	Heroic Difficulty requires level 85 to enter.	86400	5	DUNGEON_DIFFICULTY2
1800	930	1		0	0	
1801	930	2		0	0	
1819	938	1	End Time is only available as a Heroic Difficulty level 85 dungeon.	0	5	DUNGEON_DIFFICULTY1
1820	938	2	Heroic Difficulty requires you to be level 85.	86400	5	DUNGEON_DIFFICULTY2
1821	939	1	Well of Eternity is only available as a Heroic Difficulty level 85 dungeon.	0	5	DUNGEON_DIFFICULTY1
1822	939	2	Heroic Difficulty requires you to be level 85 and have earned the Heroic: End Time achievement.	86400	5	DUNGEON_DIFFICULTY2
1823	940	1	Hour of Twilight is only available as a Heroic Difficulty level 85 dungeon.	0	5	DUNGEON_DIFFICULTY1
1824	940	2	Heroic Difficulty requires you to be level 85 and have earned the Heroic: Well of Eternity achievement.	86400	5	DUNGEON_DIFFICULTY2
1846	951	1		0	1	DUNGEON_DIFFICULTY1
1847	951	2		0	0	
1861	720	5	You must have completed The Firelands achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY3
1862	720	6	You must have completed The Firelands achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY4
1863	959	1	You must be at least level 87 to enter.	0	5	DUNGEON_DIFFICULTY1
1864	959	2	You must be at least level 87 to enter.	86400	5	DUNGEON_DIFFICULTY2
1865	960	1	You must be at least level 85 to enter.	0	5	DUNGEON_DIFFICULTY1
1866	960	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
1867	961	1	You must be at least level 85 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
1868	961	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
1869	962	1	Gate of the Setting Sun requires you to be level 90.	0	5	DUNGEON_DIFFICULTY1
1870	962	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY2
1875	967	3	You must be at least level 85 and in a raid group to enter.	604800	10	RAID_DIFFICULTY1
1876	967	4	You must be at least level 85 and in a raid group to enter.	604800	25	RAID_DIFFICULTY2
1877	968	0		0	0	
1892	971	0		0	0	
1893	972	0		0	0	
1896	974	0		0	0	
1897	975	0		0	0	
1898	976	0		0	0	
1902	977	1		0	0	
1903	977	2		0	0	
1923	980	0		0	0	
1924	967	5	You must have completed the Destroyer\'s End achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY3
1925	967	6	You must have completed the Destroyer\'s End achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY4
2011	994	1	You must be at least level 87 to enter.	86400	5	DUNGEON_DIFFICULTY1
2012	994	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY2
2013	995	1		0	0	
2014	995	2		0	0	
2022	998	0		0	0	
2023	999	1		0	0	
2024	1000	1		0	0	
2037	1001	1	You must be at least level 21 to enter.	0	5	DUNGEON_DIFFICULTY1
2038	1001	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY2
2045	1004	1	You must be at least level 23 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
2046	1004	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
2047	1005	1		0	0	
2048	1005	2		0	0	
2058	1007	1	You must be at least level 33 to enter.	0	5	DUNGEON_DIFFICULTY1
2059	1007	2	Heroic Difficulty requires you to be level 90.	86400	5	DUNGEON_DIFFICULTY2
2060	1008	3	You must be at least level 90 and in a raid group to enter.	604800	10	RAID_DIFFICULTY1
2061	1008	4	You must be at least level 90 and in a raid group to enter.	604800	25	RAID_DIFFICULTY2
2066	289	2		0	0	
2072	1010	0		0	0	
2074	1011	1	You must be at least level 90 to enter.	0	5	DUNGEON_DIFFICULTY1
2075	1011	2	You must be at least level 90 to enter.	86400	5	DUNGEON_DIFFICULTY1
2076	1008	5	You must have completed the Mogu\'shan Vaults achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY3
2077	1008	6	You must have completed the Mogu\'shan Vaults achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY4
2086	1014	1		0	0	
2087	1014	2		0	0	
2121	996	5	You must have completed the Terrace of Endless Spring achievement before attempting Heroic difficulty.	604800	10	RAID_DIFFICULTY3
2122	996	6	You must have completed the Terrace of Endless Spring achievement before attempting Heroic difficulty.	604800	25	RAID_DIFFICULTY4
2123	1019	0		0	0	
2148	1028	1		0	0	
2149	1028	2		0	0	
2151	1029	1		0	0	
2152	1029	2		0	0	
2153	1030	1		0	3	
2154	1030	2		0	0	
2155	1031	1		0	0	
2156	1031	2		0	0	
2157	1032	1		0	0	
2158	1032	2		0	0	
2161	1035	1		0	0	
2248	1043	0		0	0	
2503	1048	1		0	0	
2504	1048	2		0	0	
2505	999	2		0	0	
2506	1000	2		0	0	
2507	1049	1		0	0	
2508	1049	2		0	0	
2509	1035	2		0	0	
2510	1050	1		0	0	
2511	1050	2		0	0	
2512	1009	3	You must be at least level 90 and in a raid group to enter.	604800	10	
2513	1009	4	You must be at least level 90 and in a raid group to enter.	604800	25	
2514	1009	5	You must have completed the Heart of Fear achievement before attempting Heroic difficulty.	604800	10	
2515	1009	6	You must have completed the Heart of Fear achievement before attempting Heroic difficulty.	604800	25	
2517	1051	1	You must be at least level 90 to enter.	0	3	
2518	1051	2		0	0	
2519	996	3	You must have completed Heart of Fear achievement before attempting the Terrace of Endless Spring.	604800	10	
2520	996	4	You must have completed Heart of Fear achievement before attempting the Terrace of Endless Spring.	604800	25	
2556	967	7		0	25	RAID_DIFFICULTY2
2576	1001	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY2
2577	994	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY2
2578	1004	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
2579	1007	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY2
2580	959	8	You must be at least level 87 to enter.	0	5	DUNGEON_DIFFICULTY2
2581	960	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
2582	961	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
2583	962	8	Heroic Difficulty requires you to be level 90.	0	5	DUNGEON_DIFFICULTY2
2584	1011	8	You must be at least level 90 to enter.	0	5	DUNGEON_DIFFICULTY1
