m_Id	field1	field2	field3	field4	field5	field6	m_mapId	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	
274	"Stratholme - Service Entrance"	46	56	50	48	51	329	0	3	1	-1	"STRATHOLME"	0	0	1	0	258
276	"Blackrock Depths - Upper City"	51	61	55	53	56	230	0	3	1	-1	"BLACKROCKDEPTHS"	0	0	1	0	258
285	"The Headless Horseman"	84	85	85	85	85	189	0	15	1	-1	"HALLOWEEN"	0	0	11	1579	0
286	"The Frost Lord Ahune"	84	85	85	85	85	547	0	15	1	-1	"SUMMER"	1	0	11	1695	0
287	"Coren Direbrew"	84	85	85	85	85	230	0	15	1	-1	"BREW"	0	0	11	1817	0
288	"The Crown Chemical Co."	84	85	85	85	85	33	0	15	1	-1	"LOVE"	0	0	11	1940	0
296	"Grand Ambassador Flamelash"	78	85	80	78	85	230	0	15	1	1	"CATAEVENTFLAMELASH"	0	0	11	2104	0
297	"Crown Princess Theradras"	78	85	80	78	85	349	0	15	1	1	"CATAEVENTTHERADRAS"	0	0	11	2203	0
298	"Kai\'ju Gahz\'rilla"	78	85	80	78	85	209	0	15	1	1	"CATAEVENTKAIJUGAHZRILLA"	0	0	11	2327	0
299	"Prince Sarsarun"	78	85	80	78	85	734	0	15	1	1	"CATAEVENTSARSARUN"	0	0	11	2420	0
302	"Throne of the Tides"	80	85	81	80	82	643	0	3	1	-1	"THRONEOFTHETIDES"	3	0	13	0	300
303	"Blackrock Caverns"	80	85	81	80	82	645	0	3	1	-1	"BLACKROCKCAVERNS"	3	0	13	0	300
304	"Grim Batol"	84	85	85	85	85	670	0	3	1	-1	"GRIMBATOL"	3	0	13	0	300
305	"Halls of Origination"	84	85	85	85	85	644	0	3	1	-1	"HALLSOFORIGINATION"	3	0	13	0	300
306	"Kai\'ju Gahz\'rilla"	78	85	80	78	85	209	0	15	1	0	"CATAEVENTKAIJUGAHZRILLA"	0	0	11	2327	0
307	"The Stonecore"	81	85	83	82	84	725	0	3	1	-1	"THESTONECORE"	3	0	13	0	300
308	"Grand Ambassador Flamelash"	78	85	80	78	85	230	0	15	1	0	"CATAEVENTFLAMELASH"	0	0	11	2104	0
309	"Crown Princess Theradras"	78	85	80	78	85	349	0	15	1	0	"CATAEVENTTHERADRAS"	0	0	11	2203	0
310	"Prince Sarsarun"	78	85	80	78	85	734	0	15	1	0	"CATAEVENTSARSARUN"	0	0	11	2420	0
311	"The Vortex Pinnacle"	81	85	83	82	84	657	0	3	1	-1	"THEVORTEXPINNACLE"	3	0	13	0	300
312	"Lost City of the Tol\'vir"	84	85	85	85	85	755	0	3	1	-1	"LOSTCITYOFTOLVIR"	3	0	13	0	300
319	"The Vortex Pinnacle"	85	85	85	85	85	657	1	3	1	-1	"THEVORTEXPINNACLE"	3	0	12	0	301
320	"The Stonecore"	85	85	85	85	85	725	1	3	1	-1	"THESTONECORE"	3	0	12	0	301
321	"Halls of Origination"	85	85	85	85	85	644	1	3	1	-1	"HALLSOFORIGINATION"	3	0	12	0	301
322	"Grim Batol"	85	85	85	85	85	670	1	3	1	-1	"GRIMBATOL"	3	0	12	0	301
323	"Blackrock Caverns"	85	85	85	85	85	645	1	3	1	-1	"BLACKROCKCAVERNS"	3	0	12	0	301
324	"Throne of the Tides"	85	85	85	85	85	643	1	3	1	-1	"THRONEOFTHETIDES"	3	0	12	0	301
325	"Lost City of the Tol\'vir"	85	85	85	85	85	755	1	3	1	-1	"LOSTCITYOFTOLVIR"	3	0	12	0	301
326	"Deadmines"	85	85	85	85	85	36	1	3	1	-1	"DEADMINES"	3	0	12	0	301
327	"Shadowfang Keep"	85	85	85	85	85	33	1	3	1	-1	"SHADOWFANGKEEP"	3	0	12	0	301
330	"Upper Blackrock Spire"	55	65	58	58	58	229	0	3	1	-1	"BLACKROCKSPIRE"	0	0	1	0	258
334	"Zul\'Gurub"	85	85	85	85	85	859	1	3	1	-1	"ZULGURUB"	3	0	12	0	301
340	"Zul\'Aman"	85	85	85	85	85	568	1	3	1	-1	"ZULAMAN"	3	0	12	0	301
416	"The Siege of Wyrmrest Temple"	85	85	85	85	85	967	1	251	1	-1	"SIEGEOFWYRMRESTTEMPLE"	3	0	0	2839	0
417	"Fall of Deathwing"	85	85	85	85	85	967	1	251	1	-1	"FALLOFDEATHWING"	3	0	0	2968	0
435	"End Time"	85	85	85	85	85	938	1	3	1	-1	"ENDTIME"	3	0	12	0	301
437	"Well of Eternity"	85	85	85	85	85	939	1	3	1	-1	"WELLOFETERNITY"	3	0	12	0	301
439	"Hour of Twilight"	85	85	85	85	85	940	1	3	1	-1	"HOUROFTWILIGHT"	3	0	12	0	301
464	"Temple of the Jade Serpent"	85	90	86	85	87	960	0	3	1	-1	"BLACKROCKCAVERNS"	4	0	37	0	463
465	"Stormstout Brewery"	85	90	86	85	87	961	0	3	1	-1	"BLACKROCKCAVERNS"	4	0	37	0	463
466	"Shado-Pan Monastery"	87	90	87	87	89	959	0	3	1	-1	"BLACKROCKCAVERNS"	4	0	37	0	463
467	"Gate of the Setting Sun"	90	90	86	90	90	962	0	3	1	-1	"BLACKROCKCAVERNS"	4	0	37	0	463
468	"Temple of the Jade Serpent"	90	90	90	90	90	960	1	3	1	-1	"BLACKROCKCAVERNS"	4	0	36	0	462
469	"Stormstout Brewery"	90	90	90	90	90	961	1	3	1	-1	"BLACKROCKCAVERNS"	4	0	36	0	462
470	"Shado-Pan Monastery"	90	90	90	90	92	959	1	3	1	-1	"BLACKROCKCAVERNS"	4	0	36	0	462
471	"Gate of the Setting Sun"	90	90	90	90	90	962	1	3	1	-1	"BLACKROCKCAVERNS"	4	0	36	0	462
472	"Scholomance"	90	90	90	90	90	1007	1	3	1	-1	"SCHOLOMANCE"	4	0	36	0	462
473	"Scarlet Halls"	90	90	90	90	90	1001	1	3	1	-1	"SCHOLOMANCE"	4	0	36	0	462
474	"Scarlet Monastery"	90	90	90	90	90	1004	1	3	1	-1	""	4	0	36	0	462
46	"Onyxia\'s Lair"	80	83	80	80	83	249	0	0	2	-1	"ONYXIAENCOUNTER"	2	0	8	0	0
48	"Molten Core"	60	60	60	60	60	409	0	0	2	-1	"MOLTENCORE"	0	0	6	0	0
50	"Blackwing Lair"	60	60	60	60	60	469	0	0	2	-1	"BLACKWINGLAIR"	0	0	6	0	0
159	"Naxxramas"	80	83	80	80	83	533	0	0	2	-1	"NAXXRAMAS"	2	0	8	0	0
160	"Ahn\'Qiraj Ruins"	60	60	60	60	60	509	0	0	2	-1	"AQRUINS"	0	0	6	0	0
161	"Ahn\'Qiraj Temple"	60	60	60	60	60	531	0	0	2	-1	"AQTEMPLE"	0	0	6	0	0
175	"Karazhan"	70	70	70	70	70	532	0	0	2	-1	"KARAZHAN"	1	0	7	0	0
176	"Magtheridon\'s Lair"	70	70	70	70	70	544	0	0	2	-1	"HELLFIRECITADELRAID"	1	0	7	0	0
177	"Gruul\'s Lair"	70	70	70	70	70	565	0	0	2	-1	"GRUULSLAIR"	1	0	7	0	0
193	"Tempest Keep"	70	70	70	70	70	550	0	0	2	-1	"TEMPESTKEEP"	1	0	7	0	0
194	"Serpentshrine Cavern"	70	70	70	70	70	548	0	0	2	-1	"SERPENTSHRINECAVERN"	1	0	7	0	0
195	"Hyjal Past"	70	70	70	70	70	534	0	0	2	-1	"HYJALPAST"	1	0	7	0	0
196	"Black Temple"	70	70	70	70	70	564	0	0	2	-1	"BLACKTEMPLE"	1	0	7	0	0
199	"The Sunwell"	70	70	70	70	70	580	0	0	2	-1	"SUNWELL"	1	0	7	0	0
223	"The Eye of Eternity"	80	83	80	80	83	616	0	0	2	-1	"MALYGOS"	2	0	8	0	0
224	"The Obsidian Sanctum"	80	83	80	80	83	615	0	0	2	-1	"CHAMBEROFASPECTS"	2	0	8	0	0
227	"Naxxramas"	80	83	80	80	83	533	1	0	2	-1	"NAXXRAMAS"	2	0	9	0	0
237	"The Eye of Eternity"	80	83	80	80	83	616	1	0	2	-1	"MALYGOS"	2	0	9	0	0
238	"The Obsidian Sanctum"	80	83	80	80	83	615	1	0	2	-1	"CHAMBEROFASPECTS"	2	0	9	0	0
239	"Vault of Archavon"	80	83	80	80	83	624	0	0	2	-1	"VAULTOFARCHAVON"	2	0	8	0	0
240	"Vault of Archavon"	80	83	80	80	83	624	1	0	2	-1	"VAULTOFARCHAVON"	2	0	9	0	0
243	"Ulduar"	80	83	80	80	83	603	0	0	2	-1	"ULDUAR"	2	0	8	0	0
244	"Ulduar"	80	83	80	80	83	603	1	0	2	-1	"ULDUAR"	2	0	9	0	0
246	"Trial of the Crusader"	80	83	80	80	83	649	0	0	2	-1	"ARGENTRAID"	2	0	8	0	0
247	"Trial of the Grand Crusader"	80	83	80	80	83	649	2	0	2	-1	"ARGENTRAID"	2	0	8	0	0
248	"Trial of the Crusader"	80	83	80	80	83	649	1	0	2	-1	"ARGENTRAID"	2	0	9	0	0
250	"Trial of the Grand Crusader"	80	83	80	80	83	649	3	0	2	-1	"ARGENTRAID"	2	0	9	0	0
257	"Onyxia\'s Lair"	80	83	80	80	83	249	1	0	2	-1	"ONYXIAENCOUNTER"	2	0	9	0	0
279	"Icecrown Citadel"	80	83	80	80	83	631	0	0	2	-1	"ICECROWNCITADEL"	2	0	8	0	0
280	"Icecrown Citadel"	80	83	80	80	83	631	1	0	2	-1	"ICECROWNCITADEL"	2	0	9	0	0
293	"Ruby Sanctum"	80	83	80	80	83	724	0	0	2	-1	"RUBYSANCTUM"	2	0	8	0	0
294	"Ruby Sanctum"	80	83	80	80	83	724	1	0	2	-1	"RUBYSANCTUM"	2	0	9	0	0
313	"Blackwing Descent"	85	85	85	85	85	669	0	0	2	-1	"BLACKWINGDESCENTRAID"	3	0	15	0	0
314	"Blackwing Descent"	85	85	85	85	85	669	1	0	2	-1	"BLACKWINGDESCENTRAID"	3	0	14	0	0
315	"The Bastion of Twilight"	85	85	85	85	85	671	0	0	2	-1	"GRIMBATOLRAID"	3	0	15	0	0
316	"The Bastion of Twilight"	85	85	85	85	85	671	1	0	2	-1	"GRIMBATOLRAID"	3	0	14	0	0
317	"Throne of the Four Winds"	85	85	85	85	85	754	0	0	2	-1	"THRONEOFTHEFOURWINDS"	3	0	15	0	0
318	"Throne of the Four Winds"	85	85	85	85	85	754	1	0	2	-1	"THRONEOFTHEFOURWINDS"	3	0	14	0	0
328	"Baradin Hold"	85	85	85	85	85	757	0	0	2	-1	"BARADINHOLD"	3	0	15	0	0
329	"Baradin Hold"	85	85	85	85	85	757	1	0	2	-1	"BARADINHOLD"	3	0	14	0	0
358	"10v10 Rated Battleground"	85	85	85	85	85	489	0	0	2	-1	"WARSONGGULCH"	3	0	20	0	0
361	"Firelands"	85	85	85	85	85	720	0	0	2	-1	"FIRELANDS"	3	0	15	0	0
362	"Firelands"	85	85	85	85	85	720	1	0	2	-1	"FIRELANDS"	3	0	14	0	0
447	"Dragon Soul"	85	85	85	85	85	967	0	0	2	-1	"DRAGONSOUL"	3	0	15	0	0
448	"Dragon Soul"	85	85	85	85	85	967	1	0	2	-1	"DRAGONSOUL"	3	0	14	0	0
58	"Elwynn Forest"	1	14	0	0	0	-1	0	0	4	1	""	0	0	0	0	0
60	"Westfall"	8	24	0	0	0	-1	0	0	4	1	""	0	0	0	0	0
62	"Duskwood"	18	34	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
64	"Dun Morogh"	1	14	0	0	0	-1	0	0	4	1	""	0	0	0	0	0
66	"Loch Modan"	8	24	0	0	0	-1	0	0	4	1	""	0	0	0	0	0
68	"Wetlands"	18	34	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
70	"Stranglethorn Vale"	28	50	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
72	"Blasted Lands"	43	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
74	"Swamp of Sorrows"	33	50	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
76	"Redridge Mountains"	13	30	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
78	"Burning Steppes"	48	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
80	"Searing Gorge"	43	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
82	"Badlands"	33	50	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
84	"Arathi Highlands"	28	44	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
86	"Hillsbrad Foothills"	18	34	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
88	"Hinterlands"	38	54	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
90	"Western Plaguelands"	48	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
92	"Eastern Plaguelands"	53	63	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
94	"Tirisfal Glades"	1	14	0	0	0	-1	0	0	4	0	""	0	0	0	0	0
96	"Silverpine Forest"	8	24	0	0	0	-1	0	0	4	0	""	0	0	0	0	0
98	"Alterac Mountains"	28	44	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
100	"Durotar"	1	14	0	0	0	-1	0	0	4	0	""	0	0	0	0	0
102	"Mulgore"	1	14	0	0	0	-1	0	0	4	0	""	0	0	0	0	0
104	"The Barrens"	8	30	0	0	0	-1	0	0	4	0	""	0	0	0	0	0
106	"Stonetalon Mountains"	13	32	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
108	"Thousand Needles"	23	40	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
110	"Desolace"	28	44	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
112	"Feralas"	38	54	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
114	"Dustwallow Marsh"	33	50	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
116	"Tanaris"	38	54	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
118	"Un\'Goro Crater"	45	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
120	"Silithus"	53	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
122	"Teldrassil"	1	14	0	0	0	-1	0	0	4	1	""	0	0	0	0	0
124	"Darkshore"	8	24	0	0	0	-1	0	0	4	1	""	0	0	0	0	0
126	"Ashenvale"	18	34	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
128	"Felwood"	46	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
130	"Azshara"	43	60	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
132	"Winterspring"	53	63	0	0	0	-1	0	0	4	-1	""	0	0	0	0	0
152	"Hellfire Peninsula"	57	66	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
153	"Zangarmarsh"	58	67	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
154	"Terokkar Forest"	60	68	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
155	"Nagrand"	62	70	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
156	"Shadowmoon Valley"	65	73	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
157	"Blade\'s Edge Mountains"	63	71	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
158	"Netherstorm"	65	73	0	0	0	-1	0	0	4	-1	"Outland"	1	0	0	0	0
166	"Eversong Woods"	1	14	0	0	0	-1	0	0	4	0	""	1	0	0	0	0
167	"Azuremyst Isle"	1	14	0	0	0	-1	0	0	4	1	""	1	0	0	0	0
168	"Ghostlands"	8	24	0	0	0	-1	0	0	4	0	""	1	0	0	0	0
169	"Bloodmyst Isle"	8	24	0	0	0	-1	0	0	4	1	""	1	0	0	0	0
200	"Isle of Quel\'Danas"	69	72	0	0	0	530	0	0	4	-1	""	1	0	0	0	0
228	"Borean Tundra"	68	72	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
229	"Howling Fjord"	68	72	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
230	"Grizzly Hills"	70	74	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
231	"Dragonblight"	71	75	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
232	"Wintergrasp"	77	80	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
233	"Zul\'Drak"	73	77	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
234	"Sholazar Basin"	75	79	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
235	"The Storm Peaks"	77	80	0	0	0	571	0	0	4	-1	""	2	0	0	0	0
236	"Icecrown"	77	80	0	0	0	571	0	0	4	-1	"IcecrownCitadel"	2	0	0	0	0
258	"Random Classic Dungeon"	15	58	55	15	58	0	0	19	6	-1	""	0	0	1	0	0
259	"Random Burning Crusade Dungeon"	59	68	65	59	68	0	0	19	6	-1	""	1	0	2	0	0
260	"Random Burning Crusade Heroic"	70	73	70	70	73	0	1	19	6	-1	""	1	0	3	0	0
261	"Random Lich King Dungeon"	69	79	80	69	79	0	0	19	6	-1	""	2	0	4	0	0
262	"Random Lich King Heroic"	80	80	80	80	80	0	1	19	6	-1	""	2	0	5	0	0
300	"Random Cataclysm Dungeon"	80	85	0	80	85	0	0	19	6	-1	""	3	0	13	0	0
301	"Random Cataclysm Heroic"	85	85	0	85	85	0	1	19	6	-1	""	3	0	12	0	0
462	"Random Mists of Pandaria Heroic"	90	90	0	90	90	0	1	19	6	-1	""	3	0	36	0	0
463	"Random Mists of Pandaria Dungeon"	85	90	0	85	90	0	0	19	6	-1	""	3	0	37	0	0
434	"Random Hour of Twilight Heroic"	85	85	0	85	85	0	1	19	6	-1	""	3	1	33	0	0
