field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16
7552	0	0	0	0	0	0	6297	0	0	0	1	1	1	1	Island Frog	0
7553	0	0	0	0	0	0	4615	0	0	0	1	1	1	1	Great Horned Owl	3
7554	0	0	0	0	0	0	6298	0	0	0	1	1	1	1	Snowy Owl	3
7555	0	0	0	0	0	0	6299	0	0	0	1	1	1	1	Hawk Owl	3
7556	0	0	0	0	0	0	6300	0	0	0	1	1	1	1	Eagle Owl	3
7560	0	0	0	0	0	0	328	0	0	0	1	1	1	1	Snowshoe Rabbit	0
7561	0	0	0	0	0	0	2955	0	0	0	1	1	1	1	Albino Snake	0
7562	0	0	0	0	0	0	2957	0	0	0	1	1	1	1	Brown Snake	0
7563	0	0	0	0	0	0	2956	0	0	0	1	1	1	1	Blue Racer	0
7565	0	0	0	0	0	0	1206	0	0	0	1	1	1	1	Black Kingsnake	0
7566	0	0	0	0	0	0	2954	0	0	0	1	1	1	1	Scarlet Snake	0
7567	0	0	0	0	0	0	6303	0	0	0	1	1	1	1	Crimson Snake	0
7568	0	0	0	0	0	0	2954	0	0	0	1	1	1	1	Ribbon Snake	0
7569	0	0	0	0	0	0	1986	0	0	0	1	1	1	1	Green Water Snake	0
7570	0	0	0	0	0	0	1824	0	0	0	1	1	1	1	Elven Wisp	0
8376	0	0	0	0	0	0	7920	0	0	0	1	1	1	1	Mechanical Chicken	0
9656	0	0	0	0	0	0	8909	0	0	0	1	1	1	1	Pet Bombling	0
9657	0	0	0	0	0	0	8910	0	0	0	1	1	1	1	Lil\' Smoky	0
9662	0	0	0	0	0	0	6294	0	0	0	1	1	1	1	Sprite Darter Hatchling	3
9936	0	0	0	0	0	0	9209	0	0	0	1	1	1	1	Corrupted Kitten	0
10259	0	0	0	0	0	0	9563	9572	0	0	1	1	0	0	Worg Pup	0
10598	0	0	0	0	0	0	9997	0	0	0	1	1	0	0	Smolderweb Hatchling	0
11236	0	0	0	0	0	0	9554	0	0	0	1	1	1	1	Blood Parrot	3
11325	0	0	0	0	0	0	10990	0	0	0	1	1	1	1	Panda Cub	0
11326	0	0	0	0	0	0	10992	0	0	0	1	1	1	1	Mini Diablo	0
11327	0	0	0	0	0	0	10993	0	0	0	1	1	1	1	Zergling	0
12419	0	0	0	0	0	0	901	0	0	0	1	1	1	1	Lifelike Toad	0
14143	0	0	0	0	0	0	14192	0	0	0	0	0	0	0	Ar\'lia	0
14305	0	0	0	0	0	0	338	0	0	0	0	0	0	0	Human Orphan	0
14421	0	0	0	0	0	0	1072	0	0	0	1	1	1	1	Brown Prairie Dog	0
14444	0	0	0	0	0	0	14589	0	0	0	0	0	0	0	Orcish Orphan	0
14629	0	0	0	0	0	0	14657	0	0	0	1	1	1	1	Loggerhead Snapjaw	0
14630	0	0	0	0	0	0	14658	0	0	0	1	1	1	1	Leatherback Snapjaw	0
14631	0	0	0	0	0	0	14659	0	0	0	1	1	1	1	Olive Snapjaw	0
14632	0	0	0	0	0	0	14660	0	0	0	1	1	1	1	Hawksbill Snapjaw	0
14633	0	0	0	0	0	0	14661	0	0	0	1	1	1	1	Albino Snapjaw	0
14755	0	0	0	0	0	0	14778	0	0	0	1	1	1	1	Tiny Green Dragon	0
14756	0	0	0	0	0	0	14779	0	0	0	1	1	1	1	Tiny Red Dragon	0
14878	0	0	0	0	0	0	14938	0	0	0	1	1	1	1	Jubling	0
15186	0	0	0	0	0	0	15369	0	0	0	1	1	1	1	Murky	0
15356	0	0	0	0	0	0	15393	0	0	0	1	1	1	1	Blue Baby Murloc	0
15357	0	0	0	0	0	0	15397	0	0	0	1	1	1	1	Purple Baby Murloc	0
15358	0	0	0	0	0	0	15398	0	0	0	1	1	1	1	Lurky	0
15359	0	0	0	0	0	0	15396	0	0	0	1	1	1	1	Pink Baby Murloc	0
15360	0	0	0	0	0	0	15394	0	0	0	1	1	1	1	Green Baby Murloc	0
15361	0	0	0	0	0	0	15395	0	0	0	1	1	1	1	Murki	0
15429	0	0	0	0	0	0	15436	0	0	0	1	1	1	1	Disgusting Oozeling	0
15661	0	0	0	0	0	0	15595	0	0	0	1	1	1	1	Baby Shark	0
15698	0	0	0	0	0	0	15660	0	0	0	1	1	1	1	Father Winter\'s Helper	0
15699	0	0	0	0	0	0	10269	0	0	0	1	1	1	1	Tranquil Mechanical Yeti	0
15705	0	0	0	0	0	0	15663	0	0	0	1	1	1	1	Winter\'s Little Helper	0
15706	0	0	0	0	0	0	15904	0	0	0	1	0	0	0	Winter Reindeer	0
15710	0	0	0	0	0	0	13610	0	0	0	0	0	0	0	Tiny Snowman	0
16069	0	0	0	0	0	0	15984	0	0	0	1	1	1	1	Gurky	0
16085	0	0	0	0	0	0	15992	0	0	0	1	1	1	1	Peddlefeet	3
16445	0	0	0	0	0	0	15398	0	0	0	1	1	1	1	Terky	0
16456	0	0	0	0	0	0	16189	0	0	0	1	1	1	1	Poley	0
16547	0	0	0	0	0	0	16259	0	0	0	1	1	1	1	Speedy	0
16548	0	0	0	0	0	0	16257	0	0	0	1	1	1	1	Mr. Wiggles	0
16549	0	0	0	0	0	0	2176	0	0	0	1	1	1	1	Whiskers the Rat	0
16701	0	0	0	0	0	0	16587	0	0	0	1	1	1	1	Spirit of Summer	3
17254	0	0	0	0	0	0	37949	0	0	0	1	1	1	1	White Tiger Cub	0
17255	0	0	0	0	0	0	16943	0	0	0	1	0	0	0	Hippogryph Hatchling	3
18381	0	0	0	0	0	0	17723	0	0	0	1	1	1	1	Netherwhelp	3
18839	0	0	0	0	0	0	18269	0	0	0	1	1	1	1	Magical Crawdad	0
20245	0	0	0	0	0	0	9989	0	0	0	0	0	0	0	Mr. Kitty	0
20246	0	0	0	0	0	0	9990	0	0	0	1	1	1	1	Manny	0
20247	0	0	0	0	0	0	5556	0	0	0	1	1	1	1	Kitty	0
20408	0	0	0	0	0	0	19600	0	0	0	1	1	1	1	Mana Wyrmling	3
20472	0	0	0	0	0	0	4626	0	0	0	1	1	1	1	Brown Rabbit	0
21008	0	0	0	0	0	0	19985	0	0	0	1	1	1	1	Yellow Moth	3
21009	0	0	0	0	0	0	19986	0	0	0	1	1	1	1	Red Moth	3
21010	0	0	0	0	0	0	19987	0	0	0	1	1	1	1	Blue Moth	3
21018	0	0	0	0	0	0	19999	0	0	0	1	1	1	1	White Moth	3
21055	0	0	0	0	0	0	20026	0	0	0	1	1	1	1	Golden Dragonhawk Hatchling	3
21056	0	0	0	0	0	0	20029	0	0	0	1	1	1	1	Blue Dragonhawk Hatchling	3
21063	0	0	0	0	0	0	20037	0	0	0	1	1	1	1	Silver Dragonhawk Hatchling	3
21064	0	0	0	0	0	0	20027	0	0	0	1	1	1	1	Red Dragonhawk Hatchling	3
21076	0	0	0	0	0	0	20042	0	0	0	1	1	1	1	Firefly	3
21266	0	0	0	0	0	0	20155	20160	0	0	1	1	0	0	Ravager Hatchling	0
22328	0	0	0	0	0	0	15382	0	0	0	0	0	0	0	Toy RC Mortar Tank	0
22445	0	0	0	0	0	0	20996	0	0	0	1	1	1	1	Miniwing	3
22484	0	0	0	0	0	0	21048	0	0	0	0	0	0	0	Zeppit	0
22817	0	0	0	0	0	0	19315	0	0	0	1	0	0	0	Blood Elf Orphan	0
22818	0	0	0	0	0	0	19091	0	0	0	1	0	0	0	Draenei Orphan	0
22943	0	0	0	0	0	0	22349	0	0	0	1	1	1	1	Wolpertinger	0
23114	0	0	0	0	0	0	21304	0	0	0	1	0	0	0	Lucky	0
23198	0	0	0	0	0	0	21328	0	0	0	0	0	0	0	Lucky	0
23231	0	0	0	0	0	0	21381	0	0	0	1	0	0	0	Willy	3
23234	0	0	0	0	0	0	21362	0	0	0	1	1	1	1	Bananas	0
23258	0	0	0	0	0	0	21382	0	0	0	1	0	0	0	Egbert	0
23266	0	0	0	0	0	0	21393	0	0	0	1	0	0	0	Peanut	0
23274	0	0	0	0	0	0	16633	0	0	0	1	1	1	1	Stinker	0
23439	0	0	0	0	0	0	21155	0	0	0	1	1	1	1	Hungry Nether Ray	0
23909	0	0	0	0	0	0	21900	0	0	0	1	1	1	1	Sinister Squashling	0
24388	0	0	0	0	0	0	22388	0	0	0	1	0	0	0	Toothy	0
24389	0	0	0	0	0	0	22389	0	0	0	1	0	0	0	Muckbreath	0
24480	0	0	0	0	0	0	22459	0	0	0	1	1	1	1	Mojo	0
24753	0	0	0	0	0	0	22629	0	0	0	0	0	0	0	Pint-Sized Pink Pachyderm	0
24968	0	0	0	0	0	0	22776	0	0	0	1	1	1	1	Clockwork Rocket Bot	0
25062	0	0	0	0	0	0	22855	0	0	0	1	1	1	1	Tiny Sporebat	3
25109	0	0	0	0	0	0	22903	0	0	0	1	1	1	1	Rocket Chicken	0
25110	0	0	0	0	0	0	22966	22990	22991	22992	1	1	1	1	Dragon Kite	0
25146	0	0	0	0	0	0	21304	0	0	0	0	0	0	0	Golden Pig	0
25147	0	0	0	0	0	0	22938	0	0	0	0	0	0	0	Silver Pig	0
25499	5303	0	0	0	0	0	16004	0	0	0	0	0	0	0	PattyMack - The Dummy	0
25706	0	0	0	0	0	0	8409	0	0	0	0	0	0	0	Searing Scorchling	0
26050	0	0	0	0	0	0	23507	0	0	0	1	0	0	0	Snarly	0
26056	0	0	0	0	0	0	23506	0	0	0	1	0	0	0	Chuck	0
26119	0	0	0	0	0	0	23574	0	0	0	1	1	1	1	Phoenix Hatchling	3
26243	0	0	0	0	0	0	15923	0	0	0	1	1	1	1	Crimson Serpent	0
26613	0	0	0	0	0	0	23946	23947	23948	0	3	2	1	0	Arctic Grizzly Cub	0
26614	0	0	0	0	0	0	328	0	0	0	0	0	0	0	Snowshoe Hare	0
27017	0	0	0	0	0	0	26139	0	0	0	0	0	0	0	Depleted War Golem	0
27217	0	0	0	0	0	0	24393	0	0	0	0	0	0	0	Spirit of Competition	0
27346	0	0	0	0	0	0	24620	0	0	0	0	0	0	0	Essence of Competition	0
27438	0	0	0	0	0	0	24637	0	0	0	0	0	0	0	Rainbow Trout	0
27798	0	0	0	0	0	0	11686	0	0	0	1	0	0	0	Reincarnated Skytalon	0
27914	0	0	0	0	0	0	25002	0	0	0	1	1	1	1	Ethereal Soul-Trader	0
28267	0	0	0	0	0	0	25265	0	0	0	0	0	0	0	Coyote Spirit	0
28470	0	0	0	0	0	0	25457	0	0	0	1	1	1	1	Nether Ray Fry	3
28513	0	0	0	0	0	0	4185	0	0	0	1	1	1	1	Vampiric Batling	3
28883	0	0	0	0	0	0	28456	0	0	0	1	1	1	1	Frosty	3
29089	0	0	0	0	0	0	25900	0	0	0	1	1	1	1	Mini Tyrael	3
29147	0	0	0	0	0	0	28089	0	0	0	1	0	0	0	Ghostly Skull	0
29238	0	0	0	0	0	0	26064	0	0	0	0	0	0	0	Scourge Haunt	0
29726	0	0	0	0	0	0	26452	0	0	0	1	1	1	1	Mr. Chilly	0
30379	0	0	0	0	0	0	304	0	0	0	1	1	1	1	Westfall Chicken	0
31575	0	0	0	0	0	0	27627	0	0	0	1	1	1	1	Giant Sewer Rat	0
32589	0	0	0	0	0	0	28214	0	0	0	1	1	1	1	Tickbird Hatchling	3
32590	0	0	0	0	0	0	28215	0	0	0	1	1	1	1	White Tickbird Hatchling	3
32591	0	0	0	0	0	0	28084	0	0	0	1	1	1	1	Cobra Hatchling	0
32592	0	0	0	0	0	0	28217	0	0	0	1	1	1	1	Proto-Drake Whelp	3
32595	0	0	0	0	0	0	28216	0	0	0	1	1	1	1	Pengu	0
32643	0	0	0	0	0	0	14273	0	0	0	1	1	1	1	Kirin Tor Familiar	0
32791	0	0	0	0	0	0	6302	0	0	0	1	1	1	1	Spring Rabbit	0
32818	0	0	0	0	0	0	21774	0	0	0	1	1	1	1	Plump Turkey	0
32841	0	0	0	0	0	0	16189	0	0	0	1	1	1	1	Baby Blizzard Bear	0
32939	0	0	0	0	0	0	28397	0	0	0	1	1	1	1	Little Fawn	0
33188	0	0	0	0	0	0	28482	0	0	0	1	1	1	1	Teldrassil Sproutling	0
33194	0	0	0	0	0	0	28489	0	0	0	1	1	1	1	Dun Morogh Cub	0
33197	0	0	0	0	0	0	4732	0	0	0	1	1	1	1	Tirisfal Batling	3
33198	0	0	0	0	0	0	15470	0	0	0	1	1	1	1	Durotar Scorpion	0
33199	0	0	0	0	0	0	14473	0	0	0	1	1	1	1	Alarming Clockbot	0
33200	0	0	0	0	0	0	16205	0	0	0	1	1	1	1	Elwynn Lamb	0
33205	0	0	0	0	0	0	28493	0	0	0	1	1	1	1	Ammen Vale Lashling	0
33219	0	0	0	0	0	0	28502	0	0	0	1	0	0	0	Mulgore Hatchling	0
33226	0	0	0	0	0	0	28507	0	0	0	1	1	1	1	Strand Crawler	0
33227	0	0	0	0	0	0	16910	0	0	0	1	1	1	1	Enchanted Broom	0
33238	0	0	0	0	0	0	28946	0	0	0	1	1	1	1	Argent Squire	0
33239	0	0	0	0	0	0	28948	0	0	0	1	1	1	1	Argent Gruntling	0
33274	0	0	0	0	0	0	28539	0	0	0	1	1	1	1	Mechanopeep	0
33529	0	0	0	0	0	0	25384	0	0	0	1	0	0	0	Curious Wolvar Pup	0
33530	0	0	0	0	0	0	25173	0	0	0	1	0	0	0	Curious Oracle Hatchling	0
33532	0	0	0	0	0	0	25384	0	0	0	1	0	0	0	Wolvar Orphan	0
33533	0	0	0	0	0	0	25173	0	0	0	1	0	0	0	Oracle Orphan	0
33578	0	0	0	0	0	0	28734	0	0	0	1	1	1	1	Murkimus the Gladiator	0
33810	0	0	0	0	0	0	29189	28880	0	0	0	1	0	0	Sen\'jin Fetish	0
34031	0	0	0	0	0	0	29060	0	0	0	1	1	1	1	XS-001 Constructor Bot	0
34278	0	0	0	0	0	0	29184	0	0	0	1	0	0	0	Withers	0
34320	0	0	0	0	0	0	29251	0	0	0	0	0	0	0	Venomhide Hatchling	0
34364	0	0	0	0	0	0	11709	0	0	0	1	1	1	1	Calico Cat	0
34587	0	0	0	0	0	0	29279	0	0	0	1	1	1	1	Warbot	0
34694	0	0	0	0	0	0	29348	0	0	0	1	1	1	1	Grunty	0
34724	0	0	0	0	0	0	29372	0	0	0	1	1	1	1	Shimmering Wyrmling	3
34770	6323	6323	0	0	0	0	29404	0	0	0	1	1	1	1	Macabre Marionette	0
34930	0	0	0	0	0	0	29605	0	0	0	1	1	1	1	Jade Tiger	0
35387	0	0	0	0	0	0	29802	0	0	0	1	1	1	1	Leaping Hatchling	0
35394	0	0	0	0	0	0	29806	0	0	0	1	1	1	1	Razzashi Hatchling	0
35395	0	0	0	0	0	0	29807	0	0	0	1	1	1	1	Deviate Hatchling	0
35396	0	0	0	0	0	0	29805	0	0	0	1	1	1	1	Darting Hatchling	0
35397	0	0	0	0	0	0	29810	0	0	0	1	1	1	1	Ravasaur Hatchling	0
35398	0	0	0	0	0	0	29808	0	0	0	1	1	1	1	Razormaw Hatchling	0
35399	0	0	0	0	0	0	29809	0	0	0	1	1	1	1	Obsidian Hatchling	0
35400	0	0	0	0	0	0	29803	0	0	0	1	1	1	1	Gundrak Hatchling	0
35468	0	0	0	0	0	0	29819	0	0	0	1	1	1	1	Onyx Panther	0
36482	0	0	0	0	0	0	30157	0	0	0	1	0	0	0	Tuskarr Kite	0
36511	0	0	0	0	0	0	30409	0	0	0	1	1	1	1	Spectral Tiger Cub	0
36607	0	0	0	0	0	0	30356	0	0	0	1	1	1	1	Onyxian Whelpling	3
36871	0	0	0	0	0	0	30462	0	0	0	1	1	1	1	Core Hound Pup	0
36908	0	0	0	0	0	0	30412	0	0	0	1	0	0	0	Gryphon Hatchling	0
36909	0	0	0	0	0	0	30413	0	0	0	1	0	0	0	Wind Rider Cub	0
36910	0	0	0	0	0	0	30402	0	0	0	1	1	1	1	Zipao Tiger	0
36911	0	0	0	0	0	0	30414	0	0	0	1	1	1	1	Pandaren Monk	0
36979	0	0	0	0	0	0	30507	0	0	0	1	1	1	1	Lil\' K.T.	0
37865	0	0	0	0	0	0	31174	0	0	0	1	1	1	1	Perky Pug	0
38374	0	0	0	0	0	0	31073	0	0	0	1	1	1	1	Toxic Wasteling	0
38976	0	0	0	0	0	0	29000	11686	0	0	0	1	0	0	Worgen Dust Bunny	0
40198	0	0	0	0	0	0	31722	0	0	0	0	0	0	0	Frigid Frostling	0
40295	0	0	0	0	0	0	22778	0	0	0	1	1	1	1	Blue Clockwork Rocket Bot	0
40624	0	0	0	0	0	0	31956	0	0	0	1	0	0	0	Celestial Dragon	0
40703	0	0	0	0	0	0	32031	0	0	0	1	1	1	1	Lil\' XT	0
40721	0	0	0	0	0	0	28734	0	0	0	1	1	1	1	Murkimus the Gladiator	0
42078	0	0	0	0	0	0	32670	0	0	0	1	1	1	1	Mini Thor	0
42177	0	0	0	0	0	0	32699	0	0	0	0	0	0	0	Blue Mini Jouster	3
42183	0	0	0	0	0	0	32707	0	0	0	0	0	0	0	Gold Mini Jouster	3
43800	0	0	0	0	0	0	33512	0	0	0	1	0	0	0	Personal World Destroyer	0
43916	0	0	0	0	0	0	33559	0	0	0	0	0	0	0	De-Weaponized Mechanical Companion	0
44413	34183	0	0	0	0	0	32242	0	0	0	0	0	0	0	Fathom-Stalker Azjentus	0
44939	0	0	0	0	0	0	33320	0	0	0	0	0	0	0	Crystalwing Stone Drake	0
45128	0	0	0	0	0	0	34262	0	0	0	1	0	0	0	Crawling Claw	0
45247	0	0	0	0	0	0	33254	0	0	0	0	0	0	0	Pebble	0
45340	0	0	0	0	0	0	34413	0	0	0	1	0	0	0	Fossilized Hatchling	0
46896	0	0	0	0	0	0	35338	0	0	0	1	0	0	0	Lil\' Deathwing	3
46898	0	0	0	0	0	0	36902	0	0	0	1	0	0	0	Enchanted Lantern	3
47169	0	0	0	0	0	0	15393	0	0	0	1	0	0	0	Hardboiled Egg	0
47944	0	0	0	0	0	0	37136	0	0	0	1	1	1	1	Dark Phoenix Hatchling	3
48107	0	0	0	0	0	0	36499	0	0	0	1	1	1	1	Rustberg Gull	3
48242	0	0	0	0	0	0	36220	0	0	0	1	1	1	1	Armadillo Pup	0
48376	0	0	0	0	0	0	36129	0	0	0	0	0	0	0	Rumbling Rockling	0
48377	0	0	0	0	0	0	36130	0	0	0	0	0	0	0	Swirling Stormling	0
48378	0	0	0	0	0	0	36131	0	0	0	0	0	0	0	Whirling Waveling	0
48609	0	0	0	0	0	0	36211	0	0	0	1	0	0	0	Clockwork Gnome	0
48641	0	0	0	0	0	0	33217	0	0	0	1	1	1	1	Fox Kit	0
48982	0	0	0	0	0	0	36637	0	0	0	1	0	0	0	Tiny Shale Spider	0
49373	0	0	0	0	0	0	11686	0	0	0	0	0	0	0	Krazzworks Zeppelin	3
49586	0	0	0	0	0	0	37200	0	0	0	1	0	0	0	Guild Page	0
49587	0	0	0	0	0	0	37198	0	0	0	1	0	0	0	Guild Herald	0
49588	0	0	0	0	0	0	37199	0	0	0	1	0	0	0	Guild Page	0
49590	0	0	0	0	0	0	37196	0	0	0	1	0	0	0	Guild Herald	0
50384	0	0	0	0	0	0	32031	0	0	0	1	1	1	1	Landro\'s Lil\' XT	0
50468	0	0	0	0	0	0	32031	0	0	0	1	1	1	1	Landro\'s Lil\' XT	0
50545	0	0	0	0	0	0	36901	0	0	0	1	0	0	0	Magic Lamp	3
50586	0	0	0	0	0	0	9905	0	0	0	1	0	0	0	Mr. Grubbs	0
50722	0	0	0	0	0	0	37518	0	0	0	1	0	0	0	Elementium Geode	3
51090	0	0	0	0	0	0	37154	0	0	0	1	0	0	0	Singing Sunflower	0
51122	0	0	0	0	0	0	36896	0	0	0	1	0	0	0	Deathy	0
51600	0	0	0	0	0	0	37541	0	0	0	0	0	0	0	Lil\' Ragnaros	0
51601	0	0	0	0	0	0	37526	37527	0	0	1	0	0	0	Moonkin Hatchling	0
51632	0	0	0	0	0	0	28435	0	0	0	1	1	1	1	Tiny Flamefly	3
51634	0	0	0	0	0	0	38311	0	0	0	1	0	0	0	Bubbles	3
51635	0	0	0	0	0	0	38135	0	0	0	1	0	0	0	Scooter the Snail	0
51636	0	0	0	0	0	0	36583	0	0	0	1	0	0	0	Lizzy	0
51649	0	0	0	0	0	0	37527	37526	0	0	1	0	0	0	Moonkin Hatchling	0
51657	0	0	0	0	0	0	30969	0	0	0	1	0	0	0	Bush Chicken	0
51677	0	0	0	0	0	0	37712	0	0	0	0	0	0	0	Winterspring Cub	0
52226	0	0	0	0	0	0	37814	0	0	0	1	0	0	0	Panther Cub	0
52343	0	0	0	0	0	0	30507	0	0	0	1	1	1	1	Landro\'s Lichling	0
52344	0	0	0	0	0	0	37846	0	0	0	0	0	0	0	Nightsaber Cub	0
52367	0	0	0	0	0	0	22966	22990	22991	22992	1	1	1	1	Dragon Kite	0
52697	0	0	0	0	0	0	26	0	0	0	1	0	0	0	Greedy Kobold	0
52831	0	0	0	0	0	0	37712	0	0	0	1	0	0	0	Winterspring Cub	0
52894	0	0	0	0	0	0	38065	0	0	0	1	0	0	0	Lashtail Hatchling	0
53048	0	0	0	0	0	0	38134	0	0	0	1	0	0	0	Legs	0
53225	0	0	0	0	0	0	38229	0	0	0	1	0	0	0	Pterrordax Hatchling	3
53232	0	0	0	0	0	0	38232	0	0	0	1	0	0	0	Voodoo Figurine	0
53283	0	0	0	0	0	0	38359	0	0	0	1	0	0	0	Guardian Cub	0
53453	0	0	0	0	0	0	38340	0	0	0	0	0	0	0	Green Balloon	0
53454	0	0	0	0	0	0	38341	0	0	0	0	0	0	0	Yellow Balloon	0
53455	0	0	0	0	0	0	38342	0	0	0	0	0	0	0	Horde Balloon	0
53456	0	0	0	0	0	0	38343	0	0	0	0	0	0	0	Alliance Balloon	0
53623	0	0	0	0	0	0	16943	0	0	0	1	0	0	0	Cenarion Hatchling	3
53658	0	0	0	0	0	0	38455	0	0	0	1	1	1	1	Hyjal Bear Cub	0
53661	0	0	0	0	0	0	38429	0	0	0	1	1	1	1	Crimson Lasher	0
53828	33301	0	52052	0	0	0	21407	21404	0	0	1	1	0	0	Darren\'s Test NPC	0
53884	0	0	0	0	0	0	38539	0	0	0	1	0	0	0	Feline Familiar	0
54027	0	0	0	0	0	0	38614	0	0	0	1	1	1	1	Lil\' Tarecgosa	3
54128	0	0	0	0	0	0	38638	0	0	0	0	0	0	0	Creepy Crate	0
54223	0	0	0	0	0	0	38691	0	0	0	1	0	0	0	Keg Pony	0
54227	0	0	0	0	0	0	38693	0	0	0	1	1	1	1	Nuts	0
54359	0	0	0	0	0	0	38348	34317	0	0	1	0	0	0	Companion Combat Vehicle	0
54374	0	0	0	0	0	0	38776	0	0	0	0	0	0	0	Brilliant Kaliri	3
54375	0	0	0	0	0	0	1126	11686	0	0	0	1	0	0	Player 1\'s Pet	0
54376	0	0	0	0	0	0	1126	11686	0	0	0	1	0	0	Player 2\'s Pet	0
54383	0	0	0	0	0	0	38777	0	0	0	0	0	0	0	Purple Puffer	3
54438	0	0	0	0	0	0	38803	0	0	0	0	0	0	0	Murkablo	0
54487	0	0	0	0	0	0	38809	0	0	0	0	0	0	0	Darkmoon Turtle	0
54491	0	0	0	0	0	0	39549	0	0	0	0	0	0	0	Darkmoon Monkey	0
54539	0	0	0	0	0	0	38343	0	0	0	0	0	0	0	Alliance Balloon	0
54541	0	0	0	0	0	0	38342	0	0	0	0	0	0	0	Horde Balloon	0
54730	0	0	0	0	0	0	38919	0	0	0	0	0	0	0	Gregarious Grell	0
54745	0	0	0	0	0	0	39694	0	0	0	0	0	0	0	Sand Scarab	0
55187	0	0	0	0	0	0	38344	0	0	0	0	0	0	0	Darkmoon Balloon	0
55215	0	0	0	0	0	0	35015	0	0	0	0	0	0	0	Lumpy	0
55242	56228	0	0	0	0	0	39890	30272	4259	0	1	1	1	0	Darren\'s Test NPC 2	0
55356	0	0	0	0	0	0	15381	0	0	0	0	0	0	0	Darkmoon Tonk	0
55367	0	0	0	0	0	0	17192	0	0	0	0	0	0	0	Darkmoon Zeppelin	3
55386	0	0	0	0	0	0	39109	0	0	0	0	0	0	0	Sea Pony	3
55571	0	0	0	0	0	0	39163	0	0	0	0	0	0	0	Lunar Lantern	3
55574	0	0	0	0	0	0	39333	0	0	0	0	0	0	0	Festival Lantern	3
55768	0	0	0	0	0	0	41918	0	0	0	0	0	0	0	Lorewalker Cho	0
56031	0	0	0	0	0	0	39137	0	0	0	0	0	0	0	Darkmoon Cub	0
56082	0	0	0	0	0	0	38340	0	0	0	0	0	0	0	Green Balloon	0
56083	0	0	0	0	0	0	38341	0	0	0	0	0	0	0	Yellow Balloon	0
56266	0	0	0	0	0	0	39380	0	0	0	0	0	0	0	Fetish Shaman	0
56890	0	0	0	0	0	0	43117	0	0	0	0	0	0	0	Krik\'thik Infiltrator	0
58163	0	0	0	0	0	0	40019	0	0	0	1	0	0	0	Soul of the Aspects	0
59020	0	0	0	0	0	0	40538	0	0	0	0	0	0	0	Eye of the Legion	3
59216	0	0	0	0	0	0	10090	0	0	0	1	0	0	0	PattyMack - WildBattlePet Test	0
59702	0	0	0	0	0	0	4959	0	0	0	1	0	0	0	Prairie Mouse	0
59709	0	0	0	0	0	0	34413	0	0	0	1	0	0	0	Darren\'s Test BattlePet 1	0
59710	0	0	0	0	0	0	22778	0	0	0	1	0	0	0	Darren\'s Test BattlePet 2	0
59795	0	0	0	0	0	0	8409	0	0	0	1	0	0	0	Darren\'s Test BattlePet 3	0
60149	30848	0	0	0	0	0	41490	0	0	0	1	0	0	0	General Nazgrim	0
