m_id	m_categoryRecoveryTime	m_recoveryTime	m_startRecoveryTime
237	2637	0	0
239	2641	0	0
240	2643	0	0
241	2645	0	0
242	2647	0	60000
243	2649	0	8000
244	2676	0	0
245	2687	0	0
246	2782	0	0
247	2812	0	0
248	2825	0	0
249	2836	0	0
250	2855	0	0
251	2871	0	0
252	2894	0	61000
253	2908	0	0
254	2912	0	0
255	2944	0	0
256	2948	0	0
257	2973	0	6000
258	2974	0	0
259	2983	0	60000
260	3019	0	40000
261	3034	0	0
262	3043	0	0
263	3044	0	0
264	3045	0	180000
265	3106	0	3000
266	3109	0	10000
268	3130	0	30000
269	3131	0	10000
270	3132	0	30000
272	3145	0	15000
273	3146	0	30000
276	3151	0	30000
277	3204	0	600000
278	3219	0	60000
279	3221	0	60000
281	3223	0	60000
283	3232	0	300000
284	3233	0	10000
285	3238	0	45000
286	3247	0	30000
287	3252	0	30000
289	3267	0	0
290	3268	0	0
291	3332	0	10000
292	3335	0	180000
293	3385	0	10000
294	3411	0	0
295	3416	0	60000
297	3446	0	70000
298	3499	0	20000
299	3527	0	0
300	3542	0	60000
301	3547	0	25000
302	3552	0	0
303	3561	0	0
304	3562	0	0
305	3563	0	0
306	3565	0	0
307	3566	0	0
308	3567	0	0
310	3584	0	180000
311	3586	0	180000
312	3592	0	10000
313	3599	0	0
314	3603	0	45000
316	3635	0	45000
317	3650	0	30000
318	3651	0	30000
319	3674	0	30000
320	3680	0	600000
321	3714	0	0
322	3716	0	0
323	3720	0	10000
324	3738	0	0
325	3742	0	10000
326	3823	0	7000
327	3827	0	30000
328	4042	0	10000
329	4055	0	0
330	4079	0	600000
331	4083	0	300000
332	4101	0	15000
333	4102	0	30000
334	4104	0	300000
335	4105	0	300000
336	4146	0	45000
337	4147	0	60000
338	4148	0	420000
339	4149	0	45000
340	4150	0	120000
341	4154	0	60000
342	4159	0	30000
343	4166	0	30000
344	4167	0	0
345	4168	0	120000
346	4169	0	120000
347	4170	0	5000
348	4209	0	15000
349	4221	0	15000
350	4238	0	180000
351	4242	0	30000
352	4281	0	60000
353	4286	0	120000
354	4320	0	45000
355	4321	0	0
356	4336	0	0
357	4338	0	0
358	4342	0	0
359	4511	0	0
360	4520	0	180000
361	4526	0	120000
362	4538	0	300000
363	4539	0	300000
364	4629	0	300000
365	4805	0	180000
366	4940	0	30000
368	4948	0	30000
369	4955	0	45000
370	4987	0	8000
375	5010	0	60000
376	5105	0	30000
377	5108	0	20000
378	5110	0	20000
379	5116	0	0
380	5118	0	1000
381	5138	0	0
382	5143	0	0
383	5164	0	0
384	5165	0	0
385	5171	0	0
386	5176	0	0
387	5185	0	0
388	5202	0	0
389	5209	0	0
390	5211	0	50000
391	5215	0	0
392	5217	0	30000
393	5221	0	0
394	5225	0	1500
395	5229	0	0
396	5246	0	0
397	5252	0	240000
398	5256	0	90000
399	5277	0	180000
400	5308	0	0
401	5320	0	1000
402	5321	0	1000
403	5322	0	1000
404	5323	0	1000
405	5324	0	1000
406	5325	0	1000
407	5384	0	0
408	5394	0	0
409	5405	0	120000
410	5406	0	60000
414	5484	0	0
415	5487	0	0
416	5500	0	0
417	5502	0	0
418	5504	0	0
419	5505	0	0
420	5506	0	0
421	5570	0	0
422	5675	0	0
423	5676	0	0
424	5697	0	0
425	5703	0	30000
426	5730	0	20000
427	5740	0	0
428	5759	0	30000
429	5781	0	45000
430	5782	0	0
431	5858	0	0
432	5862	0	1000
434	5918	0	30000
435	5938	0	0
436	5990	0	45000
438	6117	0	0
439	6119	0	0
440	6123	0	0
441	6127	0	0
442	6129	0	0
443	6139	0	30000
445	6196	0	0
446	6197	0	0
447	6201	0	0
448	6229	0	30000
449	6264	0	45000
450	6266	0	30000
453	6278	0	30000
454	6295	0	6000
455	6305	0	6000
456	6343	0	0
457	6346	0	0
458	6353	0	0
460	6360	0	0
461	6366	0	0
462	6409	0	30000
464	6434	0	60000
465	6435	0	6000
466	6487	0	60000
467	6490	0	20000
468	6507	0	0
470	6513	0	10000
471	6524	0	0
472	6530	0	30000
473	6535	0	40000
474	6538	0	90000
475	6544	0	0
476	6552	0	15000
477	6572	0	4500
478	6576	0	30000
479	6580	0	30000
484	6614	0	60000
486	6664	0	10000
487	6673	0	60000
488	6685	0	30000
489	6711	0	360000
490	6725	0	30000
492	6770	0	0
493	6785	0	0
494	6789	0	45000
495	6795	0	8000
496	6807	0	0
497	6921	0	180000
498	6940	0	0
501	6957	0	5000
502	6960	0	1000
503	6965	0	0
504	6991	0	0
506	7069	0	1000
508	7090	0	30000
509	7092	0	15000
510	7093	0	20000
512	7106	0	7000
513	7108	0	1000
517	7139	0	20000
518	7140	0	25000
519	7145	0	10000
522	7164	0	180000
523	7165	0	180000
524	7178	0	1000
525	7230	0	1000
526	7231	0	1000
527	7232	0	1000
528	7233	0	1000
529	7234	0	1000
530	7235	0	1000
531	7236	0	1000
532	7237	0	1000
533	7238	0	1000
534	7239	0	1000
535	7240	0	1000
536	7241	0	1000
537	7242	0	1000
538	7243	0	1000
539	7244	0	1000
540	7245	0	1000
541	7246	0	1000
542	7247	0	1000
543	7248	0	1000
544	7249	0	1000
545	7250	0	1000
546	7251	0	1000
547	7252	0	1000
548	7253	0	1000
549	7254	0	1000
550	7266	0	0
551	7273	0	1000
552	7290	0	1000
554	7294	0	0
555	7302	0	0
556	7328	0	0
557	7331	0	1000
558	7355	0	0
560	7363	0	1000
562	7384	0	0
563	7386	0	0
564	7620	0	0
565	7731	0	0
566	7732	0	0
568	7744	0	30000
569	7806	0	5000
570	7807	0	5000
571	7808	0	5000
572	7812	0	0
573	7814	0	0
575	7855	0	0
576	7870	0	0
577	7914	0	0
578	7926	0	0
579	7927	0	0
580	7960	0	0
581	7966	0	1000
582	7974	0	10000
584	8000	0	0
585	8004	0	0
586	8017	0	0
587	8024	0	0
588	8033	0	0
589	8042	0	6000
590	8050	0	6000
591	8056	0	6000
592	8071	0	0
593	8075	0	0
595	8092	0	0
596	8122	0	30000
597	8129	0	0
599	8143	0	0
601	8148	0	1000
602	8151	0	30000
603	8152	0	10000
604	8177	0	25000
605	8184	0	0
606	8190	0	0
607	8191	0	0
608	8211	0	0
609	8218	0	10000
610	8227	0	0
611	8232	0	0
612	8246	0	0
613	8256	0	120000
614	8262	0	0
615	8277	0	0
616	8285	0	25000
618	8387	0	1500
619	8388	0	1500
620	8512	0	0
621	8552	0	0
622	8593	0	0
623	8595	0	15000
624	8596	0	0
625	8598	0	0
626	8627	0	0
627	8647	0	0
628	8676	0	0
629	8690	0	1800000
630	8715	0	30000
631	8722	0	0
632	8736	0	0
633	8788	0	0
634	8809	0	0
635	8812	0	0
636	8814	0	30000
637	8818	0	0
638	8832	0	0
639	8874	0	10000
641	8921	0	0
642	8936	0	0
645	8998	0	10000
646	9005	0	0
648	9081	0	0
649	9093	0	0
650	9159	0	0
651	9163	0	0
652	9174	0	0
654	9199	0	0
655	9200	0	0
656	9220	0	10000
657	9252	0	60000
658	9253	0	60000
660	9373	0	1000
661	9456	0	0
662	9457	0	0
663	9481	0	0
664	9484	0	0
666	9488	0	0
667	9512	0	60000
668	9532	0	0
670	9572	0	0
671	9587	0	0
672	9591	0	0
673	9613	0	0
675	9654	0	0
676	9733	0	15000
677	9736	0	5000
678	9740	0	5000
679	9741	0	5000
680	9771	0	0
681	9773	0	0
682	9774	0	0
683	9779	0	0
684	9782	0	0
685	9784	0	0
686	9806	0	0
687	9949	0	30000
688	9976	0	30000
689	9977	0	30000
690	10017	0	0
691	10018	0	0
692	10052	0	60000
693	10053	0	0
694	10054	0	0
695	10057	0	60000
696	10058	0	60000
697	10059	0	0
698	10060	0	0
699	10138	0	0
700	10139	0	0
701	10140	0	0
702	10144	0	0
703	10145	0	0
704	10165	0	0
705	10166	0	0
707	10253	0	0
709	10260	0	0
710	10266	0	0
711	10267	0	0
712	10270	0	0
713	10326	0	0
714	10577	0	0
715	10578	0	0
716	10618	0	1000
717	10667	0	210000
718	10668	0	210000
719	10669	0	210000
720	10673	0	0
721	10674	0	0
722	10675	0	0
723	10676	0	0
724	10677	0	0
725	10678	0	0
726	10679	0	0
727	10680	0	0
728	10682	0	0
729	10683	0	0
730	10684	0	0
731	10685	0	0
732	10688	0	0
733	10692	0	210000
734	10693	0	210000
735	10695	0	0
736	10696	0	0
737	10697	0	0
738	10698	0	0
739	10703	0	0
740	10704	0	0
741	10706	0	0
742	10707	0	0
743	10709	0	0
744	10711	0	0
745	10714	0	0
746	10716	0	0
747	10717	0	0
748	10838	0	0
749	10839	0	0
751	11017	0	0
752	11021	0	0
753	11084	0	6000
755	11129	0	0
756	11264	0	0
757	11365	0	3600000
758	11366	0	0
760	11387	0	10000
761	11389	0	3000
763	11391	0	0
764	11392	0	600000
765	11403	0	0
767	11412	0	0
768	11416	0	0
769	11417	0	0
770	11418	0	0
771	11419	0	0
772	11420	0	0
773	11426	0	25000
774	11431	0	0
775	11433	0	0
777	11444	0	0
778	11445	0	4000
779	11446	0	0
781	11479	0	1000
782	11480	0	1000
784	11639	0	0
787	11642	0	0
788	11647	0	4000
789	11649	0	0
790	11789	0	0
791	11824	0	6000
792	11825	0	0
793	11835	0	4000
794	11839	0	0
795	11841	0	1000
796	11895	0	0
797	11903	0	60000
798	11921	0	0
801	11958	0	0
802	11975	0	0
803	11985	0	0
804	11988	0	0
806	12039	0	0
807	12042	0	15000
808	12043	0	0
809	12051	0	0
811	12096	0	0
812	12098	0	0
813	12160	0	0
814	12167	0	0
815	12243	0	0
816	12292	0	0
817	12294	0	6000
818	12323	0	0
820	12332	0	30000
821	12354	0	0
822	12466	0	0
823	12471	0	0
824	12472	0	0
825	12529	0	0
826	12542	0	0
827	12544	0	0
828	12550	0	0
830	12561	0	1000
831	12685	0	0
832	12736	0	0
833	12739	0	0
836	12809	0	0
837	12845	0	0
838	12890	0	0
840	13008	0	0
841	13013	0	45000
842	13049	0	60000
843	13140	0	0
844	13159	0	1000
847	13165	0	1000
848	13262	0	0
849	13325	0	30000
850	13375	0	0
851	13398	0	0
852	13424	0	0
853	13438	0	0
854	13439	0	0
855	13440	0	0
856	13441	0	8000
857	13480	0	0
858	13482	0	0
859	13490	0	0
860	13491	0	10000
861	13519	0	0
862	13527	0	0
863	13530	0	0
864	13532	0	4000
865	13548	0	0
867	13587	0	0
868	13589	0	0
869	13619	0	60000
872	13744	0	0
873	13745	0	0
875	13750	0	0
876	13752	0	0
877	13787	0	0
878	13795	0	30000
879	13809	0	30000
880	13813	0	30000
883	13877	0	10000
884	13878	0	0
885	13900	0	0
886	13901	0	0
887	13912	0	0
888	14032	0	0
889	14034	0	0
890	14053	0	0
891	14105	0	8000
892	14106	0	0
893	14109	0	0
894	14112	0	6000
895	14119	0	0
896	14122	0	0
897	14129	0	0
898	14134	0	0
899	14177	0	0
900	14183	0	0
901	14185	0	0
902	14251	0	0
904	14253	0	0
908	14443	0	0
909	14514	0	0
912	14751	0	30000
913	14871	0	0
914	14874	0	0
915	14887	0	0
916	14895	0	5000
917	14900	0	0
918	14902	0	0
919	14903	0	0
920	14914	0	10000
921	15038	0	0
922	15040	0	0
923	15041	0	5000
924	15044	0	5000
925	15048	0	0
926	15049	0	0
927	15054	0	0
928	15055	0	0
929	15067	0	0
930	15090	0	0
932	15095	0	0
933	15117	0	6000
934	15228	0	0
935	15232	0	0
936	15234	0	0
937	15236	0	6000
938	15237	0	0
939	15241	0	0
940	15242	0	0
941	15245	0	0
942	15247	0	30000
943	15253	0	0
944	15277	0	0
946	15286	0	0
947	15305	0	6000
948	15306	0	6000
949	15346	0	0
950	15366	0	0
951	15407	0	0
952	15453	0	0
953	15472	0	0
954	15473	0	1500
955	15487	0	0
956	15500	0	6000
957	15507	0	0
958	15536	0	0
959	15537	0	0
960	15539	0	30000
962	15583	0	0
963	15586	0	0
965	15602	0	0
966	15605	0	6000
967	15619	0	0
968	15648	0	0
969	15653	0	0
970	15654	0	0
971	15656	0	30000
972	15659	0	6000
973	15662	0	0
974	15665	0	0
975	15668	0	0
976	15691	0	0
977	15692	0	0
978	15700	0	10000
979	15701	0	60000
980	15729	0	0
983	15799	0	0
984	15801	0	0
986	15867	0	0
987	15970	0	0
988	15981	0	0
989	15999	0	0
990	16033	0	6000
991	16034	0	6000
993	16050	0	10000
994	16053	0	0
995	16067	0	8000
996	16097	0	0
997	16101	0	0
998	16166	0	0
999	16188	0	60000
1000	16190	0	180000
1001	16231	0	0
1002	16244	0	0
1003	16250	0	0
1004	16322	0	10000
1005	16327	0	0
1006	16329	0	0
1007	16367	0	0
1008	16402	0	0
1009	16407	0	8000
1010	16408	0	0
1011	16409	0	0
1012	16410	0	0
1013	16412	0	0
1014	16413	0	0
1015	16415	0	0
1016	16450	0	0
1017	16454	0	8000
1018	16457	0	0
1019	16472	0	0
1020	16498	0	30000
1021	16511	0	0
1022	16537	0	0
1023	16569	0	0
1024	16570	0	0
1025	16588	0	0
1026	16603	0	0
1027	16608	0	0
1028	16617	0	1000
1029	16624	0	0
1030	16627	0	0
1031	16628	0	0
1032	16633	0	0
1033	16666	0	60000
1034	16689	0	60000
1035	16783	0	0
1036	16784	0	0
1037	16790	0	0
1039	16827	0	0
1041	16857	0	0
1043	16873	0	0
1044	16874	0	0
1045	16875	0	0
1046	16876	0	0
1047	16877	0	0
1048	16878	0	0
1049	16881	0	0
1050	16882	0	0
1051	16908	0	8000
1052	16914	0	0
1053	16921	0	0
1054	16979	0	15000
1055	17008	0	0
1056	17012	0	0
1057	17116	0	0
1058	17140	0	0
1059	17141	0	0
1060	17142	0	0
1061	17144	0	0
1063	17146	0	0
1064	17147	0	0
1065	17149	0	0
1067	17154	0	0
1068	17164	0	0
1069	17171	0	6000
1070	17172	0	0
1071	17173	0	0
1072	17174	0	0
1073	17195	0	0
1074	17198	0	5000
1075	17201	0	0
1076	17203	0	0
1077	17205	0	0
1078	17238	0	0
1079	17243	0	0
1080	17253	0	0
1082	17281	0	0
1083	17364	0	8000
1087	17468	0	300000
1088	17469	0	300000
1089	17483	0	0
1090	17484	0	0
1091	17506	0	0
1092	17509	0	0
1093	17510	0	0
1094	17530	0	60000
1095	17531	0	60000
1096	17534	0	10000
1099	17543	0	1000
1100	17544	0	1000
1101	17545	0	1000
1102	17546	0	1000
1103	17548	0	1000
1104	17549	0	1000
1105	17559	0	1000
1106	17560	0	1000
1107	17561	0	1000
1108	17562	0	1000
1109	17563	0	1000
1110	17564	0	1000
1111	17565	0	1000
1112	17566	0	1000
1113	17613	0	0
1114	17620	0	0
1115	17624	0	60000
1116	17628	0	1000
1117	17670	0	0
1118	17682	0	0
1119	17707	0	0
1120	17708	0	0
1121	17709	0	0
1122	17735	0	10000
1123	17745	0	0
1124	17767	0	0
1125	17770	0	60000
1126	17877	0	0
1127	17962	0	0
1129	18081	0	0
1130	18082	0	0
1131	18083	0	8000
1132	18085	0	8000
1133	18088	0	0
1134	18089	0	0
1135	18091	0	8000
1136	18092	0	8000
1137	18100	0	0
1138	18104	0	0
1139	18105	0	0
1140	18108	0	0
1141	18111	0	0
1143	18125	0	0
1144	18138	0	0
1146	18141	0	0
1147	18146	0	0
1148	18153	0	0
1149	18199	0	0
1150	18204	0	8000
1151	18205	0	0
1152	18211	0	0
1153	18214	0	0
1154	18217	0	0
1155	18220	0	0
1156	18223	0	0
1162	18248	0	0
1163	18276	0	8000
1164	18289	0	30000
1165	18307	0	60000
1166	18308	0	60000
1167	18309	0	30000
1169	18381	0	0
1170	18385	0	60000
1171	18386	0	0
1172	18398	0	8000
1173	18499	0	0
1174	18503	0	0
1175	18540	0	600000
1176	18545	0	0
1177	18557	0	0
1178	18562	0	0
1179	18608	0	0
1180	18610	0	0
1181	18649	0	6000
1182	18651	0	0
1183	18656	0	0
1185	18708	0	0
1186	18796	0	0
1187	18812	0	0
1188	18819	0	6000
1189	18831	0	0
1190	18832	0	10000
1191	18833	0	8000
1192	18942	0	1000
1193	18948	0	0
1194	18949	0	0
1195	18956	0	60000
1196	18957	0	60000
1197	18960	0	0
1198	19028	0	0
1200	19108	0	0
1201	19128	0	0
1202	19130	0	5000
1203	19199	0	10000
1204	19236	0	120000
1205	19244	0	24000
1206	19260	0	8000
1207	19263	0	0
1208	19306	0	5000
1209	19362	0	0
1210	19386	0	60000
1211	19434	0	0
1212	19474	0	0
1213	19476	0	0
1214	19482	0	20000
1215	19503	0	0
1216	19505	0	15000
1218	19513	0	40000
1220	19548	0	0
1221	19574	0	0
1222	19577	0	0
1224	19674	0	0
1225	19687	0	0
1226	19688	0	0
1227	19689	0	0
1228	19692	0	0
1229	19693	0	0
1230	19694	0	0
1231	19696	0	0
1232	19697	0	0
1233	19699	0	0
1234	19700	0	0
1235	19701	0	0
1236	19740	0	0
1237	19746	0	0
1238	19750	0	0
1239	19772	0	0
1240	19776	0	0
1241	19778	0	0
1242	19801	0	0
1243	19802	0	0
1244	19816	0	0
1248	19873	0	0
1249	19874	0	0
1257	19891	0	0
1258	19975	0	0
1259	20043	0	1000
1260	20066	0	0
1261	20116	0	8000
1262	20154	0	0
1263	20164	0	1500
1264	20165	0	0
1265	20166	0	0
1266	20216	0	0
1267	20217	0	0
1268	20230	0	0
1269	20243	0	0
1270	20252	0	30000
1271	20271	0	0
1272	20295	0	0
1273	20298	0	0
1274	20375	0	0
1275	20473	0	6000
1276	20484	0	600000
1277	20537	0	30000
1278	20545	0	0
1279	20549	0	0
1280	20566	0	3000
1281	20568	0	5000
1282	20572	0	0
1283	20577	0	0
1284	20589	0	0
1285	20594	0	0
1286	20600	0	0
1287	20605	0	6000
1288	20608	0	1800000
1289	20619	0	30000
1290	20656	0	30000
1291	20657	0	0
1292	20664	0	0
1293	20665	0	0
1294	20714	0	0
1296	20736	0	8000
1297	20743	0	0
1298	20791	0	0
1299	20793	0	0
1300	20797	0	0
1301	20798	0	0
1302	20802	0	0
1303	20805	0	0
1304	20807	0	0
1305	20808	0	0
1306	20811	0	0
1307	20815	0	0
1308	20816	0	0
1309	20821	0	0
1310	20823	0	0
1311	20824	0	0
1312	20825	0	0
1313	20829	0	0
1314	20831	0	6000
1315	20869	0	8000
1316	20883	0	8000
1317	20925	0	0
1318	21059	0	0
1320	21072	0	0
1321	21073	0	0
1322	21075	0	30000
1323	21076	0	20000
1324	21127	0	0
1325	21141	0	0
1327	21151	0	0
1328	21154	0	3000
1329	21159	0	0
1330	21162	0	0
1331	21163	0	0
1332	21169	0	1800000
1333	21171	0	0
1334	21179	0	0
1335	21187	0	0
1337	21335	0	0
1338	21337	0	0
1339	21390	0	0
1340	21393	0	10000
1341	21394	0	10000
1342	21395	0	60000
1343	21396	0	60000
1344	21402	0	0
1345	21425	0	0
1346	21549	0	0
1347	21562	0	0
1349	21668	0	0
1350	21787	0	120000
1351	21878	0	300000
1353	21935	0	86400000
1354	21954	0	0
1355	22007	0	0
1356	22047	0	0
1357	22088	0	0
1359	22128	0	0
1360	22167	0	0
1361	22168	0	0
1363	22271	0	0
1364	22335	0	60000
1365	22336	0	0
1366	22373	0	0
1367	22414	0	0
1371	22460	0	0
1372	22566	0	0
1373	22568	0	0
1374	22570	0	10000
1375	22649	0	60000
1376	22677	0	0
1377	22678	0	0
1380	22729	0	60000
1383	22751	0	4000
1384	22807	0	1000
1385	22812	0	60000
1386	22817	0	0
1387	22818	0	0
1388	22820	0	0
1389	22822	0	0
1392	22865	0	0
1393	22878	0	0
1394	22883	0	0
1395	22884	0	0
1396	22908	0	60000
1398	22914	0	0
1400	23041	0	1800000
1401	23042	0	1800000
1402	23106	0	6000
1404	23145	0	0
1405	23262	0	0
1406	23267	0	8000
1407	23268	0	0
1409	23381	0	0
1410	23428	0	0
1411	23429	0	0
1412	23430	0	0
1413	23431	0	0
1414	23432	0	0
1415	23444	0	0
1416	23445	0	0
1417	23456	0	0
1418	23457	0	0
1419	23506	0	1000
1420	23511	0	0
1421	23530	0	0
1422	23531	0	0
1426	23567	0	0
1427	23568	0	0
1428	23569	0	0
1429	23592	0	0
1430	23605	0	0
1432	23693	0	4000
1433	23696	0	0
1434	23697	0	0
1436	23811	0	0
1437	23848	0	6000
1438	23850	0	6000
1439	23852	0	604800000
1440	23859	0	0
1441	23860	0	0
1442	23881	0	6000
1443	23895	0	0
1444	23920	0	0
1445	23921	0	0
1446	23922	0	0
1447	23931	0	0
1448	23947	0	0
1449	23948	0	0
1450	23952	0	0
1451	23954	0	0
1452	23959	0	0
1453	23960	0	0
1454	23964	0	4000
1455	23989	0	0
1456	23991	0	1000
1458	24006	0	0
1459	24053	0	0
1460	24187	0	0
1461	24208	0	0
1462	24209	0	0
1463	24212	0	0
1464	24238	0	0
1465	24275	0	6000
1466	24300	0	0
1467	24331	0	0
1468	24332	0	0
1469	24333	0	20000
1470	24334	0	0
1471	24337	0	0
1472	24347	0	0
1473	24353	0	120000
1475	24361	0	60000
1478	24374	0	0
1480	24393	0	6000
1484	24412	0	0
1485	24413	0	0
1486	24414	0	0
1487	24423	0	0
1488	24427	0	0
1489	24435	0	0
1490	24450	0	10000
1491	24530	0	0
1492	24604	0	0
1493	24618	0	0
1494	24640	0	0
1495	24668	0	0
1496	24696	0	0
1498	24752	0	0
1500	24816	0	6000
1501	24817	0	5000
1502	24826	0	0
1503	24828	0	0
1504	24844	0	0
1505	24854	0	0
1506	24858	0	0
1508	24933	0	0
1509	24947	0	0
1510	24988	0	0
1511	25000	0	0
1512	25001	0	0
1513	25003	0	0
1514	25018	0	0
1515	25020	0	0
1516	25021	0	0
1517	25023	0	0
1518	25024	0	0
1519	25026	0	5000
1520	25027	0	0
1521	25030	0	0
1522	25031	0	0
1523	25046	0	0
1524	25052	0	0
1525	25058	0	0
1526	25085	0	300000
1527	25101	0	0
1528	25112	0	0
1529	25162	0	0
1531	25260	0	0
1532	25285	0	0
1533	25602	0	30000
1534	25603	0	10000
1535	25640	0	0
1536	25641	0	0
1538	25669	0	0
1543	25695	0	60000
1544	25696	0	60000
1546	25698	0	30000
1547	25699	0	600000
1548	25746	0	1000
1549	25747	0	1000
1550	25750	0	1000
1551	25777	0	0
1552	25780	0	0
1553	25801	0	0
1554	25815	0	0
1555	25816	0	0
1556	25848	0	0
1557	25849	0	0
1558	25851	0	60000
1559	25863	0	3000
1561	26006	0	0
1562	26010	0	0
1564	26042	0	0
1565	26059	0	600000
1566	26064	0	0
1567	26066	0	60000
1568	26070	0	0
1569	26071	0	0
1570	26090	0	0
1571	26098	0	0
1572	26103	0	5000
1573	26226	0	4000
1574	26260	0	60000
1575	26261	0	60000
1578	26281	0	5000
1579	26297	0	0
1580	26373	0	0
1581	26401	0	60000
1582	26402	0	60000
1583	26406	0	0
1584	26408	0	0
1585	26409	0	0
1586	26410	0	0
1587	26412	0	0
1588	26414	0	0
1589	26448	0	0
1590	26450	0	0
1591	26451	0	0
1592	26452	0	0
1594	26454	0	0
1595	26455	0	0
1596	26456	0	0
1597	26472	0	60000
1598	26473	0	60000
1599	26474	0	60000
1600	26475	0	60000
1601	26565	0	0
1602	26573	0	0
1603	26655	0	3000
1604	26661	0	0
1605	26679	0	0
1606	26742	0	0
1607	26898	0	3000
1608	26901	0	3000
1609	27030	0	0
1610	27031	0	0
1611	27090	0	0
1613	27101	0	0
1614	27103	0	60000
1615	27204	0	0
1616	27241	0	0
1617	27242	0	3000
1618	27243	0	0
1619	27244	0	3000
1620	27245	0	3000
1621	27246	0	3000
1622	27247	0	3000
1623	27248	0	3000
1624	27382	0	0
1625	27420	0	0
1626	27503	0	3000
1627	27504	0	3000
1628	27505	0	3000
1629	27506	0	3000
1630	27507	0	3000
1631	27509	0	3000
1632	27510	0	3000
1633	27511	0	3000
1634	27512	0	3000
1635	27513	0	3000
1636	27515	0	3000
1637	27519	0	3000
1638	27520	0	3000
1639	27523	0	3000
1640	27524	0	3000
1641	27525	0	3000
1642	27529	0	3000
1643	27533	0	1000
1644	27534	0	1000
1645	27535	0	1000
1646	27536	0	1000
1647	27538	0	1000
