newField1	newField2	newField3	newField4	newField5	newField6	newField7	newField8	newField9	newField10	newField11	newField12	newField13	newField14	newField15	newField16	newField17	newField18	newField19	newField20	newField21	newField22	newField23	newField24	newField25	newField26	newField27	newField28	newField29	newField30	newField31	newField32	newField33	newField34	newField35	newField36	newField37	newField38	newField39	newField40	newField41	newField42	newField43	newField44	newField45
41	1.66	0.35	0.01	1.66	19999	299	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	5,19E-16	4,20E-39	557	0	2	0
43	1.66	0.35	0.01	1.66	19999	299	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.4	1.257	1.257	0	0	0	0	0	0	0	0	0	0	1,66E-15	4,20E-39	0	2	2	0
44	1.66	0.35	0.01	1.66	19999	299	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.4	2.513	2.513	0	0	0	0	0	0	0	0	0	0	1,73E-12	4,20E-39	0	0	2	0
45	1.66	0.35	0.01	1.66	19999	299	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.4	-2.513	-2.513	0	0	0	0	0	0	0	0	0	0	-2,08E+44	4,20E-39	0	0	2	0
46	1.66	0.35	0.01	1.66	19999	299	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.4	-1.257	-1.257	0	0	0	0	0	0	0	0	0	0	-2,08E+44	4,20E-39	0	0	2	0
48	0.256	0.205	0	0.85	355	300	82	0	27	0	3	3	0	0	0	0.75	0	0	0.6	1.319	6	-0.9739	1.068	0	0	0	0	0	-12.57	12.57	0	0	0	0	0	0	0	0	-1,71E+44	2,80E-39	574	0	2	0
49	0.49	0.35465	0	2.4	164	300	511	70	0	0.04	3	3	2	10	0	0.6089	0.57	1.29	0.25	1.194	14.8	-0.09425	-0.1571	0	0	0	0	0	-12.57	12.57	0	0	0	0	0	3.2	0	0	255460	4,20E-39	587	0	2	0
50	0.334	0.15485	0	2	125	299	302	22	0	0.04	3	3	2	3.25	0.765	0	0.15	0.48	0	0.5341	20.4	0	0	0	0	0.4	-3.142	3.142	3.896	-7.54	0	0.15	0.46	0.22	0.75	0	0	0	NaN	4,20E-39	0	0	2	0
52	1	0.5045	0	-1.25	5000	300	82	40	27	0	3	3	2	4	0	0.75	0	0	2.3	0	0	0	0	0	0	1.75	-0.06283	0.1571	0	0	0	0.89	1.86	0.03	0.03	-30	3.808	1.8	NaN	4,20E-39	600	0	2	0
56	0.5875	0.55445	0	-1.1	285	300	82	104	27	0	7	4	10	10	0	0.75	0	0	1.85	0.1571	0	0	0	0	0	1.75	0	0	0	0	0	0.48	0.66	0.26	0.55	-30	3.508	5.4	NaN	4,20E-39	0	0	2	0
59	0.5485	0.05495	0	1.3	279	300	511	64	0	0	3	3	2	10	0	0	0.57	1.29	0.3	1.728	40	-0.09425	-0.1571	12.57	6.535	0	0	0	-12.57	12.57	0	0.52	0.89	0.18	0.32	20	4	1	NaN	4,20E-39	625	0	2	0
60	0.5485	0.379625	0	2	202	299	302	30	0	0.02	3	3	3.1	4.3	0	0	0.15	0.48	0.45	0.8168	18.4	0	0	0	0	0.4	-3.142	3.142	3.896	-7.54	0	0.65	1.26	0	0.2	0	0	0	NaN	4,20E-39	0	0	2	0
61	10.555	0.35465	0	-0.85	203	300	1	64	27	0	3	3	0	0	0	0.75	0	0	0.25	0.7226	3.6	-0.9739	1.068	-1.131	0.2513	6	-3.142	3.142	0	0	40	0.58	1.54	0.23	0.26	-50	4	7.7	-4,19E+40	2,80E-39	634	0	2	0
62	0.724	0.2048	0.00125	-1.25	202	300	1	10	27	0.045	3	4	3.9	8.45	0	0.7376	0.26	0.49	0.9	0.2513	-9.2	-0.9739	1.068	-5.404	6.032	1.25	-3.142	3.142	0	0	130	0.06	0.15	0.08	0.2	0	0	0	6,80E-33	2,80E-39	643	0	2	0
63	2.78	0.25	0.01	3.25	125	200	1	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
65	4	1.004	0	1	203	300	82	64	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0.2	0.3	20	4	1	NaN	4,20E-39	656	0	2	0
66	0.841	0.279725	0	1.4	164	300	1	90	27	0.045	6	6	5	9	0	0.75	0	0	0.55	1.696	40	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	20	4	1	2,35E-32	4,20E-39	0	0	2	0
67	0.1585	0.25	0	1.4	231	300	256	114	27	0.295	3	3	2	6.15	0	0.0693	0.23	0.35	0	1.194	6.8	0	0	0	0	3	-3.142	3.142	0	0	40	0.2	0.3	0.25	0.5	50	3.508	1.1	NaN	4,20E-39	0	0	2	0
70	0.334	0.3	0.00775	1.2	164	300	425	64	27	0	3	3	2	4	0	0.75	0	0	0.85	1.728	10.4	0	0	0	0	1.4	1.194	0	0	0	0	0	0	0	0	20	4	1	NaN	4,20E-39	0	0	2	0
71	0.1585	0.25	0	1.4	231	300	256	82	27	0.295	3	3	2	6	0	0.0693	0.23	0.35	0	1.194	6.8	0	0	0	0	0	-3.142	3.142	0	0	40	0.06	0.05	0.5	1	50	0.01	0	NaN	4,20E-39	0	0	2	0
72	0.1585	0.3	0	-1.25	202	300	256	104	27	0.1275	3	3	2	4	0	0.75	0	0	2.25	1.319	-12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.5	4.008	1.8	NaN	4,20E-39	673	0	2	0
73	2.78	0.5	0.03	-1	1000	200	256	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
74	2.5	0.5	0	2.85	299	300	302	66	27	0.145	2	2	2	4	0	0	0.03	1.03	0.25	3.519	3.6	0	0	0	0	0	-1.571	1.571	0	0	0	0	0	0	0	20	4	1	NaN	2,80E-39	678	0	2	0
75	4	1.5	0	0.55	299	300	302	64	27	0.2	2	2	2	4	0	0	0	0	0	0	-5.6	0	0	0	0	0	-3.142	3.142	0	0	0	0	0	0	0	20	4	1	NaN	4,20E-39	0	2	2	0
76	1	0.229775	0	1.2	125	300	511	68	27	0	3	3	2	4	0	0.75	0	0	0	0.7854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	1	5,92E-33	4,20E-39	683	0	2	0
77	1	0.05495	0	1.2	202	300	42	85	27	0.1275	3	3	2	4	0.3	0.7524	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	1	1,18E-33	4,20E-39	0	0	2	0
78	4	4.375	0	3.7	165	392	212	192	27	0	3	3	2	4	0	0.75	0	0	0	0	-40	3.142	-0.1885	0	3.267	5	0	0	0	0	545	0	0	0	0	20	4	1	0.5041961	4,20E-39	0	0	2	0
79	2.323	0.45455	0	1.15	87	392	82	198	27	0	10	10	0	8.85	0.6	0.99	0.52	0.57	1.1	3.299	18.4	0	0	0.754	0	5	0	0	0	0	545	0	0	0	0	37	8.206	12	NaN	2,80E-39	692	0	2	0
80	3.337	0.429575	0	2.85	125	392	82	200	27	0	3	3	2	4	0	0	0	0	0.4	6.283	31.2	3.142	-0.2827	-2.89	2.89	5	0	0	0	0	545	0	0	0	0	20	4	1	NaN	2,80E-39	705	0	2	0
81	2.78	0.15	0	1.66	2000	200	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,18E-35	2,80E-39	0	0	2	0
82	0.1	0.2048	0	1.66	87	299	511	12	0	0.0925	4	3	2.4	4	0	0.75	0.4	0	0.85	0.5655	-7.2	0	0	0	0	0.7	0.06283	0.4398	1.759	0.4363	0	0	0	0	0	0	0	0	1,39E-15	4,20E-39	0	0	2	0
83	0.334	0.3	0.01625	1.2	202	300	82	70	27	0.2125	3	3	1.45	3.7	0	0.75	0.11	0.32	0	2.042	0	0	0.5341	1.885	0	0	0	0	0	0	0	0	0	0	0	20	4	1	-1,70E+44	4,20E-39	722	0	2	0
84	0.529	0.3	0.038	1.2	125	300	82	68	27	0.3075	3	3	2.1	4	0	0.75	0.11	0.31	0.45	1.194	0	0	0.5341	1.885	0	0	0	0	0	0	0	0	0	0	0	20	4	1	-1,70E+44	4,20E-39	0	0	2	0
85	0.529	0.3	0.00725	1.2	87	300	82	64	27	0	3	3	2.1	4	0	0.75	0.11	0.32	0.25	1.194	0	0	0.5341	1.885	0	0	0	0	0	0	0	0	0	0	0	20	4	1	-1,70E+44	4,20E-39	0	0	2	0
88	2.674	0.85415	0	1.7	165	300	727	72	5	0	3	3	2	4	0	0.75	0	0	0.55	0	2.4	0	0	0	0	0	3.142	-3.142	0	0	0	0	0	0	0	7	20	20	NaN	2,80E-39	770	0	2	0
92	0.1975	0.25	0	1.4	279	223	256	374	27	0.07	3	5	3.7	8.45	0.27	0	0.23	0.72	0	1.194	6.8	0	0	0	0	0.9	0	0	0	0	40	0.26	0.37	0.25	0.45	150	900	0	NaN	4,20E-39	0	0	2	0
95	0.334	0.25	0	1.4	1000	0	256	70	27	0.07	3	4	3.7	8.45	0.27	0	0.23	0.72	0	1.194	6.8	0	0	0	0	0.9	0	0	0	0	0	0.26	0.37	0.25	0.45	150	900	0	NaN	4,20E-39	0	0	2	0
96	0.1	0.2048	0	0	3962	300	1	104	26	0	3	3	2	4	0	0.6633	0	0.32	2.15	5.906	18.4	0	0	0	0	1.55	0	0.06283	0	0	445	0	0	0	0	2.5	1.709	4.9	NaN	4,20E-39	0	0	2	0
97	0.5875	0.55445	0	0.85	87	300	82	104	27	0	7	4	10	10	0	0.75	0	0	1.45	0.1571	0	0	0	0	0	1.15	0	0	0	0	0	0.48	0.66	0.26	0.55	50	4.308	7.4	-2,33E-35	4,20E-39	0	0	2	0
98	14.455	0.15485	0	1.1	125	300	302	86	27	0	4	1	5.9	4.15	1.875	0	0.14	0.34	0	0	-1,00E-06	0	0	0	0	0	0	0	0	0	0	0.54	0.88	0.52	0	20	4	1	7,08E+31	4,20E-39	0	0	2	0
99	0.7825	0.129875	0.027	1.2	164	300	42	82	27	0.0775	3	3	1.75	2.75	0	0.75	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0.03	0.18	0.88	1.09	20	4	1	1,65E+16	4,20E-39	0	0	2	0
100	4	0.629375	0.0065	-5	86	300	302	118	27	0.5	10	10	0	0	0	0	0.08	0.11	0.75	0	-21.6	0	0	0	0	0	0	0	0	0	0	1.31	0	0.74	0	150	6.907	0.9	7,08E+31	4,20E-39	0	0	2	0
101	4	0.279725	0.0115	5	164	300	1	68	27	0.5	3	3	2	4	0	0.75	0.05	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	1	NaN	4,20E-39	795	0	2	0
102	1.231	0.7043	0.027	1.2	164	300	42	70	27	0.0775	3	3	1.75	2.75	0	0.75	0.12	0.51	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0.14	0.14	1.22	20	4	1	1,65E+16	4,20E-39	0	0	2	0
103	19.525	0.129875	0.0155	1.2	165	300	42	84	27	0.1125	3	3	1.75	2.75	0	0.7524	0.62	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.46	0.37	1.05	20	4	1	1,65E+16	4,20E-39	0	0	2	0
105	0.49	0.35465	0	2.4	279	300	511	70	0	0.04	3	3	2	10	0	0.6089	0.57	1.29	0.25	1.194	14.8	-0.09425	-0.1571	0	0	0	0	0	-12.57	12.57	0	0	0	0	0	3.2	0	0	NaN	4,20E-39	832	0	2	0
106	2.78	0.25	0.01	0	1000	200	845	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,35E-32	2,80E-39	0	0	2	0
107	2.78	0.25	0.01	0.7	1000	200	897	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
108	2.78	0.25	0.01	0.55	1000	200	946	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1,14E+31	4,20E-39	0	0	2	0
109	2.78	0.25	0.01	0.55	1000	200	1008	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
110	2.78	0.25	0.001	1.66	2000	200	1067	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
111	2.78	0.25	0.001	1.66	2000	200	1119	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
112	2.78	0.5	0.04	1	1000	300	1168	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
113	2.78	0.5	0.04	1	1000	300	1221	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
114	2.78	0.379625	0.01	0.25	1000	200	1271	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
115	2.78	0.379625	0.01	0.25	1000	200	1323	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
116	2.78	0.25	0.045	2	1000	200	1372	0	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
117	2.78	0.25	0.045	2	1000	200	1425	0	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
118	2.78	0.5	0.03	1.15	1000	200	1481	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
119	2.78	0.5	0.03	1.15	1000	200	1539	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
120	2.78	0.25	0.01	-1.75	1000	200	1594	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	4,20E-39	0	0	2	0
121	2.78	0.25	0.01	-1.75	1000	200	1646	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	0	2	0
122	0.5875	0.2048	0	0.85	87	300	1695	104	27	0	7	4	10	10	0	0.75	0	0	1.45	0.1571	0	0	0	0	0	1.15	0	0	0	0	0	0.48	0.66	0.26	0.55	50	4.308	7.4	-2,33E-35	4,20E-39	0	0	2	0
123	0.5875	0.2048	0	0.85	240	300	1727	104	27	0	7	4	10	10	0	0.75	0	0	1.45	0.1571	0	0	0	0	0	1.15	0	0	0	0	0	0.48	0.66	0.26	0.55	50	4.308	8.2	-2,33E-35	4,20E-39	0	0	2	0
125	0.5875	0.55445	0	-1.1	999	300	946	32	27	0	7	4	10	10	0	0.75	0	0	1.85	0	0	0	0	0	0	2.85	0	0	0	0	0	0.48	0.66	0.26	0.55	40	5.807	5.8	4,25E-29	4,20E-39	0	0	2	0
126	1.66	0.7043	0	1.1	19999	300	1008	4	0	0	3	3	0	0	0	0.75	0	0	0.3	0.4712	6.8	1.602	1.602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	5,61E-39	0	1	2	0
127	1.66	0.35	0.01	1.66	19999	299	511	4	0	0	3	3	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	5,19E-16	4,20E-39	1768	2	2	0
128	0.1975	0.25	0	1.4	538	215	256	102	27	0.07	3	5	3.7	8.45	0.27	0	0.23	0.72	0	1.194	6.8	0	0	0	0	0.9	0	0	0	0	40	0.26	0.37	0.25	0.45	120	900	0	NaN	4,20E-39	0	0	2	0
129	0.7825	0.129875	0.027	1.2	346	300	42	66	27	0.0775	3	3	1.75	2.75	0	0.75	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0.03	0.18	0.88	1.09	20	4	1	1,65E+16	4,20E-39	0	0	2	0
130	1	0.879125	0	0.55	202	300	302	32	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	8.15	0	0	0	0	0	0	0	0	0	31	20	20	1.088.843	4,20E-39	0	0	2	0
131	1	0.3	0	1.2	499	300	1168	64	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0	0	0	0	0	0	20	4	1	-4,05E+42	4,20E-39	0	0	2	0
132	1	0.35465	0	1.2	499	300	1168	64	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0	0	0	0	0	0	20	4	1	9,73E-34	4,20E-39	0	0	2	0
133	1	0.279725	0	1.2	499	300	1785	64	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0	0	0	0	0	0	20	4	1	NaN	4,20E-39	0	0	2	0
134	1	0.3	0	1.2	499	300	1168	64	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0	0	0	0	0	0	20	4	1	2,35E-32	4,20E-39	0	0	2	0
138	1	0.7043	0	5	999	0	1646	192	27	0	3	3	2	4	0	0	0	0	0	1.068	31.2	3.142	-0.2827	-2.89	2.89	1.25	0	0	0	0	0	0	0	0	0	31	0.01	3.4	NaN	5,61E-39	0	0	2	0
139	1	0.879125	0	-1.45	202	300	1168	64	27	0	3	3	2	4	0	0.75	0	0	0	0	0	0	0	0	0	8.15	0	0	0	0	0	0	0	0	0	20	20	20	-2,33E-35	4,20E-39	0	0	2	0
140	0.1	0.25	0.01	1.66	2000	200	511	12	0	0	3	3	0	0	0	0.75	0	0	1.7	0.8796	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15580.25	4,20E-39	1829	0	2	0
141	0.49	0.2048	0	2.4	279	300	302	70	0	0.04	3	3	2	10	0	0.6089	0.57	1.29	0.25	1.194	14.8	-0.09425	-0.1571	0	0	0	0	0	-12.57	12.57	0	0	0	0	0	3.2	0	0	NaN	4,20E-39	1834	0	2	0
142	0.334	0.025	0	0.7	125	299	1168	6	0	0.04	3	3	2	3.25	0.18	0	0.18	0.48	0	0.5341	20.4	0	0	0	0	0.4	-3.142	3.142	3.896	-7.54	0	0.15	0.46	0.22	0.75	0	0	0	NaN	4,20E-39	0	0	2	0
143	0.607	0.279725	0.007	-0.7	2000	200	511	4	27	0.3075	3	3	0	0	0	0.8663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2,35E-32	4,20E-39	1847	0	2	0
144	1	0.3047	0	-2.75	50	254	1168	64	2	0	4	3	2	4	0	0.75	0.25	0.26	1.25	0	-1,00E-06	0	0	12.57	12.57	0	0	0	0	0	0	0	0	0	0	-24	1.809	3.4	1,28E-33	4,20E-39	0	0	2	0
145	0.646	0.229775	0.0035	0	2000	200	302	118	0	0.0575	3	3	2.45	4.45	0.69	0.0891	0.4	0.49	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.77	1.28	0.2	0.32	100	200	0	NaN	4,20E-39	0	0	2	0
146	0.5875	0.55445	0	-1.1	1499	300	82	40	27	0	7	4	10	10	0	0.75	0	0	1.85	0.1571	0	0	0	0	0	1.75	0	0	0	0	0	0.48	0.66	0.26	0.55	-30	3.508	5.4	NaN	4,20E-39	0	0	2	0
147	0.841	0.279725	0	1.4	164	300	1	90	27	0.045	6	6	5	9	0	0.75	0	0	0.55	1.696	-20.8	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	20	4	1	2,31E+25	4,20E-39	1860	0	2	0
148	0.9385	0.45455	0	-1.7	164	300	511	70	0	0.02	3	3	2	10	0	0.5099	0.57	1.29	0.25	0.4712	-1,00E-06	-0.09425	-0.1571	0	0	0	0	0	-12.57	12.57	0	0	0	0	0	3.2	0	0	255460	4,20E-39	0	0	2	0
