field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16
1565	0	26	-5508.53	-2.051.253	3.996.099	0	0	0.707107	0.7071065	1	5	1	1	0	0	Loch Modan
1566	0	26	-5.507.545	-2.050.295	3.990.419	0	0	0	1	1	5	1	1	0	0	Kharanos
1567	0	26	-5.592.128	-4.897.708	3.970.723	0	0	-0.7071069	0.7071066	1	5	1	1	0	0	Loch Modan
1568	0	26	-5.608.288	-1503.12	3.995.185	0	0	1	-4,37E-02	1	5	1	1	0	0	Loch Modan
1569	0	26	-5.608.278	-1.501.337	3.994.926	0	0	0	1	1	5	1	1	0	0	Ironforge
1570	0	26	-5.608.292	-1.501.342	3.989.905	0	0	0	1	1	5	1	1	0	0	Kharanos
1572	0	26	-6.239.469	3.155.695	3.827.107	0	0	0.707107	0.7071065	1	5	1	1	0	0	Kharanos
1573	0	26	-5.910.552	575.191	3.729.867	0	0	1	-4,37E-02	1	5	1	1	0	0	Kharanos
1595	0	26	-9.752.125	6.837.587	2.739.904	0	0	-0.685183	0.728371	1	5	1	1	0	0	Westbrook Garrison
1596	0	26	-9.753.127	6.846.597	274.324	0	0	0.03053798	0.9995336	1	5	1	1	0	0	Westfall
1597	0	26	-9.752.966	6.826.858	2.741.124	0	0	0.9995336	-0.03053901	1	5	1	1	0	0	Stormwind City
1598	0	26	-9.752.944	6.826.823	2.685.788	0	0	0.9995336	-0.03053901	1	5	1	1	0	0	Goldshire
1630	0	27	1938.4	1584.38	819.161	0	0	-0.801254	0.598324	1	5	1	1	0	0	Brill
1633	0	27	2.222.061	1.060.021	290.264	0	0	0.707107	0.7071065	1	5	1	1	0	0	Brill
1634	0	27	2224.47	1.060.061	290.776	0	0	-0.7071069	0.7071066	1	5	1	1	0	0	Agamand Mills
1639	0	27	2223.22	1.061.229	290.484	0	0	0.008726003	0.9999619	1	5	1	1	0	0	Deathknell
1643	0	27	2.188.939	6.606.458	331.658	0	0	0.952396	-0.3048638	1	5	1	1	0	0	Brill
1644	0	27	2.187.561	6.626.042	318.218	0	0	0.3048641	0.9523959	1	5	1	1	0	0	Agamand Mills
1645	0	27	2187.59	6.625.746	331.829	0	0	0.3048641	0.9523959	1	5	1	1	0	0	Deathknell
1646	0	27	2216.45	2.695.243	335.868	0	0	0.9099616	0.4146924	1	5	1	1	0	0	Silverpine
1647	0	27	2218.24	2.711.042	335.868	0	0	-0.4146942	0.9099608	1	5	1	1	0	0	Deathknell
1648	0	27	2218.42	2.711.441	321.917	0	0	-0.4226181	0.9063079	1	5	1	1	0	0	Agamand Mills
1649	0	27	2037.2	155.575	339.039	0	0	0.915311	0.402747	1	5	1	1	0	0	Monastery
1650	0	27	2037.14	155.523	325.716	0	0	0.915311	0.402747	1	5	1	1	0	0	Plaguelands
1651	0	27	2038.91	157.135	325.245	0	0	-0.402747	0.915311	1	5	1	1	0	0	Deathknell
1652	0	27	2038.89	157.161	338.562	0	0	-0.402747	0.915311	1	5	1	1	0	0	Brill
1653	0	27	2037.23	157.224	325.644	0	0	0.362438	0.932008	1	5	1	1	0	0	Silverpine
1654	0	27	2028.62	533.837	325.893	0	0	0	1	1	5	1	1	0	0	Silverpine
1655	0	27	2029.81	522.049	33.867	0	0	-0.707107	0.707107	1	5	1	1	0	0	Monastery
1656	0	27	2028.64	510.382	338.673	0	0	1	-4,37E-03	1	5	1	1	0	0	Plaguelands
1657	0	27	2659.37	-639.66	109.284	0	0	0.986996	-0.160743	1	5	1	1	0	0	Monastery
1658	0	27	1981.24	248.245	369.923	0	0	0.967046	-0.254602	1	5	1	1	0	0	Brill
1659	0	27	1981.36	248.158	355.948	0	0	0.967046	-0.254602	1	5	1	1	0	0	Plaguelands
1660	0	27	1980.1	250.337	370.608	0	0	0.254602	0.967046	1	5	1	1	0	0	Silverpine
1661	0	27	2.222.061	1.060.021	27.753	0	0	0.707107	0.7071065	1	5	1	1	0	0	The Undercity
1662	0	27	2188.92	6.606.337	318.302	0	0	0.952396	-0.3048638	1	5	1	1	0	0	The Undercity
1663	0	27	2216.3	2.693.802	321.681	0	0	0.8987941	0.4383711	1	5	1	1	0	0	The Undercity
1664	0	27	2037.23	157.224	338.977	0	0	0.362438	0.932008	1	5	1	1	0	0	The Undercity
1665	0	27	2028.6	533.472	338.673	0	0	0	1	1	5	1	1	0	0	The Undercity
1666	0	27	1979.63	248.688	370.391	0	0	0.863835	0.503775	1	5	1	1	0	0	The Undercity
1668	0	22	-3597.3	-2714.84	175.196	0.032618	0.09473	0.940761	0.32393	1	5	1	1	0	0	Dun Algaz
1669	0	22	-3.231.024	-2.454.802	1.433.317	0.00877	0.095444	0.99122	0.09108	1	5	1	1	0	0	Dun Algaz
1674	0	26	-5.262.731	-4.830.556	3.871.346	0	0	-0.580703	0.8141155	1	5	1	1	0	0	Gnomeregan
1675	0	150	1292.7	1078.13	536.442	0	0	0.354291	0.935135	1	5	1	1	0	0	The Sepulcher
1676	0	150	1292.71	1078.12	531.458	0	0	0.358368	0.93358	1	5	1	1	0	0	Pyrewood Village
1677	0	150	1292.74	1078.11	536.475	0	0	0.935135	-0.354291	1	5	1	1	0	0	Tirisfal
1678	0	150	639.812	1290.94	8.603.893	0	0	0.889017	0.457874	1	5	1	1	0	0	Ambermill
1679	0	150	6.398.416	1.290.947	8.553.727	0	0	0.889017	0.457874	1	5	1	1	0	0	Pyrewood Village
1680	0	150	6.398.394	1.290.936	8.503.893	0	0	0.889017	0.457874	1	5	1	1	0	0	Shadowfang Keep
1681	0	150	6.399.384	1291.03	8.603.397	0	0	-0.457874	0.889017	1	5	1	1	0	0	Tirisfal
1686	0	150	6.398.295	1.290.998	8.601.115	0	0	0.300706	0.953717	1	5	1	1	0	0	The Sepulcher
1687	0	150	3.428.167	1.249.175	8.123.818	0	0	-0.803857	0.594823	1	5	1	1	0	0	The Sepulcher
1688	0	150	3.428.167	1.249.175	8.073.818	0	0	-0.803857	0.594823	1	5	1	1	0	0	Tirisfal
1689	0	150	342.653	1.249.231	812.299	0	0	0.594823	0.803857	1	5	1	1	0	0	Ambermill
1690	0	150	3.426.743	1249.23	807.299	0	0	0.594823	0.803857	1	5	1	1	0	0	Pyrewood
1691	0	150	3.426.743	1249.23	802.299	0	0	0.594823	0.803857	1	5	1	1	0	0	Shadowfang Keep
1692	0	150	3.402.195	1.249.682	8.089.737	0.68659	0.001571	0.72691	0.013906	1	5	1	1	0	0	Deep Elem Mine
1693	0	150	-138.245	1182.22	639.376	0	0	1	-4,37E-03	1	5	1	1	0	0	Ambermill
1694	0	150	-138.215	1182.31	639.358	0	0	-0.707107	0.707107	1	5	1	1	0	0	The Sepulcher
1695	0	150	-1.383.576	1.182.311	639.459	0	0	0.707107	0.7071065	1	5	1	1	0	0	Pyrewood Village
1696	0	150	-1.383.333	1.182.319	634.442	0	0	0.707107	0.7071065	1	5	1	1	0	0	Shadowfang Keep
1697	0	150	-138.236	1182.3	634.372	0	0	-0.707107	0.707107	1	5	1	1	0	0	Tirisfal
1698	0	150	-1.383.316	1.182.319	62.944	0	0	0.707107	0.7071065	1	5	1	1	0	0	Gilneas
1699	0	150	-1.383.247	1.182.319	624.436	0	0	0.707107	0.7071065	1	5	1	1	0	0	Hillsbrad Plains
1700	0	150	-1.404.288	8.720.504	6.323.507	0	0	0	1	1	5	1	1	0	0	Pyrewood Village
1701	0	150	-1.404.271	8.720.573	6.273.482	0	0	0	1	1	5	1	1	0	0	Shadowfang Keep
1702	0	150	-1.404.201	8.720.521	6.223.492	0	0	0	1	1	5	1	1	0	0	The Sepulcher
1703	0	150	-1.404.132	8.720.521	6.173.482	0	0	0	1	1	5	1	1	0	0	Gilneas
1704	0	150	-1.405.191	8.719.705	6.323.927	0	0	0.707107	0.707107	1	5	1	1	0	0	Hillsbrad Plains
1705	0	150	-362.578	1185.09	654.052	0	0	0	1	1	5	1	1	0	0	Pyrewood Village
1706	0	150	-362.583	1185.07	649.056	0	0	0	1	1	5	1	1	0	0	Shadowfang Keep
1707	0	150	-362.573	1185.07	64.405	0	0	0	1	1	5	1	1	0	0	Gilneas
1708	0	150	-362.611	1185.03	654.082	0	0	-0.707107	0.707107	1	5	1	1	0	0	Ambermill
1709	0	150	-362.616	1185.01	649.082	0	0	-0.707107	0.707107	1	5	1	1	0	0	The Sepulcher
1710	0	150	-362.606	1185.03	654.072	0	0	0.707107	0.707107	1	5	1	1	0	0	Hillsbrad Foothills
1711	0	150	-358.385	1313.26	360.851	0	0	0.848048	0.529919	1	5	1	1	0	0	Gilneas
1712	0	150	-358.349	1313.27	360.801	0	0	0.97437	-0.224951	1	5	1	1	0	0	Ambermill
1713	0	150	-358.349	1313.27	355.801	0	0	0.97437	-0.224951	1	5	1	1	0	0	Hillsbrad Plains
1714	0	150	-358.347	1313.35	360.834	0	0	-0.529919	0.848048	1	5	1	1	0	0	Pyrewood Village
1715	0	150	-358.347	1313.35	355.834	0	0	-0.529919	0.848048	1	5	1	1	0	0	Shadowfang Keep
1771	0	195	-6.793.878	3.959.966	4.752.016	0	0	0.998848	-0.047978	1	5	1	1	0	0	Southshore
1772	0	195	-6.793.932	3.961.361	4.696.295	0	0	0.998848	-0.047978	1	5	1	1	0	0	Tarren Mill
1773	0	195	-6.791.734	3.971.826	4.755.659	0	0	-0.672367	0.740218	1	5	1	1	0	0	Hillsbrad
1774	0	195	-6.793.823	3.981.152	4.752.016	0	0	0.047978	0.998848	1	5	1	1	0	0	Silverpine Forest
1775	0	195	-4.297.078	-5.829.097	5.389.728	0	0	1	0	1	5	1	1	0	0	Tarren Mill
1776	0	195	-4.297.208	-5.829.065	5.334.155	0	0	1	0	1	5	1	1	0	0	Durnholde Keep
1777	0	195	-429.705	-5.826.951	5.334.409	0	0	0	1	1	5	1	1	0	0	Silverpine Forest
1778	0	195	-429.692	-5.826.984	5.390.026	0	0	0	1	1	5	1	1	0	0	Hillsbrad
1779	0	195	-4.298.683	-5.828.196	53.896	0	0	0.707107	0.707107	1	5	1	1	0	0	Southshore
1780	0	195	-3.734.579	-7.712.104	5.457.246	0	0	0.872496	-0.488621	1	5	1	1	0	0	Tarren Mill
1781	0	195	-373.472	-7.712.032	5.401.856	0	0	0.872496	-0.488621	1	5	1	1	0	0	Alterac Mountains
1782	0	195	-3.736.166	-771.097	540.285	0	0	0.488621	0.872496	1	5	1	1	0	0	Hillsbrad
1783	0	195	-373.603	-7.711.035	545.824	0	0	0.488621	0.872496	1	5	1	1	0	0	Southshore
1784	0	195	-3.735.971	-7.712.427	5.402.353	0	0	0.962455	0.271441	1	5	1	1	0	0	Dun Garok
1785	0	195	-3.735.832	-7.712.501	5.457.909	0	0	0.962455	0.271441	1	5	1	1	0	0	Durnholde Keep
1786	0	195	-6.686.731	-1.308.526	6.651.914	0	0	0.96005	0.279829	1	5	1	1	0	0	Dun Garok
1787	0	195	-6.686.795	-1.308.521	6.590.804	0	0	0.96005	0.279829	1	5	1	1	0	0	Arathi Highlands
1788	0	195	-6.685.934	-1.308.377	6.590.638	0	0	-0.279829	0.96005	1	5	1	1	0	0	Southshore
1789	0	195	-6.685.872	-1.308.382	6.651.749	0	0	-0.279829	0.96005	1	5	1	1	0	0	Tarren Mill
1790	0	195	-6.685.872	-1.308.497	6.651.914	0	0	0.876727	-0.480989	1	5	1	1	0	0	Durnholde Keep
1791	0	195	-7.773.572	-1.471.548	6.161.896	0	0	1	0	1	5	1	1	0	0	Arathi Highlands
1792	0	195	-7.772.733	-1471.47	6.163.635	0	0	-0.707107	0.707107	1	5	1	1	0	0	Durnholde Keep
1793	0	195	-7.774.863	-1.471.468	6.161.317	0	0	0.707107	0.707107	1	5	1	1	0	0	Dun Garok
1794	0	195	-7.772.745	-1.471.472	6.113.599	0	0	-0.707107	0.707107	1	5	1	1	0	0	Tarren Mill
1795	0	195	-7.772.745	-1.471.472	6.063.599	0	0	-0.707107	0.707107	1	5	1	1	0	0	Southshore
2016	0	195	-1.994.434	-709.556	7.031.881	0	0	1	0	1	5	1	1	0	0	Tarren Mill
2017	0	195	-1.989.128	-7.095.054	7.032.528	0	0	-0.707107	0.707107	1	5	1	1	0	0	Alterac Mountains
2018	0	195	-1.990.267	-7.095.159	6.982.391	0	0	-0.707107	0.707107	1	5	1	1	0	0	Alterac City
2019	0	195	-1.992.242	-7.095.148	6.926.715	0	0	-0.707107	0.707107	1	5	1	1	0	0	Strahnbrad
2020	0	195	-2.000.998	-7.095.384	6.928.859	0	0	0.707107	0.707107	1	5	1	1	0	0	Durnholde Keep
2021	0	195	-1.999.023	-7.095.395	6.984.415	0	0	0.707107	0.707107	1	5	1	1	0	0	Hillsbrad
2022	0	195	-1.997.884	-709.529	7.031.802	0	0	0.707107	0.707107	1	5	1	1	0	0	Southshore
2023	0	203	4.558.266	-6.288.134	1.675.501	0	0	0.996195	0.087156	1	5	1	1	0	0	Strahnbrad
2024	0	203	4.524.271	-6.295.729	1.663.479	0.576802	-0.173584	0.779713	0.170927	1	5	1	1	0	0	Andorhal
2025	0	203	4.558.356	-6.287.837	1.675.601	0	0	-0.091502	0.995805	1	5	1	1	0	0	Alterac City
2026	0	203	4.558.594	-6.287.778	167.57	0	0	0.639439	0.768842	1	5	1	1	0	0	Hillsbrad Foothills
2027	0	203	6.381.336	-9.666.539	1.648.275	0	0	1	0	1	5	1	1	0	0	Andorhal
2028	0	203	6.381.872	-9.666.467	1.648.267	0	0	-0.707107	0.707107	1	5	1	1	0	0	Strahnbrad
2029	0	203	6.381.491	-9.666.107	1.648.256	0	0	0	1	1	5	1	1	0	0	Alterac City
2030	0	203	7.587.122	-1.467.829	7.866.837	0	0	0.659346	0.75184	1	5	1	1	0	0	Alterac City
2031	0	203	7.587.302	-1.467.818	7.866.341	0	0	-0.75184	0.659346	1	5	1	1	0	0	Andorhal
2032	0	22	7.589.982	-1467.18	7.880.669	-0.010186	-0.095401	0.993556	0.060349	0.84	5	1	1	0	0	Warning!!!! Plaguelands
2033	0	27	2374.47	1263.36	313.438	0	0	0.984041	0.177944	1	5	1	1	0	0	Agamand Mills
2034	0	27	2374.4	1263.28	299.847	0	0	0.984041	0.177944	1	5	1	1	0	0	Brill
2036	0	27	2303.32	1080.75	32.953	0	0	0.911762	-0.410719	1	5	1	1	0	0	Agamand Mills
2037	0	27	2301.48	1081.13	329.604	0	0	0.821647	0.569996	1	5	1	1	0	0	Deathknell
2038	0	27	2301.45	1081.09	31.571	0	0	0.821647	0.569996	1	5	1	1	0	0	Brill
2048	0	150	-5.495.382	7.271.285	9.110.257	0	0	0.993068	0.117537	1	5	1	1	0	0	Hillsbrad Foothills
2049	0	150	-5.494.896	7.272.292	9.109.926	0	0	-0.117537	0.993069	1	5	1	1	0	0	Gilneas
2050	0	150	-5.494.896	7.272.292	905.437	0	0	-0.117537	0.993069	1	5	1	1	0	0	Pyrewood Village
2051	0	150	-5.494.653	7.272.309	899.898	0	0	-0.117537	0.993069	1	5	1	1	0	0	Shadowfang Keep
2052	0	150	-5.494.896	7.271.788	911.012	0	0	-0.785317	0.619094	1	5	1	1	0	0	Ambermill
2670	0	195	-2.227.415	-2.459.271	8.166.203	0	0	0.75184	0.659346	1	5	1	1	0	0	Wetlands
2672	0	195	-2.227.203	-2.459.254	8.166.038	0	0	-0.659346	0.75184	1	5	1	1	0	0	Stromgarde
2673	0	195	-1.553.609	-2.490.543	5.500.792	0	0	0.748956	0.66262	1	5	1	1	0	0	Thandol Span
2674	0	195	-1.553.609	-2490.55	544.507	0	0	0.748956	0.66262	1	5	1	1	0	0	Wetlands
2675	0	195	-1.553.375	-2.490.525	5.499.099	0	0	-0.66262	0.748956	1	5	1	1	0	0	Stromgarde
2676	0	195	-1.322.218	-1.848.657	6.328.964	0	0	0.98245	0.186524	1	5	1	1	0	0	Thandol Span
2677	0	195	-1.322.223	-1.848.647	6.273.409	0	0	0.98245	0.186524	1	5	1	1	0	0	Wetlands
2678	0	195	-1.322.165	-1.848.468	6.330.455	0	0	-0.186524	0.98245	1	5	1	1	0	0	Hillsbrad Plains
2679	0	195	-1.322.291	-1.848.529	6.334.851	0	0	0.562805	0.82659	1	5	1	1	0	0	Stromgarde
2680	0	195	-1.553.447	-2.490.696	5.496.615	0	0	0.998848	-0.047978	1	5	1	1	0	0	Hammerfall
2681	0	195	-1.566.792	-2.697.938	3.474.491	0	0	0.99999	-0.004363	1	5	1	1	0	0	Hammerfall
2682	0	195	-1.566.793	-2.697.784	3.471.967	0	0	0.004363	0.99999	1	5	1	1	0	0	Stromgarde
2683	0	195	-1.246.213	-3.229.962	3.506.243	0	0	0.891007	-0.45399	1	5	1	1	0	0	Hammerfall
2684	0	195	-1.246.411	-3.229.836	3.503.631	0	0	0.453991	0.891007	1	5	1	1	0	0	Stromgarde
2685	0	22	-1.456.385	-2.432.934	5.919.476	0.022529	0.02936	0.990676	-0.131116	1	5	1	1	0	0	Refuge Pointe
2968	1	308	-1.416.951	8.715.104	187.106	0	0	0.3746071	0.9271837	1	5	1	1	0	0	Bloodhoof Village
2969	1	308	-2.309.821	-5.990.781	-7.035.268	0	0	0.922201	-0.386711	1	5	1	1	0	0	Thunder Bluff
2970	1	308	-2.311.986	-5.999.097	-7.035.268	0	0	-0.104529	0.994522	1	5	1	1	0	0	Bloodhoof Village
2971	1	308	-2.310.764	-6.015.208	-7.035.268	0	0	0.688354	0.725375	1	5	1	1	0	0	The Barrens
2972	1	308	-2.311.984	-5.999.028	-7.868.601	0	0	-0.104529	0.994522	1	5	1	1	0	0	Camp Narache
2973	1	308	-2.472.823	-4.920.434	-6.202.651	0	0	-0.394744	0.918791	1	5	1	1	0	0	Camp Narache
2974	1	308	-2.470.778	-4.938.871	-6.202.651	0	0	0.918791	0.394745	1	5	1	1	0	0	Thunder Bluff
2975	1	308	-2.470.908	-491.974	-6.202.651	0	0	0.92881	-0.370557	1	5	1	1	0	0	Bloodhoof Village
2976	1	308	-2.470.781	-4.938.854	-7.035.983	0	0	0.918791	0.394745	1	5	1	1	0	0	The Barrens
2977	1	308	-2.969.979	2.000.401	7.486.461	0	0	0.258818	0.965926	1	5	1	1	0	0	Camp Narache
2978	1	308	-2.967.687	2.016.444	7.483.372	0	0	0.965926	-0.258818	1	5	1	1	0	0	Bloodhoof Village
3194	1	308	-2.965.598	-2.631.604	5.537.132	0	0	-0.03926	0.999229	1	5	1	1	0	0	Bloodhoof Village
3195	1	308	-1.415.054	8.932.639	1.865.799	0	0	0.9255409	-0.3786476	1	5	1	1	0	0	Thunder Bluff
3196	1	308	-1.792.998	-1.767.014	-7.201.968	0	0	0.989651	-0.143493	1	5	1	1	0	0	Thunder Bluff
