field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15
214	228	0	0	224	0	0	0	1	0	0	1	32	0	0	-1
221	241	0	0	261	0	0	0	0	0	0	1	1	0	0	-1
222	241	464	0	262	2	0	0	0	0	0	1	0	0	0	-1
241	261	0	0	281	0	0	0	0	0	0	1	0	0	0	-1
261	281	0	0	301	0	0	0	0	0	0	1	0	0	0	-1
281	301	0	0	321	0	0	0	1	0	0	1	32	0	65536	-1
380	348	37	0	362	0	0	0	0	0	0	2	0	0	0	-1
381	348	39	0	362	2	0	0	3	0	200	1	0	0	0	0
382	349	43	0	362	0	0	0	3	0	200	1	0	0	0	-1
383	349	0	0	362	2	0	0	3	0	100	1	0	0	0	-1
384	349	44	0	362	2	1	0	3	0	200	1	0	0	0	-1
385	349	0	0	362	2	2	0	3	0	100	1	0	0	0	0
388	351	43	1000	383	0	0	0	1	0	0	0	32	0	0	-1
389	351	42	500	345	0	0	0	1	0	0	0.1	32	0	0	-1
390	351	43	0	384	0	0	0	1	0	0	0	32	0	0	-1
391	351	8	500	382	0	0	0	1	0	0	0.5	32	0	0	-1
392	351	45	500	349	0	0	0	1	0	0	0.3	32	0	0	-1
393	351	225	0	386	0	0	0	1	0	0	1	32	0	0	-1
394	351	52	0	385	0	0	0	1	0	0	3	32	0	0	-1
395	352	8	0	382	0	0	0	0	0	0	0.3	0	0	0	-1
396	353	132	0	349	0	0	0	1	0	0	1	0	0	0	-1
400	352	42	0	349	1	0	1000	3	0	1600	3	0	0	0	-1
401	352	8	0	383	1	0	900	3	0	400	0.2	0	0	0	-1
402	352	8	0	382	2	1	1400	0	0	0	0.6	0	0	0	-1
403	352	8	0	384	2	1	1500	0	0	0	0.6	0	0	0	-1
404	352	42	0	349	2	1	1800	3	0	2500	3	0	0	0	-1
405	352	0	0	369	2	5	0	3	0	2000	1	0	0	0	0
521	461	70	0	364	0	0	0	3	0	1000	1.5	0	0	0	-1
522	461	186	0	364	2	0	0	0	0	0	1.5	0	0	0	-1
523	461	60	0	364	2	1	0	3	0	1200	1.5	0	0	0	-1
524	461	65	0	364	2	2	0	0	0	0	1.3	0	0	0	-1
525	461	60	0	364	2	3	0	3	0	1000	2	0	0	0	-1
526	461	185	0	364	2	4	0	3	0	1000	1.5	0	0	0	-1
527	461	60	0	364	2	5	0	3	0	2000	0.8	0	0	0	0
541	481	57	0	363	0	0	0	0	0	0	0.4	0	0	0	-1
601	521	0	0	347	0	0	0	1	0	0	1	0	0	0	-1
602	521	40	0	349	0	0	0	1	0	0	0.2	0	0	0	-1
605	524	68	0	348	0	0	0	3	0	15000	0.3	0	0	0	-1
607	525	37	0	341	0	0	0	0	0	0	0.8	0	0	0	0
608	525	38	0	341	1	0	500	0	0	0	0.8	0	0	0	0
609	524	121	0	345	0	0	0	3	0	15000	0.05	0	0	0	-1
611	524	100	0	342	2	1	0	0	0	0	1	0	0	0	2
612	525	95	0	341	1	1	500	0	0	0	0.8	0	0	0	0
613	526	74	1750	342	0	0	0	0	0	0	0.75	0	0	0	-1
615	527	74	1750	342	0	0	0	0	0	0	0.75	0	0	0	-1
617	529	201	0	367	0	0	0	0	0	0	1	0	0	0	-1
618	529	202	0	367	2	0	0	0	0	0	1	0	0	0	1
619	530	224	0	367	0	0	0	0	0	0	1	0	0	0	-1
620	531	68	2340	348	0	0	0	1	0	0	0	0	0	0	-1
621	531	38	0	346	0	0	0	1	0	0	1	0	0	0	-1
622	532	17	0	348	0	0	0	0	0	0	1	2	1	0	-1
623	533	126	0	341	0	0	0	1	0	0	2	0	0	0	-1
624	534	126	0	341	0	0	0	1	0	0	0.75	0	0	0	-1
625	534	126	0	341	1	0	1000	1	0	0	0.85	0	0	0	-1
626	534	126	0	341	1	1	1000	1	0	0	0.95	0	0	0	-1
627	534	126	0	341	1	2	1000	1	0	0	1.05	0	0	0	-1
628	534	126	0	341	1	3	1000	1	0	0	1.15	0	0	0	-1
629	534	126	0	341	1	4	1000	1	0	0	1.25	0	0	0	-1
630	534	126	0	341	1	5	1000	1	0	0	1.35	0	0	0	-1
631	534	126	0	341	1	6	1000	1	0	0	1.45	0	0	0	-1
632	534	126	0	341	1	7	1000	1	0	0	1.55	0	0	0	-1
633	534	126	0	341	1	8	1000	1	0	0	1.65	0	0	0	-1
634	534	126	0	341	1	9	1000	1	0	0	1.75	0	0	0	-1
635	534	126	0	341	1	10	1000	1	0	0	1.85	0	0	0	-1
636	535	41	0	346	0	0	0	0	0	0	1	0	0	0	0
640	535	41	0	349	0	0	0	0	0	0	3	0	0	0	1
641	535	9	0	382	0	0	0	0	0	0	1	0	0	0	2
642	538	74	650	342	0	0	0	3	0	500	1.5	0	0	0	0
644	539	74	0	342	0	0	0	3	0	700	1	0	0	0	-1
645	540	0	0	342	0	0	0	1	0	0	1	0	0	0	0
646	541	0	0	342	0	0	0	1	0	0	1	34	0	8192	-1
647	542	58	0	341	0	0	0	0	0	0	1	0	0	0	-1
648	543	53	0	348	0	0	0	0	0	0	1	0	0	0	0
649	543	41	0	345	0	0	0	1	0	0	1	0	0	0	-1
650	544	31	0	341	0	0	0	0	0	0	1	0	0	0	-1
651	544	53	0	341	2	0	0	0	0	0	1	32	0	8192	-1
652	545	0	0	341	0	0	0	3	0	700	1	0	0	0	-1
653	546	109	0	341	0	0	0	3	0	500	1	0	0	0	-1
655	545	17	0	341	2	0	0	0	0	0	1	32	0	8192	-1
656	547	104	0	402	0	0	0	0	0	0	1	0	0	0	-1
657	547	104	0	402	2	0	0	1	0	0	1	0	0	0	-1
658	542	27	0	341	2	0	0	0	0	0	1	32	0	8192	-1
659	546	46	0	341	2	0	0	0	0	0	1	0	0	0	-1
660	546	29	0	341	2	1	0	0	0	0	1	0	0	0	-1
661	548	41	0	345	0	0	0	0	0	0	1	32	0	0	0
662	548	16	0	348	0	0	0	0	0	0	-0.7	0	0	0	-1
664	549	19	0	341	0	0	0	0	0	0	2.5	2	0	0	-1
674	550	40	0	367	0	0	0	0	0	0	1	0	0	0	0
675	551	16	0	367	0	0	0	3	0	650	1	16	0	0	-1
676	551	16	650	367	0	0	0	0	0	0	0	16	0	0	-1
677	552	37	0	367	0	0	0	0	0	0	0.75	2	1	0	1
678	552	17	0	341	2	0	0	3	0	200	1	2	1	0	2
679	552	17	200	341	2	1	0	3	0	200	0	18	1	0	2
681	553	16	0	367	0	0	0	3	0	580	1	0	0	0	1
682	553	16	580	367	2	0	0	3	0	3000	0.01	16	0	0	2
683	553	16	380	367	2	1	0	3	0	3000	-0.01	0	0	0	1
684	554	16	920	341	0	0	0	0	0	0	1	2	0	0	-1
685	555	16	1500	348	0	0	0	0	0	0	0	2	0	0	-1
686	556	16	0	348	0	0	0	0	0	0	0.8	2	1	0	-1
687	557	5	310	348	0	0	0	0	0	0	0	32	0	0	-1
688	557	41	0	345	0	0	0	0	0	0	1	0	0	0	-1
689	558	110	0	341	0	0	0	3	0	500	1	0	0	0	-1
690	558	49	0	341	2	0	0	0	0	0	1	0	0	0	-1
691	558	48	0	341	2	1	0	0	0	0	1	0	0	0	-1
692	559	108	0	341	0	0	0	3	0	250	1	0	0	0	-1
693	559	107	0	341	2	0	0	0	0	0	1	0	0	0	-1
694	559	108	0	341	2	1	0	0	0	0	1	0	0	0	-1
695	560	26	0	341	0	0	0	3	0	250	1	0	0	0	-1
696	560	24	0	341	2	0	0	0	0	0	1	0	0	0	-1
697	560	85	0	341	2	1	0	0	0	0	1	0	0	0	-1
698	560	59	0	341	2	2	0	0	0	0	1	0	0	0	-1
699	560	26	0	341	2	3	0	0	0	0	1	0	0	0	-1
700	561	25	0	341	0	0	0	3	0	250	1	0	0	0	-1
701	561	16	0	341	2	0	0	0	0	0	1	0	0	0	-1
702	561	25	0	341	2	1	0	0	0	0	1	0	0	0	-1
703	562	110	0	348	0	0	0	1	0	0	1	0	0	0	-1
704	563	120	0	341	0	0	0	3	0	700	1	0	0	0	-1
705	563	17	0	341	2	0	0	0	0	0	1	0	0	0	-1
707	563	120	0	341	2	1	0	0	0	0	1	0	0	0	-1
708	564	54	0	341	0	0	0	0	0	0	1	0	0	0	-1
709	564	125	0	341	2	0	0	0	0	0	1	32	0	8192	-1
710	565	119	0	371	0	0	0	0	0	0	1	32	0	0	0
711	566	0	0	341	0	0	0	3	0	700	1	0	0	0	-1
712	566	22	0	341	2	0	0	0	0	0	1	0	0	0	-1
713	566	18	0	341	2	1	0	0	0	0	1	0	0	0	-1
714	567	14	0	349	0	0	0	0	0	0	0.3	0	0	0	1
715	567	14	0	349	0	0	0	0	0	0	1.7	0	0	0	0
716	567	41	0	345	0	0	0	0	0	0	0.2	0	0	0	3
717	567	45	0	345	0	0	0	0	0	0	1.2	0	0	0	2
718	567	120	0	403	0	0	0	0	0	0	0.3	0	0	0	5
719	567	125	0	403	0	0	0	0	0	0	1.5	0	0	0	4
720	567	125	0	404	0	0	0	0	0	0	0.4	0	0	0	7
721	567	124	0	404	0	0	0	0	0	0	1.7	0	0	0	6
722	567	10	0	382	0	0	0	0	0	0	0.1	0	0	0	9
723	567	10	0	382	0	0	0	0	0	0	1	0	0	0	8
724	568	55	0	341	0	0	0	0	0	0	1	0	0	0	-1
725	568	25	0	341	2	0	0	0	0	0	1	0	0	0	-1
726	569	114	0	345	0	0	0	0	0	0	1	0	0	0	-1
727	569	115	0	345	2	0	0	1	0	0	1	0	0	0	-1
728	569	474	0	350	0	0	0	0	0	0	1	0	0	0	-1
730	569	474	0	350	2	2	0	1	0	0	1	0	0	0	-1
733	571	121	730	345	0	0	0	1	0	0	0	0	0	0	-1
734	571	100	1000	350	0	0	0	1	0	0	0	2	1	0	-1
735	572	101	1000	345	0	0	0	1	0	0	0	0	0	0	-1
736	572	101	800	350	0	0	0	1	0	0	0	2	1	0	-1
737	573	115	0	347	0	0	0	1	0	0	1	0	0	0	-1
738	573	110	0	350	0	0	0	1	0	0	1	0	0	0	-1
739	574	0	0	341	0	0	0	0	0	0	1	2	1	0	-1
740	575	66	1100	404	0	0	0	1	0	0	0	0	0	0	-1
741	576	219	0	367	0	0	0	0	0	0	1	0	0	0	0
742	577	82	2200	348	0	0	0	1	0	0	0	0	0	0	-1
743	578	225	0	349	0	0	0	1	0	0	1	0	0	0	-1
744	578	115	0	345	0	0	0	1	0	0	1	0	0	0	-1
745	579	19	0	341	0	0	0	0	0	0	0.8	2	2	0	-1
746	580	19	0	341	0	0	0	0	0	0	0.8	2	0	0	-1
747	581	0	0	367	0	0	0	1	0	0	0	0	0	0	-1
748	582	42	320	341	0	0	0	1	0	0	0	0	0	0	-1
749	583	37	0	342	0	0	0	0	0	0	1.2	2	0	0	-1
750	583	68	100	348	0	0	200	0	0	0	0.8	0	0	0	-1
751	583	39	0	342	2	0	0	0	0	0	1	64	1	0	-1
752	584	4	0	342	0	0	0	0	0	0	0.25	0	0	0	0
753	585	14	0	367	0	0	0	1	0	0	0.3	0	0	0	-1
754	586	193	0	345	0	0	0	1	0	0	1	0	0	0	-1
755	586	41	0	348	0	0	0	1	0	0	0.3	0	0	0	-1
756	587	42	0	342	0	0	0	1	0	0	0.2	0	0	0	-1
757	588	126	0	342	0	0	0	0	0	0	3	1	0	0	0
758	589	97	0	345	0	0	0	1	0	0	1	0	0	0	-1
759	589	89	400	406	0	0	0	1	0	0	0	0	0	0	-1
760	590	97	0	345	0	0	0	1	0	0	1	0	0	0	-1
761	590	54	1000	348	0	0	0	1	0	0	0	0	0	0	-1
762	591	0	0	341	0	0	0	1	0	0	5	0	0	0	-1
763	592	0	0	341	0	0	0	1	0	0	0.05	0	0	0	-1
764	593	65	0	344	0	0	0	0	0	0	1	0	0	0	-1
765	593	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
766	594	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
767	594	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
768	595	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
769	595	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
770	595	60	0	344	2	1	0	0	0	0	1	0	0	0	-1
771	596	55	0	341	0	0	0	0	0	0	1	0	0	0	-1
772	596	115	0	341	2	0	0	1	0	0	1	0	0	0	-1
773	597	10	0	341	0	0	0	3	0	400	1	0	0	0	-1
774	597	10	400	341	2	0	0	1	0	0	0	0	0	0	-1
775	598	0	0	341	0	0	0	1	0	0	3	2	2	0	-1
779	600	55	0	342	0	0	0	2	0	2250	1	0	0	0	1
781	601	133	500	403	0	0	0	1	0	0	0	0	0	0	-1
783	600	55	2250	342	2	0	0	4	1	3500	0.3	0	0	0	2
784	600	55	3300	342	2	1	0	0	0	0	0.8	32	0	0	-1
785	602	64	0	344	0	0	0	0	0	0	1	0	0	0	-1
786	602	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
787	602	60	0	344	2	1	0	0	0	0	1	0	0	0	-1
788	603	5	0	342	0	0	0	1	0	0	1	0	0	0	-1
789	604	68	1120	348	0	0	0	4	0	10000	0.1	0	0	0	0
790	604	41	0	342	0	0	0	0	0	0	1	0	0	0	1
792	606	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
793	606	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
794	606	84	0	344	2	1	0	0	0	0	1	0	0	0	-1
795	607	41	0	347	0	0	0	0	0	0	1	0	0	0	0
796	607	108	0	348	0	0	0	4	1	500	1	0	0	0	-1
797	607	107	0	348	2	1	0	0	0	0	1	0	0	0	-1
798	608	16	0	348	0	0	0	0	0	0	1	2	0	0	-1
799	609	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
800	609	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
801	609	186	0	344	2	1	0	0	0	0	1	0	0	0	-1
802	610	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
803	610	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
804	610	65	0	344	2	1	0	0	0	0	1	0	0	0	-1
805	611	125	0	341	0	0	0	0	0	0	1	0	0	0	-1
806	612	84	0	344	0	0	0	0	0	0	1	0	0	0	-1
807	612	74	0	344	2	0	0	0	0	0	1	0	0	0	-1
808	613	84	980	348	0	0	0	1	0	0	0	0	0	0	-1
810	614	180	0	341	0	0	0	0	0	0	2	0	0	0	-1
811	615	136	220	349	0	0	0	3	0	3000	0.01	0	0	0	-1
812	615	136	2250	349	2	0	0	3	0	3000	-0.01	0	0	0	0
813	616	326	0	341	0	0	0	0	0	0	1	1	0	0	-1
814	616	327	0	341	2	0	0	0	0	0	1	1	0	0	-1
815	617	45	0	345	0	0	0	1	0	0	1	0	0	0	-1
816	617	43	0	348	0	0	0	1	0	0	1	0	0	0	-1
817	618	45	0	345	0	0	0	1	0	0	1	0	0	0	-1
818	618	44	0	348	0	0	0	1	0	0	1	0	0	0	-1
819	619	42	0	368	0	0	0	1	0	0	1	0	0	0	-1
820	619	125	0	384	0	0	0	1	0	0	1	0	0	0	-1
821	619	125	0	383	0	0	0	1	0	0	1	0	0	0	-1
822	620	229	0	341	0	0	0	0	0	0	1	1	0	0	-1
823	616	465	0	341	2	1	0	0	0	0	1	1	0	0	-1
824	616	229	0	341	2	2	0	0	0	0	1	1	0	0	-1
825	621	75	0	366	0	0	0	0	0	0	1	32	0	0	-1
826	621	67	0	348	2	0	0	0	0	0	0.7	32	0	0	-1
827	621	193	0	365	2	0	0	0	0	0	1	32	0	0	2
828	622	24	330	404	0	0	0	1	0	0	0	2	1	0	-1
830	623	22	1000	403	0	0	0	1	0	0	0	2	1	0	-1
831	623	476	820	348	0	0	0	1	0	0	0	0	1	0	-1
832	624	181	0	341	0	0	0	0	0	0	1	0	0	0	-1
833	625	55	0	341	0	0	0	0	0	0	1	0	0	0	-1
834	626	115	0	345	0	0	0	0	0	0	1	0	0	0	0
835	626	79	0	348	0	0	0	0	0	0	0.8	0	0	0	1
836	627	37	0	367	0	0	0	1	0	0	1	6	1	0	0
837	628	37	0	367	0	0	0	0	0	0	1	2	1	0	1
838	629	17	0	341	0	0	0	4	0	2600	0.2	2	0	0	1
839	629	17	500	341	2	0	0	0	0	0	1	2	0	0	-1
840	628	126	0	367	2	0	0	1	0	0	0.1	0	0	0	1
841	630	83	0	367	0	0	0	3	0	9000	0.2	16	0	0	-1
842	630	83	1800	367	2	0	0	0	0	0	0	16	0	0	-1
843	631	38	0	341	0	0	0	1	0	0	0	2	0	0	-1
844	632	188	0	351	0	0	0	1	0	0	1	0	0	0	-1
845	633	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
846	633	186	0	344	0	0	0	0	0	0	1	0	0	0	-1
847	634	61	0	403	0	0	0	0	0	0	1	0	0	0	-1
848	635	193	0	345	0	0	0	0	0	0	1	0	0	0	0
849	635	74	0	348	0	0	0	0	0	0	-0.2	0	0	0	1
850	636	14	0	341	0	0	0	1	0	0	1	32	0	0	0
851	637	126	0	367	0	0	0	1	0	0	0.1	0	0	0	-1
852	638	37	0	341	0	0	0	0	0	0	1	0	0	0	-1
853	638	38	0	341	2	0	0	0	0	0	1	0	0	0	-1
854	639	126	0	341	0	0	0	0	0	0	0.4	0	0	0	-1
855	640	126	0	341	0	0	0	0	0	0	0.75	0	0	0	-1
856	640	126	0	341	2	0	0	0	0	0	0.75	0	0	0	-1
857	640	126	0	341	2	1	0	0	0	0	0.75	0	0	0	-1
858	641	37	0	341	0	0	0	0	0	0	1.3	0	0	0	-1
859	641	74	0	363	2	0	0	0	0	0	1.3	0	0	0	-1
860	642	37	0	341	0	0	0	0	0	0	1.5	0	0	0	1
861	642	121	0	341	2	0	0	0	0	0	1	0	0	0	-1
862	643	64	470	384	0	0	0	1	0	0	0	0	0	0	-1
863	644	225	0	348	0	0	0	0	0	0	1	0	0	0	0
865	645	91	0	349	0	0	0	1	0	0	1	2	0	0	-1
866	646	0	0	347	0	0	0	0	0	0	1	0	0	0	-1
867	646	0	0	347	2	0	0	1	0	0	1	0	0	0	-1
868	646	476	0	349	0	0	0	0	0	0	1	0	0	0	-1
869	646	476	0	349	2	2	0	1	0	0	1	0	0	0	-1
870	647	0	900	347	0	0	0	0	0	0	0	0	0	0	-1
871	647	26	0	347	2	0	0	1	0	0	1	0	0	0	-1
872	647	0	0	349	0	0	0	0	0	0	1	0	0	0	-1
873	647	19	1500	349	2	2	0	1	0	0	0	0	0	0	-1
874	648	188	0	341	0	0	0	1	0	0	1	0	0	0	-1
875	649	0	0	344	0	0	0	0	0	0	1.5	2	2	0	-1
876	650	16	0	341	0	0	0	0	0	0	4	130	0	0	1
877	650	16	0	341	2	0	0	0	0	0	4	130	1	0	0
878	651	0	0	341	0	0	0	0	0	0	4	2	1	0	0
879	652	193	0	345	0	0	0	0	0	0	1	0	0	0	0
881	653	131	970	404	0	0	0	1	0	0	0	0	0	0	-1
882	654	227	0	406	0	0	0	1	0	0	0	16	0	0	-1
883	655	121	0	367	0	0	0	0	0	0	1	0	0	0	-1
884	656	18	0	367	0	0	0	0	0	0	1	0	0	0	-1
885	657	58	0	367	0	0	0	0	0	0	1	0	0	0	-1
886	658	100	0	348	0	0	0	1	0	0	1	2	1	0	-1
887	658	51	0	345	0	0	0	1	0	0	1	0	1	0	-1
888	659	126	0	367	0	0	0	1	0	0	0.03	0	0	0	0
889	660	16	0	341	0	0	0	4	0	150	0.8	130	0	0	-1
890	661	16	500	348	0	0	0	0	0	0	0.5	2	0	0	-1
891	660	16	150	341	2	0	0	0	0	0	0.15	130	0	0	-1
892	662	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
893	662	65	0	344	2	0	0	0	0	0	1	0	0	0	-1
894	663	215	0	367	0	0	0	0	0	0	1	0	0	0	-1
895	664	213	0	367	0	0	0	0	0	0	1	0	0	0	-1
896	664	214	0	367	2	0	0	0	0	0	1	0	0	0	1
897	665	41	0	345	0	0	0	1	0	0	1	0	0	0	-1
898	665	474	0	350	0	0	0	1	0	0	1	0	0	0	-1
899	666	16	0	341	0	0	0	0	0	0	2	130	0	0	1
900	666	16	0	341	2	0	0	0	0	0	2	130	1	0	0
901	615	143	660	345	0	0	0	0	0	0	0	0	0	0	-1
902	604	0	0	382	0	0	0	0	0	0	1	0	0	0	2
903	667	0	0	341	0	0	0	0	0	0	1	2	1	0	0
904	668	86	0	343	0	0	0	1	0	0	1	0	0	0	0
905	669	89	450	403	0	0	0	1	0	0	0	0	0	0	-1
906	670	16	1700	345	0	0	0	2	0	1000	1	34	1	0	-1
907	670	51	0	350	0	0	0	0	0	0	1	0	0	0	-1
908	671	53	700	345	0	0	0	0	0	0	0.75	0	1	0	-1
909	671	51	0	350	0	0	0	0	0	0	1	0	0	0	-1
912	673	1	0	341	0	0	0	0	0	0	1	0	0	0	-1
913	674	51	0	348	0	0	0	0	0	0	1	0	0	0	-1
914	674	53	0	348	0	0	0	1	0	0	1	0	0	0	-1
915	675	131	0	341	0	0	0	4	0	2500	0.5	16	0	0	-1
917	675	132	0	342	0	0	0	0	0	0	1	0	0	0	1
918	676	490	0	342	0	0	0	1	0	0	1	0	0	0	-1
919	677	490	0	342	0	0	0	0	0	0	1	2	2	0	-1
920	678	110	0	348	0	0	0	1	0	0	1	0	0	0	-1
921	678	45	0	346	0	0	0	1	0	0	0	0	0	0	-1
922	679	60	0	344	0	0	0	0	0	0	1	0	0	0	-1
923	679	60	0	344	2	0	0	0	0	0	1	0	0	0	-1
924	679	64	0	344	2	1	0	0	0	0	1	0	0	0	-1
925	680	16	0	341	0	0	0	0	0	0	1	2	1	0	-1
926	681	77	0	344	0	0	0	1	0	0	0.3	0	0	0	-1
927	682	83	3990	348	0	0	0	1	0	0	0	0	0	0	-1
928	682	79	3250	345	0	0	0	1	0	0	0	0	0	0	-1
929	683	16	0	342	0	0	0	0	0	0	2	0	0	0	0
930	684	474	0	345	0	0	0	1	0	0	0.75	0	0	0	-1
931	684	125	300	406	0	0	0	1	0	0	0	0	0	0	-1
932	685	41	1500	348	0	0	0	1	0	0	0	0	0	0	-1
933	686	10	0	341	0	0	0	3	0	1000	1	16	0	0	-1
934	686	1	200	341	2	0	0	1	0	0	1	0	0	0	-1
935	687	85	410	403	0	0	0	0	0	0	0	0	0	0	0
936	687	29	0	365	0	0	0	0	0	0	1	2	0	0	1
938	688	115	0	342	0	0	0	0	0	0	1	0	0	0	0
939	688	225	0	348	0	0	0	0	0	0	1	0	0	0	1
941	689	89	360	383	0	0	0	1	0	0	0	0	0	0	-1
942	689	89	360	384	0	0	0	1	0	0	0	0	0	0	-1
943	689	0	300	407	0	0	0	0	0	0	0	0	0	0	-1
944	689	0	1300	408	0	0	0	0	0	0	0	0	0	0	-1
945	690	5	0	341	0	0	0	0	0	0	1	0	0	0	0
946	691	62	520	350	0	0	0	0	0	0	0	0	0	0	0
948	692	49	0	341	0	0	0	3	0	500	0.5	0	0	0	-1
