m_ID	m_reputationIndex	m_reputationRaceMask_1	m_reputationRaceMask_2	m_reputationRaceMask_3	m_reputationRaceMask_4	m_reputationClassMask_1	m_reputationClassMask_2	m_reputationClassMask_3	m_reputationClassMask_4	m_reputationBase_1	m_reputationBase_2	m_reputationBase_3	m_reputationBase_4	m_reputationFlags_1	m_reputationFlags_2	m_reputationFlags_3	m_reputationFlags_4	m_parentFactionID	spilloverRate1	spilloverRate2	spilloverMaxRank	spilloverRank_unk	m_name_lang_1	m_name_lang_2	m_name_lang_3
21	1	2099199	0	0	0	0	0	0	0	500	0	0	0	64	0	0	0	169	1	0.5	7	5	Booty Bay	This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.	0
22	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Spider		0
23	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Boar		0
24	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Worgen		0
25	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Kobold		0
26	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Troll, Bloodscalp		0
27	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Troll, Skullsplitter		0
28	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Prey		0
29	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Wolf		0
30	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Defias Brotherhood Traitor		0
31	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Friendly		0
32	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Trogg		0
33	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Troll, Frostmane		0
34	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Orc, Blackrock		0
35	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Villian		0
36	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Victim		0
37	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Bear		0
38	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Ogre		0
39	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Kurzen\'s Mercenaries		0
40	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Escortee		0
41	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Venture Company		0
42	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Raptor		0
43	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Basilisk		0
44	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dragonflight, Green		0
45	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Lost Ones		0
46	29	2099199	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	5	 Blacksmithing - Armorsmithing		0
47	20	18875465	33555378	4	0	0	0	0	0	3100	-42000	4000	0	273	6	17	0	469	1	0.25	4	7	Ironforge	This Alliance capital is the pride of the Dun Morogh dwarves.  Home to King Magni.	0
48	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dark Iron Dwarves		0
49	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Human, Night Watch		0
50	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dragonflight, Red		0
51	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gnoll - Mosshide		0
52	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Orc, Fel Dragonmaw		0
53	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gnome - Leper		0
54	18	18875405	33555378	64	0	0	0	0	0	3100	-42000	4000	0	273	6	17	0	469	1	0.25	4	7	Gnomeregan	The former denizens of Gnomeregan, now living in New Tinkertown and in league with the Alliance.	0
55	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Leopard		0
56	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Scarlet Crusade		0
57	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gnoll - Rothide		0
58	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Gorilla		0
59	4	2099199	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1118	0	0	5	5	Thorium Brotherhood	The dwarves of the Thorium Brotherhood epitomize excellence in craftsmanship and are bent on unlocking the secrets of Blackrock Mountain.	0
60	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Naga		0
61	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dalaran		0
62	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Forlorn Spirit		0
63	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Darkhowl		0
64	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Grell		0
65	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Furbolg		0
66	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Horde Generic		0
67	12	33555378	18875469	0	0	0	0	0	0	3500	-42000	0	0	25	14	0	0	1118	0	0	5	5	Horde		0
68	17	33554850	18875469	16	512	0	0	0	0	500	-42000	4000	3100	273	6	17	17	67	1	0.25	4	7	Undercity	Led by Sylvanas Windrunner, the Forsaken have joined a tenuous alliance with the Horde and established this capital in the vast depths under the Ruins of Lordaeron.	0
69	21	18875461	33555378	8	0	0	0	0	0	3100	-42000	4000	0	273	6	17	0	469	1	0.25	4	7	Darnassus	This Alliance capital is populated by Night Elves and is located in the Island of Teldrassil.  Ruled by the Priestess of the Moon, Tyrande Whisperwind.	0
70	6	2099199	0	0	0	0	0	0	0	-10000	0	0	0	2	0	0	0	0	1	1	5	5	Syndicate	A primarily human criminal organization that operates mostly out of the Alterac Mountains and Hillsbrad Foothills.	0
71	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Hillsbrad Militia		0
72	19	18875468	33555378	1	0	0	0	0	0	3100	-42000	4000	0	273	6	17	0	469	1	0.25	4	7	Stormwind	One of the last bastions of human power, this Alliance capital is ruled by the prodigal king, Varian Wrynn.	0
73	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Demon		0
74	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Elemental		0
75	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Spirit		0
76	14	33554848	18875469	2	528	0	0	0	0	3100	-42000	4000	500	273	6	17	17	67	1	0.25	4	7	Orgrimmar	Founded by Thrall, this Horde capital city is home to many of the proud orc clans of Durotar.	0
77	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Treasure		0
78	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gnoll - Mudsnout		0
79	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	HIllsbrad, Southshore Mayor		0
80	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dragonflight, Black		0
81	16	33554818	18875469	528	32	0	0	0	0	3100	-42000	500	4000	273	6	17	17	67	1	0.25	5	7	Thunder Bluff	Baine Bloodhoof leads his people, the proud Tauren, from this mighty Horde capital.	0
82	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Troll, Witherbark		0
83	23	1791	0	0	0	0	0	0	0	2999	0	0	0	4	0	0	0	0	1	1	5	5	 Leatherworking - Elemental		0
84	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Quilboar, Razormane		0
85	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Quilboar, Bristleback		0
86	22	1791	0	0	0	0	0	0	0	2999	0	0	0	4	0	0	0	0	1	1	5	5	 Leatherworking - Dragonscale		0
87	0	2099199	0	0	0	0	0	0	0	-6500	0	0	0	2	0	0	0	1118	0	0	5	5	Bloodsail Buccaneers	These bloodthirsty corsairs are the bane of many a merchant in the high seas.  Sworn enemies of Booty Bay.	0
88	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Blackfathom		0
89	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Makrura		0
90	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Centaur, Kolkar		0
91	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Centaur, Galak		0
92	2	2099199	0	0	0	0	0	0	0	2000	0	0	0	2	0	0	0	1118	0	0	5	5	Gelkis Clan Centaur	These centaur have made their home in the southern region of Desolace.  Mortal enemies of the Magram Centaur.	0
93	3	2099199	0	0	0	0	0	0	0	2000	0	0	0	2	0	0	0	1118	0	0	5	5	Magram Clan Centaur	These centaur have made their home in the eastern region of Desolace.  Mortal enemies of the Gelkis Centaur.	0
94	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Maraudine		0
108	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Theramore		0
109	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Quilboar, Razorfen		0
110	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Quilboar, Razormane 2		0
111	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Quilboar, Deathshead		0
128	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Enemy		0
148	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Ambient		0
168	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Nethergarde Caravan		0
169	10	2099199	0	0	0	0	0	0	0	500	0	0	0	12	0	0	0	1118	0	0	5	5	Steamwheedle Cartel		0
189	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Alliance Generic		0
209	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Nethergarde		0
229	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Wailing Caverns		0
249	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Silithid		0
269	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Silvermoon Remnant		0
270	51	2099199	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1118	0	0	5	5	Zandalar Tribe	These trolls have come to Yojamba Isle in an effort to recruit help against the resurrected Blood God and his Atal\'ai Priests in Zul\'Gurub.	0
289	30	2099199	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	5	 Blacksmithing - Weaponsmithing		0
309	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Scorpid		0
310	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Bat		0
311	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Titan		0
329	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Taskmaster Fizzule		0
349	5	2099199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	5	5	Ravenholdt	This guild of thieves and assassins welcomes only those of extraordinary prowess into its fold.  Sworn rivals of the Syndicate.	0
369	7	2099199	0	0	0	0	0	0	0	500	0	0	0	64	0	0	0	169	1	0.5	7	5	Gadgetzan	Capital of the Steamwheedle Cartel and home to goblinhood\'s finest engineers, alchemists and merchants.	0
389	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gnomeregan Bug		0
409	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Harpy		0
429	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Burning Blade		0
449	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Shadowsilk Poacher		0
450	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Searing Spider		0
469	11	23069773	33555378	0	0	0	0	0	0	3300	-42000	0	0	25	14	0	0	1118	0	0	5	5	Alliance		0
470	9	2099199	0	0	0	0	0	0	0	500	0	0	0	64	0	0	0	169	1	0.5	7	5	Ratchet	Part of the Steamwheedle Cartel, this goblin city provides a neutral haven for those that wish to trade goods and services in the Barrens.	0
471	8	1097	690	4	0	0	0	0	0	150	-42000	500	0	20	22	4	0	0	1	1	5	5	DEPRECATED Wildhammer Clan, DEPRECATED	Though not a part of the Alliance, the dwarves of Aerie Peak have opened their doors to it and hold the Horde as enemies.	0
489	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Goblin, Dark Iron Bar Patron		0
509	53	2098253	33555378	0	0	0	0	0	0	0	-42000	0	0	16	2	0	0	891	0	0	5	5	The League of Arathor	The League of Arathor seeks to reclaim the lost land of Arathi Basin for their benefactors in Stormwind.	0
510	52	946	18875469	0	0	0	0	0	0	0	-42000	0	0	16	2	0	0	892	0	0	5	5	The Defilers	The Defilers seek to claim Arathi Basin\'s valuable resources for the Horde.	0
511	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Giant		0
529	13	2099199	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	1118	0	0	5	5	Argent Dawn	An organization focused on protecting Azeroth from the threat of the Scourge.  Strongholds of the Argent Dawn can be found in the Eastern and Western Plaguelands.	0
530	15	33554722	18875469	528	128	0	0	0	0	3100	-42000	500	4000	273	6	17	17	67	1	0.25	4	7	Darkspear Trolls	This tribe of exiled trolls has joined forces with Thrall and the Horde.  They now call Durotar their home, which they share with their orc allies.	0
531	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dragonflight, Bronze		0
532	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dragonflight, Blue		0
549	24	1791	0	0	0	0	0	0	0	2999	0	0	0	4	0	0	0	0	1	1	5	5	 Leatherworking - Tribal		0
550	26	1791	0	0	0	0	0	0	0	2999	0	0	0	4	0	0	0	0	1	1	5	5	 Engineering - Goblin		0
551	25	1791	0	0	0	0	0	0	0	2999	0	0	0	4	0	0	0	0	1	1	5	5	 Engineering - Gnome		0
569	33	1791	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	5	 Blacksmithing - Hammersmithing		0
570	31	1791	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	5	 Blacksmithing - Axesmithing		0
571	32	1791	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	5	 Blacksmithing - Swordsmithing		0
572	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Troll, Vilebranch		0
573	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Southsea Freebooters		0
574	34	2099199	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	5	Caer Darrow		0
575	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Furbolg, Uncorrupted		0
576	35	2099199	0	0	0	0	0	0	0	-2900	0	0	0	0	0	0	0	1118	0	0	5	5	Timbermaw Hold	As the last uncorrupted furbolg tribe, the Timbermaw seek to preserve their spiritual ways and end the suffering of their brethren.	0
577	28	2099199	0	0	0	0	0	0	0	500	0	0	0	64	0	0	0	169	1	0.5	7	5	Everlook	This trading post is run by the goblins of the Steamwheedle Cartel and it sits in the crossroads of Winterspring\'s main trade routes.	0
589	27	33555378	2098253	0	0	0	0	0	0	-42000	0	0	0	6	0	0	0	0	1	1	5	5	Wintersaber Trainers	This small group of reclusive night elves raises and trains wintersabers in the Winterspring area.	0
609	36	2099199	2097320	0	0	511	1024	0	0	0	2000	0	0	0	0	0	0	1118	0	0	5	5	Cenarion Circle	The druids of Cenarion Circle are guardians of nature and make their home in tranquil Moonglade.	0
629	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Shatterspear Trolls		0
630	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Ravasaur Trainers		0
649	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Majordomo Executus		0
669	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Carrion Bird		0
670	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Cat		0
671	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Crab		0
672	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Crocilisk		0
673	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Hyena		0
674	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Owl		0
675	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Scorpid		0
676	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Tallstrider		0
677	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Turtle		0
678	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Beast - Wind Serpent		0
679	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Training Dummy		0
689	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Dragonflight, Black - Bait		0
709	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Battleground Neutral		0
729	41	946	18875469	0	0	0	0	0	0	0	-42000	0	0	16	6	0	0	892	0	0	5	5	Frostwolf Clan	The Frostwolf Clan seeks to drive out the dwarves of the Stormpike Expedition from Alterac Valley.	0
730	40	2098253	33555378	0	0	0	0	0	0	0	-42000	0	0	16	6	0	0	891	0	0	5	5	Stormpike Guard	The Stormpike Dwarves have set up residence in Alterac Valley, where they\'re locked in battle with the Frostwolf Orcs.	0
749	42	2099199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	5	5	Hydraxian Waterlords	These elementals have made their home on the islands east of Azshara.  Sworn enemies of the armies of Ragnaros.	0
750	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Sulfuron Firelords		0
769	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gizlock\'s Dummy		0
770	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gizlock\'s Charm		0
771	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Gizlock		0
789	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Moro\'gai		0
790	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Spirit Guide - Alliance		0
809	44	2099199	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1118	0	0	5	5	Shen\'dralar	A remnant of the once powerful elves living in Dire Maul, yet still wise and knowledgeable about great secrets. 	0
829	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Ogre (Captain Kromcrush)		0
849	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Spirit Guide - Horde		0
869	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Jaedenar		0
889	46	946	18875469	0	0	0	0	0	0	0	-42000	0	0	16	6	0	0	892	0	0	7	7	Warsong Outriders	Fierce orcs of the Warsong Clan, locked in battle against the Silverwing Sentinels in Warsong Gulch.	0
890	45	2098253	33555378	0	0	0	0	0	0	0	-42000	0	0	16	6	0	0	891	0	0	7	7	Silverwing Sentinels	Staunch defenders of Ashenvale, locked in battle against the Warsong Outriders in Warsong Gulch.	0
891	47	2098253	434	0	0	0	0	0	0	0	-42000	0	0	24	14	0	0	1118	0	0	5	5	Alliance Forces		0
892	48	946	18875469	0	0	0	0	0	0	0	-42000	0	0	24	14	0	0	1118	0	0	5	5	Horde Forces		0
893	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Revantusk Trolls		0
909	50	2099199	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1118	0	0	5	5	Darkmoon Faire	A carnival that showcases the weird and the extraordinary, located on a mysterious island only accessible for the first week of every month.	0
910	54	2099199	0	0	0	0	0	0	0	-42000	0	0	0	0	0	0	0	1118	0	0	5	5	Brood of Nozdormu	The descendants of the Bronze Dragonflight are the guardians of time and care little for the mortal races.	0
911	55	33554850	18875469	512	16	0	0	0	0	400	-42000	4000	3100	273	6	17	17	67	1	0.25	4	7	Silvermoon City	The capital of Quel\'Thalas, home of the blood elves.  Though nearly destroyed by Arthas\' attack on the Sunwell, Silvermoon is once again a thriving city.	0
912	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Might of Kalimdor		0
914	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	PLAYER, Blood Elf		0
915	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Armies of C\'Thun		0
916	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Silithid Attackers		0
917	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	The Ironforge Brigade		0
918	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	RC Enemies		0
919	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	RC Objects		0
920	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Red		0
921	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Blue		0
922	56	946	18875469	0	0	0	0	0	0	0	-42000	0	0	16	6	0	0	980	0	0	5	5	Tranquillien	Once a high elf town, Tranquillien became abandoned after the Scourge invaded Quel\'Thalas.  It has now been reclaimed by the Forsaken and the blood elves who seek to rid the Ghostlands of the Scourge.	0
923	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Farstriders		0
924	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	DEPRECATED		0
925	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Sunstriders		0
926	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Magister\'s Guild		0
927	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	PLAYER, Draenei		0
928	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Scourge Invaders		0
929	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	3	3	Bloodmaul Clan		0
930	49	18874445	33555378	1024	0	0	0	0	0	3000	-42000	4000	0	273	6	17	0	469	1	0.25	4	7	Exodar	The naaru vessel that brought the draenei to Azeroth.  Though stranded in the Azuremyst Isles, it acts as a home city for this noble race.	0
931	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	Test Faction (not a real faction)	This faction only exists to test the editing of faction names and descriptions...	0
