field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	field24
1151	0	0	0	0	2560	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1155	0	0	0	0	4236	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1160	4253	0	4279	0	3672	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1166	4307	0	4330	0	4354	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1168	0	0	0	0	4368	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1170	4384	0	4406	0	4428	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1183	0	0	0	0	4368	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1184	0	0	0	0	4449	0	0	0	0	0	0	11	0	0	4467	4488	0	4508	4528	4548	4567	0	0	0
1201	4586	0	4609	0	1618	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1208	0	0	0	0	4633	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1215	0	0	0	0	4650	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
1225	0	0	0	0	4664	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
1236	0	0	0	0	4681	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1244	0	0	0	0	4698	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1246	0	0	0	0	4714	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1248	0	0	0	0	4731	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1249	0	0	0	0	4748	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
1257	0	0	0	0	4762	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1262	0	0	0	0	4778	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
1270	0	0	0	0	4800	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
1272	0	0	0	0	4824	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1275	0	0	0	0	4844	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1277	0	0	0	0	4858	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1280	0	0	0	0	4880	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1281	0	0	0	0	4902	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1282	0	0	0	0	4924	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1283	0	0	0	0	4946	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1285	0	0	0	0	4968	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1288	0	0	0	0	4984	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
1297	0	0	0	0	4998	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
1301	0	0	0	0	2235	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1310	0	0	0	0	5021	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1312	0	0	0	0	5042	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1317	0	0	0	0	5064	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1322	0	0	0	0	5081	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1323	0	0	0	0	2235	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1325	0	0	0	0	2235	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1329	0	0	0	0	5097	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1330	0	0	0	0	5117	0	0	0	0	0	0	7	0	0	5130	0	0	2767	2789	0	0	0	0	0
1357	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5153	5178	0	0	0
1361	0	0	0	0	4633	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1379	5203	0	5224	0	5246	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1383	5258	0	5282	0	1561	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1386	5305	0	5329	0	1561	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1390	5353	0	5377	0	1561	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1395	0	0	0	0	5400	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1399	0	0	0	0	5418	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
1407	0	0	0	0	5440	0	1	0	0	0	0	11	0	0	0	5457	5476	0	0	0	0	0	0	0
1432	0	0	0	0	5495	0	0	0	0	0	0	7	0	0	5509	5535	0	5561	5586	0	0	0	0	0
1438	0	0	0	0	5611	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1442	0	0	0	0	5629	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
1443	0	0	0	0	5646	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
1464	0	0	0	0	5669	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
1482	0	0	0	0	5686	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1483	0	0	0	0	5700	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1494	3812	0	5717	0	3798	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1496	0	0	0	0	5740	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1498	0	0	0	0	5764	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
1503	0	0	0	0	5788	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1504	0	0	0	0	2369	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1511	0	0	0	0	2506	0	0	0	0	0	0	11	0	0	5805	0	0	2699	2718	0	0	0	0	0
1512	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5825	5852	0	0	0
1515	5879	0	5901	0	5924	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1542	5941	0	5965	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1544	1743	0	1767	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1546	1743	0	5990	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1547	1743	0	6015	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1550	6040	0	6063	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1556	6087	0	6111	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1588	0	0	0	0	2352	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1593	5941	0	6136	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1595	6162	0	6186	0	6211	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1596	6225	0	6249	0	6211	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1597	6275	0	6303	0	6211	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1621	6333	0	6360	0	6389	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1625	0	0	0	0	6402	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1627	6333	0	6423	0	1791	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1628	6451	0	6478	0	6389	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1644	6506	0	6532	0	6559	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1645	0	0	0	0	6573	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
1656	0	0	0	0	4748	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
1657	0	0	0	0	1631	0	0	0	0	0	0	7	0	0	0	6597	6619	0	0	0	0	0	0	0
1659	0	0	0	0	6641	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
1661	6666	0	6689	0	6211	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1673	6708	0	6731	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1680	6708	0	6755	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1682	5203	0	6776	0	6798	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1684	6810	0	6832	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1685	6708	0	6854	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1695	0	0	0	0	2584	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
1699	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6879	0	0	0	0	0	0	0	0
1705	6905	0	6927	0	6951	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1706	6965	0	6991	0	6951	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1716	4586	0	7019	0	1618	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1727	0	0	0	0	2506	0	0	0	0	0	0	10	0	0	7041	0	0	2522	2541	0	0	0	0	0
1728	0	0	0	0	2600	0	0	0	0	0	0	7	0	0	0	7061	7083	0	0	0	0	0	0	0
1733	7105	0	7132	0	7155	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1755	6810	0	7168	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1757	7194	0	7219	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1758	6275	0	7245	0	7273	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1762	0	0	0	0	7287	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1766	6087	0	7304	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1768	4586	0	7327	0	1618	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1769	0	0	0	0	6573	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1787	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	7350	7378	0	7405	7432	0	0	0	0	0
1795	0	0	0	0	1631	0	0	0	0	0	0	7	0	0	0	7459	7485	0	0	0	0	0	0	0
1796	0	0	0	0	1631	0	0	0	0	0	0	7	0	0	0	7511	7539	0	0	0	0	0	0	0
1797	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	7566	0	0	7595	7623	0	0	0	0	0
1805	0	0	0	0	2385	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
1815	0	0	0	0	4698	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1816	0	0	0	0	7651	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1817	0	0	0	0	648	0	0	0	0	0	0	7	0	0	7675	0	0	7701	7726	0	0	0	0	0
1818	0	0	0	0	7751	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7764	7788	0	0	0
1819	0	0	0	0	5117	0	0	0	0	0	0	7	0	0	0	0	0	7812	7840	0	0	0	0	0
1839	7868	0	7892	0	3672	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1845	7917	0	7944	0	7967	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1861	0	0	0	0	7992	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	8005	8028	0	0
1863	0	0	0	0	7751	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8051	8005	0	0	0
1882	0	0	0	0	7751	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8074	8097	0	0	0
1883	0	0	0	0	7751	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8120	8144	0	0	0
1911	0	0	0	0	7992	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	8168	8192	0	0
1926	8216	0	8239	0	1618	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1927	8264	0	8290	0	1618	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1928	8317	0	8340	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1929	8363	0	8387	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1930	8412	0	8436	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1938	8460	0	8484	0	8510	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1963	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8530	8557	0	0	0
1965	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	8584	0	0	0	0	0	0	0	0
1966	0	0	0	0	8613	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	8626	8653	0	0
1967	0	0	0	0	5117	0	0	0	0	0	0	7	0	0	0	0	0	8680	8707	0	0	0	0	0
1975	0	0	0	0	5117	0	0	0	0	0	0	7	0	0	0	0	0	7405	7432	0	0	0	0	0
1978	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8734	8760	0	0	0
1980	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	8786	0	0	0	0	0	0	0	0
1981	0	0	0	0	8613	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	8814	8840	0	0
1995	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	0	0	0	8866	8893	0	0	0	0	0
2015	0	0	0	0	8920	0	0	0	0	0	0	7	0	0	0	8937	8964	0	0	0	0	0	0	0
2018	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8990	9016	0	0	0
2019	0	0	0	0	5495	0	0	0	0	0	0	7	0	0	9042	0	0	9070	9097	0	0	0	0	0
2024	0	0	0	0	5117	0	0	0	0	0	0	7	0	0	9124	0	0	9148	9171	0	0	0	0	0
2038	7868	0	9194	0	3672	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
2052	9224	0	9245	0	4354	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
2057	0	0	0	0	2600	0	0	0	0	0	0	7	0	0	0	9267	9294	0	0	0	0	0	0	0
2080	9321	0	9343	0	9365	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
2083	0	0	0	0	9379	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9392	0	0
2094	0	0	0	0	7992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9419	9445	0	0
2100	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	0	0	0	8680	8707	0	0	0	0	0
2101	0	0	0	0	2600	0	0	0	0	0	0	7	0	0	0	9471	9497	0	0	0	0	0	0	0
2104	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	0	0	0	9523	9549	0	0	0	0	0
2105	0	0	0	0	9575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9588	9613	0	0
