Id	emotesText	ChrRaces	Gender	SoundEntries	
808	22	6	1	6944
809	22	6	0	6949
810	22	8	1	6954
811	22	8	0	6959
812	22	5	1	6965
813	22	5	0	6970
814	22	23	1	18645
815	22	23	0	18973
816	22	22	1	23322
817	22	22	0	23327
818	22	9	1	19201
819	22	9	0	19090
1094	23	4	1	6928
1095	23	4	0	6933
1096	23	10	0	9652
1097	23	10	1	9648
1098	23	11	0	9702
1099	23	11	1	9677
1100	23	3	1	6894
1101	23	3	0	6903
1102	23	7	0	6913
1103	23	7	1	6908
1104	23	1	1	6918
1105	23	1	0	6923
1106	23	2	0	6943
1107	23	2	1	6938
1108	23	6	1	6948
1109	23	6	0	6953
1110	23	8	1	6958
1111	23	8	0	6963
1112	23	5	1	6969
1113	23	5	0	6974
1114	23	23	1	18770
1115	23	23	0	19021
1116	23	22	1	23319
1117	23	9	1	19248
1118	23	9	0	23330
1119	23	22	0	19348
373	26	1	0	6168
374	26	1	1	6141
375	26	2	0	6366
376	26	2	1	6357
377	26	3	0	6113
378	26	3	1	6104
379	26	4	0	6186
380	26	4	1	6177
381	26	5	0	6420
382	26	5	1	6411
383	26	6	0	6384
384	26	6	1	6375
385	26	7	0	6131
386	26	7	1	6122
387	26	8	0	6402
388	26	8	1	6393
454	26	10	1	9641
455	26	10	0	9657
456	26	11	1	9682
457	26	11	0	9707
570	26	23	1	18647
594	26	23	0	18974
616	26	9	0	19091
638	26	9	1	19199
660	26	22	0	19299
680	26	22	1	19378
768	31	10	1	9647
769	31	10	0	9651
770	31	11	1	9676
771	31	11	0	9701
772	31	3	1	6895
773	31	3	0	6901
774	31	7	1	6906
775	31	7	0	6911
776	31	1	1	6916
777	31	1	0	6921
778	31	4	1	6926
779	31	4	0	6931
780	31	2	1	6936
781	31	2	0	6941
782	31	6	1	6946
783	31	6	0	6951
784	31	8	1	6956
785	31	8	0	6961
786	31	5	1	6967
787	31	5	0	6972
788	31	23	1	18648
789	31	23	0	18975
790	31	22	1	23321
791	31	22	0	23326
792	31	9	1	19200
793	31	9	0	19092
877	31	10	0	9651
884	31	3	0	6901
889	31	23	0	18975
991	45	4	1	6928
992	45	4	0	6933
993	45	10	0	9652
994	45	10	1	9648
995	45	11	0	9702
996	45	11	1	9677
997	45	3	1	6894
998	45	3	0	6903
999	45	7	0	6913
1000	45	7	1	6908
1001	45	1	1	6918
1002	45	1	0	6923
1003	45	2	0	6943
1004	45	2	1	6938
1005	45	6	1	6948
1006	45	6	0	6953
1007	45	8	1	6958
1008	45	8	0	6963
1009	45	5	1	6969
1010	45	5	0	6974
1011	45	23	1	18770
1012	45	23	0	19021
1013	45	22	1	23319
1014	45	9	1	19248
1015	45	9	0	23330
1016	45	22	0	19348
1017	47	4	1	6928
1018	47	4	0	6933
1019	47	10	0	9652
1020	47	10	1	9648
1021	47	11	0	9702
1022	47	11	1	9677
1023	47	3	1	6894
1024	47	3	0	6903
1025	47	7	0	6913
1026	47	7	1	6908
1027	47	1	1	6918
1028	47	1	0	6923
1029	47	2	0	6943
1030	47	2	1	6938
1031	47	6	1	6948
1032	47	6	0	6953
1033	47	8	1	6958
1034	47	8	0	6963
1035	47	5	1	6969
1036	47	5	0	6974
1037	47	23	1	18770
1038	47	23	0	19021
1039	47	22	1	23319
1040	47	9	1	19248
1041	47	9	0	23330
1042	47	22	0	19348
1043	52	4	1	6928
1044	52	4	0	6933
1045	52	10	0	9652
1046	52	10	1	9648
1047	52	11	0	9702
1048	52	11	1	9677
1049	52	3	1	6894
1050	52	3	0	6903
1051	52	7	0	6913
1052	52	7	1	6908
1053	52	1	1	6918
1054	52	1	0	6923
1055	52	2	0	6943
1056	52	2	1	6938
1057	52	6	1	6948
1058	52	6	0	6953
1059	52	8	1	6958
1060	52	8	0	6963
1061	52	5	1	6969
1062	52	5	0	6974
1063	52	23	1	18770
1064	52	23	0	19021
1065	52	22	1	23319
1066	52	9	1	19248
1067	52	9	0	23330
1068	52	22	0	19348
277	55	1	0	6162
278	55	1	1	6134
279	55	2	0	6360
280	55	2	1	6351
281	55	3	0	6107
282	55	3	1	6094
283	55	4	0	6180
284	55	4	1	6171
285	55	5	0	6414
286	55	5	1	6405
287	55	6	0	6378
288	55	6	1	6369
289	55	7	0	6125
290	55	7	1	6116
291	55	8	0	6396
292	55	8	1	6387
458	55	10	1	9635
459	55	10	0	9662
460	55	11	1	9687
461	55	11	0	9712
571	55	23	1	18764
597	55	23	0	19017
620	55	9	0	19135
642	55	9	1	19244
664	55	22	0	19343
684	55	22	1	19434
1121	58	4	1	6927
1122	58	4	0	6932
1123	58	10	0	9874
1124	58	10	1	9873
1125	58	11	0	9876
1126	58	11	1	9875
1127	58	3	1	6898
1128	58	3	0	6902
1129	58	7	0	6912
1130	58	7	1	6907
1131	58	1	1	6917
1132	58	1	0	6922
1133	58	2	0	6942
1134	58	2	1	6937
1135	58	6	1	6947
1136	58	6	0	6952
1137	58	8	1	6957
1138	58	8	0	6962
1139	58	5	1	6968
1140	58	5	0	6973
1141	58	23	1	23296
1142	58	23	0	19020
1143	58	22	1	23320
1144	58	9	1	19247
1145	58	9	0	19138
1146	58	22	0	23325
742	60	4	1	6928
743	60	4	0	6933
744	60	10	0	9652
745	60	10	1	9648
746	60	11	0	9702
747	60	11	1	9677
748	60	3	1	6894
749	60	3	0	6903
750	60	7	0	6913
751	60	7	1	6908
752	60	1	1	6918
753	60	1	0	6923
754	60	2	0	6943
755	60	2	1	6938
756	60	6	1	6948
757	60	6	0	6953
758	60	8	1	6958
759	60	8	0	6963
760	60	5	1	6969
761	60	5	0	6974
762	60	23	1	18770
763	60	23	0	19021
765	60	22	1	23319
766	60	9	1	19248
767	60	9	0	23330
847	60	22	0	19348
874	65	10	0	9651
875	65	10	1	9647
878	65	11	0	9701
880	65	11	1	9676
882	65	3	1	6895
886	65	23	1	18648
888	65	23	0	18975
890	65	7	1	6906
892	65	7	0	6911
894	65	9	1	19200
896	65	9	0	19092
898	65	1	1	6916
900	65	1	0	6921
902	65	4	1	6926
904	65	4	0	6931
906	65	2	1	6936
908	65	2	0	6941
910	65	6	1	6946
912	65	6	0	6951
914	65	8	1	6956
916	65	8	0	6961
918	65	5	0	6972
920	65	5	1	6967
922	65	22	1	23321
924	65	22	0	23326
325	66	1	0	6165
326	66	1	1	6137
327	66	2	0	6363
328	66	2	1	6354
329	66	3	0	6110
330	66	3	1	6100
331	66	4	0	6183
332	66	4	1	6174
333	66	5	0	6417
334	66	5	1	6408
335	66	6	0	6381
336	66	6	1	6372
337	66	7	0	6128
338	66	7	1	6119
339	66	8	0	6399
340	66	8	1	6390
462	66	10	1	9638
463	66	10	0	9665
464	66	11	1	9690
465	66	11	0	9715
574	66	23	1	18771
604	66	23	0	19022
627	66	9	0	19139
649	66	9	1	19249
671	66	22	0	19349
690	66	22	1	19437
309	67	1	0	6164
310	67	1	1	6136
311	67	2	0	6362
312	67	2	1	6353
313	67	3	0	6109
314	67	3	1	6098
315	67	4	0	6182
316	67	4	1	6173
317	67	5	0	6416
318	67	5	1	6407
319	67	6	0	6380
320	67	6	1	6371
321	67	7	0	6127
322	67	7	1	6118
323	67	8	0	6398
324	67	8	1	6389
466	67	10	1	9637
467	67	10	0	9666
468	67	11	1	9691
469	67	11	0	9716
575	67	23	1	18772
608	67	23	0	19023
631	67	9	0	19140
653	67	9	1	19250
675	67	22	0	19350
694	67	22	1	19438
716	75	22	0	21448
717	75	9	0	19144
718	75	22	1	22449
719	75	9	1	19254
720	75	23	0	19027
721	75	23	1	18777
722	75	3	1	25251
723	75	3	0	25252
724	75	7	1	25253
725	75	7	0	25254
726	75	1	1	25255
727	75	1	0	25256
728	75	4	1	25257
729	75	4	0	25258
730	75	2	1	25259
731	75	2	0	25260
732	75	6	1	25261
733	75	6	0	25262
734	75	8	1	25263
735	75	8	0	25264
736	75	5	1	25265
737	75	5	0	25266
738	75	10	0	25268
739	75	10	1	25267
740	75	11	0	25270
741	75	11	1	25269
926	76	10	1	9648
927	76	10	0	9652
928	76	11	1	9677
929	76	11	0	9702
930	76	22	0	19348
931	76	22	1	23319
932	76	5	0	6974
933	76	5	1	6969
934	76	8	0	6963
935	76	8	1	6958
936	76	6	0	6953
937	76	6	1	6948
938	76	2	0	6943
939	76	2	1	6938
940	76	4	0	6933
941	76	4	1	6928
942	76	1	0	6923
943	76	1	1	6918
944	76	9	0	23330
945	76	9	1	19248
946	76	7	0	6913
947	76	7	1	6908
948	76	23	0	19021
949	76	23	1	18770
950	76	3	0	6903
951	76	3	1	6894
12	85	1	1	7894
17	85	1	0	7914
18	85	3	0	7918
19	85	3	1	7917
20	85	4	1	7915
21	85	4	0	7916
22	85	7	1	7919
23	85	7	0	7920
24	85	2	1	7921
25	85	2	0	7922
26	85	5	1	7927
27	85	5	0	7928
28	85	6	1	7925
29	85	6	0	7926
30	85	8	1	7923
31	85	8	0	7924
543	85	10	1	10573
544	85	10	0	10575
545	85	11	1	10577
546	85	11	0	10579
1069	85	23	0	7914
1070	85	23	1	26566
1071	85	22	0	7922
1072	85	22	1	26567
1073	85	9	0	7918
1074	85	9	1	10577
341	97	1	0	6166
342	97	1	1	6138
343	97	2	0	6364
344	97	2	1	6355
345	97	3	0	6111
346	97	3	1	6102
347	97	4	0	6184
348	97	4	1	6175
349	97	5	0	6418
350	97	5	1	6409
351	97	6	0	6382
352	97	6	1	6373
353	97	7	0	6129
354	97	7	1	6120
355	97	8	0	6400
356	97	8	1	6391
470	97	10	1	9639
471	97	10	0	9671
472	97	11	1	9696
473	97	11	0	9721
576	97	23	1	18779
605	97	23	0	19029
628	97	9	0	19146
650	97	9	1	19256
672	97	22	0	19356
691	97	22	1	19443
357	102	1	0	6162
358	102	1	1	6134
359	102	2	0	6360
360	102	2	1	6351
361	102	3	0	6107
362	102	3	1	6094
363	102	4	0	6180
364	102	4	1	6171
365	102	5	0	6414
366	102	5	1	6405
367	102	6	0	6378
368	102	6	1	6369
369	102	7	0	6125
370	102	7	1	6116
371	102	8	0	6396
372	102	8	1	6387
474	102	10	1	9635
475	102	10	0	9662
476	102	11	1	9687
477	102	11	0	9712
577	102	23	1	18764
701	102	23	0	19017
702	102	22	0	19343
703	102	22	1	19434
704	102	9	1	19244
705	102	9	0	19135
53	104	1	1	7967
54	104	1	0	7968
55	104	3	1	7963
56	104	3	0	7964
57	104	4	1	7969
58	104	4	0	7970
59	104	7	1	7965
60	104	7	0	7966
61	104	2	1	7971
62	104	2	0	7972
63	104	5	1	7977
64	104	5	0	7978
65	104	6	1	7973
66	104	6	0	7974
67	104	8	1	7975
68	104	8	0	7976
478	104	10	1	10032
479	104	10	0	10033
480	104	11	1	10034
481	104	11	0	10035
1075	104	23	0	26561
1076	104	23	1	26560
1077	104	22	0	26551
1078	104	22	1	26550
1079	104	9	0	26553
1080	104	9	1	26552
69	106	3	1	7935
70	106	3	0	7936
71	106	7	1	7937
72	106	7	0	7938
73	106	1	1	7931
74	106	1	0	7932
75	106	4	1	7933
76	106	4	0	7934
77	106	2	1	7939
78	106	2	0	7940
79	106	5	1	7941
80	106	5	0	7942
81	106	6	1	7945
82	106	6	0	7946
83	106	8	1	7943
84	106	8	0	7944
538	106	10	1	10574
539	106	10	0	10576
540	106	11	1	10578
541	106	11	0	10580
1087	106	23	1	7931
1088	106	23	0	7932
1089	106	22	0	7940
1090	106	22	1	7939
1091	106	9	1	10578
1092	106	9	0	10576
820	136	10	1	9646
821	136	10	0	9650
822	136	11	1	9675
823	136	11	0	9700
824	136	3	1	6896
825	136	3	0	6899
826	136	7	1	6904
827	136	7	0	6909
828	136	1	1	6914
829	136	1	0	6919
830	136	4	0	6929
831	136	2	1	6934
832	136	2	0	6939
833	136	6	1	6944
834	136	6	0	6949
835	136	8	1	6954
836	136	8	0	6959
837	136	5	1	6965
838	136	5	0	6970
839	136	23	1	18645
840	136	23	0	18973
842	136	22	1	23322
843	136	22	0	23327
844	136	4	1	6924
845	136	9	1	19201
846	136	9	0	19090
876	143	10	1	9647
879	143	11	0	9701
881	143	11	1	9676
883	143	3	1	6895
885	143	3	0	6901
887	143	23	1	18648
891	143	7	1	6906
893	143	7	0	6911
895	143	9	1	19200
897	143	9	0	19092
899	143	1	1	6916
901	143	1	0	6921
903	143	4	1	6926
905	143	4	0	6931
907	143	2	1	6936
909	143	2	0	6941
911	143	6	1	6946
913	143	6	0	6951
915	143	8	1	6956
917	143	8	0	6961
919	143	5	0	6972
921	143	5	1	6967
923	143	22	1	23321
925	143	22	0	23326
1147	143	10	0	9651
261	183	1	0	2679
262	183	1	1	2691
263	183	2	0	2703
264	183	2	1	2715
265	183	3	0	2727
266	183	3	1	2739
267	183	4	0	2751
268	183	4	1	2763
269	183	5	0	2775
270	183	5	1	2787
271	183	6	0	2800
272	183	6	1	2812
273	183	7	0	2837
274	183	7	1	2849
275	183	8	0	2861
276	183	8	1	2873
482	183	10	1	9634
483	183	10	0	9669
484	183	11	1	9694
485	183	11	0	9719
578	183	23	1	18775
609	183	23	0	19026
632	183	9	0	19143
654	183	9	1	19253
676	183	22	0	19353
1093	183	22	1	26568
33	226	6	0	7930
34	226	6	1	7929
421	264	1	0	7634
422	264	1	1	7635
423	264	2	0	7638
424	264	2	1	7639
425	264	3	0	7636
426	264	3	1	7637
427	264	4	0	7643
428	264	4	1	7642
429	264	5	0	7644
430	264	5	1	7645
431	264	6	0	7646
432	264	6	1	7647
433	264	7	0	7641
434	264	7	1	7640
435	264	8	0	7648
436	264	8	1	7649
486	264	10	1	9644
487	264	10	0	9672
488	264	11	1	9697
489	264	11	0	9722
579	264	23	1	18780
610	264	23	0	19030
633	264	9	0	19147
655	264	9	1	19257
706	264	22	0	19357
707	264	22	1	19445
85	303	1	0	2668
86	303	1	1	2680
87	303	2	0	2692
88	303	2	1	2704
89	303	3	0	2716
90	303	3	1	2728
91	303	4	0	2740
92	303	4	1	2752
93	303	5	0	2764
94	303	5	1	2776
95	303	6	0	2788
96	303	6	1	2801
97	303	7	0	2826
98	303	7	1	2838
99	303	8	0	2850
100	303	8	1	2862
490	303	10	1	9623
491	303	10	0	9663
492	303	11	1	9688
493	303	11	0	9713
580	303	23	1	18766
599	303	23	0	19018
622	303	9	0	19136
644	303	9	1	19245
666	303	22	0	19344
686	303	22	1	19435
101	304	1	0	2669
102	304	1	1	2681
103	304	2	0	2693
104	304	2	1	2705
105	304	3	0	2717
106	304	3	1	2729
107	304	4	0	2741
108	304	4	1	2753
109	304	5	0	2765
110	304	5	1	2777
111	304	6	0	2789
112	304	6	1	2802
113	304	7	0	2827
114	304	7	1	2839
115	304	8	0	2851
116	304	8	1	2863
494	304	10	1	9624
495	304	10	0	9664
496	304	11	1	9689
497	304	11	0	9714
581	304	23	1	18767
600	304	23	0	19019
623	304	9	0	19137
645	304	9	1	19246
667	304	22	0	19346
698	304	22	1	19516
117	305	1	0	2670
118	305	1	1	2682
119	305	2	0	2694
120	305	2	1	2706
121	305	3	0	2718
122	305	3	1	2730
123	305	4	0	2742
124	305	4	1	2754
125	305	5	0	2766
126	305	5	1	2778
127	305	6	0	2790
128	305	6	1	2803
129	305	7	0	2828
130	305	7	1	2840
131	305	8	0	2852
132	305	8	1	2864
498	305	10	1	9625
499	305	10	0	9655
500	305	11	1	9680
501	305	11	0	9705
582	305	23	1	18642
612	305	23	0	18971
635	305	9	0	19088
657	305	9	1	19198
695	305	22	1	19373
700	305	22	0	19296
133	306	1	0	2671
134	306	1	1	2683
135	306	2	0	2695
136	306	2	1	2707
137	306	3	0	2719
138	306	3	1	2731
139	306	4	0	2743
140	306	4	1	2755
141	306	5	0	2767
142	306	5	1	2779
143	306	6	0	2791
144	306	6	1	2804
145	306	7	0	2829
146	306	7	1	2841
147	306	8	0	2853
148	306	8	1	2865
502	306	10	1	9626
503	306	10	0	9658
504	306	11	1	9683
505	306	11	0	9708
583	306	23	1	18758
598	306	23	0	19012
621	306	9	0	19130
643	306	9	1	19239
665	306	22	0	19337
685	306	22	1	19426
149	307	1	0	2672
150	307	1	1	2684
151	307	2	0	2696
152	307	2	1	2708
153	307	3	0	2720
154	307	3	1	2732
155	307	4	0	2744
156	307	4	1	2756
157	307	5	0	2768
158	307	5	1	2780
159	307	6	0	2792
160	307	6	1	2805
161	307	7	0	2830
162	307	7	1	2842
163	307	8	0	2854
164	307	8	1	2866
506	307	10	1	9627
507	307	10	0	9653
508	307	11	1	9678
509	307	11	0	9703
617	307	9	0	19086
639	307	9	1	19197
661	307	22	0	19295
681	307	22	1	19366
708	307	23	0	23329
709	307	23	1	23328
165	323	1	0	2673
166	323	1	1	2685
167	323	2	0	2697
168	323	2	1	2709
169	323	3	0	2721
170	323	3	1	2733
171	323	4	0	2745
172	323	4	1	2757
173	323	5	0	2769
174	323	5	1	2781
175	323	6	0	2793
176	323	6	1	2806
177	323	7	0	2831
178	323	7	1	2843
179	323	8	0	2855
180	323	8	1	2867
510	323	10	1	9628
511	323	10	0	9667
512	323	11	1	9692
513	323	11	0	9717
584	323	23	1	18774
601	323	23	0	19025
624	323	9	0	19142
646	323	9	1	19252
668	323	22	0	19352
687	323	22	1	19440
181	324	1	0	2674
182	324	1	1	2686
183	324	2	0	2698
184	324	2	1	2710
185	324	3	0	2722
186	324	3	1	2734
187	324	4	0	2746
188	324	4	1	2758
189	324	5	0	2770
190	324	5	1	2782
191	324	6	0	2794
192	324	6	1	2807
193	324	7	0	2832
194	324	7	1	2844
195	324	8	0	2856
196	324	8	1	2868
514	324	10	1	9629
515	324	11	1	9685
516	324	10	0	9660
517	324	11	0	9710
585	324	23	1	18760
595	324	23	0	19014
618	324	9	0	19132
640	324	9	1	19241
662	324	22	0	19339
682	324	22	1	19429
197	325	1	0	2675
198	325	1	1	2687
199	325	2	0	2699
200	325	2	1	2711
201	325	3	0	2723
202	325	3	1	2735
203	325	4	0	2747
204	325	4	1	2759
205	325	5	0	2771
206	325	5	1	2783
207	325	6	0	2795
208	325	6	1	2808
209	325	7	0	2833
210	325	7	1	2845
211	325	8	0	2857
212	325	8	1	2869
518	325	10	1	9630
519	325	10	0	9673
520	325	11	1	9698
521	325	11	0	9723
586	325	23	1	18781
606	325	23	0	19031
629	325	9	0	19148
651	325	9	1	19258
673	325	22	0	19358
692	325	22	1	19446
213	326	1	0	2676
214	326	1	1	2688
215	326	2	0	2700
216	326	2	1	2712
217	326	3	0	2724
218	326	3	1	2736
219	326	4	0	2748
220	326	4	1	2760
221	326	5	0	2772
222	326	5	1	2784
223	326	6	0	2796
224	326	6	1	2809
225	326	7	0	2834
226	326	7	1	2846
227	326	8	0	2858
228	326	8	1	2870
522	326	10	1	9631
523	326	10	0	9661
524	326	11	1	9686
525	326	11	0	9711
587	326	23	1	18762
596	326	23	0	19016
619	326	9	0	19134
641	326	9	1	19243
663	326	22	0	19341
683	326	22	1	19433
245	327	1	0	2678
246	327	1	1	2690
247	327	2	0	2702
248	327	2	1	2714
249	327	3	0	2726
250	327	3	1	2738
251	327	4	0	2750
252	327	4	1	2762
253	327	5	0	2774
254	327	5	1	2786
255	327	6	0	2799
256	327	6	1	2811
257	327	7	0	2836
258	327	7	1	2848
259	327	8	0	2860
260	327	8	1	2872
526	327	10	1	9633
527	327	10	0	9668
528	327	11	1	9693
529	327	11	0	9718
588	327	23	1	18773
602	327	23	0	19024
625	327	9	0	19141
647	327	9	1	19251
669	327	22	0	19351
688	327	22	1	19439
389	328	1	0	6169
390	328	1	1	6142
391	328	2	0	6367
392	328	2	1	6358
393	328	3	0	6114
394	328	3	1	6105
395	328	4	0	6187
396	328	4	1	6178
397	328	5	0	6421
398	328	5	1	6412
399	328	6	0	6385
400	328	6	1	6376
401	328	7	0	6132
402	328	7	1	6123
403	328	8	0	6403
404	328	8	1	6394
530	328	10	1	9642
531	328	10	0	9659
532	328	11	1	9684
533	328	11	0	9709
589	328	23	1	18759
614	328	23	0	19013
637	328	9	0	19131
659	328	9	1	19240
679	328	22	0	19338
697	328	22	1	19428
405	329	1	0	6170
406	329	1	1	6143
407	329	2	0	6368
408	329	2	1	6359
409	329	3	0	6115
410	329	3	1	6106
411	329	4	0	6188
412	329	4	1	6179
413	329	5	0	6422
414	329	5	1	6413
415	329	6	0	6386
416	329	6	1	6377
417	329	7	0	6133
418	329	7	1	6124
419	329	8	0	6404
420	329	8	1	6395
534	329	10	1	9643
535	329	10	0	9670
536	329	11	1	9695
537	329	11	0	9720
590	329	23	1	18778
613	329	23	0	19028
636	329	9	0	19145
658	329	9	1	19255
678	329	22	0	19355
696	329	22	1	19441
547	453	10	1	9640
548	453	10	0	9674
549	453	11	1	9699
550	453	11	0	9724
551	453	3	1	6103
552	453	3	0	6112
553	453	7	1	6121
554	453	7	0	6130
555	453	1	1	6139
556	453	1	0	6167
557	453	4	1	6176
558	453	4	0	6185
559	453	2	1	6356
560	453	2	0	6365
561	453	6	1	6374
562	453	6	0	6383
563	453	8	1	6392
564	453	8	0	6401
565	453	5	1	6410
566	453	5	0	6419
591	453	23	1	18783
607	453	23	0	19033
630	453	9	0	19152
652	453	9	1	19260
674	453	22	0	19360
693	453	22	1	19450
