field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11
860	HotRod_Rev	622	1	0	1	18271	0	0	0	0	0
861	MotorcycleRevShared	623	1	0	1	18267	0	0	0	0	0
862	Goblinhotrod_REV	614	1	0	1	18271	0	0	0	0	0
864	Pandaren_Cart_Movement	618	2	0	1	26911	0	0	0	0	0
866	HordeCaravan_Drive_Stone	624	2	0	1	18367	0	0	0	0	0
867	HordeCaravan_Drive_Chains	624	2	0	1	18365	0	0	0	0	0
868	HordeCaravan_Drive_Wood	624	2	0	1	18368	0	0	0	0	0
869	HordeCaravan_Drive_Start	624	1	0	1	18366	0	0	0	0	0
870	HordeCaravan_Idle	625	2	0	1	18370	0	0	0	0	0
871	GoblinhotairBalloon_Idle	626	2	0	1	18377	0	0	0	0	0
872	GoblinhotairBalloon_Drive	627	2	0	1	18378	0	0	0	0	0
873	GoblinhotairBalloon_Accel	628	1	0	1	18380	0	0	0	0	0
874	GoblinhotairBalloon_Suction	629	2	0	1	18379	0	0	0	0	0
875	GoblinhotairBalloon_AirBoost_Periodic	630	2	0	1	18381	0	0	0	0	0
876	GoblinRiverBoat_IDLE	631	2	0	1	18386	0	0	0	0	0
877	GoblinRiverBoat_IDLE_WATER	631	2	0	1	18388	0	0	0	0	0
879	GoblinRiverBoat_DRIVE_WATER	632	2	0	1	18387	0	0	0	0	0
881	GoblinRiverboat_Drive_Lapping	632	2	0	1	18388	0	0	0	0	0
882	GoblinRiverboat_Driving	632	2	0	1	18386	0	0	0	0	0
883	GoblinRiverBoat_Accel	633	1	0	1	18384	0	0	0	0	0
884	Rowboat_WaterMovement	634	2	0	1	18388	0	0	0	0	0
885	Submarine_Alliance_Interior	635	2	0	1	18392	0	0	0	0	0
886	Submarine_Alliance_Idle	636	2	0	1	18404	0	0	0	0	0
889	Submarine_Alliance_Drive	637	2	0	1	18405	0	0	0	0	0
890	Submarine_Alliance_Accel	638	1	0	1	18406	0	0	0	0	0
892	Submarine_Alliance_Decel	639	1	0	1	18410	0	0	0	0	0
893	Rowboat_Drive	640	2	0	1	18412	0	0	0	0	0
894	moving	641	2	0	1	18401	0	0	0	0	0
895	Stop	641	3	0	1	18402	0	0	0	0	0
896	start	641	1	0	1	18403	0	0	0	0	0
898	AMB_ShipSailing	643	2	0	1	18127	0	0	1	0	0
899	Random Splash 1	643	2	0	1	20677	0	0	0	0	0
900	Random Splash 2	643	2	0	1	20677	0	21	0	0	0
901	Random Splash 3	643	2	0	1	20677	0	-20	0	0	0
902	HordeCaravan_Idle	624	1	0	1	18370	0	0	0	0	0
903	GoblinTrike_Drive	644	2	0	1	21779	0	0	0	0	0
907	GoblinTrike_Idle	645	2	0	1	21780	0	0	0	0	0
908	GoblinTrike_Turn	646	1	0	1	21782	0	0	0	0	0
909	GoblinTrike_Drive_NOREV	647	2	0	1	21779	0	0	0	0	0
910	GoblinTrike_Rev	648	1	0	1	21781	0	0	0	0	0
911	GoblinTrike_ImpactGround	649	1	0	1	18266	0	0	0	0	0
912	GoblinTrike_SingleRev	650	1	0	1	21929	0	0	0	0	0
913	Drive	651	2	0	1	21779	0	0	0	0	0
914	Turn	651	1	0	1	21782	0	0	0	0	0
915	Rev	651	1	0	1	21781	0	0	0	0	0
916	Idle	652	2	0	1	21780	0	0	0	0	0
918	GnomereganElevatorLoop	654	2	0	1	7180	0	0	0	0	0
919	GnomereganElevatorStart	654	1	0	1	7181	0	0	0	0	0
920	GnomereganElevatorStop	654	3	0	1	7182	0	0	0	0	0
921	GnomeHutElevatorStart	655	1	0	1	5900	0	0	0	0	0
922	GnomeHutElevatorLoop	655	2	0	1	5902	0	0	0	0	0
923	GnomeHutElevatorStop	655	3	0	1	5901	0	0	0	0	0
944	RocketMount_Fly	191	2	0	1	12315	0	0	0	0	0
945	RocketMount_Fly	190	2	0	1	12315	0	0	0	0	0
946	SwimIdle_Engine	666	2	0	1	12301	0	0	0	0	0
956	Birth	671	1	0	1	23775	0	0	0	0	0
957	Stand	672	1	0	1	23964	0	0	0	0	0
958	decay	673	1	0	1	383	0	0	0	0	0
959	WingFlap	674	2	0	1	11783	0	0	0	0	0
960	WingFlap	675	2	0	1	11783	0	0	0	0	0
961	Bank	675	1	0	1	10905	0	0	0	0	0
1076	Run	758	2	0	1	27162	0	0	0	0	0
1077	Run	759	2	0	1	27166	0	0	0	0	0
1078	Sha Tendril	760	2	0	1	27203	0	0	0	0	0
1081	Pandaren_Cart_Death	761	1	0	1	26912	0	0	0	0	0
1082	Gorilla_Pet_Attack	762	4	1	1	11672	0	0	0	0	0
