field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12
77	689	0	0	0	0	0	0	0	1073741824	1073741824	0	0
78	691	0	0	0	0	0	0	0	1103626240	0	0	0
79	692	0	0	17	0	0	0	0	0	0	0	0
80	693	0	0	0	0	0	0	0	1103626240	0	0	0
81	697	0	0	0	0	0	0	0	1103626240	0	0	0
82	698	0	0	0	0	0	0	0	1082130432	0	0	0
83	700	0	0	60	0	0	0	0	0	0	0	0
84	701	0	0	10	0	0	0	0	0	0	0	0
85	702	0	0	0	0	0	0	0	1082130432	0	0	0
86	703	0	3	45	0	0	0	0	0	0	0	0
87	710	0	0	0	0	0	0	0	1077936128	0	0	0
88	712	0	0	0	0	0	0	0	1103626240	0	0	0
89	724	0	0	0	0	0	0	0	1086324736	0	0	0
90	740	0	0	0	0	0	0	0	1104727245	0	0	0
91	759	0	0	0	0	0	0	0	1099956224	0	0	0
92	768	0	0	0	0	0	0	0	1080872141	0	0	0
93	770	0	0	0	0	0	0	0	1089470464	0	0	0
94	772	0	1	100	0	0	0	0	0	0	0	0
95	774	0	0	0	0	0	0	0	1099379507	0	0	0
96	779	0	1	150	0	0	0	0	0	0	0	0
97	783	0	0	0	0	0	0	0	1085485875	0	0	0
98	785	0	0	260	0	0	0	0	0	0	0	0
99	845	0	1	300	0	0	0	0	0	0	0	0
100	851	0	0	200	0	0	0	0	0	0	0	0
101	853	0	0	0	0	0	0	0	1080033280	0	0	0
102	857	0	0	0	0	0	0	0	1092616192	0	0	0
104	974	0	0	0	0	0	0	0	1100480512	0	0	0
105	980	0	0	0	0	0	0	0	1082130432	0	0	0
106	982	0	2	35	0	0	0	0	0	0	0	0
107	1022	0	0	0	0	0	0	0	1088421888	0	0	0
108	1038	0	0	0	0	0	0	0	1086324736	0	0	0
109	1044	0	0	0	0	0	0	0	1088421888	0	0	0
110	1050	0	0	28	0	0	0	0	0	0	0	0
111	1064	0	0	0	0	0	0	0	1102315520	0	0	0
112	1066	0	0	0	0	0	0	0	1085485875	0	0	0
113	1079	0	3	30	0	0	0	0	0	0	0	0
114	1082	0	3	40	0	0	0	0	0	0	0	0
115	1090	0	0	90	0	0	0	0	0	0	0	0
116	1098	0	0	0	0	0	0	0	1092616192	0	0	0
117	1120	0	0	0	0	0	0	0	1077936128	1077936128	0	0
118	1122	0	0	0	0	0	0	0	1103626240	0	0	0
119	1126	0	0	0	0	0	0	0	1102263091	0	0	0
121	1161	0	1	50	0	0	0	0	0	0	0	0
122	1329	0	3	55	0	0	0	0	0	0	0	0
123	1449	0	0	0	0	0	0	0	1077936128	0	0	0
124	1459	0	0	0	0	0	0	0	1082130432	0	0	0
127	1464	0	1	300	0	0	0	0	0	0	0	0
128	1490	0	0	0	0	0	0	0	1082130432	0	0	0
131	1513	0	2	25	0	0	0	0	0	0	0	0
133	1535	0	0	0	0	0	0	0	1096495923	0	0	0
135	1680	0	1	300	0	0	0	0	0	0	0	0
136	1706	0	0	0	0	0	0	0	1063675494	0	0	0
137	1714	0	0	0	0	0	0	0	1082130432	0	0	0
138	1715	0	1	100	0	0	0	0	0	0	0	0
139	1725	0	3	30	0	0	0	0	0	0	0	0
140	1752	0	3	40	0	0	0	0	0	0	0	0
141	1766	0	3	15	0	0	0	0	0	0	0	0
142	1776	0	3	45	0	0	0	0	0	0	0	0
143	1822	0	3	35	0	0	0	0	0	0	0	0
144	1833	0	3	40	0	0	0	0	0	0	0	0
145	1943	0	3	25	0	0	0	0	0	0	0	0
146	1949	0	0	0	0	0	0	0	1082130432	1082130432	0	0
147	1953	0	0	0	0	0	0	0	1073741824	0	0	0
148	1966	0	3	20	0	0	0	0	0	0	0	0
149	1978	0	2	25	0	0	0	0	0	0	0	0
150	2006	0	0	0	0	0	0	0	1082130432	0	0	0
151	2008	0	0	0	0	0	0	0	1118345626	0	0	0
152	2050	0	0	0	0	0	0	0	1073741824	0	0	0
153	2060	0	0	0	0	0	0	0	1086324736	0	0	0
154	2061	0	0	0	0	0	0	0	1086324736	0	0	0
155	2062	0	0	0	0	0	0	0	1105251533	0	0	0
156	2094	0	3	15	0	0	0	0	0	0	0	0
157	2096	0	0	0	0	0	0	0	1065353216	0	0	0
158	2098	0	3	35	0	0	0	0	0	0	0	0
159	2120	0	0	0	0	0	0	0	1086324736	0	0	0
160	2136	0	0	0	0	0	0	0	1073741824	0	0	0
161	2139	0	0	0	0	0	0	0	1073741824	0	0	0
162	2362	0	0	0	0	0	0	0	1110704128	0	0	0
163	2370	0	4	2332	0	0	0	0	0	0	0	0
164	2378	0	4	0	0	2	0	0	0	0	0	0
165	2380	0	4	3172	0	0	0	0	0	0	0	0
166	2484	0	0	0	0	0	0	0	1086115021	0	0	0
167	2606	0	0	80	0	0	0	0	0	0	0	0
168	2607	0	0	40	0	0	0	0	0	0	0	0
169	2608	0	0	135	0	0	0	0	0	0	0	0
170	2609	0	0	200	0	0	0	0	0	0	0	0
171	2610	0	0	260	0	0	0	0	0	0	0	0
172	2626	0	0	79	0	0	0	0	0	0	0	0
173	2637	0	0	0	0	0	0	0	1087373312	0	0	0
174	2643	0	2	40	0	0	0	0	0	0	0	0
175	2645	0	0	0	0	0	0	0	1088841318	0	0	0
176	2647	0	0	68	0	0	0	0	0	0	0	0
178	2687	0	-2	0	0	0	0	0	1098907648	0	0	0
179	2782	0	0	0	0	0	0	0	1098697933	0	0	0
180	2812	0	0	0	0	0	0	0	1091987046	0	0	0
181	2825	0	0	0	0	0	0	0	1101791232	0	0	0
182	2855	0	0	0	0	0	0	0	1091567616	0	0	0
183	2871	0	0	100	0	0	0	0	0	0	0	0
184	2882	0	0	45	0	0	0	0	0	0	0	0
185	2894	0	0	0	0	0	0	0	1104622387	0	0	0
186	2908	0	0	0	0	0	0	0	1085485875	0	0	0
187	2912	0	0	0	0	0	0	0	1092930765	0	0	0
188	2944	0	13	1	0	0	0	0	0	0	0	0
190	3017	0	0	10	0	0	0	0	0	0	0	0
191	3034	0	2	30	0	0	0	0	0	0	0	0
192	3043	0	2	30	0	0	0	0	0	0	0	0
193	3044	0	2	22	0	0	0	0	0	0	0	0
195	3108	0	0	100	0	0	0	0	0	0	0	0
196	3109	0	0	75	0	0	0	0	0	0	0	0
197	3110	0	3	40	0	0	0	0	0	0	0	0
198	3121	0	0	8	0	0	0	0	0	0	0	0
199	3205	0	0	1	0	0	0	0	0	0	0	0
200	3206	0	0	1	0	0	0	0	0	0	0	0
201	3207	0	0	1	0	0	0	0	0	0	0	0
202	3332	0	0	29	0	0	0	0	0	0	0	0
204	3443	0	0	90	0	0	0	0	0	0	0	0
205	3561	0	0	0	0	0	0	0	1077936128	0	0	0
206	3562	0	0	0	0	0	0	0	1077936128	0	0	0
207	3563	0	0	0	0	0	0	0	1077936128	0	0	0
208	3565	0	0	0	0	0	0	0	1077936128	0	0	0
209	3566	0	0	0	0	0	0	0	1077936128	0	0	0
210	3567	0	0	0	0	0	0	0	1077936128	0	0	0
211	3599	0	0	0	0	0	0	0	1086115021	0	0	0
212	3652	0	0	75	0	0	0	0	0	0	0	0
213	3655	0	0	50	0	0	0	0	0	0	0	0
214	3657	0	0	50	0	0	0	0	0	0	0	0
215	3658	0	0	50	0	0	0	0	0	0	0	0
216	3674	0	2	35	0	0	0	0	0	0	0	0
217	3716	0	3	50	0	0	0	0	0	0	0	0
218	3738	0	0	0	0	0	0	0	1095642907	0	0	0
219	3742	0	0	8	0	0	0	0	0	0	0	0
220	4971	0	0	120	0	0	0	0	0	0	0	0
221	4987	0	0	0	0	0	0	0	1099117363	0	0	0
222	5108	0	0	32	5	0	0	0	0	0	0	0
223	5110	0	0	50	0	0	0	0	0	0	0	0
225	5138	0	0	0	0	0	0	0	1094713344	0	0	0
226	5171	0	3	25	0	0	0	0	0	0	0	0
227	5176	0	0	0	0	0	0	0	1090938470	0	0	0
228	5185	0	0	0	0	0	0	0	1103888384	0	0	0
229	5209	0	1	150	0	0	0	0	0	0	0	0
231	5221	0	3	40	0	0	0	0	0	0	0	0
233	5252	0	0	50	0	0	0	0	0	0	0	0
234	5259	0	0	2	0	0	0	0	0	0	0	0
235	5276	0	0	98	0	0	0	0	0	0	0	0
236	5308	0	1	300	0	0	0	0	0	0	0	0
237	5394	0	0	0	0	0	0	0	1102839808	0	0	0
239	5487	0	0	0	0	0	0	0	1080872141	0	0	0
240	5504	0	0	0	0	0	0	0	1109393408	0	0	0
241	5570	0	0	0	0	0	0	0	1089470464	0	0	0
242	5605	0	0	30	3	0	0	0	0	0	0	0
243	5675	0	0	0	0	0	0	0	1083598438	0	0	0
244	5676	0	0	0	0	0	0	0	1082130432	0	0	0
245	5697	0	0	0	0	0	0	0	1073741824	0	0	0
246	5730	0	0	0	0	0	0	0	1088482705	0	0	0
247	5740	0	0	0	0	0	0	0	1082130432	1082130432	0	0
248	5759	0	0	9	0	0	0	0	0	0	0	0
249	5782	0	0	0	0	0	0	0	1082130432	0	0	0
250	5862	0	0	66	0	0	0	0	0	0	0	0
251	5938	0	3	20	0	0	0	0	0	0	0	0
252	6115	0	-2	20	0	0	0	0	0	0	0	0
255	6196	0	0	0	0	0	0	0	1080033280	0	0	0
257	6201	0	0	0	0	0	0	0	1097859072	0	0	0
258	6229	0	0	0	0	0	0	0	1082130432	0	0	0
260	6305	0	0	25	0	0	0	0	0	0	0	0
261	6343	0	1	200	0	0	0	0	0	0	0	0
262	6346	0	0	0	0	0	0	0	1063675494	0	0	0
263	6353	0	0	0	0	0	0	0	1090519040	0	0	0
264	6358	0	3	20	0	0	0	0	0	0	0	0
265	6360	0	3	40	0	0	0	0	0	0	0	0
266	6366	0	0	0	0	0	0	0	1113063424	0	0	0
267	6487	0	0	50	0	0	0	0	0	0	0	0
268	6490	0	0	30	0	0	0	0	0	0	0	0
269	6535	0	0	60	0	0	0	0	0	0	0	0
272	6724	0	0	30	0	0	0	0	0	0	0	0
273	6725	0	0	153	0	0	0	0	0	0	0	0
274	6726	0	0	30	0	0	0	0	0	0	0	0
276	6742	0	0	10	2	0	0	0	0	0	0	0
277	6770	0	3	35	0	0	0	0	0	0	0	0
278	6785	0	3	50	0	0	0	0	0	0	0	0
280	6807	0	1	300	0	0	0	0	0	0	0	0
281	6905	0	0	50	0	0	0	0	0	0	0	0
284	6940	0	0	0	0	0	0	0	1088421888	0	0	0
285	6949	0	0	25	0	0	0	0	0	0	0	0
288	6960	0	0	15	0	0	0	0	0	0	0	0
289	7101	0	0	50	0	0	0	0	0	0	0	0
290	7108	0	0	45	0	0	0	0	0	0	0	0
293	7245	0	4	7255	0	0	0	0	0	0	0	0
294	7288	0	0	10	0	0	0	0	0	0	0	0
295	7290	0	0	10	2	0	0	0	0	0	0	0
297	7328	0	0	0	0	0	0	0	1117126656	0	0	0
299	7386	0	1	150	0	0	0	0	0	0	0	0
301	7621	0	0	75	0	0	0	0	0	0	0	0
302	7645	0	0	30	0	0	0	0	0	0	0	0
303	7739	0	0	300	0	0	0	0	0	0	0	0
305	7806	0	0	75	0	0	0	0	0	0	0	0
306	7807	0	0	150	0	0	0	0	0	0	0	0
307	7808	0	0	225	0	0	0	0	0	0	0	0
308	7812	0	-2	0	0	0	0	0	1103626240	0	0	0
309	7814	0	3	60	0	0	0	0	0	0	0	0
310	7840	0	4	7841	0	0	0	0	0	0	0	0
311	7855	0	0	500	0	0	0	0	0	0	0	0
312	7870	0	3	20	0	0	0	0	0	0	0	0
313	7933	0	0	60	0	0	0	0	0	0	0	0
315	7960	0	0	60	0	0	0	0	0	0	0	0
316	8000	0	0	160	0	0	0	0	0	0	0	0
317	8004	0	0	0	0	0	0	0	1107086541	0	0	0
318	8017	0	0	0	0	0	0	0	1091987046	0	0	0
319	8024	0	0	0	0	0	0	0	1088421888	0	0	0
320	8033	0	0	0	0	0	0	0	1088421888	0	0	0
322	8042	0	0	0	0	0	0	0	1097229926	0	0	0
323	8050	0	0	0	0	0	0	0	1094608486	0	0	0
324	8056	0	0	0	0	0	0	0	1101581517	0	0	0
325	8071	0	0	0	0	0	0	0	1094414500	0	0	0
326	8075	0	0	0	0	0	0	0	1094414500	0	0	0
328	8122	0	0	0	0	0	0	0	1077936128	0	0	0
329	8129	0	0	0	0	0	0	0	1096810496	0	0	0
331	8143	0	0	0	0	0	0	0	1075000115	0	0	0
332	8176	0	0	0	0	0	0	0	1120403456	0	0	0
333	8177	0	0	0	0	0	0	0	1086115021	0	0	0
334	8184	0	0	0	0	0	0	0	1091957686	0	0	0
335	8190	0	0	0	0	0	0	0	1101581517	0	0	0
336	8211	0	0	110	0	0	0	0	0	0	0	0
337	8227	0	0	0	0	0	0	0	1095642907	0	0	0
338	8232	0	0	0	0	0	0	0	1090728755	0	0	0
339	8246	0	0	150	0	0	0	0	0	0	0	0
340	8262	0	0	85	0	0	0	0	0	0	0	0
341	8264	0	0	175	0	0	0	0	0	0	0	0
343	8277	0	0	30	0	0	0	0	0	0	0	0
345	8293	0	0	100	0	0	0	0	0	0	0	0
346	8348	0	0	30	0	0	0	0	0	0	0	0
347	8361	0	0	40	0	0	0	0	0	0	0	0
350	8376	0	0	95	0	0	0	0	0	0	0	0
353	8435	0	0	150	0	0	0	0	0	0	0	0
354	8512	0	0	0	0	0	0	0	1095642907	0	0	0
355	8552	0	0	70	0	0	0	0	0	0	0	0
356	8598	0	0	90	0	0	0	0	0	0	0	0
357	8627	0	3	10	0	0	0	0	0	0	0	0
358	8647	0	3	25	0	0	0	0	0	0	0	0
359	8676	0	3	60	0	0	0	0	0	0	0	0
360	8722	0	0	0	0	0	0	0	1120403456	0	0	0
361	8736	0	0	60	0	0	0	0	0	0	0	0
362	8788	0	0	185	0	0	0	0	0	0	0	0
363	8809	0	0	100	0	0	0	0	0	0	0	0
364	8812	0	0	450	0	0	0	0	0	0	0	0
365	8814	0	0	153	0	0	0	0	0	0	0	0
366	8921	0	0	0	0	0	0	0	1090938470	0	0	0
367	8936	0	0	0	0	0	0	0	1106090394	0	0	0
370	8998	0	3	20	0	0	0	0	0	0	0	0
371	9005	0	3	50	0	0	0	0	0	0	0	0
372	9053	0	0	90	0	0	0	0	0	0	0	0
373	9081	0	0	160	0	0	0	0	0	0	0	0
374	9373	0	0	10	2	0	0	0	0	0	0	0
375	9433	0	0	330	0	0	0	0	0	0	0	0
377	9438	0	0	75	0	0	0	0	0	0	0	0
378	9456	0	0	40	0	0	0	0	0	0	0	0
379	9481	0	0	220	0	0	0	0	0	0	0	0
380	9484	0	0	0	0	0	0	0	1091567616	0	0	0
382	9488	0	0	45	0	0	0	0	0	0	0	0
383	9532	0	0	90	0	0	0	0	0	0	0	0
385	9591	0	0	90	4	0	0	0	0	0	0	0
386	9613	0	0	90	0	0	0	0	0	0	0	0
389	9654	0	0	90	4	0	0	0	0	0	0	0
390	9672	0	0	90	0	0	0	0	0	0	0	0
391	9734	0	0	75	0	0	0	0	0	0	0	0
392	9739	0	0	75	0	0	0	0	0	0	0	0
393	9771	0	0	90	4	0	0	0	0	0	0	0
394	9915	0	0	115	0	0	0	0	0	0	0	0
395	10059	0	0	0	0	0	0	0	1082130432	0	0	0
397	10165	0	0	0	0	0	0	0	1092616192	0	0	0
398	10166	0	0	0	0	0	0	0	1092616192	0	0	0
399	10260	0	-2	40	0	25	0	0	0	0	0	0
400	10326	0	0	0	0	0	0	0	1093140480	0	0	0
402	11017	0	0	0	0	0	0	0	1101004800	0	0	0
403	11021	0	0	90	4	0	0	0	0	0	0	0
405	11366	0	0	0	0	0	0	0	1084227584	0	0	0
406	11389	0	4	11460	0	8	0	0	0	0	0	0
407	11392	0	0	31	0	0	0	0	0	0	0	0
408	11412	0	0	0	0	0	0	0	1090519040	0	0	0
409	11416	0	0	0	0	0	0	0	1082130432	0	0	0
410	11417	0	0	0	0	0	0	0	1082130432	0	0	0
411	11418	0	0	0	0	0	0	0	1082130432	0	0	0
412	11419	0	0	0	0	0	0	0	1082130432	0	0	0
413	11420	0	0	0	0	0	0	0	1082130432	0	0	0
414	11426	0	0	0	0	0	0	0	1077936128	0	0	0
415	11431	0	0	180	0	0	0	0	0	0	0	0
416	11433	0	0	320	0	0	0	0	0	0	0	0
419	11444	0	0	50	5	0	0	0	0	0	0	0
420	11445	0	0	0	0	0	0	0	1092616192	0	0	0
421	11639	0	0	95	0	0	0	0	0	0	0	0
424	11642	0	0	105	0	0	0	0	0	0	0	0
425	11647	0	0	100	0	0	0	0	0	0	0	0
426	11649	0	0	90	0	0	0	0	0	0	0	0
427	11824	0	0	135	0	0	0	0	0	0	0	0
428	11829	0	0	260	0	0	0	0	0	0	0	0
430	11835	0	0	125	0	0	0	0	0	0	0	0
431	11839	0	0	110	0	0	0	0	0	0	0	0
432	11895	0	0	560	0	0	0	0	0	0	0	0
433	11899	0	0	120	0	0	0	0	0	0	0	0
434	11921	0	0	90	0	0	0	0	0	0	0	0
435	11962	0	0	55	0	0	0	0	0	0	0	0
436	11969	0	0	95	0	0	0	0	0	0	0	0
437	11974	0	0	110	5	0	0	0	0	0	0	0
438	11975	0	0	120	0	0	0	0	0	0	0	0
440	11981	0	0	95	0	0	0	0	0	0	0	0
441	11986	0	0	145	0	0	0	0	0	0	0	0
442	11988	0	0	90	0	0	0	0	0	0	0	0
443	11990	0	0	15	15	0	0	0	0	0	0	0
444	12039	0	0	215	0	0	0	0	0	0	0	0
447	12096	0	0	35	4	0	0	0	0	0	0	0
448	12098	0	0	90	5	0	0	0	0	0	0	0
449	12151	0	0	150	0	0	0	0	0	0	0	0
450	12160	0	0	90	0	0	0	0	0	0	0	0
451	12167	0	0	90	0	0	0	0	0	0	0	0
453	12258	0	0	0	0	0	0	0	1092616192	0	0	0
456	12323	0	1	100	0	0	0	0	0	0	0	0
457	12328	0	1	300	0	0	0	0	0	0	0	0
458	12466	0	0	90	0	0	0	0	0	0	0	0
459	12468	0	0	260	0	0	0	0	0	0	0	0
460	81579	0	0	30	0	0	0	0	0	0	0	0
461	12471	0	0	90	0	0	0	0	0	0	0	0
463	12491	0	0	145	0	0	0	0	0	0	0	0
464	12492	0	0	145	0	0	0	0	0	0	0	0
467	12529	0	0	125	0	0	0	0	0	0	0	0
468	12544	0	0	10	5	0	0	0	0	0	0	0
469	12548	0	0	115	0	0	0	0	0	0	0	0
470	12549	0	0	150	0	0	0	0	0	0	0	0
471	12550	0	0	5	5	0	0	0	0	0	0	0
472	12557	0	0	120	0	0	0	0	0	0	0	0
473	12611	0	0	120	0	0	0	0	0	0	0	0
474	12674	0	0	75	0	0	0	0	0	0	0	0
475	12675	0	0	90	0	0	0	0	0	0	0	0
476	12685	0	0	40	0	0	0	0	0	0	0	0
477	12737	0	0	90	0	0	0	0	0	0	0	0
478	12738	0	0	0	0	0	0	0	1092616192	0	0	0
479	12739	0	0	90	0	0	0	0	0	0	0	0
483	12748	0	0	75	0	0	0	0	0	0	0	0
484	12809	0	1	150	0	0	0	0	0	0	0	0
485	12845	0	0	110	0	0	0	0	0	0	0	0
487	13007	0	0	35	0	0	0	0	0	0	0	0
488	13049	0	0	50	0	0	0	0	0	0	0	0
489	13140	0	0	90	4	0	0	0	0	0	0	0
491	13322	0	0	90	0	0	0	0	0	0	0	0
493	13326	0	0	90	4	0	0	0	0	0	0	0
494	13339	0	0	120	0	0	0	0	0	0	0	0
495	13341	0	0	120	0	0	0	0	0	0	0	0
496	13374	0	0	120	0	0	0	0	0	0	0	0
497	13375	0	0	110	0	0	0	0	0	0	0	0
498	13381	0	0	260	0	0	0	0	0	0	0	0
499	13424	0	0	55	0	0	0	0	0	0	0	0
500	13438	0	0	45	0	0	0	0	0	0	0	0
501	13439	0	0	25	0	0	0	0	0	0	0	0
502	13440	0	0	40	0	0	0	0	0	0	0	0
503	13441	0	0	80	0	0	0	0	0	0	0	0
504	13442	0	0	18	0	0	0	0	0	0	0	0
505	13480	0	0	40	0	0	0	0	0	0	0	0
506	13482	0	0	20	0	0	0	0	0	0	0	0
507	13490	0	0	100	0	0	0	0	0	0	0	0
508	13491	0	1	100	0	0	0	0	0	0	0	0
509	13519	0	0	35	0	0	0	0	0	0	0	0
510	13527	0	0	20	0	0	0	0	0	0	0	0
513	13744	0	0	195	0	0	0	0	0	0	0	0
514	13745	0	0	120	0	0	0	0	0	0	0	0
516	13748	0	0	90	0	0	0	0	0	0	0	0
517	13752	0	0	55	0	0	0	0	0	0	0	0
518	13787	0	0	275	20	0	0	0	0	0	0	0
522	13857	0	0	400	0	0	0	0	0	0	0	0
523	13860	0	0	50	0	0	0	0	0	0	0	0
525	13874	0	0	75	0	0	0	0	0	0	0	0
527	13878	0	0	50	0	0	0	0	0	0	0	0
528	13901	0	0	90	0	0	0	0	0	0	0	0
529	13902	0	0	50	0	0	0	0	0	0	0	0
530	13903	0	0	60	0	0	0	0	0	0	0	0
531	13952	0	0	150	0	0	0	0	0	0	0	0
532	13953	0	0	75	0	0	0	0	0	0	0	0
533	14032	0	0	95	0	0	0	0	0	0	0	0
534	14033	0	0	95	0	0	0	0	0	0	0	0
535	14034	0	0	90	0	0	0	0	0	0	0	0
536	14053	0	0	95	0	0	0	0	0	0	0	0
537	14103	0	0	18	0	0	0	0	0	0	0	0
538	14105	0	0	80	0	0	0	0	0	0	0	0
539	14106	0	0	40	0	0	0	0	0	0	0	0
540	14109	0	0	20	0	0	0	0	0	0	0	0
541	14119	0	0	20	0	0	0	0	0	0	0	0
542	14122	0	0	40	0	0	0	0	0	0	0	0
543	14129	0	0	40	0	0	0	0	0	0	0	0
544	14134	0	0	25	0	0	0	0	0	0	0	0
545	14145	0	0	120	0	0	0	0	0	0	0	0
546	14251	0	3	10	0	0	0	0	0	0	0	0
547	14253	0	0	100	0	0	0	0	0	0	0	0
548	14514	0	0	75	0	0	0	0	0	0	0	0
552	14868	0	0	75	0	0	0	0	0	0	0	0
553	14871	0	0	400	0	0	0	0	0	0	0	0
554	14875	0	0	75	0	0	0	0	0	0	0	0
555	14887	0	0	160	0	0	0	0	0	0	0	0
556	14900	0	0	150	0	0	0	0	0	0	0	0
558	14903	0	3	25	0	0	0	0	0	0	0	0
559	14914	0	0	0	0	0	0	0	1073741824	0	0	0
560	15038	0	0	65	0	0	0	0	0	0	0	0
561	15039	0	0	110	0	0	0	0	0	0	0	0
562	15040	0	0	70	0	0	0	0	0	0	0	0
563	15041	0	0	95	0	0	0	0	0	0	0	0
564	15043	0	0	90	0	0	0	0	0	0	0	0
565	15044	0	0	95	0	0	0	0	0	0	0	0
566	15054	0	3	30	0	0	0	0	0	0	0	0
567	15055	0	3	30	0	0	0	0	0	0	0	0
568	15063	0	0	75	0	0	0	0	0	0	0	0
569	15090	0	0	75	0	0	0	0	0	0	0	0
571	15095	0	0	70	0	0	0	0	0	0	0	0
572	15096	0	0	110	0	0	0	0	0	0	0	0
574	15124	0	0	90	0	0	0	0	0	0	0	0
575	15228	0	0	90	0	0	0	0	0	0	0	0
576	15230	0	0	90	0	0	0	0	0	0	0	0
577	15232	0	0	90	0	0	0	0	0	0	0	0
578	15234	0	0	90	0	0	0	0	0	0	0	0
579	15236	0	0	135	0	0	0	0	0	0	0	0
580	15237	0	0	0	0	0	0	0	1076258406	0	0	0
581	15238	0	0	75	0	0	0	0	0	0	0	0
582	15241	0	0	50	0	0	0	0	0	0	0	0
583	15242	0	0	90	0	0	0	0	0	0	0	0
584	15244	0	0	120	0	0	0	0	0	0	0	0
585	15245	0	0	160	0	0	0	0	0	0	0	0
586	15253	0	0	120	0	0	0	0	0	0	0	0
587	15254	0	0	90	0	0	0	0	0	0	0	0
588	15277	0	0	95	0	0	0	0	0	0	0	0
589	15288	0	0	90	4	0	0	0	0	0	0	0
590	15305	0	0	150	0	0	0	0	0	0	0	0
591	15306	0	0	135	0	0	0	0	0	0	0	0
592	15346	0	0	95	0	0	0	0	0	0	0	0
593	15407	0	0	0	0	0	0	0	1065353216	0	0	0
594	15451	0	0	90	0	0	0	0	0	0	0	0
595	15453	0	0	120	0	0	0	0	0	0	0	0
596	15472	0	0	90	0	0	0	0	0	0	0	0
