m_id	m_group	m_faction	m_summonTitle	m_summonType	m_flags
3018	1	0	0	0	4866
3019	1	0	0	0	4866
3020	0	0	0	0	2304
3021	4	0	0	6	264
3022	1	0	2	0	133898
3023	1	0	0	0	133384
3024	1	0	0	6	134424
3025	0	0	0	0	134424
3026	1	0	0	6	134408
3027	1	0	0	6	132352
3028	1	0	0	0	133898
3030	1	0	0	6	134922
3031	1	0	0	0	134424
3032	2	0	0	6	134922
3033	4	0	0	0	142360
3034	1	0	0	6	1026
3035	4	0	0	0	272
3036	0	0	7	0	145418
3037	0	0	0	0	137224
3038	4	0	0	0	272
3039	2	0	2	0	131850
3040	1	0	5	6	1802
3041	1	0	7	6	140552
3042	0	0	0	0	32784
3043	1	0	0	6	134922
3044	0	0	0	0	142616
3045	1	0	0	0	134922
3046	0	0	0	0	164120
3047	1	0	0	0	133912
3048	0	0	0	0	133400
3049	1	0	0	5	2328
3050	1	0	0	0	134938
3051	0	0	0	0	134424
3052	1	0	0	0	133400
3053	1	0	0	0	141592
3054	0	0	0	0	141592
3055	1	0	0	6	134424
3056	1	0	0	0	2056
3057	1	0	0	0	133896
3058	0	1771	0	0	16
3059	5	2263	0	0	133400
3060	1	0	0	6	141592
3061	2	0	3	0	514
3062	1	0	2	0	4333704
3063	0	0	0	0	265
3064	1	0	2	0	2114
3065	1	0	0	6	3352
3066	1	0	0	6	134424
3067	1	0	0	0	133896
3068	2	0	3	0	514
3069	1	0	0	-1	2
3070	1	0	0	2	2
3071	1	0	0	3	2
3072	1	0	0	6	134922
3073	1	1802	0	0	1802
3074	1	0	0	0	133384
3075	0	0	0	-1	0
3076	0	0	0	0	2304
3077	0	0	0	0	16
3079	0	0	0	0	142616
3080	0	0	0	0	166168
3081	1	0	0	0	142616
3082	0	0	0	6	175128
3083	1	0	0	0	141576
3084	1	0	0	-1	778
3085	0	0	0	0	778
3086	1	0	0	6	9226
3087	0	0	0	0	32768
3088	0	0	0	0	175384
3089	1	0	0	0	133130
3090	4	0	0	0	133400
3091	0	0	0	0	134938
3092	1	0	3	0	135690
3093	0	0	0	0	141336
3094	1	0	2	1	2120
3095	1	0	0	6	9480
3096	0	0	0	6	142600
3097	2	0	1	0	18432
3098	0	0	0	0	4096
3099	4	0	0	0	8464
3100	0	0	0	0	141336
3101	1	0	0	1	3978
3102	1	0	0	2	3978
3103	1	0	0	3	3978
3104	1	0	0	4	3978
3105	4	0	0	0	133384
3106	1	0	2	1	4610
3107	1	0	2	0	2306
3108	1	0	0	2	2
3109	1	0	0	0	133914
3110	1	0	0	6	133400
3111	1	0	0	0	133128
3112	4	0	0	0	133400
3113	0	35	0	0	512
3117	1	0	5	5	133128
3118	4	0	0	0	141592
3119	0	0	0	0	141328
3120	1	0	0	6	9224
3121	1	0	0	6	258
3122	1	0	0	6	3088
3124	1	0	5	5	256
3126	1	1806	0	0	133898
3127	1	0	0	6	141592
3128	0	0	0	6	142600
3129	1	0	5	6	0
3130	0	0	0	0	133400
3131	4	0	0	0	0
3132	1	0	13	5	0
3133	0	0	0	0	2056
3134	4	0	0	0	0
3135	0	0	0	0	133384
3136	0	2245	0	0	272
3138	0	14	0	0	133133
3139	0	0	0	0	131080
3140	1	0	0	0	2058
3141	1	0	5	6	256
3142	1	0	0	5	0
3143	1	0	5	5	256
3144	4	0	0	0	141320
3145	1	0	0	0	134424
3147	1	0	0	0	141592
3148	1	0	2	0	258
3149	1	0	0	0	8194
3152	1	0	5	5	1024
3158	1	0	2	0	2050
3159	0	0	0	0	142616
3160	2	0	3	0	2050
3161	1	0	0	0	2056
3162	1	0	0	2	4096
3164	0	0	0	0	129
3165	2	188	0	-1	133384
3166	0	0	0	0	141320
3167	0	0	0	0	141592
3168	1	0	0	0	2328
3169	1	0	0	0	16
3170	1	0	0	6	16
3171	0	0	0	0	141336
3172	4	0	0	6	272
3173	4	0	0	0	141592
3174	1	0	0	6	134408
3175	1	0	0	6	141592
3176	1	0	0	0	133400
3177	0	0	0	0	6658
3178	0	0	0	0	262144
3179	0	14	0	0	4608
3180	0	0	0	0	0
3181	0	0	0	0	0
3182	0	0	0	6	1344
3187	0	0	0	0	174360
3188	0	0	0	0	131088
3189	1	0	0	1	1048578
3192	0	2502	0	0	141656
3193	0	2501	0	0	141592
3194	0	14	0	0	5
3195	1	0	0	0	4866
3196	1	0	0	0	4866
3197	0	0	0	0	0
3198	1	0	2	2	4096
3199	1	0	11	1	4096
3200	1	0	14	3	4096
3202	0	210	0	0	2
3203	1	0	0	0	512
3205	1	0	0	0	133898
3206	1	0	0	0	4866
3207	0	0	0	0	272
3208	1	0	16	1	4096
3209	1	0	0	-1	2
3210	1	0	2	0	2050
3211	1	0	4	1	1048578
3212	0	0	8	0	0
3213	1	0	2	0	133128
3214	1	0	0	0	133896
3215	1	0	2	0	133128
3216	1	0	16	-1	4096
3217	2	0	3	0	149512
3218	1	0	2	6	1546
3219	0	0	15	0	265
3220	2	0	3	0	149512
3221	1	0	5	5	2097152
3222	1	0	0	0	514
3223	1	0	16	1	4096
3224	0	0	0	0	272
3225	1	0	2	0	4866
3226	2	0	3	0	6658
3227	0	0	0	0	133640
3228	0	0	0	0	134168
3229	1	0	0	0	134424
3230	1	0	0	6	131352
3231	1	0	0	0	133128
3232	2	35	12	5	0
3233	4	0	0	0	133400
3234	2	0	17	0	512
3235	1	0	2	0	2
3236	1	0	2	0	2562
3237	1	0	2	0	4333704
3238	1	0	3	0	10
3239	1	2489	0	6	133642
3240	4	0	0	6	272
3242	1	0	6	0	2
3243	1	0	4	3	1048578
3244	0	0	0	0	65
3245	1	0	2	0	18432
3246	0	0	0	0	2570
3247	1	0	5	4	2048
3248	1	0	0	0	133898
3249	1	0	0	0	133898
3250	1	0	0	0	133898
3251	0	0	0	0	0
3252	1	0	0	0	1
3253	1	14	0	0	137738
3254	2	0	3	0	2050
3255	2	0	3	0	2050
3256	1	0	2	0	2050
3257	1	0	3	0	514
3258	0	35	0	0	655360
3259	1	0	0	0	514
3260	1	0	0	0	514
3261	1	0	0	0	514
3262	1	0	2	0	2
3264	1	0	0	0	133898
3265	1	0	0	0	133898
3266	1	0	0	0	133898
3267	4	0	0	6	0
3268	1	0	0	0	9480
3269	0	0	0	0	131600
3270	0	0	0	0	0
3271	0	0	0	0	0
