Id	Map	BlobID?	Name	field4
329	1	56382	Upper Lakkari Tar Pits	177
331	1	56384	Terror Run Fossil Field	177
333	1	56386	Screaming Reaches Fossil Field	177
335	1	56388	Marshlands Fossil Bank	177
337	1	56390	Southwind Village Digsite	177
339	530	56392	Gor\'gaz Outpost Digsite	177
341	530	56394	Zeth\'Gor Digsite	177
343	530	56396	Hellfire Basin Digsite	177
345	530	56398	Hellfire Citadel Digsite	177
347	530	56400	Sha\'naar Digsite	177
349	530	56402	Boha\'mu Ruins Digsite	177
351	530	56404	Twin Spire Ruins Digsite	177
353	530	56406	Ruins of Enkaat Digsite	177
355	530	56408	Arklon Ruins Digsite	177
357	530	56410	Ruins of Farahlon Digsite	177
359	530	56412	Ancestral Grounds Digsite	177
363	530	56416	Sunspring Post Digsite	177
365	530	56418	Laughing Skull Digsite	177
367	530	56420	Burning Blade Digsite	177
369	530	56422	Halaa Digsite	177
371	530	56424	Grangol\'var Village Digsite	177
373	530	56426	Tuurem Digsite	177
375	530	56428	Bleeding Hollow Ruins Digsite	177
377	530	56430	Bonechewer Ruins Digsite	177
379	530	56432	Bone Wastes Digsite	177
381	530	56434	East Auchindoun Digsite	177
383	530	56437	West Auchindoun Digsite	177
385	530	56439	Illidari Point Digsite	177
387	530	56441	Coilskar Point Digsite	177
391	530	56446	Ruins of Baa\'ri Digsite	177
393	530	56448	Eclipse Point Digsite	177
395	530	56450	Warden\'s Cage Digsite	177
399	530	56455	Dragonmaw Fortress	177
401	571	56504	Skorn Digsite	177
403	571	56506	Halgrind Digsite	177
405	571	56508	Wyrmskull Digsite	177
407	571	56510	Shield Hill Digsite	177
409	571	56512	Baleheim Digsite	177
411	571	56514	Nifflevar Digsite	177
413	571	56516	Gjalerbron Digsite	177
415	571	56518	Pit of Narjun Digsite	177
417	571	56520	Moonrest Gardens Digsite	177
419	571	56522	En\'kilah Digsite	177
421	571	56524	Kolramas Digsite	177
423	571	56526	Riplash Ruins Digsite	177
425	571	56528	Violet Stand Digsite	177
427	571	56530	Ruins of Shandaral Digsite	177
429	571	56533	Altar of Sseratus Digsite	177
431	571	56535	Zim\'Rhuk Digsite	177
433	571	56537	Zol\'Heb Digsite	177
435	571	56539	Altar of Quetz\'lun Digsite	177
437	571	56541	Talramas Digsite	177
439	571	56543	Voldrune Digsite	177
443	571	56547	Drakil\'Jin Ruins Digsite	177
445	571	56549	Brunnhildar Village Digsite	177
447	571	56551	Sifreldar Village Digsite	177
449	571	56553	Valkyrion Digsite	177
451	571	56555	Scourgeholme Digsite	177
455	571	56560	Ymirheim Digsite	177
457	571	56562	Jotunheim Digsite	177
459	571	56564	Njorndar Village Digsite	177
461	1	56566	Ruins of Lar\'donir Digsite	177
463	1	56568	Shrine of Goldrinn Digsite	177
465	1	56570	Grove of Aessina Digsite	177
467	1	56572	Sanctuary of Malorne Digsite	177
469	1	56574	Scorched Plain Digsite	177
471	0	56576	Quel\'Dormir Gardens Digsite	177
473	0	56578	Nar\'shola (Middle Tier) Digsite	177
475	0	56580	Biel\'aran Ridge Digsite	177
477	0	56583	Dunwald Ruins Digsite	177
479	0	56585	Thundermar Ruins Digsite	177
481	0	56587	Humboldt Conflagration Digsite	177
485	1	56591	Khartut\'s Tomb Digsite	177
487	1	56593	Tombs of the Precursors Digsite	177
489	1	56595	Steps of Fate Digsite	177
491	1	56597	Neferset Digsite	177
493	1	56599	Orsis Digsite	177
495	1	56601	Ruins of Ammon Digsite	177
497	1	56603	Ruins of Khintaset Digsite	177
499	1	56605	Temple of Uldum Digsite	177
501	1	56607	Ruins of Ahmtul Digsite	177
570	1	60350	River Delta Digsite	177
572	1	60352	Cursed Landing Digsite	177
574	1	60354	Keset Pass Digsite	177
576	1	60356	Akhenet Fields Digsite	177
578	1	60358	Obelisk of the Stars Digsite	177
581	1	60361	Sahket Wastes Digsite	177
583	1	60363	Schnottz\'s Landing	177
587	571	60367	Pit of Fiends Digsite	177
589	571	60369	Sands of Nasam	177
615	0	60442	Terrorweb Tunnel Digsite	177
617	0	60444	Plaguewood Digsite	177
918	870	66767	Tiger\'s Wood Digsite	177
923	870	66784	Chun Tian Digsite	177
928	870	66789	Shrine of the Dawn Digsite	177
934	870	66795	Ruins of Gan Shi Digsite	177
936	870	66817	Emperor\'s Omen Digsite	177
938	870	66854	The Arboretum Digsite	177
941	870	66890	Thunderwood Digsite	177
949	870	66911	Mogu TEMPLATE Digsite	177
951	870	66913	Pandaren TEMPLATE Digsite	177
955	870	66917	Singing Marshes Digsite	177
957	870	66919	North Great Wall Digsite	177
961	870	66923	South Great Wall Digsite	177
963	870	66925	Torjari Pit Digsite	177
967	870	66929	Hidden Pass Digsite	177
971	870	66933	Paoquan Hollow Digsite	177
973	870	66935	North Fruited Fields Digsite	177
977	870	66939	South Fruited Fields Digsite	177
979	870	66941	Pools of Purity Digsite	177
981	870	66943	Fallsong Village Digsite	177
983	870	66945	Ruins of Korja Digsite	177
987	870	66949	Krasarang Wilds Digsite	177
989	870	66951	Lost Dynasty Digsite	177
991	870	66953	East Ruins of Dojan Digsite	177
993	870	66955	West Ruins of Dojan Digsite	177
995	870	66957	North Temple of the Red Crane Digsite	177
999	870	66961	Zhu Province Digsite	177
1003	870	66965	Valley of Kings Digsite	177
1005	870	66967	Gate to Golden Valley Digsite	177
1007	870	66969	Snow Covered Hills Digsite	177
1009	870	66971	East Snow Covered Hills Digsite	177
1011	870	66973	Remote Village Digsite	177
1015	870	66979	Destroyed Village Digsite	177
1017	870	66983	Old Village Digsite	177
1019	870	66985	Grumblepaw Ranch Digsite	177
1021	870	66987	Chow Farmstead Digsite	177
1023	870	66989	West Old Village Digsite	177
1025	870	66991	Small Gate Digsite	177
1029	870	67005	Kun-Lai Peak Digsite	177
1033	870	67021	Town Digsite	177
1035	870	67023	Gong of Hope Digsite	177
1037	870	67025	Great Bridge Digsite	177
1039	870	67027	Orchard Digsite	177
1043	870	67031	Jade Temple Grounds Digsite	177
1045	870	67033	South Orchard Digsite	177
1047	870	67035	Den of Sorrow Digsite	177
1049	870	67037	Shrine Meadow Digsite	177
1051	870	67039	Veridian Grove Digsite	177
