field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14
1442	1	0.087266	0.087266	90	90	0	0	0	0	0	0	80	0	0
1482	1	-0.261799	1.047.198	65	65	0	0	0	0	0	0	40	0	0
1522	17	0	0	75	75	0	0	0	0	0	0	0	1.15	4
1523	17	0	0	100	100	0	0	0	0	0	0	0	1	4
1642	17	0	0	75	75	0	0	0	0	0	0	0	4	4
1662	1	0.523599	1.047.198	65	65	0	0	0	0	0	0	40	0	0
1682	17	0.523599	1.570.796	65	65	0	0	0	0	0	0	30	0	0
1702	17	-0.523599	1.047.198	120	120	0	0	-0.191986	-0.191986	0	0	0	2	5
1762	17	0	0	320	320	0	0	0	0	0	0	0	1	10
1802	1	-0.2617994	1.570.796	60	60	0	0	0	0	0	0	30	0	0
1824	3	0.698132	0.872665	60	60	0	0	0	0	0	0	19.4	0	0
1863	1	0.8726646	0.8726646	65	65	0	0	0	0	0	0	19.29	0	0
1882	1	-0.2617994	1.570.796	90	90	0	0	0	0	0	0	30	0	0
1902	1	-0.2617994	1.570.796	90	90	0	0	0	0	0	0	30	0	0
1922	1	-0.261799	0.785398	35	45	0	0	0	0	0	0	19.29	0	0
1962	1	0.8726646	0.8726646	65	65	0	0	0	0	0	0	19.29	0	0
1982	1	0.8726646	0.8726646	65	65	0	0	0	0	0	0	19.29	0	0
2002	1	0.872665	0.872665	100	100	0	0	0	0	0	0	8	0	0
2022	1	-0.2617994	1.570.796	60	60	0	0	0	0	0	0	30	0	0
2023	1	-0.2617994	0.7853982	35	45	0	0	0	0	0	0	19.29	0	0
2024	1	-0.2617994	1.047.198	65	65	0	0	0	0	0	0	40	0	0
2142	3	0.6981317	0.8726646	60	60	0	0	0	0	0	0	19.4	0	0
2222	1	122.173	15.708	65	65	0	0	0	0	0	0	30	0	0
2264	1	-0.261799	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2282	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	0	0
2462	33	0.05235988	0.05235988	40	40	0	0	0	0	0	0	0	4	1.5
2482	49	0.5235988	0.5235988	30	30	0	0	0	0	0	0	0	10	50
2503	1	-0.261799	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2603	17	0	0	55	55	0	0	0	0	0	0	19.29	0	0
2605	17	0	0	55	55	0	0	0	0	0	0	19.29	0	0
2606	17	0	0	55	55	0	0	0	0	0	0	19.29	0	0
2607	17	0	0	55	55	0	0	0	0	0	0	19.29	0	0
2608	17	0.087266	0.087266	55	55	0	0	0	0	0	0	19.29	0	0
2671	1	0.872665	0.872665	60	70	0	0	0	0	0	0	8	2	0
2672	1	0.698132	0.872665	30	40	0	0	0	0	0	0	19.29	2	0
2673	1	-0.523599	15.708	90	90	0	0	0	0	0	0	30	4	3
2674	1	-0.261799	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2675	1	-0.261799	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2681	33	-0.523599	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2693	33	-0.523599	15.708	90	90	0	0	0	0	0	0	30	0	0
2694	1	0	1.570.796	30	40	0	0	0	0	0	0	19.29	0	0
2702	17	0.523599	0.523599	120	120	0	0	0	0	0	0	1	0.5	4
2704	1	0.6981317	0.8726646	120	120	0	0	0	0	0	0	19.29	0	0
2706	1	-0.3490658	0.8726646	30	40	0	0	0	0	0	0	19.29	0	0
2710	17	0	0	1000	1000	0	0	0	0	0	0	0	0.02	5
2713	17	-0.261799	1.047.198	65	65	0	0	0	0	0	0	40	0	0
2715	17	-0.2617994	1.047.199	65	65	0	0	0	0	0	0	40	0	0
2717	33	-0.523599	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2718	33	-0.523599	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2719	33	-0.523599	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2720	17	-0.7853982	0.1745329	50	50	0	0	0	0	0	0	19.29	0	0
2721	1	-1.570.796	1.570.796	65	65	0	0	0	0	0	0	0	0.25	0
2723	17	0	0	25	25	0	0	0	0	0	0	0	1	0
2726	1	0.174533	0.174533	65	65	0	0	0	0	0	0	8	0	0
2730	1	0	0	40	40	0	0	0	0	0	0	0	1	0
2750	1	0.872665	0.872665	65	65	0	0	0	0	0	0	19.29	3	0
2751	1	0.8726646	0.8726646	65	65	0	0	0	0	0	0	19.29	3	0
2752	17	0	0	240	240	0	0	0	0	0	0	0	1	10
2753	17	0.523599	1.570.796	65	65	0	0	0	0	0	0	30	0	0
2754	17	0	0	200	200	0	0	0	0	0	0	0	0.5	5
2757	16	0	0	40	40	0	0	0	0	0	0	19.29	0.75	3
2759	17	-0.523599	15.708	90	90	0	0	0	0	0	0	0	1.5	3
2836	49	0	15.708	80	80	0	0	0	0	0	0	19.29	0	5
2837	49	0	15.708	80	80	0	0	0	0	0	0	19.29	0	5
2879	1	0	0.785398	1	100	0	0	0	0	0	0	30	4	3
2924	17	0.523599	15.708	65	65	0	0	0	0	0	0	30	0	5
2925	17	0	0	240	240	0	0	0	0	0	0	0	0.6	5
2928	17	0.0872659	0.0872659	55	55	0	0	0	0	0	0	19.29	0	0
2929	17	0.0872659	0.0872659	55	55	0	0	0	0	0	0	19.29	0	0
2932	1	0.785398	10.472	20	20	0	0	0	0	0	0	40	0	0
2941	16	-0.523599	15.708	90	90	0	0	0	0	0	0	0	1.5	3
2942	1	0	0	30	30	0	0	0	0	0	0	0	1	0
2943	16	0.08726646	0.1745329	120	120	0	0	-0.08726646	0.08726646	0	0	0	2	5
2944	17	-0.261799	10.472	65	65	0	0	0	0	0	0	40	0	5
2945	49	0	0	100	120	0	0	0	0	0	0	0	5	10
2946	49	-0.261799	15.708	65	65	0	0	0	0	0	0	30	5	10
2949	1	-0.785398	0.174533	80	80	0	0	0	0	0	0	19.29	0	0
2958	1	-1.570.796	-1.570.796	100	100	0	0	0	0	0	0	19.29	0	0
2959	1	0.6981317	0.8726646	80	80	0	0	0	0	0	0	1	10	0
2960	1	0.6981317	0.8726646	50	50	0	0	0	0	0	0	1	10	0
2962	6	0.6981317	0.8726646	30	40	0	0	0	0	0	0	19.29	0	0
2963	17	-0.5235988	1.047.198	120	120	0	0	-0.1919862	-0.1919862	0	0	0	2	5
2964	49	0	0	90	90	0	0	0	0	0	0	0	4	8
2965	49	0	0	90	90	0	0	0	0	0	0	0	4	8
2966	49	0	0	90	90	0	0	0	0	0	0	0	4	8
2967	49	0	0	90	90	0	0	0	0	0	0	0	4	8
2968	49	0	0	90	90	0	0	0	0	0	0	0	4	8
2975	48	0	0	60	70	0	0	0	0	0	0	0	5	5
2976	48	0	0	60	70	0	0	0	0	0	0	0	5	5
2977	1	0.6981317	0.8726646	80	80	0	0	0	0	0	0	1	10	0
2978	1	0.6981317	0.8726646	50	50	0	0	0	0	0	0	1	10	0
2979	1	-0.2617994	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2980	1	-0.2617994	1.570.796	90	90	0	0	0	0	0	0	30	0	0
2981	16	-0.5235988	15.708	90	90	0	0	0	0	0	0	0	1.5	3
2991	1	-1.570.796	1.570.796	30	40	0	0	0	0	0	0	0	10	0
3004	1	-0.7853982	0.7853982	90	90	0	0	0	0	0	0	20	0	0
3013	1	-0.3272492	0.8726646	43.75	50	0	0	0	0	0	0	28.935	0	0
3027	4	0.6981317	0.8726646	10	10	0	0	0	0	0	0	19.29	3	0
3028	17	0	0	30	30	0	0	0	0	0	0	7	10	1
3029	5	0	0	30	30	0	0	0	0	0	0	0	1	0
3034	17	-0.2617994	1.047.199	65	65	0	0	0	0	0	0	40	0	0
3063	1	0.6981317	0.8726646	30	40	0	0	0	0	0	0	0	0	0
3064	48	0.6981317	0.8726646	30	40	0	0	0	0	0	0	0	0	0
3065	1	-1.570.796	1.570.796	30	30	0	0	0	0	0	0	40	3	0
3278	1	0.5235988	0.5235988	60	60	0	0	0	0	0	0	19.29	0	0
3359	17	0	0	320	320	0	0	0	0	0	0	0	1	10
3429	17	0.6981317	0.8726646	30	40	0	0	0	0	0	0	19.29	0	0
3430	1	0.6981317	0.8726646	30	40	0	0	0	0	0	0	10	0	0
