field0	field1	field2	field3
73947	-10283	-1309	22548
73948	-10270	-1234	22548
73949	-10376	-1196	22548
73950	-10380	-1231	22548
73951	-10366	-1293	22548
73952	-10329	-1345	22548
73953	-10306	339	22549
73954	-10307	379	22549
73955	-10341	407	22549
73956	-10345	369	22549
73957	-10332	349	22549
73958	-10784	-182	22550
73959	-10314	-115	22550
73960	-10319	-49	22550
73961	-10344	-17	22550
73962	-10381	15	22550
73963	-10553	36	22550
73964	-10642	28	22550
73965	-10751	-15	22550
73966	-10788	-107	22550
73967	-10051	-1250	22551
73968	-9951	-618	22551
73969	-9951	-551	22551
73970	-10017	-421	22551
73971	-10045	-450	22551
73972	-10109	-601	22551
73973	-10183	-1050	22551
73974	-10075	-1220	22551
73989	-10428	327	22554
73990	-10306	339	22554
73991	-10228	360	22554
73992	-10218	366	22554
73993	-10220	380	22554
73994	-10317	470	22554
73995	-10368	474	22554
73996	-10548	444	22554
73997	-10576	435	22554
73998	-10586	394	22554
73999	-10582	362	22554
74000	-10565	355	22554
74001	-10497	175	22555
74002	-10467	177	22555
74003	-10444	222	22555
74004	-10495	256	22555
74005	-10550	278	22555
74006	-10585	277	22555
74007	-10584	251	22555
74008	-10581	226	22555
74009	-10741	-1381	22556
74010	-10733	-1355	22556
74011	-10753	-1305	22556
74012	-10790	-1307	22556
74013	-10830	-1315	22556
74014	-10825	-1357	22556
74015	-10810	-1370	22556
74016	-11015	-1382	22557
74017	-10981	-1381	22557
74018	-10954	-1376	22557
74019	-10919	-1343	22557
74020	-10907	-1319	22557
74021	-10917	-1280	22557
74022	-10941	-1249	22557
74023	-10978	-1245	22557
74024	-11016	-1243	22557
74025	-11076	-1275	22557
74026	-11047	-1347	22557
74027	-10532	-1213	22558
74028	-10587	1913	22559
74029	-10478	1939	22559
74030	-10461	1955	22559
74031	-10476	1990	22559
74032	-10535	2002	22559
74033	-10546	2002	22559
74034	-10579	2002	22559
74035	-10793	1969	22559
74036	-10754	1947	22559
74037	-10641	1917	22559
74038	-10617	1914	22559
74039	-11010	1869	22560
74040	-10983	1870	22560
74041	-10906	2001	22560
74042	-10929	2016	22560
74043	-11105	1921	22560
74044	-11113	1902	22560
74045	-11118	1881	22560
74046	-10854	1122	22561
74047	-10815	1150	22561
74048	-10867	1197	22561
74049	-10880	1146	22561
74050	-10817	1281	22562
74051	-10790	1329	22562
74052	-10852	1351	22562
74053	-10852	1316	22562
74054	-10849	1283	22562
74055	-10025	1812	22563
74056	-10000	1835	22563
74057	-10079	1869	22563
74058	-10078	1826	22563
74059	-11151	687	22564
74060	-11008	751	22564
74061	-10989	831	22564
74062	-11015	1042	22564
74063	-11027	1065	22564
74064	-11160	1045	22564
74065	-11215	885	22564
74066	-11216	881	22564
74067	-11220	854	22564
74068	-11210	795	22564
74069	-11182	716	22564
74070	-9750	1384	22565
74071	-9695	1440	22565
74072	-9750	1515	22565
74073	-9785	1482	22565
74074	-9785	1417	22565
74075	-10511	1042	22566
74076	-9974	1081	22567
74077	-9867	1233	22567
74078	-9899	1267	22567
74079	-9932	1266	22567
74080	-9981	1219	22567
74081	-9997	1150	22567
74082	-9993	1112	22567
74083	-9982	1094	22567
74084	-9823	956	22568
74085	-9795	978	22568
74086	-9823	1005	22568
74087	-9888	1034	22568
74088	-9894	1017	22568
74089	-9883	1005	22568
74090	-10193	1016	22569
74091	-10118	1116	22569
74092	-10120	1150	22569
74093	-10152	1181	22569
74094	-10184	1150	22569
74095	-10217	1117	22569
74096	-10239	1072	22569
74097	-10243	1019	22569
74098	-10827	714	22570
74099	-10807	738	22570
74100	-10755	822	22570
74101	-10784	850	22570
74102	-10819	880	22570
74103	-10851	850	22570
74104	-10850	784	22570
74105	-10847	725	22570
74106	-10205	1272	22571
74107	-10168	1282	22571
74108	-10154	1313	22571
74109	-10183	1449	22571
74110	-10234	1511	22571
74111	-10285	1451	22571
74112	-10617	1582	22572
74113	-10517	1682	22572
