Id	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	
77	9534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
78	9534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
79	9774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	9773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	7552	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
82	9785	0	0	0	9793	1	0	0	0	9794	1	0	0	0	0	0	0	0	0	0	0	2	1000
84	3015	0	0	1	7541	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0
85	9881	0	0	0	0	0	0	0	0	9891	1	0	0	0	0	0	0	0	0	0	1	0	0
86	9563	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
87	9563	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
88	3015	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
89	3015	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
90	3015	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
91	7552	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
92	7552	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
93	7552	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
94	10369	0	0	0	0	0	0	0	0	10370	1	0	0	0	0	0	0	0	8	0	1	4	0
95	10378	0	0	0	10379	1	0	0	0	10380	-1	-1	0	0	0	0	0	0	0	0	0	0	0
104	10550	0	0	0	10555	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	3	0
105	10550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	3	0
106	10555	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	3	0
107	10587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
108	10589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
109	10590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
110	10601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
114	10620	0	0	0	10622	1	0	0	0	10703	1	0	0	0	0	0	0	0	8	0	1	4	0
118	10628	0	0	0	10630	0	0	0	0	10734	0	0	0	0	0	0	0	0	8	0	1	4	0
119	10571	0	0	0	0	0	0	0	0	10641	1	0	0	0	0	0	0	0	8	0	1	4	0
127	10675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
137	10601	0	0	0	10601	0	0	0	0	10601	0	0	0	0	0	0	21	0	8	0	1	0	0
138	10697	0	0	0	10698	1	0	0	0	0	0	0	0	0	10699	1	0	0	0	0	0	0	0
140	10469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	10640	0	0	0	10727	1	2	0	0	10572	1	0	0	0	0	0	0	0	8	0	1	4	0
145	7709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
146	10882	0	0	0	0	0	0	0	0	10886	1	0	0	0	0	0	0	0	8	0	1	4	0
147	9150	0	0	0	0	0	0	0	0	11094	0	0	0	0	0	0	0	0	8	0	1	4	0
148	9151	0	0	0	0	0	0	0	0	11094	0	0	0	0	0	0	0	0	8	0	1	4	0
