field0	field1
15099	Must complete quest \'Bounty on Murlocs\'
15100	Must complete quest \'Bounty on Murlocs\'
15101	Must complete quest \'Bounty on Murlocs\'
15102	Must complete quest \'Bounty on Murlocs\'
15103	Must complete quest \'Bounty on Murlocs\'
15104	Must complete quest \'Bounty on Murlocs\'
15105	Must complete quest \'Bounty on Murlocs\'
15106	Must complete quest \'Bounty on Murlocs\'
15107	Must complete quest \'Bounty on Murlocs\'
15108	Must complete quest \'Bounty on Murlocs\'
15109	Must complete quest \'Bounty on Murlocs\'
15110	Must complete quest \'Bounty on Murlocs\'
15111	Must complete quest \'Bounty on Murlocs\'
15112	Must complete quest \'Bounty on Murlocs\'
15113	Must complete quest \'Bounty on Murlocs\'
15114	Must complete quest \'Bounty on Murlocs\'
15115	Must complete quest \'Bounty on Murlocs\'
15116	Must complete quest \'Bounty on Murlocs\'
15117	Must complete quest \'Bounty on Murlocs\'
15118	Must complete quest \'Bounty on Murlocs\'
15119	Must complete quest \'Bounty on Murlocs\'
15120	Must complete quest \'Bounty on Murlocs\'
15121	Must complete quest \'Bounty on Murlocs\'
15122	Must complete quest \'Bounty on Murlocs\'
15123	Must complete quest \'Bounty on Murlocs\'
15124	Must complete quest \'Bounty on Murlocs\'
15125	Must complete quest \'Bounty on Murlocs\'
15126	Must complete quest \'Bounty on Murlocs\'
15127	Must complete quest \'Bounty on Murlocs\'
15128	Must complete quest \'Bounty on Murlocs\'
15129	Must complete quest \'Bounty on Murlocs\'
15130	Must complete quest \'Bounty on Murlocs\'
15131	Must complete quest \'Bounty on Murlocs\'
15132	Must complete quest \'Bounty on Murlocs\'
15133	Must complete quest \'Bounty on Murlocs\'
15134	Must complete quest \'Bounty on Murlocs\'
15135	Must complete quest \'Bounty on Murlocs\'
15136	Must complete quest \'Bounty on Murlocs\'
15137	Must complete quest \'Bounty on Murlocs\'
15138	Must complete quest \'Bounty on Murlocs\'
15139	Must complete quest \'Bounty on Murlocs\'
15140	Must complete quest \'Bounty on Murlocs\'
15141	Must complete quest \'Bounty on Murlocs\'
15142	Must complete quest \'Bounty on Murlocs\'
15143	Must complete quest \'Bounty on Murlocs\'
15144	Must complete quest \'Bounty on Murlocs\'
15145	Must complete quest \'Bounty on Murlocs\'
15146	Must complete quest \'Bounty on Murlocs\'
15147	Must complete quest \'Bounty on Murlocs\'
15148	Must complete quest \'Bounty on Murlocs\'
15149	Must complete quest \'Bounty on Murlocs\'
15150	Must complete quest \'Bounty on Murlocs\'
15151	Must complete quest \'Bounty on Murlocs\'
15152	Must complete quest \'Bounty on Murlocs\'
15153	Must complete quest \'Bounty on Murlocs\'
15154	Must complete quest \'Bounty on Murlocs\'
15155	Must complete quest \'Bounty on Murlocs\'
15156	Must complete quest \'Bounty on Murlocs\'
15157	Must complete quest \'Bounty on Murlocs\'
15158	Must complete quest \'Bounty on Murlocs\'
15159	Must complete quest \'Bounty on Murlocs\'
15160	Must complete quest \'Bounty on Murlocs\'
15161	Must complete quest \'Bounty on Murlocs\'
15162	Must complete quest \'Bounty on Murlocs\'
15163	Must complete quest \'Bounty on Murlocs\'
15164	Must complete quest \'Bounty on Murlocs\'
15165	Must complete quest \'Bounty on Murlocs\'
15166	Must complete quest \'Bounty on Murlocs\'
15167	Must complete quest \'Bounty on Murlocs\'
15168	Must complete quest \'Bounty on Murlocs\'
15169	Must complete quest \'Bounty on Murlocs\'
15170	Must complete quest \'Bounty on Murlocs\'
15171	Must complete quest \'Bounty on Murlocs\'
15172	Must complete quest \'Bounty on Murlocs\'
15173	Must complete quest \'Bounty on Murlocs\'
15174	Must complete quest \'Bounty on Murlocs\'
15175	Must complete quest \'Bounty on Murlocs\'
15176	Must complete quest \'Bounty on Murlocs\'
15177	Must complete quest \'Bounty on Murlocs\'
15178	Must complete quest \'Bounty on Murlocs\'
15179	Must complete quest \'Bounty on Murlocs\'
15180	Must complete quest \'Bounty on Murlocs\'
15181	Must complete quest \'Bounty on Murlocs\'
15182	Must complete quest \'Bounty on Murlocs\'
15183	Must complete quest \'Bounty on Murlocs\'
15184	Must complete quest \'Bounty on Murlocs\'
15185	Must complete quest \'Bounty on Murlocs\'
15186	Must complete quest \'Bounty on Murlocs\'
15187	Must complete quest \'Bounty on Murlocs\'
15188	Must complete quest \'Bounty on Murlocs\'
15189	Must complete quest \'Bounty on Murlocs\'
15190	Must complete quest \'Bounty on Murlocs\'
15191	Must complete quest \'Bounty on Murlocs\'
15192	Must complete quest \'Bounty on Murlocs\'
15193	Must complete quest \'Bounty on Murlocs\'
15194	Must complete quest \'Bounty on Murlocs\'
15195	Must complete quest \'Bounty on Murlocs\'
15196	Must complete quest \'Bounty on Murlocs\'
15197	Must complete quest \'Bounty on Murlocs\'
15198	Must complete quest \'Bounty on Murlocs\'
15199	Must complete quest \'Bounty on Murlocs\'
15200	Must complete quest \'Bounty on Murlocs\'
15201	Must complete quest \'Bounty on Murlocs\'
15202	Must complete quest \'Bounty on Murlocs\'
15203	Must complete quest \'Bounty on Murlocs\'
15204	Must complete quest \'Bounty on Murlocs\'
15205	Must complete quest \'Bounty on Murlocs\'
15206	Must complete quest \'Bounty on Murlocs\'
15207	Must complete quest \'Bounty on Murlocs\'
15208	Must complete quest \'Bounty on Murlocs\'
15209	Must complete quest \'Bounty on Murlocs\'
15210	Must complete quest \'Bounty on Murlocs\'
15211	Must complete quest \'Bounty on Murlocs\'
15212	Must complete quest \'Bounty on Murlocs\'
15213	Must complete quest \'Bounty on Murlocs\'
15214	Must complete quest \'Bounty on Murlocs\'
15215	Must complete quest \'Bounty on Murlocs\'
15216	Must complete quest \'Bounty on Murlocs\'
15217	Must complete quest \'Bounty on Murlocs\'
15218	Must complete quest \'Bounty on Murlocs\'
15219	Must complete quest \'Bounty on Murlocs\'
15220	Must complete quest \'Bounty on Murlocs\'
15221	Must complete quest \'Bounty on Murlocs\'
15222	Must complete quest \'Bounty on Murlocs\'
15223	Must complete quest \'Bounty on Murlocs\'
15224	Must complete quest \'Bounty on Murlocs\'
15225	Must complete quest \'Bounty on Murlocs\'
15226	Must complete quest \'Bounty on Murlocs\'
15227	Must complete quest \'Bounty on Murlocs\'
15228	Must complete quest \'Bounty on Murlocs\'
15229	Must complete quest \'Bounty on Murlocs\'
15230	Must complete quest \'Bounty on Murlocs\'
15231	Must complete quest \'Bounty on Murlocs\'
15297	
15364	Must complete quest \'Bounty on Murlocs\'
15507	Must complete quest \'Bounty on Murlocs\'
15526	
15694	Must complete quest \'Bounty on Murlocs\'
15695	Must complete quest \'Bounty on Murlocs\'
15697	Must complete quest \'Bounty on Murlocs\'
15704	Must complete quest \'Bounty on Murlocs\'
15717	Must complete quest \'Bounty on Murlocs\'
15718	Must complete quest \'Bounty on Murlocs\'
15862	Must complete quest \'Bounty on Murlocs\'
16152	Must complete quest \'Bounty on Murlocs\'
16177	Must complete quest \'Bounty on Murlocs\'
16178	Must complete quest \'Bounty on Murlocs\'
16179	Must complete quest \'Bounty on Murlocs\'
16260	
16261	
16262	
16377	Must complete quest \'Bounty on Murlocs\'
16378	Must complete quest \'Bounty on Murlocs\'
16379	Must complete quest \'Bounty on Murlocs\'
16380	Must complete quest \'Bounty on Murlocs\'
16381	Must complete quest \'Bounty on Murlocs\'
16382	Must complete quest \'Bounty on Murlocs\'
16385	Must complete quest \'Bounty on Murlocs\'
16402	Must complete quest \'Bounty on Murlocs\'
16419	Must complete quest \'Bounty on Murlocs\'
16466	Must complete quest \'Bounty on Murlocs\'
16647	Must complete quest \'Bounty on Murlocs\'
16750	Must complete quest \'Bounty on Murlocs\'
16754	Must complete quest \'Bounty on Murlocs\'
16757	Must complete quest \'Bounty on Murlocs\'
16758	Must complete quest \'Bounty on Murlocs\'
16759	Must complete quest \'Bounty on Murlocs\'
16768	Must complete quest \'Bounty on Murlocs\'
16769	Must complete quest \'Bounty on Murlocs\'
16770	Must complete quest \'Bounty on Murlocs\'
16954	Must complete quest \'Bounty on Murlocs\'
16955	Must complete quest \'Bounty on Murlocs\'
16971	Must complete quest \'Bounty on Murlocs\'
17011	Must complete quest \'Bounty on Murlocs\'
17012	Must complete quest \'Bounty on Murlocs\'
17013	Must complete quest \'Bounty on Murlocs\'
17348	Must complete quest \'Bounty on Murlocs\'
