field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18
73	2840	1210	3470	0	0	0	0	0	12	1	2	0	0	0	0	0	0	0
74	2841	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
75	2841	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
76	2841	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
77	2841	3478	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0
78	2841	2842	3478	0	0	0	0	0	10	2	2	0	0	0	0	0	0	0
79	2838	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
80	2841	1206	1705	5500	2842	0	0	0	20	2	2	2	4	0	0	0	0	0
81	2840	2880	2589	0	0	0	0	0	6	1	2	0	0	0	0	0	0	0
82	2840	2880	2589	0	0	0	0	0	6	1	2	0	0	0	0	0	0	0
83	2840	2880	2589	0	0	0	0	0	6	1	2	0	0	0	0	0	0	0
84	2841	2880	2319	0	0	0	0	0	6	4	1	0	0	0	0	0	0	0
85	2841	2880	2319	0	0	0	0	0	7	4	1	0	0	0	0	0	0	0
86	2841	2880	2319	0	0	0	0	0	5	4	2	0	0	0	0	0	0	0
87	2886	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
88	2934	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
89	2589	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
90	2592	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
91	5026	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
92	2835	2589	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
93	2836	2592	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
94	2838	2592	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
95	2447	2449	3371	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
96	785	2450	3371	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
97	785	3355	3371	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0
98	785	3820	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
99	1288	2453	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
100	8839	8845	3371	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
101	2453	2450	3371	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0
102	3355	3820	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
103	2449	3356	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
104	2452	765	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
105	2589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
106	2589	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
107	2592	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
108	2592	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
109	2840	2880	818	2319	0	0	0	0	14	2	2	2	0	0	0	0	0	0
110	2840	2880	774	3470	2318	0	0	0	12	2	2	2	2	0	0	0	0	0
111	2840	2880	2842	3470	2318	0	0	0	10	2	2	2	2	0	0	0	0	0
112	2841	3466	2459	1210	3478	2319	0	0	4	1	1	2	2	2	0	0	0	0
113	2841	3466	1206	1210	3478	2319	0	0	8	1	1	1	2	2	0	0	0	0
114	3575	3466	3391	1705	3478	2319	0	0	6	2	1	2	2	2	0	0	0	0
115	2771	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
116	2772	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
117	2776	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
118	2840	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
119	2835	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
120	2840	3470	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0
121	2840	3470	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0
122	2840	2321	3470	0	0	0	0	0	8	2	3	0	0	0	0	0	0	0
123	2840	818	774	0	0	0	0	0	8	1	1	0	0	0	0	0	0	0
124	2836	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
125	2841	3478	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
126	2841	2842	3478	0	0	0	0	0	8	2	2	0	0	0	0	0	0	0
127	2841	2842	3478	0	0	0	0	0	6	1	2	0	0	0	0	0	0	0
128	2841	2842	3478	0	0	0	0	0	8	1	2	0	0	0	0	0	0	0
129	3575	3478	2605	0	0	0	0	0	6	2	1	0	0	0	0	0	0	0
130	3575	5498	3478	2605	0	0	0	0	4	2	2	1	0	0	0	0	0	0
131	2838	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
132	2924	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
133	3173	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
134	1468	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
135	3667	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
136	3685	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
137	2251	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
138	3730	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
139	3731	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
140	3731	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
141	3712	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
142	2453	2450	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
143	3818	3355	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
144	0	3369	3371	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
145	3355	3821	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
146	3357	2453	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
147	3820	3356	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
148	3358	3818	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
149	3358	3819	3371	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0
150	2841	2880	3470	818	2319	0	0	0	6	4	2	1	1	0	0	0	0	0
151	3575	3466	3486	1705	4234	0	0	0	6	2	1	2	3	0	0	0	0	0
152	3575	3466	3486	1529	4234	0	0	0	8	2	2	2	3	0	0	0	0	0
153	3575	3466	3486	2842	4234	0	0	0	8	2	1	4	2	0	0	0	0	0
154	3575	3577	1705	3466	4234	3486	0	0	10	4	2	2	2	2	0	0	0	0
155	3859	3466	3486	1705	4234	0	0	0	8	2	2	3	3	0	0	0	0	0
156	3859	0	0	1529	3829	0	0	0	12	0	0	2	2	0	0	0	0	0
157	3575	3466	3486	3577	4234	0	0	0	14	2	2	4	2	0	0	0	0	0
158	3859	0	0	3864	3824	0	0	0	10	0	0	2	2	0	0	0	0	0
159	3575	2605	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0
160	3575	3864	2605	0	0	0	0	0	12	1	1	0	0	0	0	0	0	0
161	3859	3577	3486	0	0	0	0	0	8	2	2	0	0	0	0	0	0	0
162	3575	3486	2605	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0
163	3859	3577	3486	0	0	0	0	0	6	2	1	0	0	0	0	0	0	0
164	3575	3486	2605	0	0	0	0	0	8	1	1	0	0	0	0	0	0	0
165	3575	3577	3486	0	0	0	0	0	10	2	1	0	0	0	0	0	0	0
166	3575	3486	1529	1206	4255	0	0	0	20	4	2	2	1	0	0	0	0	0
167	3859	3577	3486	0	0	0	0	0	12	2	4	0	0	0	0	0	0	0
168	3859	3864	1705	3486	0	0	0	0	8	1	1	2	0	0	0	0	0	0
169	3859	3577	3486	0	0	0	0	0	10	4	4	0	0	0	0	0	0	0
176	3575	3857	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
177	2318	2320	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0
178	2996	2320	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0
179	2318	2320	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
180	2997	2321	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
181	2997	2605	2321	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
182	4231	2318	2320	0	0	0	0	0	1	6	2	0	0	0	0	0	0	0
183	4234	2321	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0
184	4231	2318	2320	0	0	0	0	0	3	6	4	0	0	0	0	0	0	0
185	4243	4231	2320	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0
186	2318	2320	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0
187	2319	2321	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0	0
188	2319	5373	2321	4340	0	0	0	0	8	2	1	1	0	0	0	0	0	0
189	4246	4233	2321	4340	0	0	0	0	1	1	2	1	0	0	0	0	0	0
190	2319	3383	2321	0	0	0	0	0	8	1	2	0	0	0	0	0	0	0
191	4233	2319	2321	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0
192	2319	3390	4340	2321	0	0	0	0	12	1	1	2	0	0	0	0	0	0
193	2319	4233	3389	3182	2321	0	0	0	4	2	2	2	2	0	0	0	0	0
194	4234	5637	2321	0	0	0	0	0	6	2	1	0	0	0	0	0	0	0
195	4234	2605	2321	0	0	0	0	0	9	2	4	0	0	0	0	0	0	0
196	4236	4234	3824	2321	0	0	0	0	2	12	1	2	0	0	0	0	0	0
197	4236	4234	2321	2605	7071	0	0	0	1	5	1	1	1	0	0	0	0	0
198	4236	4234	2321	7071	0	0	0	0	2	4	1	1	0	0	0	0	0	0
199	4236	4234	2605	2321	0	0	0	0	2	6	1	1	0	0	0	0	0	0
200	4234	4236	4291	0	0	0	0	0	6	2	1	0	0	0	0	0	0	0
201	4236	5500	1529	3864	2321	0	0	0	4	1	1	1	1	0	0	0	0	0
202	4234	4236	0	5633	4291	7071	0	0	6	2	0	1	1	1	0	0	0	0
203	4234	2321	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
204	4305	4234	2321	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0
205	783	4289	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
206	4232	4289	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
207	4235	4289	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
208	4306	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
209	2996	2320	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
210	2996	2320	2605	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0
211	2996	2321	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0
212	2997	2321	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
213	2997	2321	5498	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0
214	2996	2318	2321	0	0	0	0	0	5	2	1	0	0	0	0	0	0	0
215	2997	2318	2321	2604	0	0	0	0	4	2	1	2	0	0	0	0	0	0
216	2997	2321	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
217	2997	2319	2321	0	0	0	0	0	6	2	2	0	0	0	0	0	0	0
218	2997	2321	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0
219	2997	5500	2321	0	0	0	0	0	6	1	3	0	0	0	0	0	0	0
220	2997	2321	3383	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0
221	4305	4234	6260	2321	0	0	0	0	3	2	2	2	0	0	0	0	0	0
222	4305	2319	3182	5500	0	0	0	0	2	4	4	2	0	0	0	0	0	0
223	4305	3182	2321	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0
224	4305	2321	4337	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0
225	4305	4291	3824	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
226	4305	6260	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0
227	4305	4291	4337	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0
228	4305	3827	4291	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
229	4339	4291	3829	4337	0	0	0	0	3	2	1	2	0	0	0	0	0	0
230	4305	4337	7071	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0
231	4339	4234	3864	7071	4291	0	0	0	4	4	1	1	1	0	0	0	0	0
232	4338	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
233	2997	2604	2321	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0
234	2997	5500	2321	2324	0	0	0	0	4	1	4	2	0	0	0	0	0	0
235	4305	4341	2321	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
236	4305	4340	2321	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0
237	4305	2324	2321	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0
238	4305	4342	4291	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
239	4305	2325	4291	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0
240	2996	2320	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
241	2996	2320	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
242	2835	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
243	4357	2589	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
244	4357	2318	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
245	2840	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
246	4357	4359	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
247	2840	2880	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
248	2840	4359	4399	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0
249	4357	2318	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
250	0	4359	2840	774	0	0	0	0	0	1	1	2	0	0	0	0	0	0
251	2836	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
252	4357	2318	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
253	4364	2589	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
254	0	0	2841	2592	0	0	0	0	0	0	2	2	0	0	0	0	0	0
255	4364	0	2318	159	0	0	0	0	2	0	1	1	0	0	0	0	0	0
256	2841	818	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0
257	4371	4406	4399	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
258	2840	4364	4404	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0
259	2841	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
260	4371	4359	4400	1206	0	0	0	0	2	2	1	3	0	0	0	0	0	0
261	2319	1210	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0
262	4364	2841	4404	2592	0	0	0	0	4	2	1	1	0	0	0	0	0	0
263	2841	2592	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
264	4375	4402	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
265	2838	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
266	4377	2592	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
267	4357	2318	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
268	4371	4375	4400	2842	0	0	0	0	2	2	1	3	0	0	0	0	0	0
269	4377	2841	4404	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0
270	4371	4375	2319	1206	0	0	0	0	1	2	2	1	0	0	0	0	0	0
271	2841	2319	2592	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
272	4371	4375	4400	1705	0	0	0	0	3	3	1	2	0	0	0	0	0	0
273	4382	4375	4377	2592	0	0	0	0	1	1	2	2	0	0	0	0	0	0
274	2319	1206	4368	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0
275	4375	3829	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
276	3575	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
277	4375	4306	1529	4371	0	0	0	0	3	2	1	1	0	0	0	0	0	0
278	4371	4387	4377	2319	0	0	0	0	4	1	4	4	0	0	0	0	0	0
279	3575	10558	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
280	3575	4377	4306	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
281	4387	4382	4389	4234	0	0	0	0	2	1	2	4	0	0	0	0	0	0
282	4387	4382	4389	4234	0	0	0	0	1	1	1	4	0	0	0	0	0	0
283	4234	3864	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0
284	3575	4377	4404	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0
285	4377	3575	4389	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0
286	4382	4387	4389	3864	0	0	0	0	1	2	2	1	0	0	0	0	0	0
287	4389	1529	1705	3864	7191	0	0	0	4	2	2	2	1	0	0	0	0	0
288	10505	4234	159	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0
289	2842	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
290	2840	774	4359	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0
291	4371	1206	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
292	4371	1529	3864	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
293	3404	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
294	4461	4234	2321	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0
295	4461	4234	2321	0	0	0	0	0	4	4	2	0	0	0	0	0	0	0
296	3164	2447	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
297	3858	3821	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
298	878	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
299	2589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
300	5082	2318	2320	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0
301	2589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
302	2589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
303	2592	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
304	2589	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
305	2592	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
306	12220	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
307	5465	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
308	5466	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
309	5467	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
310	5468	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
311	5469	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
312	5051	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
313	5470	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
314	5471	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
315	4371	4375	0	1206	0	0	0	0	2	2	0	1	0	0	0	0	0	0
316	5503	159	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
317	5504	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
318	5503	1179	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
319	2841	3466	5498	3478	0	0	0	0	6	1	2	2	0	0	0	0	0	0
320	2841	3466	5500	3478	2319	0	0	0	10	1	1	2	2	0	0	0	0	0
321	2997	2321	5498	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0
322	5635	0	3371	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
323	5637	3356	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
324	6370	3820	3371	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0
325	4234	2321	7071	0	0	0	0	0	14	2	1	0	0	0	0	0	0	0
327	2996	2321	2604	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
328	2997	2604	2321	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
329	4305	2321	3182	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0
330	4305	2321	3182	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0
331	4305	4234	2321	2605	0	0	0	0	4	3	3	1	0	0	0	0	0	0
332	4305	2325	2321	0	0	0	0	0	5	1	4	0	0	0	0	0	0	0
333	5784	2318	2321	0	0	0	0	0	8	6	1	0	0	0	0	0	0	0
334	5784	4231	2318	2321	0	0	0	0	12	1	8	1	0	0	0	0	0	0
335	5785	4236	4234	2321	0	0	0	0	12	1	10	3	0	0	0	0	0	0
336	5785	4236	4234	4291	0	0	0	0	16	1	14	1	0	0	0	0	0	0
337	5026	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
338	5026	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
339	2318	2320	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
340	2319	2997	2321	0	0	0	0	0	8	1	1	0	0	0	0	0	0	0
341	2319	4340	2321	0	0	0	0	0	12	1	1	0	0	0	0	0	0	0
342	4234	4305	2321	0	0	0	0	0	12	2	2	0	0	0	0	0	0	0
343	4234	2321	1206	0	0	0	0	0	10	2	1	0	0	0	0	0	0	0
344	4234	4236	2321	0	0	0	0	0	8	1	2	0	0	0	0	0	0	0
345	4234	4305	4291	0	0	0	0	0	14	2	2	0	0	0	0	0	0	0
346	4234	4236	4291	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0
347	3820	6370	3371	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
348	3357	3356	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
349	765	3371	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
350	4655	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
351	3575	3478	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0
352	3575	3478	1705	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0
353	3859	3486	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0
354	3859	3486	4234	0	0	0	0	0	8	2	4	0	0	0	0	0	0	0
355	2453	2452	3371	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
