field0	field1
168	SPELLS\FEAR_STATE_HEAD.MDX
169	SPELLS\FIRE_SMOKETRAIL.MDX
170	SPELLS\INFERNAL_SMOKE_REC.MDX
171	SPELLS\ARCANEPOWER_STATE_CHEST.MDX
172	SPELLS\CONJUREITEM.MDX
173	SPELLS\CRIPPLE_STATE_BASE.MDX
174	SPELLS\CURSEELEMENTS_IMPACT_HEAD.MDX
175	SPELLS\DETECTMAGIC_RECURSIVE.MDX
176	SPELLS\DISPEL_LOW_RECURSIVE.MDX
177	SPELLS\HOLY_PRECAST_LOW_HAND.MDX
178	SPELLS\VENGEANCE_STATE_HAND.MDX
179	SPELLS\SUMMON_PRECAST_HAND.MDX
182	SPELLS\ENCHANTMENTS\MONGOOSEGLOW_HIGH.MDX
183	SPELLS\ENCHANTMENTS\SAVAGERYGLOW_HIGH.MDX
184	SPELLS\ENCHANTMENTS\SOULFROSTGLOW_HIGH.MDX
185	SPELLS\ENCHANTMENTS\SUNFIREGLOW_HIGH.MDX
186	SPELLS\ENCHANTMENTS\BATTLEMASTERGLOW_HIGH.MDX
187	SPELLS\ENCHANTMENTS\SPELLSURGEGLOW_HIGH.MDX
188	SPELLS\DARKSHADE.MDX
189	SPELLS\BLACKMAGIC_PRECAST_BASE.MDX
190	SPELLS\SHADOW_DOTPARTICLE.MDX
191	SPELLS\MANABURN_CHEST.MDX
192	SPELLS\BLACKSHOT_MISSILE.MDX
193	SPELLS\ENCHANTMENTS\EXECUTIONERGLOW_HIGH.MDX
194	SPELLS\ENCHANTMENTS\DISINTIGRATEGLOW_HIGH.MDX
195	SPELLS\ICYENCHANT_HIGH.MDX
197	CREATURE\KOBOLD\KOBOLD.MDX
198	CREATURE\TURKEY\TURKEY.MDX
199	SPELLS\FIREWORKS_RWB_01.MDX
200	CREATURE\KILJAEDEN\KILJAEDEN.MDX
201	WORLD\GENERIC\PVP\FIRES\LOWPOLYFIRE.MDX
202	SPELLS\FIRESTRIKE_MISSILE_LOW.MDX
203	SPELLS\FIRE_PRECAST_UBER_HAND.MDX
204	SPELLS\ICE_PRECAST_MED_HAND.MDX
205	SPELLS\ACIDLIQUIDBREATH.MDX
206	SPELLS\POISONSHOT_MISSILE.MDX
207	SPELLS\DEATHKNIGHT_FROZENRUNEWEAPON_STATE.MDX
208	SPELLS\LIGHTNINGBOLT_IMPACT_CHEST.MDX
210	SPELLS\LIGHTNINGBOLT_MISSILE.MDX
211	SPELLS\DRAGONBREATH_FIRE.MDX
212	SPELLS\FIRESHOT_MISSILE.MDX
213	SPELLS\ARCHIMONDE_FIRE.MDX
215	SPELLS\HOLY_MISSILE_LOW.MDX
217	SPELLS\LIGHTNING_TWILIGHT_CAST_HAND.MDX
218	SPELLS\TWILIGHT_FIRE_PRECAST_HAND.MDX
219	WORLD\EXPANSION02\DOODADS\GENERIC\VRYKUL\QUEST\VR_SACK_02_Q.MDX
220	SPELLS\ERADICATION_HAND.MDX
222	SPELLS\PIERCINGSTRIKE_CAST_HAND.MDX
223	SPELLS\ENCHANTMENTS\FIRE_HIGH.MDX
224	SPELLS\ENCHANTMENTS\FROST_HIGH.MDX
225	SPELLS\ENCHANTMENTS\WIND_HIGH.MDX
226	SPELLS\ENCHANTMENTS\NATURE_HIGH.MDX
227	SPELLS\ENCHANTMENTS\EARTHEN_HIGH.MDX
236	SPELLS\SHAMAN_LAVABURST_MISSILE.MDX
237	SPELLS\SHAMAN_LAVABURST_MISSILE_NOFLASH.MDX
239	SPELLS\SHAMAN_LAVABURST_MISSILE_NOFLASH_XS.MDX
275	Spells\Immolate_State_Base_V2.mdx
279	SPELLS\SONICBOOM_MISSILE_HIGH.MDX
